,NCLH
2017-07-07,12566391154
2017-07-10,12417010132
2017-07-11,12400922945
2017-07-12,12430799150
2017-07-13,12465271693
2017-07-14,12288312637
2017-07-17,12439991828
2017-07-18,12451482676
2017-07-19,12497446067
2017-07-20,12651423427
2017-07-21,12656019766
2017-07-24,12807698957
2017-07-25,12812295297
2017-07-26,12789313601
2017-07-27,12665212445
2017-07-28,12688194140
2017-07-31,12656019766
2017-08-01,13078882965
2017-08-02,12832978823
2017-08-03,12927203775
2017-08-04,13076584796
2017-08-07,13019130557
2017-08-08,13655723525
2017-08-09,13412117552
2017-08-10,13115653678
2017-08-11,13046708592
2017-08-14,13205282291
2017-08-15,13202984122
2017-08-16,13306401752
2017-08-17,12911116588
2017-08-18,12819189805
2017-08-21,12837575162
2017-08-22,13076584796
2017-08-23,13134039035
2017-08-24,13267332869
2017-08-25,13265034700
2017-08-28,13301805413
2017-08-29,13246649343
2017-08-30,13379943178
2017-08-31,13664916203
2017-09-01,13453484604
