,DOW
2023-11-02,34469364000
2023-11-03,34990028000
2023-11-06,34715624000
2023-11-07,34145708000
2023-11-08,33983879999
2023-11-09,34026096000
2023-11-10,34814128000
2023-11-13,34645264000
2023-11-14,35918780000
2023-11-15,36256508000
2023-11-16,36193184000
2023-11-17,36376120000
2023-11-20,36362048000
2023-11-21,36397228000
2023-11-22,36165040000
2023-11-24,36355012000
2023-11-27,35968032000
2023-11-28,36369084000
2023-11-29,36115788000
2023-11-30,36411300000
2023-12-01,36798280000
2023-12-04,36657560000
2023-12-05,35982104000
2023-12-06,35806204000
2023-12-07,35932852000
2023-12-08,35827312000
2023-12-11,36080608000
2023-12-12,35756952000
2023-12-13,36819388000
2023-12-14,38156228000
2023-12-15,38163264000
2023-12-18,38170300000
2023-12-19,38641712000
2023-12-20,38402488000
2023-12-21,38676892000
2023-12-22,38782432000
2023-12-26,39197556000
2023-12-27,39197556000
2023-12-28,38859828000
2023-12-29,38585424000
2024-01-02,38979985000
2024-01-03,38486835000
2024-01-04,38176855000
2024-01-05,38620690000
2024-01-08,38803860000
2024-01-09,38000730000
2024-01-10,37606210000
2024-01-11,37789380000
2024-01-12,37599165000
2024-01-16,37408950000
2024-01-17,36965115000
2024-01-18,37056700000
2024-01-19,37204645000
2024-01-22,37733020000
2024-01-23,37979595000
2024-01-24,37401905000
2024-01-25,38705230000
2024-01-26,38085270000
2024-01-29,38092315000
2024-01-30,38374115000
2024-01-31,37761200000
2024-02-01,37718930000
2024-02-02,37634390000
2024-02-05,37451220000
2024-02-06,38071180000
2024-02-07,38106405000
2024-02-08,37958460000
2024-02-09,38035955000
2024-02-12,38599555000
2024-02-13,37465310000
2024-02-14,37747110000
2024-02-15,38867265000
2024-02-16,39085660000
2024-02-20,38543195000
2024-02-21,39275875000
2024-02-22,39452000000
2024-02-23,39726755000
2024-02-26,39501315000
2024-02-27,39642215000
2024-02-28,38817950000
2024-02-29,39367460000
2024-03-01,39289965000
2024-03-04,40170590000
2024-03-05,40142410000
2024-03-06,40057870000
2024-03-07,40114230000
2024-03-08,39881745000
2024-03-11,40459435000
2024-03-12,40635560000
2024-03-13,40839865000
2024-03-14,40381940000
2024-03-15,40184680000
2024-03-18,39973330000
2024-03-19,39987420000
2024-03-20,40980765000
2024-03-21,40811685000
2024-03-22,40635560000
2024-03-25,40431255000
2024-03-26,40205815000
2024-03-27,40959630000
2024-03-28,40811685000
2024-04-01,41044170000
2024-04-02,41769805000
2024-04-03,42262955000
2024-04-04,42171370000
2024-04-05,42051605000
2024-04-08,41931840000
2024-04-09,42178415000
2024-04-10,41459825000
2024-04-11,41185070000
2024-04-12,40642605000
2024-04-15,40381940000
2024-04-16,40057870000
2024-04-17,40029690000
2024-04-18,39797205000
2024-04-19,39916970000
2024-04-22,40149455000
2024-04-23,39973330000
2024-04-24,40142410000
2024-04-25,39761980000
2024-04-26,40360805000
2024-04-29,40720100000
2024-04-30,40086050000
2024-05-01,40318535000
2024-05-02,40036735000
2024-05-03,40184680000
2024-05-06,40396030000
2024-05-07,41114620000
2024-05-08,41311880000
2024-05-09,41882525000
2024-05-10,41854345000
2024-05-13,41819120000
2024-05-14,42023425000
2024-05-15,41607770000
2024-05-16,41354150000
2024-05-17,41699355000
2024-05-20,41734580000
2024-05-21,41502095000
2024-05-22,40579200000
2024-05-23,40100140000
2024-05-24,40691920000
2024-05-28,40889180000
2024-05-29,40156500000
2024-05-30,40431255000
2024-05-31,40600335000
2024-06-03,39501315000
2024-06-04,38853175000
2024-06-05,39233605000
2024-06-06,39226560000
2024-06-07,39261785000
2024-06-10,39487225000
2024-06-11,39557675000
2024-06-12,39628125000
2024-06-13,39494270000
2024-06-14,38761590000
2024-06-17,38909535000
2024-06-18,39057480000
2024-06-20,38190945000
2024-06-21,38035955000
2024-06-24,38479790000
2024-06-25,37451220000
2024-06-26,37479400000
2024-06-27,37310320000
2024-06-28,37373725000
2024-07-01,37077835000
2024-07-02,37134195000
2024-07-03,37253960000
2024-07-05,36796035000
2024-07-08,37197600000
2024-07-09,36338110000
2024-07-10,36429695000
2024-07-11,36922845000
2024-07-12,37275095000
2024-07-15,37528715000
2024-07-16,38536150000
2024-07-17,39036345000
2024-07-18,38585465000
2024-07-19,37972550000
2024-07-22,38300796000
2024-07-23,38054466000
2024-07-24,37526616000
2024-07-25,37195830000
2024-07-26,37202868000
2024-07-29,37202868000
2024-07-30,37787022000
2024-07-31,38335986000
2024-08-01,37498464000
2024-08-02,36604638000
2024-08-05,35900838000
2024-08-06,36935424000
2024-08-07,36717246000
2024-08-08,37069146000
2024-08-09,37062108000
