,PWR
2003-11-26,887421220
2003-11-28,871472700
2003-12-01,910204820
2003-12-02,887421220
2003-12-03,865776800
2003-12-04,854385000
2003-12-05,866915980
2003-12-08,864637620
2003-12-09,837297300
2003-12-10,811096160
2003-12-11,854385000
2003-12-12,860080900
2003-12-15,850967460
2003-12-16,853245820
2003-12-17,850967460
2003-12-18,880586140
2003-12-19,877168600
2003-12-22,881725320
2003-12-23,898813020
2003-12-24,876029420
2003-12-26,888560400
2003-12-29,888560400
2003-12-30,880586140
2003-12-31,831601400
2004-01-02,829323040
2004-01-05,861220080
2004-01-06,850967460
2004-01-07,874890240
2004-01-08,876029420
2004-01-09,850967460
2004-01-12,870333520
2004-01-13,935266780
2004-01-14,940962680
2004-01-15,947797760
2004-01-16,972859719
2004-01-20,1036653800
2004-01-21,1027540360
2004-01-22,976277260
2004-01-23,983112340
2004-01-26,977416440
2004-01-27,968303000
2004-01-28,947797760
2004-01-29,942101860
2004-01-30,931849240
2004-02-02,935266780
2004-02-03,962607099
2004-02-04,940962680
2004-02-05,948936940
2004-02-06,999060860
2004-02-09,1008174300
2004-02-10,1019566099
2004-02-11,1054880680
2004-02-12,1038932159
2004-02-13,1033236260
2004-02-17,1030957900
2004-02-18,1021844460
2004-02-19,995643320
2004-02-20,993364960
2004-02-23,979694800
2004-02-24,960328740
2004-02-25,980833979
2004-02-26,977416440
2004-02-27,979694800
2004-03-01,983112340
2004-03-02,935266780
2004-03-03,947797760
2004-03-04,945519400
2004-03-05,934127599
2004-03-08,913622360
2004-03-09,888560400
2004-03-10,860080900
2004-03-11,840714840
2004-03-12,874890240
2004-03-15,828183860
2004-03-16,828183860
2004-03-17,845271560
2004-03-18,798565180
2004-03-19,768946500
2004-03-22,763250600
2004-03-23,759833060
2004-03-24,747302080
2004-03-25,756415520
2004-03-26,780338300
2004-03-29,791730100
2004-03-30,807678620
2004-03-31,810129000
2004-04-01,791821000
2004-04-02,805552000
2004-04-05,816994500
2004-04-06,790676750
2004-04-07,783811250
2004-04-08,776945750
2004-04-12,784955500
2004-04-13,758637750
2004-04-14,758637750
2004-04-15,726598750
2004-04-16,714012000
2004-04-19,719733250
2004-04-20,726598750
2004-04-21,733464250
2004-04-22,766647500
2004-04-23,771224500
2004-04-26,765503250
2004-04-27,725454500
2004-04-28,669386250
2004-04-29,648789750
2004-04-30,625904750
2004-05-03,638491500
2004-05-04,647645500
2004-05-05,615606500
2004-05-06,603019750
2004-05-07,577846250
2004-05-10,552672750
2004-05-11,590433000
2004-05-12,577846250
2004-05-13,574413500
2004-05-14,585856000
2004-05-17,573269250
2004-05-18,574413500
2004-05-19,577846250
2004-05-20,584711750
2004-05-21,589288750
2004-05-24,595010000
2004-05-25,625904750
2004-05-26,625904750
2004-05-27,609885250
2004-05-28,606452500
2004-06-01,617895000
2004-06-02,622472000
2004-06-03,599587000
2004-06-04,600731250
2004-06-07,623616250
2004-06-08,627049000
2004-06-09,612173750
2004-06-10,622472000
2004-06-14,604164000
2004-06-15,601875500
2004-06-16,600731250
2004-06-17,627049000
2004-06-18,621327750
2004-06-21,614462250
2004-06-22,628193250
2004-06-23,670530500
2004-06-24,691127000
2004-06-25,739185500
2004-06-28,687694250
2004-06-29,710579250
2004-06-30,713328260
2004-07-01,711034600
2004-07-02,709887770
2004-07-06,678923360
2004-07-07,676629700
2004-07-08,674336040
2004-07-09,668601890
2004-07-12,676629700
2004-07-13,669748720
2004-07-14,666308230
2004-07-15,681217020
2004-07-16,670895550
2004-07-19,680070190
2004-07-20,694978980
2004-07-21,672042380
2004-07-22,683510680
2004-07-23,660574080
2004-07-26,653693100
2004-07-27,696125810
2004-07-28,688098000
2004-07-29,717915580
2004-07-30,720209240
2004-08-02,731677540
2004-08-03,700713130
2004-08-04,705300450
2004-08-05,703006790
2004-08-06,700713130
2004-08-09,693832150
2004-08-10,716768750
2004-08-11,697272640
2004-08-12,701859960
2004-08-13,689244830
2004-08-16,711034600
2004-08-17,709887770
2004-08-18,732824370
2004-08-19,748879990
2004-08-20,752320480
2004-08-23,759201460
2004-08-24,767229270
2004-08-25,766082440
2004-08-26,744292670
2004-08-27,727090220
2004-08-30,716768750
2004-08-31,736264860
2004-09-01,751173650
2004-09-02,770669760
2004-09-03,766082440
2004-09-07,787872210
2004-09-08,763788780
2004-09-09,805074660
2004-09-10,809661980
2004-09-13,818836620
2004-09-14,807368320
2004-09-15,805074660
2004-09-16,825717600
2004-09-17,824570770
2004-09-20,830304920
2004-09-21,808515150
2004-09-22,738558520
2004-09-23,714475090
2004-09-24,694978980
2004-09-27,684657510
2004-09-28,723649730
2004-09-29,690391660
2004-09-30,697135450
2004-10-01,691374000
2004-10-04,725942700
2004-10-05,734008730
2004-10-06,755902240
2004-10-07,753597660
2004-10-08,731704150
2004-10-11,730551860
2004-10-12,724790410
2004-10-13,722485830
2004-10-14,710962930
2004-10-15,769729720
2004-10-18,766272850
2004-10-19,743227050
2004-10-20,736313310
2004-10-21,760511400
2004-10-22,737465600
2004-10-25,752445370
2004-10-26,744379340
2004-10-27,760511400
2004-10-28,763968270
2004-10-29,774338880
