,DNB
2023-03-27,4901561210
2023-03-28,4815644274
2023-03-29,4888673669
2023-03-30,4897265363
2023-03-31,5053737135
2023-04-03,4959033373
2023-04-04,4911681492
2023-04-05,4941814507
2023-04-06,4946119224
2023-04-10,4967642806
2023-04-11,5006385254
2023-04-12,4903072059
2023-04-13,4954728656
2023-04-14,4890157909
2023-04-17,4963338089
2023-04-18,4898767342
2023-04-19,4868634327
2023-04-20,4989166388
2023-04-21,5040822986
2023-04-24,4907376775
2023-04-25,4756711699
2023-04-26,4683531519
2023-04-27,4743797549
2023-04-28,4808368296
2023-05-01,4765321132
2023-05-02,4502733427
2023-05-03,4352068351
2023-05-04,4468295695
2023-05-05,4713664534
2023-05-08,4644789071
2023-05-09,4674922086
2023-05-10,4748102266
2023-05-11,4662007937
2023-05-12,4528561726
2023-05-15,4446772113
2023-05-16,4313325902
2023-05-17,4360677784
2023-05-18,4321935335
2023-05-19,4309021186
2023-05-22,4399420232
2023-05-23,4364982500
2023-05-24,4222926857
2023-05-25,4184184408
2023-05-26,4179879692
2023-05-30,4136832527
2023-05-31,4304716470
2023-06-01,4296107037
2023-06-02,4584523040
2023-06-05,4498428711
2023-06-06,4649093787
2023-06-07,4606046622
2023-06-08,4571608891
2023-06-09,4524257009
2023-06-12,4687836235
2023-06-13,4782539998
2023-06-14,4773930565
2023-06-15,5006385254
2023-06-16,5040822986
2023-06-20,4782539998
2023-06-21,4799758864
2023-06-22,4692140952
2023-06-23,4765321132
2023-06-26,4851415461
2023-06-27,4864329611
2023-06-28,4890157909
2023-06-29,4967642806
2023-06-30,4984546118
2023-07-03,4997470611
2023-07-05,5010395104
2023-07-06,4967313460
2023-07-07,4993162446
2023-07-10,5070709404
2023-07-11,5161180855
2023-07-12,5118099212
2023-07-13,5156872691
2023-07-14,5113791047
2023-07-17,5044860418
2023-07-18,5187029841
2023-07-19,5316274770
2023-07-20,5195646169
2023-07-21,5212878827
2023-07-24,5187029841
2023-07-25,5092250226
2023-07-26,5079325733
2023-07-27,4988854282
2023-07-28,5083633897
2023-07-31,5092250226
2023-08-01,5014703268
2023-08-02,4850993024
2023-08-03,4863917517
2023-08-04,5066401240
2023-08-07,4980237953
2023-08-08,4713131766
2023-08-09,4730364423
2023-08-10,4704515437
2023-08-11,4782062395
2023-08-14,4786370559
2023-08-15,4596811329
2023-08-16,4614043986
2023-08-17,4540805193
2023-08-18,4575270507
2023-08-21,4579578672
2023-08-22,4605427658
2023-08-23,4657125629
2023-08-24,4605427658
2023-08-25,4609735822
2023-08-28,4708823601
2023-08-29,4717439930
2023-08-30,4700207273
2023-08-31,4695899108
2023-09-01,4665741958
2023-09-05,4532188864
2023-09-06,4583886836
2023-09-07,4489107221
2023-09-08,4506339878
2023-09-11,4540805193
2023-09-12,4545113357
2023-09-13,4566654179
2023-09-14,4622660315
2023-09-15,4437409249
2023-09-18,4351245963
2023-09-19,4549421521
2023-09-20,4433101085
2023-09-21,4316780648
2023-09-22,4359862291
2023-09-25,4346937798
2023-09-26,4308164320
2023-09-27,4295239827
2023-09-28,4295239827
2023-09-29,4303856155
2023-10-02,4302378000
2023-10-03,4108382999
2023-10-04,4198914000
2023-10-05,4203225000
2023-10-06,4173048000
2023-10-09,4160115000
2023-10-10,4229091000
2023-10-11,4233402000
2023-10-12,4112693999
2023-10-13,4099761000
2023-10-16,4267890000
2023-10-17,4323933000
2023-10-18,4190292000
2023-10-19,4173048000
2023-10-20,4160115000
2023-10-23,4073894999
2023-10-24,4056651000
2023-10-25,3957498000
2023-10-26,3966119999
2023-10-27,3823856999
2023-10-30,3815235000
2023-10-31,3776436000
2023-11-01,3957498000
2023-11-02,4009230000
2023-11-03,4194603000
2023-11-06,4155804000
2023-11-07,4246335000
2023-11-08,4129938000
2023-11-09,4048029000
2023-11-10,4052340000
2023-11-13,4009230000
2023-11-14,4203225000
2023-11-15,4246335000
2023-11-16,4216157999
2023-11-17,4276512000
2023-11-20,4311000000
2023-11-21,4280823000
2023-11-22,4388598000
2023-11-24,4410153000
2023-11-27,4392909000
2023-11-28,4483440000
2023-11-29,4548105000
2023-11-30,4565349000
2023-12-01,4690368000
2023-12-04,4668813000
2023-12-05,4621392000
2023-12-06,4504995000
2023-12-07,4595526000
2023-12-08,4565349000
2023-12-11,4573971000
2023-12-12,4599837000
2023-12-13,4849875000
2023-12-14,5069736000
2023-12-15,4957650000
2023-12-18,4953339000
2023-12-19,5009382000
2023-12-20,4953339000
2023-12-21,5086980000
2023-12-22,5099913000
2023-12-26,5108535000
2023-12-27,5086980000
2023-12-28,5086980000
2023-12-29,5043870000
2024-01-02,5031942050
2024-01-03,4975839780
2024-01-04,5023310932
2024-01-05,5165724386
2024-01-08,5174355504
2024-01-09,5023310932
2024-01-10,5006048695
2024-01-11,4971524221
2024-01-12,4997417576
2024-01-16,4997417576
2024-01-17,4984470899
2024-01-18,4902475273
2024-01-19,5014679813
2024-01-22,5096675438
2024-01-23,5144146590
2024-01-24,5092359879
2024-01-25,5139831031
2024-01-26,5165724386
2024-01-29,5178671064
2024-01-30,5109622116
2024-01-31,5001733135
2024-02-01,5088044320
2024-02-02,5010364254
2024-02-05,4833426326
2024-02-06,4695328431
2024-02-07,4725537345
2024-02-08,4764377378
2024-02-09,4785955174
2024-02-12,4837741885
2024-02-13,4695328431
2024-02-14,4738484023
2024-02-15,4682381753
2024-02-16,4609017246
2024-02-20,4578808332
2024-02-21,4539968299
2024-02-22,4609017246
2024-02-23,4591755010
2024-02-26,4561546095
2024-02-27,4552914977
2024-02-28,4514074944
2024-02-29,4548599417
2024-03-01,4574492773
2024-03-04,4539968299
2024-03-05,4475234911
2024-03-06,4466603792
2024-03-07,4492497148
2024-03-08,4505443825
2024-03-11,4509759384
2024-03-12,4522706062
2024-03-13,4432079318
2024-03-14,4332821456
2024-03-15,4397554845
2024-03-18,4263772509
2024-03-19,4250825831
2024-03-20,4324190338
2024-03-21,4168830206
2024-03-22,4039363429
2024-03-25,4142936851
2024-03-26,4186092443
2024-03-27,4298296983
2024-03-28,4332821456
2024-04-01,4293981423
2024-04-02,4224932476
2024-04-03,4168830206
2024-04-04,4129990173
2024-04-05,4095465699
2024-04-08,4147252410
2024-04-09,4246510272
2024-04-10,4134305732
2024-04-11,4151567969
2024-04-12,4065256785
2024-04-15,4052310107
2024-04-16,3965998923
2024-04-17,3944421127
2024-04-18,3948736686
2024-04-19,3957367804
2024-04-22,3965998923
2024-04-23,4017785633
2024-04-24,4035047870
2024-04-25,3987576719
2024-04-26,4035047870
2024-04-29,4043678989
2024-04-30,3927158890
2024-05-01,3983261160
2024-05-02,4095465699
2024-05-03,4194723561
2024-05-06,4414817082
2024-05-07,4406185963
2024-05-08,4371661489
2024-05-09,4496812707
2024-05-10,4514074944
2024-05-13,4552914977
2024-05-14,4604701687
2024-05-15,4630595043
2024-05-16,4613332806
2024-05-17,4596070569
2024-05-20,4591755010
2024-05-21,4514074944
2024-05-22,4505443825
2024-05-23,4384608167
2024-05-24,4328505897
2024-05-28,4125674614
2024-05-29,4043678989
2024-05-30,4086834581
2024-05-31,4138621291
2024-06-03,4138621291
2024-06-04,4099781259
2024-06-05,4142936851
2024-06-06,4117043495
2024-06-07,4099781259
2024-06-10,4030732311
2024-06-11,4004838956
2024-06-12,4043678989
2024-06-13,3953052245
2024-06-14,3888318857
2024-06-17,3888318857
2024-06-18,3849478824
2024-06-20,3957367804
2024-06-21,3965998923
2024-06-24,3957367804
2024-06-25,3909896653
2024-06-26,3944421127
2024-06-27,3927158890
2024-06-28,3996207837
2024-07-01,3944421127
2024-07-02,3983261160
2024-07-03,3970314482
2024-07-05,3944421127
2024-07-08,3961683363
2024-07-09,3965998923
2024-07-10,3983261160
2024-07-11,4160199088
2024-07-12,4285350305
2024-07-15,4285350305
2024-07-16,4384608167
2024-07-17,4380292608
2024-07-18,4341452575
2024-07-19,4371661489
2024-07-22,4501128266
2024-07-23,4565861654
2024-07-24,4436394878
2024-07-25,4544283858
2024-07-26,4665119516
2024-07-29,4677487000
2024-07-30,4781335000
2024-07-31,4708311437
2024-08-01,4452989401
2024-08-02,5115095697
2024-08-05,5141060650
2024-08-06,5054510807
2024-08-07,5019890870
2024-08-08,5149715634
2024-08-09,5141060650
