,HD
2004-08-25,80190600000
2004-08-26,80124870000
2004-08-27,80168690000
2004-08-30,80037230000
2004-08-31,80102960000
2004-09-01,80804080000
2004-09-02,83104630000
2004-09-03,82118680000
2004-09-07,82469240000
2004-09-08,81658570000
2004-09-09,81088910000
2004-09-10,82250140000
2004-09-13,82009130000
2004-09-14,83564740000
2004-09-15,84112490000
2004-09-16,84791700000
2004-09-17,83937210000
2004-09-20,84265860000
2004-09-21,84988890000
2004-09-22,83805750000
2004-09-23,83608560000
2004-09-24,84200130000
2004-09-27,83937210000
2004-09-28,85076530000
2004-09-29,86281580000
2004-09-30,85887200000
2004-10-01,85996750000
2004-10-04,86851240000
2004-10-05,86610230000
2004-10-06,87004610000
2004-10-07,86084390000
2004-10-08,85492820000
2004-10-11,87793370000
2004-10-12,87311350000
2004-10-13,87179890000
2004-10-14,86128210000
2004-10-15,87223710000
2004-10-18,88034380000
2004-10-19,87070340000
2004-10-20,86500680000
2004-10-21,87048430000
2004-10-22,85821470000
2004-10-25,84725970000
2004-10-26,86916970000
2004-10-27,89370890000
2004-10-28,90181560000
2004-10-29,90006280000
2004-11-01,89924120000
2004-11-02,90055460000
2004-11-03,90208690000
2004-11-04,91806660000
2004-11-05,92572810000
2004-11-08,92923050000
2004-11-09,92069340000
2004-11-10,91959890000
2004-11-11,93623530000
2004-11-12,94608580000
2004-11-15,95856310000
2004-11-16,94127000000
2004-11-17,92550920000
2004-11-18,93711090000
2004-11-19,93470300000
2004-11-22,94630470000
2004-11-23,95287170000
2004-11-24,95068270000
2004-11-26,94936930000
2004-11-29,94192670000
2004-11-30,91390750000
2004-12-01,92550920000
2004-12-02,92266350000
2004-12-03,91478310000
2004-12-06,91938000000
2004-12-07,91434530000
2004-12-08,93163840000
2004-12-09,93886210000
2004-12-10,93338960000
2004-12-13,93601640000
2004-12-14,93360850000
2004-12-15,93010610000
2004-12-16,93229510000
2004-12-17,91959890000
2004-12-20,91346970000
2004-12-21,92178790000
2004-12-22,93076280000
2004-12-23,93076280000
2004-12-27,92441470000
2004-12-28,93776760000
2004-12-29,93689200000
2004-12-30,93951880000
2004-12-31,93557860000
2005-01-03,94345900000
2005-01-04,93141950000
2005-01-05,92288240000
2005-01-06,90909170000
2005-01-07,90668380000
2005-01-10,91500200000
2005-01-11,91303190000
2005-01-12,92375800000
2005-01-13,91346970000
2005-01-14,91719100000
2005-01-18,92288240000
2005-01-19,91500200000
2005-01-20,90077350000
2005-01-21,89530100000
2005-01-24,88413710000
2005-01-25,88807730000
2005-01-26,89157970000
2005-01-27,89004740000
2005-01-28,88457490000
2005-01-31,89204120000
2005-02-01,88944680000
2005-02-02,89290600000
2005-02-03,89874340000
2005-02-04,91712040000
2005-02-07,91928240000
2005-02-08,90912100000
2005-02-09,90501320000
2005-02-10,91603940000
2005-02-11,92555220000
2005-02-14,92144440000
2005-02-15,92382260000
2005-02-16,91603940000
2005-02-17,90393220000
2005-02-18,90847240000
2005-02-22,87085360000
2005-02-23,85939500000
2005-02-24,85658440000
2005-02-25,87733960000
2005-02-28,86523240000
2005-03-01,86588100000
2005-03-02,86436760000
2005-03-03,85874640000
2005-03-04,86674580000
2005-03-07,86220560000
2005-03-08,86415140000
2005-03-09,85377380000
2005-03-10,86242180000
2005-03-11,85226040000
2005-03-14,85334140000
2005-03-15,85961120000
2005-03-16,84058560000
2005-03-17,84123420000
2005-03-18,84058560000
2005-03-21,82134380000
2005-03-22,81766840000
2005-03-23,81507400000
2005-03-24,82220860000
2005-03-28,83431580000
2005-03-29,81485780000
2005-03-30,82480300000
2005-03-31,82674880000
2005-04-01,81291200000
2005-04-04,81961420000
2005-04-05,82653260000
2005-04-06,81701980000
2005-04-07,80858800000
2005-04-08,81031760000
2005-04-11,81593880000
2005-04-12,83345100000
2005-04-13,81939800000
2005-04-14,80318300000
2005-04-15,78069820000
2005-04-18,79410260000
2005-04-19,78826520000
2005-04-20,76967200000
2005-04-21,79280540000
2005-04-22,77875240000
2005-04-25,78264400000
2005-04-26,78264400000
2005-04-27,77896860000
2005-04-28,75864580000
2005-04-29,76469940000
2005-05-02,77596400000
2005-05-03,78645000000
2005-05-04,79394000000
2005-05-05,78859000000
2005-05-06,79522400000
2005-05-09,79715000000
2005-05-10,78024400000
2005-05-11,78152800000
2005-05-12,77532200000
2005-05-13,77660600000
2005-05-16,79971800000
2005-05-17,83160400000
2005-05-18,85172000000
2005-05-19,85899600000
2005-05-20,84808200000
2005-05-23,85514400000
2005-05-24,85279000000
2005-05-25,84251800000
2005-05-26,85428800000
2005-05-27,85535800000
2005-05-31,84209000000
2005-06-01,85471600000
2005-06-02,86327600000
2005-06-03,85000800000
2005-06-06,85493000000
2005-06-07,85600000000
2005-06-08,84893800000
2005-06-09,84744000000
2005-06-10,84530000000
2005-06-13,85086400000
2005-06-14,85664200000
2005-06-15,85664200000
2005-06-16,86028000000
2005-06-17,86028000000
2005-06-20,85493000000
2005-06-21,84915200000
2005-06-22,84958000000
2005-06-23,83759600000
2005-06-24,81833600000
2005-06-27,82325800000
2005-06-28,84123400000
2005-06-29,83032000000
2005-06-30,83246000000
2005-07-01,84508600000
2005-07-05,85771200000
2005-07-06,84037800000
2005-07-07,84230400000
2005-07-08,85771200000
2005-07-11,86242000000
2005-07-12,88382000000
2005-07-13,87697200000
2005-07-14,87825600000
2005-07-15,89045400000
2005-07-18,90843000000
2005-07-19,92448000000
2005-07-20,94053000000
2005-07-21,92769000000
2005-07-22,93025800000
2005-07-25,92148400000
2005-07-26,93496600000
2005-07-27,92769000000
2005-07-28,93881800000
2005-07-29,93111400000
2005-08-01,91291800000
2005-08-02,90333300000
2005-08-03,89949900000
2005-08-04,87926400000
2005-08-05,87223500000
2005-08-08,86456700000
2005-08-09,88096800000
2005-08-10,88735800000
2005-08-11,88395000000
2005-08-12,87926400000
2005-08-15,88629300000
2005-08-16,86627100000
2005-08-17,86520600000
2005-08-18,86691000000
2005-08-19,85988100000
2005-08-22,86328900000
2005-08-23,86563200000
2005-08-24,84987000000
2005-08-25,85583400000
2005-08-26,84795300000
2005-08-29,86350200000
2005-08-30,84667500000
2005-08-31,85881600000
2005-09-01,86499300000
2005-09-02,85902900000
2005-09-06,88842300000
2005-09-07,89310900000
2005-09-08,87713400000
2005-09-09,87798600000
2005-09-12,88032900000
2005-09-13,86478000000
2005-09-14,85924200000
2005-09-15,85924200000
2005-09-16,84987000000
2005-09-19,84198900000
2005-09-20,82452300000
2005-09-21,81685500000
2005-09-22,82537500000
2005-09-23,82068900000
2005-09-26,81813300000
2005-09-27,81770700000
2005-09-28,80620500000
2005-09-29,81067800000
2005-09-30,81238200000
2005-10-03,81195600000
2005-10-04,81451200000
2005-10-05,80258400000
2005-10-06,80769600000
2005-10-07,80514000000
2005-10-10,80982600000
2005-10-11,81429900000
2005-10-12,81195600000
2005-10-13,80833500000
2005-10-14,81813300000
2005-10-17,81919800000
2005-10-18,81280800000
2005-10-19,83623800000
2005-10-20,84284100000
2005-10-21,84454500000
2005-10-24,86605800000
2005-10-25,85455600000
2005-10-26,85753800000
2005-10-27,83900700000
2005-10-28,86307600000
2005-10-31,86881680000
2005-11-01,86754660000
2005-11-02,87347420000
2005-11-03,86352430000
2005-11-04,87559120000
2005-11-07,87855500000
2005-11-08,85886690000
2005-11-09,86394770000
2005-11-10,88363580000
2005-11-11,88723470000
2005-11-14,90120690000
2005-11-15,89760800000
2005-11-16,89400910000
2005-11-17,89993670000
2005-11-18,89845480000
2005-11-21,89506760000
2005-11-22,89718460000
2005-11-23,89972500000
2005-11-25,89803140000
2005-11-28,88173050000
2005-11-29,88914000000
2005-11-30,88448260000
2005-12-01,87940180000
2005-12-02,88215390000
2005-12-05,87622630000
2005-12-06,87664970000
2005-12-07,87897840000
2005-12-08,87262740000
2005-12-09,86839340000
2005-12-12,87474440000
2005-12-13,89485590000
2005-12-14,89930160000
2005-12-15,90141860000
2005-12-16,89972500000
2005-12-19,88532940000
2005-12-20,87749650000
2005-12-21,87961350000
2005-12-22,87707310000
2005-12-23,88046030000
2005-12-27,86839340000
2005-12-28,86987530000
2005-12-29,86246580000
2005-12-30,85696160000
2006-01-03,87305080000
2006-01-04,85696160000
2006-01-05,84849360000
2006-01-06,85484460000
2006-01-09,86415940000
2006-01-10,88490600000
2006-01-11,90925150000
2006-01-12,90078350000
2006-01-13,88723470000
2006-01-17,88003690000
2006-01-18,88702300000
2006-01-19,87389760000
2006-01-20,85039890000
2006-01-23,84023730000
2006-01-24,85632650000
2006-01-25,84637660000
2006-01-26,85526800000
2006-01-27,84680000000
2006-01-30,84560000000
2006-01-31,85722700000
2006-02-01,85046220000
2006-02-02,84475440000
2006-02-03,84179480000
2006-02-06,83481860000
2006-02-07,81875220000
2006-02-08,83016780000
2006-02-09,82551700000
2006-02-10,82911080000
2006-02-13,83925800000
2006-02-14,86948820000
2006-02-15,87794420000
2006-02-16,88492040000
2006-02-17,88492040000
2006-02-21,88513180000
2006-02-22,88534320000
2006-02-23,87900120000
2006-02-24,88005820000
2006-02-27,89739300000
2006-02-28,89105100000
2006-03-01,90035260000
2006-03-02,89401060000
2006-03-03,89210800000
2006-03-06,88365200000
2006-03-07,87456180000
2006-03-08,87012240000
2006-03-09,85912960000
2006-03-10,87202500000
2006-03-13,87202500000
2006-03-14,89083960000
2006-03-15,89337640000
2006-03-16,90373500000
2006-03-17,90690600000
2006-03-20,90584900000
2006-03-21,90902000000
2006-03-22,91684180000
2006-03-23,92614340000
2006-03-24,91155680000
2006-03-27,90880860000
2006-03-28,90880860000
2006-03-29,90711740000
2006-03-30,89591320000
2006-03-31,89422200000
2006-04-03,89591320000
2006-04-04,89950700000
2006-04-05,90162100000
2006-04-06,89083960000
2006-04-07,88999400000
2006-04-10,88365200000
2006-04-11,87583020000
2006-04-12,86652860000
2006-04-13,86927680000
2006-04-17,85363320000
2006-04-18,87350480000
2006-04-19,86124360000
2006-04-20,86272340000
2006-04-21,85151920000
2006-04-24,84729120000
2006-04-25,84475440000
2006-04-26,84707980000
2006-04-27,85025080000
2006-04-28,84412020000
2006-05-01,83715100000
2006-05-02,83013000000
2006-05-03,83364050000
2006-05-04,83136900000
2006-05-05,85263850000
2006-05-08,84685650000
2006-05-09,85408400000
2006-05-10,85098650000
2006-05-11,84086800000
2006-05-12,82600000000
2006-05-15,83632500000
2006-05-16,79399250000
2006-05-17,78490650000
2006-05-18,79316650000
2006-05-19,80411100000
2006-05-22,79481850000
2006-05-23,78139600000
2006-05-24,78490650000
2006-05-25,79296000000
2006-05-26,79853550000
2006-05-30,77850500000
2006-05-31,78717800000
2006-06-01,79605750000
2006-06-02,78470000000
2006-06-05,77354900000
2006-06-06,76528900000
2006-06-07,75806150000
2006-06-08,76921250000
2006-06-09,76301750000
2006-06-12,74876900000
2006-06-13,74938850000
2006-06-14,75888750000
2006-06-15,77169050000
2006-06-16,76219150000
2006-06-19,76115900000
2006-06-20,75207300000
2006-06-21,75702900000
2006-06-22,75331200000
2006-06-23,75186650000
2006-06-26,75661600000
2006-06-27,75104050000
2006-06-28,74670400000
2006-06-29,75289900000
2006-06-30,73906350000
2006-07-03,73865050000
2006-07-05,73369450000
2006-07-06,73245550000
2006-07-07,73039050000
2006-07-10,72275000000
2006-07-11,70994700000
2006-07-12,69404650000
2006-07-13,70354550000
2006-07-14,69879600000
2006-07-17,69384000000
2006-07-18,68413450000
2006-07-19,70932750000
2006-07-20,70168700000
2006-07-21,69900250000
2006-07-24,71469650000
2006-07-25,72770600000
2006-07-26,71655500000
2006-07-27,70251300000
2006-07-28,71428350000
2006-07-31,70912530000
2006-08-01,69748020000
2006-08-02,69686730000
2006-08-03,70626510000
2006-08-04,70912530000
2006-08-07,70871670000
2006-08-08,70136190000
2006-08-09,68236200000
2006-08-10,68665230000
2006-08-11,67970610000
2006-08-14,67950179999
2006-08-15,70360920000
2006-08-16,70483500000
2006-08-17,70932960000
2006-08-18,71035110000
2006-08-21,70074900000
2006-08-22,69584580000
2006-08-23,68746950000
2006-08-24,68256629999
2006-08-25,68399639999
2006-08-28,68828670000
2006-08-29,69645870000
2006-08-30,69707160000
2006-08-31,70054470000
2006-09-01,70769520000
2006-09-05,71035110000
2006-09-06,69809310000
2006-09-07,70156620000
2006-09-08,70034040000
2006-09-11,71627580000
2006-09-12,74896380000
2006-09-13,75938310000
2006-09-14,76040460000
2006-09-15,76040460000
2006-09-18,74732940000
2006-09-19,74120040000
2006-09-20,74324340000
2006-09-21,73241550000
2006-09-22,73466280000
2006-09-25,74732940000
2006-09-26,74814660000
2006-09-27,74487780000
2006-09-28,74978100000
2006-09-29,74099610000
2006-10-02,74242620000
2006-10-03,75243690000
2006-10-04,76592070000
2006-10-05,76122180000
2006-10-06,75877020000
2006-10-09,77021100000
2006-10-10,77143680000
2006-10-11,77470560000
2006-10-12,77429700000
2006-10-13,75386700000
2006-10-16,74263050000
2006-10-17,73057680000
2006-10-18,73323270000
2006-10-19,73364130000
2006-10-20,73527570000
2006-10-23,74038320000
2006-10-24,74569500000
2006-10-25,74773800000
2006-10-26,76367340000
2006-10-27,75734010000
2006-10-30,74276500000
2006-10-31,74436020000
2006-11-01,74475900000
2006-11-02,74176800000
2006-11-03,74176800000
2006-11-06,74216680000
2006-11-07,74236620000
2006-11-08,74276500000
2006-11-09,73478900000
2006-11-10,73060160000
2006-11-13,72581600000
2006-11-14,75692240000
2006-11-15,75014280000
2006-11-16,75393140000
2006-11-17,76330320000
2006-11-20,76589540000
2006-11-21,75612480000
2006-11-22,75971400000
2006-11-24,75213680000
2006-11-27,74954460000
2006-11-28,73917580000
2006-11-29,75014280000
2006-11-30,75712180000
2006-12-01,77706180000
2006-12-04,78164800000
2006-12-05,78503780000
2006-12-06,79600480000
2006-12-07,77626420000
2006-12-08,77367200000
2006-12-11,77347260000
2006-12-12,77167800000
2006-12-13,77985340000
2006-12-14,79700180000
2006-12-15,79540660000
2006-12-18,79680240000
2006-12-19,79042160000
2006-12-20,78025220000
2006-12-21,77586540000
2006-12-22,77546660000
2006-12-26,77885640000
2006-12-27,78882640000
2006-12-28,79221620000
2006-12-29,80079040000
2007-01-03,81893580000
2007-01-04,80896580000
2007-01-05,79341260000
2007-01-08,78743060000
2007-01-09,78404080000
2007-01-10,79321320000
2007-01-11,79919520000
2007-01-12,79979340000
2007-01-16,80338260000
2007-01-17,80338260000
2007-01-18,81494780000
2007-01-19,80856700000
2007-01-22,79859700000
2007-01-23,80617420000
2007-01-24,81135860000
2007-01-25,79939460000
2007-01-26,79640360000
2007-01-29,78183690000
2007-01-30,78693030000
2007-01-31,79809660000
2007-02-01,80475720000
2007-02-02,79985970000
2007-02-05,80377770000
2007-02-06,80847930000
2007-02-07,81024240000
2007-02-08,80495310000
2007-02-09,80319000000
2007-02-12,81180960000
2007-02-13,81807840000
2007-02-14,81749070000
2007-02-15,81611940000
2007-02-16,81180960000
2007-02-20,80985060000
2007-02-21,80906700000
2007-02-22,80671620000
2007-02-23,80240640000
2007-02-26,79907610000
2007-02-27,78007380000
2007-02-28,77556810000
2007-03-01,77282550000
2007-03-02,76420590000
2007-03-05,75754530000
2007-03-06,76009200000
2007-03-07,75832890000
2007-03-08,76009200000
2007-03-09,75754530000
2007-03-12,74775030000
2007-03-13,73168650000
2007-03-14,73580040000
2007-03-15,73442910000
2007-03-16,73482090000
2007-03-19,73893480000
2007-03-20,74304870000
2007-03-21,75891660000
2007-03-22,75088470000
2007-03-23,74872980000
2007-03-26,74265690000
2007-03-27,73149060000
2007-03-28,72032430000
2007-03-29,72130380000
2007-03-30,71973660000
2007-04-02,72071610000
2007-04-03,73717170000
2007-04-04,74657490000
2007-04-05,74481180000
2007-04-09,74598720000
2007-04-10,74892570000
2007-04-11,74383230000
2007-04-12,74481180000
2007-04-13,74226510000
2007-04-16,75539040000
2007-04-17,77262960000
2007-04-18,76479360000
2007-04-19,76224690000
2007-04-20,76812390000
2007-04-23,76812390000
2007-04-24,77008290000
2007-04-25,77380500000
2007-04-26,76381410000
2007-04-27,75362730000
2007-04-30,74225200000
2007-05-01,75322800000
2007-05-02,75950000000
2007-05-03,76557600000
2007-05-04,76244000000
2007-05-07,76126400000
2007-05-08,75714800000
2007-05-09,76792800000
2007-05-10,76028400000
2007-05-11,76165600000
2007-05-14,76459600000
2007-05-15,75068000000
2007-05-16,75205200000
2007-05-17,75068000000
2007-05-18,76204800000
2007-05-21,75714800000
2007-05-22,75518800000
2007-05-23,76008800000
2007-05-24,76342000000
2007-05-25,75224800000
2007-05-29,75754000000
2007-05-30,75852000000
2007-05-31,76185200000
2007-06-01,76851600000
2007-06-04,78008000000
2007-06-05,76165600000
2007-06-06,75068000000
2007-06-07,73813600000
2007-06-08,74382000000
2007-06-11,73911600000
2007-06-12,73225600000
2007-06-13,73950800000
2007-06-14,74068400000
2007-06-15,74382000000
2007-06-18,74401600000
2007-06-19,75009200000
2007-06-20,78458800000
2007-06-21,78302000000
2007-06-22,77145600000
2007-06-25,76792800000
2007-06-26,76734000000
2007-06-27,77929600000
2007-06-28,77459200000
2007-06-29,77126000000
2007-07-02,77165200000
2007-07-03,76832000000
2007-07-05,78066800000
2007-07-06,78988000000
2007-07-09,78850800000
2007-07-10,78890000000
2007-07-11,79340800000
2007-07-12,80242400000
2007-07-13,80105200000
2007-07-16,79536800000
2007-07-17,78694000000
2007-07-18,78478400000
2007-07-19,77812000000
2007-07-20,77204400000
2007-07-23,76361600000
2007-07-24,74382000000
2007-07-25,74558400000
2007-07-26,73108000000
2007-07-27,72030000000
2007-07-30,68436100000
2007-07-31,67277700000
2007-08-01,68363700000
2007-08-02,68454200000
2007-08-03,65503899999
2007-08-06,66770900000
2007-08-07,65884000000
2007-08-08,68417999999
2007-08-09,64779900000
2007-08-10,65015200000
2007-08-13,63784400000
2007-08-14,60671200000
2007-08-15,60381600000
2007-08-16,59404200000
2007-08-17,60291100000
2007-08-20,61159900000
2007-08-21,62082999999
2007-08-22,62933700000
2007-08-23,61576200000
2007-08-24,62770800000
2007-08-27,63802500000
2007-08-28,63440499999
2007-08-29,66155499999
2007-08-30,67042400000
2007-08-31,69341100000
2007-09-04,65811600000
2007-09-05,66083100000
2007-09-06,63748200000
2007-09-07,61920100000
2007-09-10,61196100000
2007-09-11,63114699999
2007-09-12,63512900000
2007-09-13,64454100000
2007-09-14,64580800000
2007-09-17,64037800000
2007-09-18,65811600000
2007-09-19,65485800000
2007-09-20,63929200000
2007-09-21,62390700000
2007-09-24,61322800000
2007-09-25,59874800000
2007-09-26,59711900000
2007-09-27,59295600000
2007-09-28,58716399999
2007-10-01,60019599999
2007-10-02,60381600000
2007-10-03,61304699999
2007-10-04,61069400000
2007-10-05,61938200000
2007-10-08,61413300000
2007-10-09,61177999999
2007-10-10,60906500000
2007-10-11,60508300000
2007-10-12,60526399999
2007-10-15,59748100000
2007-10-16,58843100000
2007-10-17,57521800000
2007-10-18,57340800000
2007-10-19,55675600000
2007-10-22,55892800000
2007-10-23,55965200000
2007-10-24,55892800000
2007-10-25,55567000000
2007-10-26,56743500000
2007-10-29,52312400000
2007-10-30,52412360000
2007-10-31,52495660000
2007-11-01,51129540000
2007-11-02,50646400000
2007-11-05,49646800000
2007-11-06,50079960000
2007-11-07,48880440000
2007-11-08,48463940000
2007-11-09,46731300000
2007-11-12,47414360000
2007-11-13,48513920000
2007-11-14,48363980000
2007-11-15,48280680000
2007-11-16,48430620000
2007-11-19,46964540000
2007-11-20,47481000000
2007-11-21,46731300000
2007-11-23,48230700000
2007-11-26,45798340000
2007-11-27,45231900000
2007-11-28,47097820000
2007-11-29,46448080000
2007-11-30,47580960000
2007-12-03,47464340000
2007-12-04,47964140000
2007-12-05,48264020000
2007-12-06,49130340000
2007-12-07,49130340000
2007-12-10,49296940000
2007-12-11,47314400000
2007-12-12,47464340000
2007-12-13,46048240000
2007-12-14,44365580000
2007-12-17,43216040000
2007-12-18,44099020000
2007-12-19,43715840000
2007-12-20,43765820000
2007-12-21,44415560000
2007-12-24,44998660000
2007-12-26,44965340000
2007-12-27,44598820000
2007-12-28,44448880000
2007-12-31,44882040000
2008-01-02,43499260000
2008-01-03,43016120000
2008-01-04,41583360000
2008-01-07,42266420000
2008-01-08,41216840000
2008-01-09,41200180000
2008-01-10,42116480000
2008-01-11,41166860000
2008-01-14,42299740000
2008-01-15,42266420000
2008-01-16,43882440000
2008-01-17,43732500000
2008-01-18,43782480000
2008-01-22,46981200000
2008-01-23,49896700000
2008-01-24,49246960000
2008-01-25,47530980000
2008-01-28,48547240000
2008-01-29,49496860000
2008-01-30,48947080000
2008-01-31,51046240000
2008-02-01,50729700000
2008-02-04,49278650000
2008-02-05,46995210000
2008-02-06,46424350000
2008-02-07,47683600000
2008-02-08,46961630000
2008-02-11,48170510000
2008-02-12,47650020000
2008-02-13,47582860000
2008-02-14,46189290000
2008-02-15,46206080000
2008-02-19,45853490000
2008-02-20,46541880000
2008-02-21,45987810000
2008-02-22,46625830000
2008-02-25,48388780000
2008-02-26,48405570000
2008-02-27,48539890000
2008-02-28,46525090000
2008-02-29,44577450000
2008-03-03,45484110000
2008-03-04,45114730000
2008-03-05,44930040000
2008-03-06,43251040000
2008-03-07,43452520000
2008-03-10,41975000000
2008-03-11,43989800000
2008-03-12,43872270000
2008-03-13,44459920000
2008-03-14,43234250000
2008-03-17,43150300000
2008-03-18,45652010000
2008-03-19,45064360000
2008-03-20,47112740000
2008-03-24,49127540000
2008-03-25,48288040000
2008-03-26,47280640000
2008-03-27,46659410000
2008-03-28,45971020000
2008-03-31,46961630000
2008-04-01,49513710000
2008-04-02,48959640000
2008-04-03,49060380000
2008-04-04,48338410000
2008-04-07,47851500000
2008-04-08,47314220000
2008-04-09,46457930000
2008-04-10,47650020000
2008-04-11,47297430000
2008-04-14,46860890000
2008-04-15,46894470000
2008-04-16,47045580000
2008-04-17,47213480000
2008-04-18,48153720000
2008-04-21,48657420000
2008-04-22,47885080000
2008-04-23,47230270000
2008-04-24,48556680000
2008-04-25,50000620000
2008-04-28,49916670000
2008-04-29,49295440000
2008-04-30,48355200000
2008-05-01,50151730000
2008-05-02,50571480000
2008-05-05,49341600000
2008-05-06,49190400000
2008-05-07,47980800000
2008-05-08,46905600000
2008-05-09,47006400000
2008-05-12,48115200000
2008-05-13,48300000000
2008-05-14,48921600000
2008-05-15,49610400000
2008-05-16,48888000000
2008-05-19,48501600000
2008-05-20,45981600000
2008-05-21,45242400000
2008-05-22,45208800000
2008-05-23,44973600000
2008-05-27,45830400000
2008-05-28,46082400000
2008-05-29,46552800000
2008-05-30,45964800000
2008-06-02,45628800000
2008-06-03,45511200000
2008-06-04,45662400000
2008-06-05,46888800000
2008-06-06,45662400000
2008-06-09,44587200000
2008-06-10,44872800000
2008-06-11,43528800000
2008-06-12,44486400000
2008-06-13,46250400000
2008-06-16,46200000000
2008-06-17,45141600000
2008-06-18,44604000000
2008-06-19,45662400000
2008-06-20,44100000000
2008-06-23,42100800000
2008-06-24,42520800000
2008-06-25,42789600000
2008-06-26,41428800000
2008-06-27,40353600000
2008-06-30,39345600000
2008-07-01,38992800000
2008-07-02,37833600000
2008-07-03,37867200000
2008-07-07,37497600000
2008-07-08,38707200000
2008-07-09,37581600000
2008-07-10,36741600000
2008-07-11,36254400000
2008-07-14,36170400000
2008-07-15,36052800000
2008-07-16,38102400000
2008-07-17,39278400000
2008-07-18,39379200000
2008-07-21,38841600000
2008-07-22,40236000000
2008-07-23,42050400000
2008-07-24,40353600000
2008-07-25,39984000000
2008-07-28,38908800000
2008-07-29,40874400000
2008-07-30,39883200000
2008-07-31,40034400000
2008-08-01,40152000000
2008-08-04,40159090000
2008-08-05,41840090000
2008-08-06,41856900000
2008-08-07,41150880000
2008-08-08,44327970000
2008-08-11,46244310000
2008-08-12,46193880000
2008-08-13,44580120000
2008-08-14,45672770000
2008-08-15,46277930000
2008-08-18,45319760000
2008-08-19,43638760000
2008-08-20,43655570000
2008-08-21,44664170000
2008-08-22,45571910000
2008-08-25,44647360000
2008-08-26,45420620000
2008-08-27,45672770000
2008-08-28,46093020000
2008-08-29,45588720000
2008-09-02,47185670000
2008-09-03,49303730000
2008-09-04,48026170000
2008-09-05,48059790000
2008-09-08,50698960000
2008-09-09,49001150000
2008-09-10,48917100000
2008-09-11,49589500000
2008-09-12,48412800000
2008-09-15,47908500000
2008-09-16,46361980000
2008-09-17,43067220000
2008-09-18,45302950000
2008-09-19,46008970000
2008-09-22,43067220000
2008-09-23,42462060000
2008-09-24,42058620000
2008-09-25,43369800000
2008-09-26,44479260000
2008-09-29,42008190000
2008-09-30,43521090000
2008-10-01,43571520000
2008-10-02,41789660000
2008-10-03,40024610000
2008-10-06,38360420000
2008-10-07,36797090000
2008-10-08,35586770000
2008-10-09,33502330000
2008-10-10,33199750000
2008-10-13,36494510000
2008-10-14,35418670000
2008-10-15,33334229999
2008-10-16,33115700000
2008-10-17,33973010000
2008-10-20,34931180000
2008-10-21,34494120000
2008-10-22,32729069999
2008-10-23,32039859999
2008-10-24,31115310000
2008-10-27,31787710000
2008-10-28,36259170000
2008-10-29,36393650000
2008-10-30,38192320000
2008-10-31,39654790000
2008-11-03,37351820000
2008-11-04,39318590000
2008-11-05,37234150000
2008-11-06,35183330000
2008-11-07,35401860000
2008-11-10,34863940000
2008-11-11,34477310000
2008-11-12,33283800000
2008-11-13,37368630000
2008-11-14,34527740000
2008-11-17,33620000000
2008-11-18,34813510000
2008-11-19,33216560000
2008-11-20,31132120000
2008-11-21,32426490000
2008-11-24,36007020000
2008-11-25,37402250000
2008-11-26,39587550000
2008-11-28,38847910000
2008-12-01,35654010000
2008-12-02,36729850000
2008-12-03,38259560000
2008-12-04,39032820000
2008-12-05,41016400000
2008-12-08,40764250000
2008-12-09,38999200000
2008-12-10,40831490000
2008-12-11,38646190000
2008-12-12,39453070000
2008-12-15,39352210000
2008-12-16,40881920000
2008-12-17,41520700000
2008-12-18,41100450000
2008-12-19,40713820000
2008-12-22,39890130000
2008-12-23,39705220000
2008-12-24,39890130000
2008-12-26,39604360000
2008-12-29,39268160000
2008-12-30,38847910000
2008-12-31,38696620000
2009-01-02,40562530000
2009-01-05,41537510000
2009-01-06,42462060000
2009-01-07,41302170000
2009-01-08,40999590000
2009-01-09,40108660000
2009-01-12,38612570000
2009-01-13,37839310000
2009-01-14,36830710000
2009-01-15,38343610000
2009-01-16,38999200000
2009-01-20,36965190000
2009-01-21,37452680000
2009-01-22,36931570000
2009-01-23,36511320000
2009-01-26,38209130000
2009-01-27,37183720000
2009-01-28,38663000000
2009-01-29,36982000000
2009-01-30,36191930000
2009-02-02,36302310000
2009-02-03,36891360000
2009-02-04,36571590000
2009-02-05,37699200000
2009-02-06,39600990000
2009-02-09,38860470000
2009-02-10,37379430000
2009-02-11,37261620000
2009-02-12,36992340000
2009-02-13,35713260000
2009-02-17,33559020000
2009-02-18,33323400000
2009-02-19,33929280000
2009-02-20,32751180000
2009-02-23,31488930000
2009-02-24,34787610000
2009-02-25,34181729999
2009-02-26,34737120000
2009-02-27,35157870000
2009-03-02,33525360000
2009-03-03,31791870000
2009-03-04,31993830000
2009-03-05,30546449999
2009-03-06,30294000000
2009-03-09,30681090000
2009-03-10,32683860000
2009-03-11,33121440000
2009-03-12,34215389999
2009-03-13,34854930000
2009-03-16,33895620000
2009-03-17,36150840000
2009-03-18,38002140000
2009-03-19,37766520000
2009-03-20,37295280000
2009-03-23,39129750000
2009-03-24,38624850000
2009-03-25,39180240000
2009-03-26,40627620000
2009-03-27,39769290000
2009-03-30,39348540000
2009-03-31,39651480000
2009-04-01,40105890000
2009-04-02,41687910000
2009-04-03,42075000000
2009-04-06,41822550000
2009-04-07,41014710000
2009-04-08,42276960000
2009-04-09,43589700000
2009-04-13,43690680000
