,J
2004-09-16,2202731890
2004-09-17,2173347062
2004-09-20,2136050935
2004-09-21,2166565948
2004-09-22,2140571677
2004-09-23,2159784834
2004-09-24,2181258362
2004-09-27,2147352792
2004-09-28,2125879264
2004-09-29,2145092420
2004-09-30,2185787721
2004-10-01,2231443862
2004-10-04,2191494739
2004-10-05,2162959651
2004-10-06,2209757195
2004-10-07,2206332984
2004-10-08,2231443862
2004-10-11,2225736844
2004-10-12,2214322809
2004-10-13,2197201756
2004-10-14,2191494739
2004-10-15,2209757195
2004-10-18,2234868072
2004-10-19,2214322809
2004-10-20,2213181405
2004-10-21,2233726669
2004-10-22,2226878248
2004-10-25,2250847721
2004-10-26,2275958598
2004-10-27,2319331932
2004-10-28,2326180353
2004-10-29,2323897546
2004-11-01,2303352283
2004-11-02,2302210879
2004-11-03,2297645265
2004-11-04,2398088774
2004-11-05,2448310528
2004-11-08,2411785616
2004-11-09,2450593335
2004-11-10,2450593335
2004-11-11,2460865967
2004-11-12,2473421406
2004-11-15,2490542458
2004-11-16,2487118248
2004-11-17,2487118248
2004-11-18,2481411230
2004-11-19,2476845616
2004-11-22,2482552634
2004-11-23,2528208774
2004-11-24,2564733686
2004-11-26,2580713336
2004-11-29,2590985967
2004-11-30,2624086669
2004-12-01,2637783511
2004-12-02,2649197546
2004-12-03,2586420353
2004-12-06,2625228073
2004-12-07,2604682809
2004-12-08,2609248423
2004-12-09,2620662458
2004-12-10,2634359301
2004-12-13,2627510880
2004-12-14,2664035792
2004-12-15,2733661406
2004-12-16,2709691932
2004-12-17,2733661406
2004-12-20,2708550529
2004-12-21,2722247371
2004-12-22,2708550529
2004-12-23,2737085616
2004-12-27,2682298248
2004-12-28,2727954388
2004-12-29,2727954388
2004-12-30,2738227020
2004-12-31,2715040000
2005-01-03,2634384000
2005-01-04,2635520000
2005-01-05,2588944000
2005-01-06,2590080000
2005-01-07,2578720000
2005-01-10,2585536000
2005-01-11,2612800000
2005-01-12,2594624000
2005-01-13,2608256000
2005-01-14,2604848000
2005-01-18,2640064000
2005-01-19,2612800000
2005-01-20,2583264000
2005-01-21,2556000000
2005-01-24,2542368000
2005-01-25,2805920000
2005-01-26,2876352000
2005-01-27,2828640000
2005-01-28,2817280000
2005-01-31,2885440000
2005-02-01,2909296000
2005-02-02,2983136000
2005-02-03,2912704000
2005-02-04,2944512000
2005-02-07,2964960000
2005-02-08,2951328000
2005-02-09,2895664000
2005-02-10,2900208000
2005-02-11,2935424000
2005-02-14,2925200000
2005-02-15,3033120000
2005-02-16,3025168000
2005-02-17,3058112000
2005-02-18,3053568000
2005-02-22,2996768000
2005-02-23,3081968000
2005-02-24,3136496000
2005-02-25,3193296000
2005-02-28,3179664000
2005-03-01,3175120000
2005-03-02,3180800000
2005-03-03,3127408000
2005-03-04,3188752000
2005-03-07,3203520000
2005-03-08,3183072000
2005-03-09,3106960000
2005-03-10,3062656000
2005-03-11,3061520000
2005-03-14,3061520000
2005-03-15,3053568000
2005-03-16,3026304000
2005-03-17,3053568000
2005-03-18,3079696000
2005-03-21,3066064000
2005-03-22,3121728000
2005-03-23,3126272000
2005-03-24,3043344000
2005-03-28,3009264000
2005-03-29,2925200000
2005-03-30,2951328000
2005-03-31,2969580625
2005-04-01,2963861093
2005-04-04,3002753906
2005-04-05,3011905156
2005-04-06,3047366250
2005-04-07,3070244375
2005-04-08,3039358906
2005-04-11,3050797968
2005-04-12,3117144531
2005-04-13,3050797968
2005-04-14,2939839062
2005-04-15,2839175312
2005-04-18,2887219375
2005-04-19,2902090156
2005-04-20,2842607031
2005-04-21,2907809687
2005-04-22,2860909531
2005-04-25,2939839062
2005-04-26,2864341250
2005-04-27,2831167968
2005-04-28,2746518906
2005-04-29,2786555625
2005-05-02,2815153281
2005-05-03,2753382343
2005-05-04,2788843437
2005-05-05,2807145937
2005-05-06,2920392656
2005-05-09,3000466093
2005-05-10,3045078437
2005-05-11,3063380937
2005-05-12,3016480781
2005-05-13,2959285468
2005-05-16,3019912500
2005-05-17,3027919843
2005-05-18,3071388281
2005-05-19,3064524843
2005-05-20,3051941875
2005-05-23,3078251718
2005-05-24,3035927187
2005-05-25,2992458750
2005-05-26,3051941875
2005-05-27,3013049062
2005-05-31,3007329531
2005-06-01,3026775937
2005-06-02,3011905156
2005-06-03,2981019687
2005-06-06,3016480781
2005-06-07,3018768593
2005-06-08,3013049062
2005-06-09,3061093125
2005-06-10,3095410312
2005-06-13,3077107812
2005-06-14,3116000625
2005-06-15,3117144531
2005-06-16,3149173906
2005-06-17,3138878750
2005-06-20,3124007968
2005-06-21,3116000625
2005-06-22,3105705468
2005-06-23,3082827343
2005-06-24,3048510156
2005-06-27,3057661406
2005-06-28,3118288437
2005-06-29,3192642343
2005-06-30,3219201672
2005-07-01,3230645688
2005-07-05,3295876579
2005-07-06,3276421752
2005-07-07,3230645688
2005-07-08,3219201672
2005-07-11,3261544531
2005-07-12,3232934491
2005-07-13,3242089704
2005-07-14,3239800901
2005-07-15,3292443374
2005-07-18,3223779279
2005-07-19,3260400129
2005-07-20,3282143760
2005-07-21,3291298972
2005-07-22,3271844145
2005-07-25,3204324452
2005-07-26,3388573107
2005-07-27,3362251871
2005-07-28,3396583919
2005-07-29,3369118280
2005-08-01,3377129092
2005-08-02,3404594730
2005-08-03,3403450328
2005-08-04,3404594730
2005-08-05,3393150714
2005-08-08,3442359982
2005-08-09,3428627163
2005-08-10,3429771565
2005-08-11,3424049557
2005-08-12,3433204770
2005-08-15,3429771565
2005-08-16,3373695887
2005-08-17,3347374650
2005-08-18,3285576964
2005-08-19,3272988547
2005-08-22,3278710555
2005-08-23,3269555342
2005-08-24,3306176193
2005-08-25,3314187004
2005-08-26,3276421752
2005-08-29,3324486618
2005-08-30,3327919823
2005-08-31,3570532960
2005-09-01,3553366936
2005-09-02,3536200913
2005-09-06,3636908253
2005-09-07,3614020221
2005-09-08,3547644929
2005-09-09,3624319835
2005-09-12,3606009410
2005-09-13,3585410181
2005-09-14,3555655740
2005-09-15,3547644929
2005-09-16,3539634117
2005-09-19,3561377748
2005-09-20,3509879676
2005-09-21,3572821763
2005-09-22,3667807095
2005-09-23,3657507481
2005-09-26,3648352268
2005-09-27,3776525247
2005-09-28,3801702081
2005-09-29,3810857294
2005-09-30,3918763520
2005-10-03,3952485818
2005-10-04,3765268925
2005-10-05,3646659466
2005-10-06,3553632439
2005-10-07,3575726358
2005-10-10,3539678384
2005-10-11,3546655412
2005-10-12,3511770276
2005-10-13,3483862168
2005-10-14,3503630411
2005-10-17,3543166898
2005-10-18,3555958114
2005-10-19,3546655412
2005-10-20,3447814195
2005-10-21,3485025006
2005-10-24,3553632439
2005-10-25,3614100006
2005-10-26,3624565547
2005-10-27,3493164871
2005-10-28,3571075006
2005-10-31,3707127033
2005-11-01,3662939196
2005-11-02,3721081088
2005-11-03,3643170952
2005-11-04,3657125006
2005-11-07,3753640547
2005-11-08,3651310817
2005-11-09,3657125006
2005-11-10,3605960141
2005-11-11,3604797304
2005-11-14,3593168925
2005-11-15,3554795276
2005-11-16,3561772303
2005-11-17,3759454736
2005-11-18,3732709466
2005-11-21,3743175006
2005-11-22,3817596628
2005-11-23,3792014196
2005-11-25,3808293926
2005-11-28,3742012169
2005-11-29,3769920277
2005-11-30,3778060142
2005-12-01,3840853385
2005-12-02,3823410817
2005-12-05,3767594601
2005-12-06,3750152034
2005-12-07,3740849331
2005-12-08,3805968250
2005-12-09,3801316898
2005-12-12,3840853385
2005-12-13,3865272980
2005-12-14,3896669601
2005-12-15,3889692574
2005-12-16,3878064196
2005-12-19,3815270953
2005-12-20,3840853385
2005-12-21,3898995277
2005-12-22,4007139196
2005-12-23,3997836493
2005-12-27,3944345953
2005-12-28,3986208115
2005-12-29,3981556764
2005-12-30,3946671628
2006-01-03,4041302626
2006-01-04,4057697362
2006-01-05,4056526310
2006-01-06,4151381573
2006-01-09,4194710520
2006-01-10,4241552625
2006-01-11,4252092099
2006-01-12,4214618415
2006-01-13,4240381573
2006-01-17,4204078941
2006-01-18,4171289468
2006-01-19,4239210520
2006-01-20,4152552625
2006-01-23,4195881573
2006-01-24,4520263151
2006-01-25,4578815783
2006-01-26,4582328941
2006-01-27,4698263151
2006-01-30,4846986835
2006-01-31,4882118414
2006-02-01,4855184203
2006-02-02,4757986835
2006-02-03,4797802625
2006-02-06,4813026309
2006-02-07,4837618414
2006-02-08,4859868414
2006-02-09,4877434203
2006-02-10,4837618414
2006-02-13,4739249993
2006-02-14,4822394730
2006-02-15,4781407888
2006-02-16,4831763151
2006-02-17,4866894730
2006-02-21,4892657888
2006-02-22,5090565782
2006-02-23,5092907887
2006-02-24,5091736835
2006-02-27,5084710519
2006-02-28,5020302624
2006-03-01,5090565782
2006-03-02,5020302624
2006-03-03,5013276309
2006-03-06,4954723677
2006-03-07,4622144730
2006-03-08,4637368414
2006-03-09,4656105256
2006-03-10,4787263151
2006-03-13,4762671046
2006-03-14,4887973677
2006-03-15,4950039467
2006-03-16,4992197361
2006-03-17,5019131572
2006-03-20,4988684203
2006-03-21,4823565782
2006-03-22,4873921046
2006-03-23,4964092098
2006-03-24,5074171045
2006-03-27,5017960519
2006-03-28,5078855256
2006-03-29,5153802624
2006-03-30,5124526308
2006-03-31,5048068584
2006-04-03,5102774423
2006-04-04,5070183711
2006-04-05,5173775618
2006-04-06,5263400078
2006-04-07,5233137273
2006-04-10,5159808170
2006-04-11,5011986010
2006-04-12,5025953458
2006-04-13,5058544170
2006-04-17,5038756952
2006-04-18,5234301227
2006-04-19,5357680354
2006-04-20,5328581503
2006-04-21,5407730376
2006-04-24,5392598974
2006-04-25,4856016171
2006-04-26,4853688263
2006-04-27,4773375436
2006-04-28,4812949872
2006-05-01,4923525504
2006-05-02,4991034837
2006-05-03,4960772033
2006-05-04,4958444125
2006-05-05,5058544170
2006-05-08,5171447710
2006-05-09,5231973319
2006-05-10,5142348860
2006-05-11,5149332584
2006-05-12,5028281366
2006-05-15,4935165044
2006-05-16,4818769642
2006-05-17,4627881183
2006-05-18,4559207896
2006-05-19,4538256723
2006-05-22,4459107850
2006-05-23,4485878793
2006-05-24,4353188034
2006-05-25,4462599712
2006-05-26,4567355574
2006-05-30,4481222977
2006-05-31,4540584632
2006-06-01,4565027666
2006-06-02,4665127712
2006-06-05,4469583436
2006-06-06,4427681092
2006-06-07,4379958977
2006-06-08,4393926425
2006-06-09,4347368264
2006-06-12,4203037966
2006-06-13,4008657644
2006-06-14,4186742609
2006-06-15,4424189230
2006-06-16,4374139207
2006-06-19,4239120540
2006-06-20,4230972862
2006-06-21,4372975253
2006-06-22,4347368264
2006-06-23,4469583436
2006-06-26,4426517138
2006-06-27,4407893873
2006-06-28,4399746195
2006-06-29,4636028861
2006-06-30,4628306832
2006-07-03,4649228360
2006-07-05,4598086848
2006-07-06,4629469139
2006-07-07,4415604634
2006-07-10,4420253863
2006-07-11,4507426895
2006-07-12,4452798461
2006-07-13,4372599272
2006-07-14,4286588547
2006-07-17,4177331681
2006-07-18,4241258571
2006-07-19,4327269296
2006-07-20,4170357838
2006-07-21,4062263279
2006-07-24,4166870917
2006-07-25,4548107643
2006-07-26,4593437619
2006-07-27,4698045257
2006-07-28,4745699848
2006-07-31,4822412116
2006-08-01,4735239084
2006-08-02,4853794407
2006-08-03,4903773612
2006-08-04,4900286691
2006-08-07,4902611305
2006-08-08,4770108297
2006-08-09,4787542903
2006-08-10,4870066707
2006-08-11,4832872880
2006-08-14,4787542903
2006-08-15,4911909762
2006-08-16,5067658912
2006-08-17,4957239738
2006-08-18,5022328935
2006-08-21,4965375888
2006-08-22,4939805132
2006-08-23,4881689778
2006-08-24,4903773612
2006-08-25,4911909762
2006-08-28,4971187423
2006-08-29,5031627392
2006-08-30,5015355093
2006-08-31,5060685069
2006-09-01,5073470447
2006-09-05,5067658912
2006-09-06,4936318211
2006-09-07,4830548266
2006-09-08,4843333644
2006-09-11,4820087502
2006-09-12,4817762888
2006-09-13,4822412116
2006-09-14,4779406754
2006-09-15,4648066052
2006-09-18,4589950698
2006-09-19,4492316902
2006-09-20,4390033878
2006-09-21,4257530870
2006-09-22,4191279366
2006-09-25,4233122421
2006-09-26,4301698540
2006-09-27,4324944681
2006-09-28,4412117713
2006-09-29,4343541595
2006-10-02,4397904713
2006-10-03,4269490137
2006-10-04,4382589213
2006-10-05,4435604405
2006-10-06,4401439059
2006-10-09,4473304097
2006-10-10,4456810482
2006-10-11,4446207444
2006-10-12,4532209866
2006-10-13,4499222636
2006-10-16,4606431135
2006-10-17,4566375212
2006-10-18,4523963059
2006-10-19,4559306520
2006-10-20,4397904713
2006-10-23,4443851213
2006-10-24,4487441482
2006-10-25,4493332059
2006-10-26,4515716251
2006-10-27,4449741790
2006-10-30,4404973405
2006-10-31,4449741790
2006-11-01,4417932675
2006-11-02,4470947867
2006-11-03,4641774597
2006-11-06,4711283404
2006-11-07,4690077327
2006-11-08,4734845712
2006-11-09,4712461520
2006-11-10,4732489481
2006-11-13,4700680366
2006-11-14,4778435981
2006-11-15,4784326558
2006-11-16,4771367289
2006-11-17,4760764250
2006-11-20,4785504673
2006-11-21,4865616519
2006-11-22,4924522288
2006-11-24,4889178827
2006-11-27,4829094942
2006-11-28,4783148442
2006-11-29,4909206788
2006-11-30,4941015903
2006-12-01,4933947211
2006-12-04,4946906480
2006-12-05,4990496749
2006-12-06,4976359365
2006-12-07,4995209211
2006-12-08,4913919249
2006-12-11,4922166057
2006-12-12,4904494326
2006-12-13,4915097365
2006-12-14,4974003134
2006-12-15,4917453596
2006-12-18,4896247519
2006-12-19,4961043865
2006-12-20,4956331403
2006-12-21,4875041442
2006-12-22,4806710750
2006-12-26,4805532635
2006-12-27,4866794634
2006-12-28,4842054211
2006-12-29,4803176404
2007-01-03,4747099127
2007-01-04,4662182075
2007-01-05,4590238460
2007-01-08,4571368004
2007-01-09,4554856355
2007-01-10,4649208636
2007-01-11,4714075829
2007-01-12,4767148987
2007-01-16,4749457934
2007-01-17,4801351689
2007-01-18,4728228671
2007-01-19,4800172285
2007-01-22,4744740320
2007-01-23,5179940215
2007-01-24,5227116356
2007-01-25,5175222601
2007-01-26,5203528286
2007-01-29,5322648040
2007-01-30,5312033409
2007-01-31,5340339093
2007-02-01,5498379163
2007-02-02,5507814391
2007-02-05,5484226321
2007-02-06,5533761268
2007-02-07,5418179724
2007-02-08,5426435549
2007-02-09,5325006847
2007-02-12,5345056707
2007-02-13,5408744496
2007-02-14,5453561830
2007-02-15,5483046917
2007-02-16,5470073479
2007-02-20,5512532005
2007-02-21,5553811128
2007-02-22,5526684847
2007-02-23,5491302742
2007-02-26,5466535268
2007-02-27,5321468637
2007-02-28,5325006847
2007-03-01,5413462110
2007-03-02,5236551584
2007-03-05,5161069759
2007-03-06,5188196040
2007-03-07,5276651303
2007-03-08,5356850742
2007-03-09,5356850742
2007-03-12,5340339093
2007-03-13,5196451865
2007-03-14,5202348882
2007-03-15,5268395479
2007-03-16,5227116356
2007-03-19,5300239373
2007-03-20,5354491935
2007-03-21,5492482146
2007-03-22,5576219795
2007-03-23,5584475619
2007-03-26,5556169935
2007-03-27,5534940672
2007-03-28,5504276181
2007-03-29,5510173198
2007-03-30,5501917374
2007-04-02,5542178587
2007-04-03,5637099222
2007-04-04,5656083349
2007-04-05,5654896842
2007-04-09,5728460334
2007-04-10,5824567477
2007-04-11,5841178588
2007-04-12,5885079382
2007-04-13,5868468271
2007-04-16,5917115096
2007-04-17,5940845255
2007-04-18,5968134938
2007-04-19,5961015890
2007-04-20,5984746049
2007-04-23,6074920652
2007-04-24,6042884938
2007-04-25,6176960335
2007-04-26,6185265891
2007-04-27,6109329383
2007-04-30,5983559541
2007-05-01,5983559541
2007-05-02,6131873033
2007-05-03,6200690494
2007-05-04,6213742081
2007-05-07,6333579383
2007-05-08,6346630971
2007-05-09,6496130971
2007-05-10,6405956368
2007-05-11,6377480177
2007-05-14,6340698431
2007-05-15,6331206367
2007-05-16,6407142876
2007-05-17,6493757955
2007-05-18,6537658749
2007-05-21,6551896844
2007-05-22,6615968273
2007-05-23,6678853194
2007-05-24,6489011923
2007-05-25,6540031765
2007-05-29,6677666686
2007-05-30,6831912718
2007-05-31,6875813512
2007-06-01,6995650814
2007-06-04,7056162719
2007-06-05,7017007957
2007-06-06,6879373036
2007-06-07,6481892876
2007-06-08,6638511924
2007-06-11,6707329384
2007-06-12,6575627003
2007-06-13,6740551607
2007-06-14,6993277798
2007-06-15,7062095258
2007-06-18,6990904782
2007-06-19,6918527798
2007-06-20,6823607162
2007-06-21,6850896845
2007-06-22,6728686527
2007-06-25,6798690496
2007-06-26,6703769861
2007-06-27,6811742083
2007-06-28,6757162718
2007-06-29,6823607162
2007-07-02,7034851954
2007-07-03,7134543385
2007-07-05,7109320252
2007-07-06,7157364315
2007-07-09,7342333958
2007-07-10,7313507520
2007-07-11,7448030897
2007-07-12,7664229181
2007-07-13,7756714003
2007-07-16,7676240197
2007-07-17,7873220856
2007-07-18,7936879240
2007-07-19,7922466021
2007-07-20,7909253904
2007-07-23,7890036279
2007-07-24,7804758066
2007-07-25,7512890382
2007-07-26,7308703114
2007-07-27,7153761010
2007-07-30,7413198951
2007-07-31,7402389037
2007-08-01,7342333958
2007-08-02,7569342157
2007-08-03,7323116333
2007-08-06,7409595647
2007-08-07,7699061127
2007-08-08,7916460513
2007-08-09,8267182175
2007-08-10,8196317181
2007-08-13,8171094048
2007-08-14,7908052802
2007-08-15,7443226491
2007-08-16,7237838121
2007-08-17,7231832613
2007-08-20,7313507520
2007-08-21,7438422084
2007-08-22,7708669940
2007-08-23,7587358680
2007-08-24,7783138238
2007-08-27,7753110698
2007-08-28,7484063944
2007-08-29,7744702987
2007-08-30,7833584504
2007-08-31,7938080342
2007-09-04,8169892947
2007-09-05,8111038969
2007-09-06,8222741416
2007-09-07,7934477037
2007-09-10,7870818653
2007-09-11,8133859899
2007-09-12,8332041660
2007-09-13,8506201389
2007-09-14,8527821218
2007-09-17,8392096739
2007-09-18,8961418888
2007-09-19,9133176414
2007-09-20,9068316929
2007-09-21,9267699791
2007-09-24,9260493181
2007-09-25,9008261850
2007-09-26,9169209461
2007-09-27,9222057931
2007-09-28,9077925741
2007-10-01,9483107955
2007-10-02,9630662956
2007-10-03,9433922955
2007-10-04,9471111614
2007-10-05,9906578810
2007-10-08,9882586127
2007-10-09,10146505640
2007-10-10,10204088079
2007-10-11,10000150274
2007-10-12,10222082592
2007-10-15,10302458080
2007-10-16,10141707104
2007-10-17,10183694299
2007-10-18,10454811617
2007-10-19,9837000030
2007-10-22,9543089663
2007-10-23,9799811371
2007-10-24,10002549542
2007-10-25,10030141128
2007-10-26,10337247470
2007-10-29,10563978324
2007-10-30,10405626617
2007-10-31,10454811617
2007-11-01,10128511128
2007-11-02,10052934177
2007-11-05,10074527591
2007-11-06,10598767715
2007-11-07,10295260275
2007-11-08,10460809788
2007-11-09,9995351737
2007-11-12,9258776369
2007-11-13,9754225273
2007-11-14,9844197834
2007-11-15,9395534662
2007-11-16,9345150028
2007-11-19,9144811125
2007-11-20,9336752589
2007-11-21,9051239661
2007-11-23,9310360638
2007-11-26,9187997954
2007-11-27,9223986979
2007-11-28,9789014664
2007-11-29,9786615395
2007-11-30,10049335274
2007-12-03,10414024056
2007-12-04,10369637592
2007-12-05,10839894179
2007-12-06,11289756985
2007-12-07,11286158083
2007-12-10,11486496986
2007-12-11,10989848448
2007-12-12,11394125156
2007-12-13,11616057474
2007-12-14,11433713083
2007-12-17,10813502228
2007-12-18,11021038936
2007-12-19,11361735034
2007-12-20,11450507961
2007-12-21,11556075766
2007-12-24,11685636255
2007-12-26,11726423816
2007-12-27,11840389060
2007-12-28,11766011743
2007-12-31,11564507550
2008-01-02,11686672100
2008-01-03,12286608900
2008-01-04,11685462550
2008-01-07,11040772400
2008-01-08,10631944500
2008-01-09,10439626050
2008-01-10,10950056150
2008-01-11,10729918050
2008-01-14,10818215200
2008-01-15,9934034150
2008-01-16,9282086700
2008-01-17,8730531900
2008-01-18,8976070550
2008-01-22,9447795050
2008-01-23,9312325450
2008-01-24,9652209000
2008-01-25,9335306900
2008-01-28,9263943450
2008-01-29,9247009750
2008-01-30,8942203150
2008-01-31,9234914250
2008-02-01,9703010100
2008-02-04,9436909100
2008-02-05,8920431250
2008-02-06,8807943100
2008-02-07,8688197650
2008-02-08,8810362200
2008-02-11,9065577250
2008-02-12,9156293500
2008-02-13,9498596150
2008-02-14,9288134450
2008-02-15,9170808100
2008-02-19,9351031050
2008-02-20,9415137200
2008-02-21,9589312400
2008-02-22,9805821850
2008-02-25,10254564900
2008-02-26,10064665550
2008-02-27,10044103200
2008-02-28,10123933500
2008-02-29,9711476950
2008-03-03,9833641500
2008-03-04,9694543250
2008-03-05,9653418550
2008-03-06,9491338850
2008-03-07,9194999100
2008-03-10,8557566250
2008-03-11,9127264300
2008-03-12,9042595800
2008-03-13,9110330600
2008-03-14,8834553200
2008-03-17,8453544950
2008-03-18,8888982950
2008-03-19,8523698850
2008-03-20,8666425750
2008-03-24,8990585150
2008-03-25,9210723250
2008-03-26,9128473850
2008-03-27,8943412700
2008-03-28,8961555950
2008-03-31,8939271660
2008-04-01,9300049440
2008-04-02,9453106680
2008-04-03,9612237620
2008-04-04,9807810760
2008-04-07,9676618840
2008-04-08,9710631560
2008-04-09,9517487900
2008-04-10,9643820860
2008-04-11,9381437020
2008-04-14,9327988460
2008-04-15,9325558980
2008-04-16,9793233880
2008-04-17,9805381280
2008-04-18,10338652140
2008-04-21,10813615480
2008-04-22,10655699280
2008-04-23,10542728460
2008-04-24,10591318060
2008-04-25,10836695540
2008-04-28,10706718360
2008-04-29,10506286260
2008-04-30,10486850420
2008-05-01,10662987720
2008-05-02,10746804780
2008-05-05,10820903920
2008-05-06,11043201340
2008-05-07,10638692920
2008-05-08,10698215180
2008-05-09,10539084240
2008-05-12,10801468080
2008-05-13,11411267560
2008-05-14,11422200220
2008-05-15,11566754280
2008-05-16,11716167300
2008-05-19,11679725100
2008-05-20,11650571340
2008-05-21,11380899060
2008-05-22,11238774480
2008-05-23,11133092100
2008-05-27,11101508860
2008-05-28,11203547020
2008-05-29,11063851920
2008-05-30,11513305720
2008-06-02,11318947320
2008-06-03,11153742680
2008-06-04,11085717240
2008-06-05,11229056560
2008-06-06,10771099580
2008-06-09,10831836580
2008-06-10,10673920380
2008-06-11,10626545520
2008-06-12,10446764000
2008-06-13,10933874740
2008-06-16,10973961160
2008-06-17,10910794680
2008-06-18,10862205080
2008-06-19,10921727340
2008-06-20,10610753900
2008-06-23,10712792060
2008-06-24,10517218920
2008-06-25,10407892320
2008-06-26,9873406720
2008-06-27,9860044580
2008-06-30,9886249290
2008-07-01,9920551023
2008-07-02,9398674666
2008-07-03,9586109132
2008-07-07,9322720830
2008-07-08,9176938468
2008-07-09,8815545216
2008-07-10,9162237725
2008-07-11,9565283080
2008-07-14,9651037411
2008-07-15,9566508142
2008-07-16,9785794217
2008-07-17,9942602136
2008-07-18,9973228683
2008-07-21,10232941800
2008-07-22,10239067109
2008-07-23,10017330910
2008-07-24,9546907152
2008-07-25,9706165196
2008-07-28,9371723305
2008-07-29,9600809875
2008-07-30,10104310303
2008-07-31,9474628502
2008-08-01,9409700223
2008-08-04,8855972258
2008-08-05,8717540266
2008-08-06,8968677950
2008-08-07,8913550166
2008-08-08,8920900537
2008-08-11,8822895587
2008-08-12,8777568298
2008-08-13,9187964025
2008-08-14,9391324295
2008-08-15,9153662292
2008-08-18,9042181662
2008-08-19,8886598804
2008-08-20,9129161055
2008-08-21,9349672191
2008-08-22,9284743912
2008-08-25,8914775227
2008-08-26,8978478445
2008-08-27,9162237725
2008-08-28,9244316871
2008-08-29,9043406724
2008-09-02,8633010997
2008-09-03,8495804068
2008-09-04,7926150298
2008-09-05,7910224494
2008-09-08,7584358037
2008-09-09,6914249194
2008-09-10,7357721591
2008-09-11,7445926045
2008-09-12,7915124742
2008-09-15,7111484155
2008-09-16,7367522086
2008-09-17,6914249194
2008-09-18,7252366270
2008-09-19,7890623504
2008-09-22,7470427283
2008-09-23,7111484155
2008-09-24,7172737248
2008-09-25,7082082670
2008-09-26,6742740532
2008-09-29,5831294501
2008-09-30,6637605270
2008-10-01,6114516510
2008-10-02,5372659320
2008-10-03,5450878200
2008-10-06,4998675300
2008-10-07,4518362490
2008-10-08,4700465820
2008-10-09,4410811530
2008-10-10,4372924260
2008-10-13,5317661670
2008-10-14,5120892300
2008-10-15,4375368600
2008-10-16,4669911570
2008-10-17,4656467700
2008-10-20,5054895120
2008-10-21,4783573380
2008-10-22,4110157710
2008-10-23,4203042630
2008-10-24,3725174160
2008-10-27,3551626020
2008-10-28,4014828450
2008-10-29,4172488380
2008-10-30,4542805890
2008-10-31,4452365310
2008-11-03,4388812470
2008-11-04,5111114940
2008-11-05,4341147840
2008-11-06,3996495900
2008-11-07,4350925200
2008-11-10,4366813410
2008-11-11,4057604400
2008-11-12,3797282190
2008-11-13,4044160530
2008-11-14,3789949170
2008-11-17,3635955750
2008-11-18,3738618030
2008-11-19,3519849600
2008-11-20,3210640590
2008-11-21,3588291120
2008-11-24,4102824690
2008-11-25,4575804480
2008-11-26,5171001270
2008-11-28,5471655090
2008-12-01,4753019130
2008-12-02,5105004090
2008-12-03,5239442790
2008-12-04,4799461590
2008-12-05,5185667310
2008-12-08,5972744790
2008-12-09,6239177850
2008-12-10,6499500060
2008-12-11,5832195240
2008-12-12,5719755600
2008-12-15,5531541420
2008-12-16,5981299980
2008-12-17,6123071700
2008-12-18,5741754660
2008-12-19,5620759830
2008-12-22,5346993750
2008-12-23,5313995160
2008-12-24,5414213100
2008-12-26,5456989050
2008-12-29,5420323950
2008-12-30,5705089560
2008-12-31,5897300500
2009-01-02,6181744100
2009-01-05,6261437350
2009-01-06,6623122100
2009-01-07,6084886150
2009-01-08,6338678500
2009-01-09,6271245750
2009-01-12,5665577050
2009-01-13,5891170250
2009-01-14,5515998950
2009-01-15,5779599700
2009-01-16,5929177800
2009-01-20,5413010750
2009-01-21,5427723350
2009-01-22,4769334500
2009-01-23,4991249550
2009-01-26,4972858800
2009-01-27,4916460500
2009-01-28,5308796500
2009-01-29,4940981500
2009-01-30,4741135350
2009-02-02,4591557250
2009-02-03,4695771500
2009-02-04,4700675700
2009-02-05,4893165550
2009-02-06,5154314200
2009-02-09,5189869650
2009-02-10,4987571400
2009-02-11,5036613400
2009-02-12,4943433600
2009-02-13,4954468050
2009-02-17,4498377450
2009-02-18,4472630400
2009-02-19,4361059850
2009-02-20,4370868250
2009-02-23,4113397749
2009-02-24,4353703550
2009-02-25,4113397749
2009-02-26,4215159900
2009-02-27,4136692700
2009-03-02,3718609650
2009-03-03,3909873450
2009-03-04,4250715350
2009-03-05,3995696950
2009-03-06,4010409550
2009-03-09,4061903650
2009-03-10,4692093350
2009-03-11,4690867300
2009-03-12,5123662950
2009-03-13,4947111750
2009-03-16,4872322700
2009-03-17,5133471350
2009-03-18,4943433600
2009-03-19,4939755450
2009-03-20,4574392550
2009-03-23,4993701650
2009-03-24,4793855500
2009-03-25,4829410950
2009-03-26,5240137700
2009-03-27,5066038600
2009-03-30,4730100900
2009-03-31,4753362980
2009-04-01,4843118670
2009-04-02,5269765580
2009-04-03,5307881010
2009-04-06,5263617930
2009-04-07,5022630050
2009-04-08,5164026000
2009-04-09,5409932000
2009-04-13,5364439390
2009-04-14,5288208530
2009-04-15,5420997770
2009-04-16,5674280950
2009-04-17,5729609800
2009-04-20,5333701140
2009-04-21,5359521270
2009-04-22,5409932000
2009-04-23,5477556150
2009-04-24,5614033980
2009-04-27,5600509150
2009-04-28,4966071670
2009-04-29,4918120000
2009-04-30,4677132120
2009-05-01,4685738830
2009-05-04,5065663600
