,LU
2024-01-18,1265607387
2024-01-19,1282787578
2024-01-22,1242700466
2024-01-23,1362961801
2024-01-24,1408775643
2024-01-25,1443136025
2024-01-26,1397322183
2024-01-29,1380141992
2024-01-30,1334328150
2024-01-31,1357235071
2024-02-01,1368688532
2024-02-02,1368688532
2024-02-05,1334328150
2024-02-06,1460316216
2024-02-07,1391595453
2024-02-08,1322874690
2024-02-09,1305694499
2024-02-12,1403048913
2024-02-13,1351508341
2024-02-14,1385868722
2024-02-15,1397322183
2024-02-16,1471769676
2024-02-20,1466042946
2024-02-21,1488949867
2024-02-22,1517583518
2024-02-23,1592031012
2024-02-26,1637844854
2024-02-27,1746652729
2024-02-28,1729472538
2024-02-29,1786739841
2024-03-01,1844007143
2024-03-04,1672205235
2024-03-05,1466042946
2024-03-06,1483223137
2024-03-07,1477496407
2024-03-08,1517583518
2024-03-11,1540490439
2024-03-12,1666478505
2024-03-13,1695112156
2024-03-14,1620664663
2024-03-15,1666478505
2024-03-18,1723745808
2024-03-19,1769559650
2024-03-20,1929908097
2024-03-21,2811824557
2024-03-22,2565575156
2024-03-25,2491127663
2024-03-26,2473947472
2024-03-27,2456767281
2024-03-28,2416680169
2024-04-01,2514034584
2024-04-02,2582755347
2024-04-03,2508307853
2024-04-04,2479674202
2024-04-05,2451040551
2024-04-08,2456767281
2024-04-09,2542668235
2024-04-10,2433860360
2024-04-11,2462494011
2024-04-12,2370866327
2024-04-15,2342232676
2024-04-16,2342232676
2024-04-17,2382319788
2024-04-18,2445313821
2024-04-19,2485400932
2024-04-22,2514034584
2024-04-23,2496854393
2024-04-24,2605662268
2024-04-25,2622842459
2024-04-26,2680109761
2024-04-29,2594208807
2024-04-30,2514034584
2024-05-01,2519761314
2024-05-02,2657202840
2024-05-03,2691563222
2024-05-06,2657202840
2024-05-07,2725923603
2024-05-08,2577028617
2024-05-09,2640022649
2024-05-10,2605662268
2024-05-13,2668656301
2024-05-14,2611388998
2024-05-15,2594208807
2024-05-16,2605662268
2024-05-17,2703016682
2024-05-20,2559848426
2024-05-21,2536941505
2024-05-22,2491127663
2024-05-23,2445313821
2024-05-24,2451040551
2024-05-28,2462494011
2024-05-29,2588482077
2024-05-30,2605662268
2024-05-31,2565575156
2024-06-03,2508307853
2024-06-04,1162526242
2024-06-05,1277060847
2024-06-06,1385868722
2024-06-07,1311421229
2024-06-10,1317147959
2024-06-11,1231247005
2024-06-12,1202613354
2024-06-13,1248427196
2024-06-14,1259880657
2024-06-17,1357235071
2024-06-18,1328601420
2024-06-20,1271334117
2024-06-21,1254153926
2024-06-24,1294241038
2024-06-25,1282787578
2024-06-26,1420229104
2024-06-27,1322874690
2024-06-28,1357235071
2024-07-01,1397322183
2024-07-02,1632118124
2024-07-03,1689385426
2024-07-05,1689385426
2024-07-08,1454589486
2024-07-09,1700838887
2024-07-10,1643571584
2024-07-11,1689385426
2024-07-12,1689385426
2024-07-15,1649298314
2024-07-16,1620664663
2024-07-17,1551943900
2024-07-18,1574850821
2024-07-19,1609211203
2024-07-22,1655025045
2024-07-23,1586304282
2024-07-24,1574850821
2024-07-25,1574850821
2024-07-26,1683658696
2024-07-29,1660751775
2024-07-30,1603484472
2024-07-31,1626391393
2024-08-01,1534763709
2024-08-02,1546217170
2024-08-05,1546217170
2024-08-06,1614937933
2024-08-07,1551943900
2024-08-08,1586304282
2024-08-09,1546217170
