,PANW
2016-05-20,12601575000
2016-05-23,12798933000
2016-05-24,12988290000
2016-05-25,12950952000
2016-05-26,13172313000
2016-05-27,11545443000
2016-05-31,11598783000
2016-06-01,11953494000
2016-06-02,12510897000
2016-06-03,12414885000
2016-06-06,12409551000
2016-06-07,12201525000
2016-06-08,12177522000
2016-06-09,11988165000
2016-06-10,11668125000
2016-06-13,11708130000
2016-06-14,11577447000
2016-06-15,11652123000
2016-06-16,11553444000
2016-06-17,11406759000
2016-06-20,11393424000
2016-06-21,11278743000
2016-06-22,11073384000
2016-06-23,11260074000
2016-06-24,10825353000
2016-06-27,10379964000
2016-06-28,10526649000
2016-06-29,10953369000
2016-06-30,10902696000
2016-07-01,10764012000
2016-07-05,10569321000
2016-07-06,10665333000
2016-07-07,10812018000
2016-07-08,11196066000
2016-07-11,11380089000
2016-07-12,11281410000
2016-07-13,11321415000
2016-07-14,11078718000
2016-07-15,10993374000
2016-07-18,11025378000
2016-07-19,11153394000
2016-07-20,11513439000
2016-07-21,11254740000
2016-07-22,11510772000
2016-07-25,11692128000
2016-07-26,11820144000
2016-07-27,11652123000
2016-07-28,11793474000
2016-07-29,11636121000
2016-08-01,11538402000
2016-08-02,11530320000
2016-08-03,11638080000
2016-08-04,11802414000
2016-08-05,11834742000
2016-08-08,11530320000
2016-08-09,11748534000
2016-08-10,11231286000
2016-08-11,11266308000
2016-08-12,11419866000
2016-08-15,11764698000
2016-08-16,12176880000
2016-08-17,12222678000
2016-08-18,12311580000
2016-08-19,12279252000
2016-08-22,12351990000
2016-08-23,12761478000
2016-08-24,12605226000
2016-08-25,12607920000
2016-08-26,12632166000
2016-08-29,12704904000
2016-08-30,12882708000
2016-08-31,11958666000
2016-09-01,12632166000
2016-09-02,13036266000
2016-09-06,13017408000
2016-09-07,13230234000
2016-09-08,13197906000
2016-09-09,12968916000
2016-09-12,13214070000
2016-09-13,13205988000
2016-09-14,13319136000
2016-09-15,13335300000
2016-09-16,13389180000
2016-09-19,13537350000
2016-09-20,13475388000
2016-09-21,13434978000
2016-09-22,13701684000
2016-09-23,13580454000
2016-09-26,13456530000
2016-09-27,13639722000
2016-09-28,13879488000
2016-09-29,14016882000
2016-09-30,14307834000
2016-10-03,14286282000
2016-10-04,14369796000
2016-10-05,14488332000
2016-10-06,14332080000
2016-10-07,14361714000
2016-10-10,14345550000
2016-10-11,13963002000
2016-10-12,13849854000
2016-10-13,13591230000
2016-10-14,13513104000
2016-10-17,13111698000
2016-10-18,13332606000
2016-10-19,13305666000
2016-10-20,13337994000
2016-10-21,13486164000
2016-10-24,13607394000
2016-10-25,13453836000
2016-10-26,13599312000
2016-10-27,13437672000
2016-10-28,13612782000
2016-10-31,13953288000
2016-11-01,13768260000
2016-11-02,13316574000
2016-11-03,13205013000
2016-11-04,13422693000
2016-11-07,13825401000
2016-11-08,13871658000
2016-11-09,14424021000
2016-11-10,13779144000
2016-11-11,14149200000
2016-11-14,14190015000
2016-11-15,14462115000
2016-11-16,14551908000
2016-11-17,14889312000
2016-11-18,14633538000
2016-11-21,14609049000
2016-11-22,12674418000
2016-11-23,12668976000
2016-11-25,12834957000
2016-11-28,12358782000
2016-11-29,12116613000
2016-11-30,12187359000
2016-12-01,11757441000
2016-12-02,11488062000
2016-12-05,11694858000
2016-12-06,11732952000
2016-12-07,11732952000
2016-12-08,11849955000
2016-12-09,11798256000
2016-12-12,11591460000
2016-12-13,11722068000
2016-12-14,11629554000
2016-12-15,11700300000
2016-12-16,11730231000
2016-12-19,11648601000
2016-12-20,11458131000
2016-12-21,11439084000
2016-12-22,11343849000
2016-12-23,11556087000
2016-12-27,11526156000
2016-12-28,11335686000
2016-12-29,11349291000
2016-12-30,11341128000
2017-01-03,11512551000
2017-01-04,11610507000
2017-01-05,11969679000
2017-01-06,12249942000
2017-01-09,12127497000
2017-01-10,12214569000
2017-01-11,12470343000
2017-01-12,12366945000
2017-01-13,12560136000
2017-01-17,12557415000
2017-01-18,12584625000
2017-01-19,12873051000
2017-01-20,12889377000
2017-01-23,12775095000
2017-01-24,13058079000
2017-01-25,13253991000
2017-01-26,13202292000
2017-01-27,13166919000
2017-01-30,13139709000
2017-01-31,13428870000
2017-02-01,13295100000
2017-02-02,13245960000
2017-02-03,13742820000
2017-02-06,13617240000
2017-02-07,13663650000
2017-02-08,13821990000
2017-02-09,14149590000
2017-02-10,14130480000
2017-02-13,14217840000
2017-02-14,14277900000
2017-02-15,14135940000
2017-02-16,13917540000
2017-02-17,14084070000
2017-02-21,14176890000
2017-02-22,14138670000
2017-02-23,13898430000
2017-02-24,13923000000
2017-02-27,14010360000
2017-02-28,13821990000
2017-03-01,10483200000
2017-03-02,10600590000
2017-03-03,10515960000
2017-03-06,10434060000
2017-03-07,10395840000
