,ABT
2002-08-12,28621922240
2002-08-13,27762639640
2002-08-14,28106352679
2002-08-15,28309455840
2002-08-16,28059482720
2002-08-19,28090729360
2002-08-20,27465796559
2002-08-21,28403195760
2002-08-22,29324971640
2002-08-23,28465689040
2002-08-26,28918765320
2002-08-27,28637545559
2002-08-28,27981366120
2002-08-29,28434442400
2002-08-30,28121976000
2002-09-03,26887733720
2002-09-04,27247070080
2002-09-05,26544020679
2002-09-06,26340917520
2002-09-09,26637760600
2002-09-10,26793993799
2002-09-11,27122083520
2002-09-12,26840863760
2002-09-13,26419034120
2002-09-16,26903357040
2002-09-17,27106460200
2002-09-18,28387572440
2002-09-19,28168845960
2002-09-20,29356218280
2002-09-23,29293725000
2002-09-24,29574944760
2002-09-25,30762317080
2002-09-26,29434334880
2002-09-27,28340702480
2002-09-30,28374854720
2002-10-01,29499848960
2002-10-02,29265475160
2002-10-03,29781097519
2002-10-04,28718602960
2002-10-07,27781107760
2002-10-08,27734233000
2002-10-09,28312355040
2002-10-10,28312355040
2002-10-11,29140475799
2002-10-14,30406094320
2002-10-15,30999841280
2002-10-16,30562343519
2002-10-17,31046716040
2002-10-18,30906091760
2002-10-21,30671717960
2002-10-22,30062346079
2002-10-23,30312344799
2002-10-24,29827972280
2002-10-25,30265470040
2002-10-28,29906096880
2002-10-29,29406099440
2002-10-30,29577973560
2002-10-31,29406099440
2002-11-01,29312349920
2002-11-04,29546723720
2002-11-05,30531093680
2002-11-06,31999836160
2002-11-07,32062335840
2002-11-08,32234209960
2002-11-11,30968591440
2002-11-12,30515468760
2002-11-13,30187345440
2002-11-14,30874841920
2002-11-15,31577963320
2002-11-18,31296714760
2002-11-19,31218590160
2002-11-20,31749837440
2002-11-21,31687337760
2002-11-22,30765467480
2002-11-25,30749842560
2002-11-26,30452969079
2002-11-27,30624843200
2002-11-29,30749842560
2002-12-02,29546723720
2002-12-03,29624848320
2002-12-04,29687348000
2002-12-05,29156100720
2002-12-06,30171720519
2002-12-09,29265475160
2002-12-10,28499854079
2002-12-11,28827977400
2002-12-12,28702978040
2002-12-13,28437354400
2002-12-16,28781102640
2002-12-17,28812352480
2002-12-18,28640478359
2002-12-19,28374854720
2002-12-20,27187360799
2002-12-23,26781112880
2002-12-24,26484239400
2002-12-26,25749868160
2002-12-27,25843617680
2002-12-30,26062366560
2002-12-31,28093606160
2003-01-02,28140480920
2003-01-03,28406104560
2003-01-06,28593603600
2003-01-07,27312360160
2003-01-08,27999856640
2003-01-09,28093606160
2003-01-10,27952981880
2003-01-13,27702983160
2003-01-14,27437359519
2003-01-15,26656113519
2003-01-16,27531109040
2003-01-17,26687363359
2003-01-21,26984236840
2003-01-22,26859237480
2003-01-23,26890487320
2003-01-24,26234240680
2003-01-27,25968617040
2003-01-28,26484239400
2003-01-29,26827987640
2003-01-30,26671738440
2003-01-31,26781112880
2003-02-03,26624863680
2003-02-04,26140491160
2003-02-05,25906117359
2003-02-06,25921742280
2003-02-07,26234240680
2003-02-10,25952992120
2003-02-11,25406119920
2003-02-12,24874872640
2003-02-13,24499874560
2003-02-14,25156121200
2003-02-18,25718618320
2003-02-19,25156121200
2003-02-20,24734248360
2003-02-21,24640498840
2003-02-24,24156126320
2003-02-25,24374875200
2003-02-26,24374875200
2003-02-27,24952997240
2003-02-28,25015496920
2003-03-03,24609249000
2003-03-04,24906122480
2003-03-05,25249870720
2003-03-06,24734248360
2003-03-07,24906122480
2003-03-10,24249875840
2003-03-11,24421749960
2003-03-12,24546749320
2003-03-13,25202995960
2003-03-14,24718623440
2003-03-17,25671743560
2003-03-18,26265490519
2003-03-19,26781112880
2003-03-20,26499864320
2003-03-21,27593608720
2003-03-24,26937362079
2003-03-25,27390484760
2003-03-26,27296735240
2003-03-27,27062361440
2003-03-28,26843612560
2003-03-31,26408025710
2003-04-01,27313800689
2003-04-02,28328893340
2003-04-03,27657370510
2003-04-04,28203958859
2003-04-07,28203958859
2003-04-08,28032173950
2003-04-09,28235192479
2003-04-10,28157108430
2003-04-11,27469968790
2003-04-14,28188342050
2003-04-15,27782304990
2003-04-16,27157632590
2003-04-17,27829155420
2003-04-21,27345034310
2003-04-22,27876005850
2003-04-23,28016557140
2003-04-24,28032173950
2003-04-25,27719837750
2003-04-28,28203958859
2003-04-29,28516295060
2003-04-30,28531911870
2003-05-01,28937948930
2003-05-02,29703172620
2003-05-05,29156584270
2003-05-06,29765639859
2003-05-07,29984275200
2003-05-08,30093592870
2003-05-09,30452779500
2003-05-12,30343461830
2003-05-13,30515246740
2003-05-14,30265377780
2003-05-15,30843199750
2003-05-16,30234144160
2003-05-19,28953565740
2003-05-20,28781780830
2003-05-21,29062883410
2003-05-22,29453303660
2003-05-23,29547004520
2003-05-27,30156060109
2003-05-28,30577713979
2003-05-29,30765115700
2003-05-30,31280470430
2003-06-02,30843199750
2003-06-03,30921283800
2003-06-04,31358554479
2003-06-05,31764591540
2003-06-06,31748974729
2003-06-09,31514722580
2003-06-10,32076927740
2003-06-11,32014460500
2003-06-12,32108161359
2003-06-13,32014460500
2003-06-16,32451731180
2003-06-17,32654749710
2003-06-18,32295563080
2003-06-19,32014460500
2003-06-20,32030077310
2003-06-23,31139919140
2003-06-24,31202386380
2003-06-25,31139919140
2003-06-26,31467872149
2003-06-27,30608947600
2003-06-30,30742203660
2003-07-01,30601542839
2003-07-02,31039154280
2003-07-03,31070412240
2003-07-07,31601797560
2003-07-08,31273588980
2003-07-09,30695316720
2003-07-10,30601542839
2003-07-11,30929751420
2003-07-14,30945380400
2003-07-15,30320221199
2003-07-16,29788835879
2003-07-17,29554401180
2003-07-18,29085531780
2003-07-21,29023015860
2003-07-22,29116789740
2003-07-23,28663549320
2003-07-24,28116535019
2003-07-25,28272824820
2003-07-28,27647665620
2003-07-29,27335086019
2003-07-30,27600778680
2003-07-31,27585149699
2003-08-01,27085022339
2003-08-04,27053764379
2003-08-05,26600523960
2003-08-06,27116280300
2003-08-07,28038390120
2003-08-08,28038390120
2003-08-11,27819584400
2003-08-12,27803955420
2003-08-13,27694552560
2003-08-14,27819584400
2003-08-15,27882100320
2003-08-18,27960245220
2003-08-19,27772697460
2003-08-20,27397601940
2003-08-21,27116280300
2003-08-22,27397601940
2003-08-25,27819584400
2003-08-26,28069648080
2003-08-27,27897729300
2003-08-28,27975874199
2003-08-29,28319711760
2003-09-02,28913613000
2003-09-03,29335595460
2003-09-04,28944870960
