,IFF
2002-12-11,3125104020
2002-12-12,3096856620
2002-12-13,3105330839
2002-12-16,3163708800
2002-12-17,3126045600
2002-12-18,3152409839
2002-12-19,3151468260
2002-12-20,3210787800
2002-12-23,3205138320
2002-12-24,3201372000
2002-12-26,3241859940
2002-12-27,3240918360
2002-12-30,3303062640
2002-12-31,3304945800
2003-01-02,3368973240
2003-01-03,3370856399
2003-01-06,3443358060
2003-01-07,3389688000
2003-01-08,3361440600
2003-01-09,3417935399
2003-01-10,3419818560
2003-01-13,3348258480
2003-01-14,3309653700
2003-01-15,3274815240
2003-01-16,3319069500
2003-01-17,3264457860
2003-01-21,3234327300
2003-01-22,3200430420
2003-01-23,3180657240
2003-01-24,3098739779
2003-01-27,3050719200
2003-01-28,3088382399
2003-01-29,3069550800
2003-01-30,3018705480
2003-01-31,2991399660
2003-02-03,3013056000
2003-02-04,3023413380
2003-02-05,3013997580
2003-02-06,3052602360
2003-02-07,2997049140
2003-02-10,3019647060
2003-02-11,2984808600
2003-02-12,2989516500
2003-02-13,2975392800
2003-02-14,2997049140
2003-02-18,3011172840
2003-02-19,2991399660
2003-02-20,2961269100
2003-02-21,3015880740
2003-02-24,2949970140
2003-02-25,2961269100
2003-02-26,2921722740
2003-02-27,2953736460
2003-02-28,2952794880
2003-03-03,2943379080
2003-03-04,2825681580
2003-03-05,2850162660
2003-03-06,2834155800
2003-03-07,2852987400
2003-03-10,2792726280
2003-03-11,2811557880
2003-03-12,2811557880
2003-03-13,2847337920
2003-03-14,2825681580
2003-03-17,2901007980
2003-03-18,2875585320
2003-03-19,2899124820
2003-03-20,2890650600
2003-03-21,2972568060
2003-03-24,2887825860
2003-03-25,2893475340
2003-03-26,2868994260
2003-03-27,2901007980
2003-03-28,2939612760
2003-03-31,2915682380
2003-04-01,2926936220
2003-04-02,2975702860
2003-04-03,2932563140
2003-04-04,2953195180
2003-04-07,2963511200
2003-04-08,2950381720
2003-04-09,2930687500
2003-04-10,2962573380
2003-04-11,2964449020
2003-04-14,3014153480
2003-04-15,3033847700
2003-04-16,2990707980
2003-04-17,3016966940
2003-04-21,3008526560
2003-04-22,3116375859
2003-04-23,3105122020
2003-04-24,3133256619
2003-04-25,3096681640
2003-04-28,3073236140
2003-04-29,3019780400
2003-04-30,2980391960
2003-05-01,2982267600
2003-05-02,3027282960
2003-05-05,3001024000
2003-05-06,2966324660
2003-05-07,2984143240
2003-05-08,2950381720
2003-05-09,2974765040
2003-05-12,3015091300
2003-05-13,3017904760
2003-05-14,3037598980
2003-05-15,3080738700
2003-05-16,3068547040
2003-05-19,2999148360
2003-05-20,2941003520
2003-05-21,2943816980
2003-05-22,2970075940
2003-05-23,2942879160
2003-05-27,2970075940
2003-05-28,2962573380
2003-05-29,2952257360
2003-05-30,2943816980
2003-06-02,2899739440
2003-06-03,2911931100
2003-06-04,2921309300
2003-06-05,2883796500
2003-06-06,2908179820
2003-06-09,2880983040
2003-06-10,2910993280
2003-06-11,2930687500
2003-06-12,2991645800
2003-06-13,2958822100
2003-06-16,3067609220
2003-06-17,3069484859
2003-06-18,3076049599
2003-06-19,3037598980
2003-06-20,3061044480
2003-06-23,3011340020
2003-06-24,3029158599
2003-06-25,2950381720
2003-06-26,2967262480
2003-06-27,2962573380
2003-06-30,2977951450
2003-07-01,2956500500
2003-07-02,2964894350
2003-07-03,2984480000
2003-07-07,2995671799
2003-07-08,2869764050
2003-07-09,2793286750
2003-07-10,2787690850
2003-07-11,2773701100
2003-07-14,2797950000
2003-07-15,2779297000
2003-07-16,2767172550
2003-07-17,2788623500
2003-07-18,2807276500
2003-07-21,2803545900
2003-07-22,2831525400
2003-07-23,2809141800
2003-07-24,2794219400
2003-07-25,2802613250
2003-07-28,2824064200
2003-07-29,2805411200
2003-07-30,2816603000
2003-07-31,2811939750
2003-08-01,2803545900
2003-08-04,2774633750
2003-08-05,2779297000
2003-08-06,2811939750
2003-08-07,2823131550
2003-08-08,2817535650
2003-08-11,2824996850
2003-08-12,2841784550
2003-08-13,2827794800
2003-08-14,2832458050
2003-08-15,2821266250
2003-08-18,2813805050
2003-08-19,2804478550
2003-08-20,2800747950
2003-08-21,2812872400
2003-08-22,2818468300
2003-08-25,2824064200
2003-08-26,2839919250
2003-08-27,2837121300
2003-08-28,2914531250
2003-08-29,2937847500
2003-09-02,2963961700
2003-09-03,2991008550
2003-09-04,3070283800
2003-09-05,3035775749
2003-09-08,3085206200
2003-09-09,3049765500
2003-09-10,3039506350
2003-09-11,3037641050
2003-09-12,3047900200
2003-09-15,3045102250
2003-09-16,3068418500
2003-09-17,3045102250
2003-09-18,3089869450
2003-09-19,3090802100
2003-09-22,3091734750
2003-09-23,3072149100
2003-09-24,3022718649
2003-09-25,3078677650
2003-09-26,3067485850
2003-09-29,3094532700
2003-09-30,3109714179
2003-10-01,3125695177
2003-10-02,3140736116
2003-10-03,3178338464
2003-10-06,3262003689
2003-10-07,3287385273
2003-10-08,3257303395
2003-10-09,3252603102
2003-10-10,3262943747
2003-10-13,3294905743
2003-10-14,3262003689
2003-10-15,3261063630
2003-10-16,3335328267
2003-10-17,3277984686
2003-10-20,3341908678
2003-10-21,3299606037
2003-10-22,3251663043
2003-10-23,3003487546
2003-10-24,3026989014
2003-10-27,3015708309
2003-10-28,3021348661
2003-10-29,3057070892
2003-10-30,3042029953
2003-10-31,3111594297
2003-11-03,3115354531
2003-11-04,3058010951
2003-11-05,2999727311
2003-11-06,3046730246
2003-11-07,3030749248
2003-11-10,2975285785
2003-11-11,2969645433
2003-11-12,3008187840
2003-11-13,3005367663
2003-11-14,2982806255
2003-11-17,2992206842
2003-11-18,2965885198
2003-11-19,2953664435
2003-11-20,2934863261
2003-11-21,2974345726
2003-11-24,2995967076
2003-11-25,3056130833
2003-11-26,3057070892
2003-11-28,3052370598
2003-12-01,3116294590
2003-12-02,3196199580
2003-12-03,3167057760
2003-12-04,3173638171
2003-12-05,3145436410
2003-12-08,3149196645
2003-12-09,3159537290
2003-12-10,3118174707
2003-12-11,3160477349
2003-12-12,3159537290
2003-12-15,3153896938
2003-12-16,3179278523
2003-12-17,3185858934
2003-12-18,3204660108
2003-12-19,3184918875
2003-12-22,3226281458
2003-12-23,3217820930
2003-12-24,3215000754
2003-12-26,3218760988
2003-12-29,3286445215
2003-12-30,3285505156
2003-12-31,3283632360
2004-01-02,3233794870
2004-01-05,3360739420
2004-01-06,3337231170
2004-01-07,3343813480
2004-01-08,3353216779
2004-01-09,3340052160
2004-01-12,3315603580
2004-01-13,3303379290
2004-01-14,3267646750
2004-01-15,3252601470
2004-01-16,3281751700
2004-01-20,3321245560
2004-01-21,3297737310
2004-01-22,3270467740
2004-01-23,3254482130
2004-01-26,3364500740
2004-01-27,3356978100
2004-01-28,3379546020
2004-01-29,3437846480
2004-01-30,3447249779
2004-02-02,3455712750
2004-02-03,3502729250
2004-02-04,3543163440
2004-02-05,3538461790
2004-02-06,3569492680
2004-02-09,3482982320
2004-02-10,3519655190
2004-02-11,3508371230
2004-02-12,3508371230
2004-02-13,3485803310
2004-02-17,3553507070
2004-02-18,3498027600
2004-02-19,3490504959
2004-02-20,3471698360
2004-02-23,3459474070
2004-02-24,3438786810
2004-02-25,3437846480
2004-02-26,3440667470
2004-02-27,3440667470
2004-03-01,3506490570
2004-03-02,3524356839
2004-03-03,3592060600
2004-03-04,3589239610
2004-03-05,3573254000
2004-03-08,3581716970
2004-03-09,3577015320
2004-03-10,3537521459
2004-03-11,3545044100
2004-03-12,3486743640
2004-03-15,3447249779
2004-03-16,3489564630
2004-03-17,3479221000
2004-03-18,3487683970
2004-03-19,3465116050
2004-03-22,3197122000
2004-03-23,3192420350
2004-03-24,3126597250
2004-03-25,3261064440
2004-03-26,3229093220
2004-03-29,3293975990
2004-03-30,3267646750
2004-03-31,3341828000
2004-04-01,3375716960
2004-04-02,3366303360
2004-04-05,3379482400
2004-04-06,3379482400
2004-04-07,3317352640
2004-04-08,3331473040
2004-04-12,3306997680
2004-04-13,3290994560
2004-04-14,3330531680
2004-04-15,3350300240
2004-04-16,3391720080
2004-04-19,3416195440
2004-04-20,3379482400
2004-04-21,3390778720
2004-04-22,3431257200
2004-04-23,3426550400
2004-04-26,3423726319
2004-04-27,3440670799
2004-04-28,3370068799
2004-04-29,3477383840
2004-04-30,3412430000
2004-05-03,3447260319
2004-05-04,3425609040
2004-05-05,3405840480
2004-05-06,3397368240
2004-05-07,3318294000
2004-05-10,3293818640
2004-05-11,3294760000
2004-05-12,3277815520
2004-05-13,3272167360
2004-05-14,3271226000
2004-05-17,3262753759
2004-05-18,3268401920
2004-05-19,3285346400
2004-05-20,3295701360
2004-05-21,3327707600
2004-05-24,3340886640
2004-05-25,3397368240
2004-05-26,3396426880
2004-05-27,3452908480
2004-05-28,3387013279
2004-06-01,3404899120
2004-06-02,3484914720
2004-06-03,3434081279
2004-06-04,3444436240
2004-06-07,3488680160
2004-06-08,3514096880
2004-06-09,3527275920
2004-06-10,3501859200
2004-06-14,3483032000
2004-06-15,3499976480
2004-06-16,3499035120
2004-06-17,3519745040
2004-06-18,3483973360
2004-06-21,3493386960
2004-06-22,3481149279
2004-06-23,3511272799
2004-06-24,3481149279
2004-06-25,3476442480
2004-06-28,3491504240
2004-06-29,3525393200
2004-06-30,3522032800
2004-07-01,3492839480
2004-07-02,3501314960
2004-07-06,3474946800
2004-07-07,3512615599
2004-07-08,3480597120
2004-07-09,3501314960
2004-07-12,3484364000
2004-07-13,3474005080
2004-07-14,3484364000
2004-07-15,3479655400
2004-07-16,3490014320
2004-07-19,3493781200
2004-07-20,3511673880
2004-07-21,3483422280
2004-07-22,3457054120
2004-07-23,3444811760
2004-07-26,3390192000
2004-07-27,3404317800
2004-07-28,3380774800
2004-07-29,3443870040
2004-07-30,3441044880
2004-08-02,3518265920
2004-08-03,3494722920
2004-08-04,3500373240
2004-08-05,3438219720
2004-08-06,3402434360
2004-08-09,3409968120
2004-08-10,3448578639
2004-08-11,3493781200
2004-08-12,3467413040
2004-08-13,3461762720
2004-08-16,3568177080
2004-08-17,3567235360
2004-08-18,3601137280
2004-08-19,3592661800
2004-08-20,3626563720
