,EQ
2023-11-01,17404311
2023-11-02,17492194
2023-11-03,17576562
2023-11-06,17400796
2023-11-07,17263699
2023-11-08,17576562
2023-11-09,16746948
2023-11-10,17421888
2023-11-13,17576562
2023-11-14,17295337
2023-11-15,17576562
2023-11-16,17576562
2023-11-17,17576562
2023-11-20,17573046
2023-11-21,17534378
2023-11-22,17576562
2023-11-24,17924577
2023-11-27,17471102
2023-11-28,17917547
2023-11-29,18209318
2023-11-30,20385296
2023-12-01,18719038
2023-12-04,18279624
2023-12-05,17049265
2023-12-06,21337946
2023-12-07,20740343
2023-12-08,23904124
2023-12-11,22357386
2023-12-12,22673764
2023-12-13,22849530
2023-12-14,22708918
2023-12-15,23201061
2023-12-18,24076374
2023-12-19,24958718
2023-12-20,25584443
2023-12-21,23135677
2023-12-22,23095602
2023-12-26,22287080
2023-12-27,22888199
2023-12-28,23904124
2023-12-29,25415708
2024-01-02,25812938
2024-01-03,26364843
2024-01-04,26892139
2024-01-05,28832592
2024-01-08,29532139
2024-01-09,30934749
2024-01-10,30319569
2024-01-11,30196533
2024-01-12,29880155
2024-01-16,30558610
2024-01-17,28920475
2024-01-18,27770967
2024-01-19,29148970
2024-01-22,26378904
2024-01-23,26083618
2024-01-24,27946733
2024-01-25,29212246
2024-01-26,29880155
2024-01-29,30548064
2024-01-30,29651660
2024-01-31,28087346
2024-02-01,28825561
2024-02-02,29521593
2024-02-05,28122499
2024-02-06,43238342
2024-02-07,52026623
2024-02-08,53432748
2024-02-09,54135810
2024-02-12,59057248
2024-02-13,54838873
2024-02-14,56244998
2024-02-15,71009310
2024-02-16,97022622
2024-02-20,105459372
2024-02-21,87882810
2024-02-22,91398122
2024-02-23,89288934
2024-02-26,97725684
2024-02-27,87882810
2024-02-28,91398122
2024-02-29,87531278
2024-03-01,87882810
2024-03-04,78391466
2024-03-05,78742997
2024-03-06,79446060
2024-03-07,95264966
2024-03-08,93858841
2024-03-11,88937403
2024-03-12,88937403
2024-03-13,92452716
2024-03-14,89640466
2024-03-15,89288934
2024-03-18,92804247
2024-03-19,94561903
2024-03-20,101240997
2024-03-21,97374153
2024-03-22,99131809
2024-03-25,85773622
2024-03-26,72415435
2024-03-27,72415435
2024-03-28,81203716
2024-04-01,74173091
2024-04-02,76633810
2024-04-03,81906778
2024-04-04,78039935
2024-04-05,74876154
2024-04-08,67493998
2024-04-09,68197060
2024-04-10,65384810
2024-04-11,68548591
2024-04-12,65033279
2024-04-15,62221029
2024-04-16,65033279
2024-04-17,62924091
2024-04-18,60814904
2024-04-19,56596529
2024-04-22,58002654
2024-04-23,60463373
2024-04-24,62924091
2024-04-25,63627154
2024-04-26,60111842
2024-04-29,57299592
2024-04-30,52378154
2024-05-01,51323561
2024-05-02,54838873
2024-05-03,58705717
2024-05-06,60463373
2024-05-07,62753458
2024-05-08,59933078
2024-05-09,63458553
2024-05-10,53939770
2024-05-13,54292318
2024-05-14,54292318
2024-05-15,54292318
2024-05-16,54292318
2024-05-17,54997413
2024-05-20,54644865
2024-05-21,53234675
2024-05-22,50414295
2024-05-23,49356652
2024-05-24,49356652
2024-05-28,51471937
2024-05-29,48651557
2024-05-30,51824485
2024-05-31,52882128
2024-06-03,51824485
2024-06-04,37370037
2024-06-05,30241526
2024-06-06,31619987
2024-06-07,28239056
2024-06-10,24935686
2024-06-11,25640781
2024-06-12,25066128
2024-06-13,27692607
2024-06-14,25136638
2024-06-17,25263555
2024-06-18,24325778
2024-06-20,23409155
2024-06-21,23409155
2024-06-24,23997909
2024-06-25,24107199
2024-06-26,23624209
2024-06-27,23550174
2024-06-28,24438594
2024-07-01,23899196
2024-07-02,23973231
2024-07-03,23338645
2024-07-05,23969705
2024-07-08,25030873
2024-07-09,25023822
2024-07-10,25802952
2024-07-11,26828866
2024-07-12,29695077
2024-07-15,31376729
2024-07-16,32071247
2024-07-17,32744613
2024-07-18,32081824
2024-07-19,30671634
2024-07-22,30442478
2024-07-23,30812653
2024-07-24,31108793
2024-07-25,28203801
2024-07-26,28827810
2024-07-29,27791321
2024-07-30,25771223
2024-07-31,26342350
2024-08-01,25743019
2024-08-02,24368084
2024-08-05,22428088
2024-08-06,25759656
2024-08-07,25904353
2024-08-08,25092636
2024-08-09,24704424
