,PRU
2004-12-28,28506320500
2004-12-29,28506320500
2004-12-30,28506320500
2004-12-31,28678128000
2005-01-03,28104148000
2005-01-04,27900646000
2005-01-05,27624092000
2005-01-06,27822376000
2005-01-07,27457116000
2005-01-10,27733670000
2005-01-11,27665836000
2005-01-12,27644964000
2005-01-13,27681490000
2005-01-14,28114584000
2005-01-18,28725090000
2005-01-19,28625948000
2005-01-20,28218944000
2005-01-21,28135456000
2005-01-24,28057186000
2005-01-25,28104148000
2005-01-26,28177200000
2005-01-27,28177200000
2005-01-28,27869338000
2005-01-31,28130238000
2005-02-01,28333740000
2005-02-02,28563332000
2005-02-03,28756398000
2005-02-04,29325160000
2005-02-07,29184274000
2005-02-08,29090350000
2005-02-09,29737382000
2005-02-10,30045244000
2005-02-11,30290490000
2005-02-14,30342670000
2005-02-15,30551390000
2005-02-16,30807072000
2005-02-17,30327016000
2005-02-18,30368760000
2005-02-22,29716510000
2005-02-23,29690420000
2005-02-24,29805216000
2005-02-25,30233092000
2005-02-28,29742600000
2005-03-01,30008718000
2005-03-02,29753036000
2005-03-03,29899140000
2005-03-04,30420940000
2005-03-07,30603570000
2005-03-08,30217438000
2005-03-09,30144386000
2005-03-10,30227874000
2005-03-11,30248746000
2005-03-14,30916650000
2005-03-15,30593134000
2005-03-16,30467902000
2005-03-17,30692276000
2005-03-18,30953176000
2005-03-21,30812290000
2005-03-22,29768690000
2005-03-23,29726946000
2005-03-24,29518226000
2005-03-28,29700856000
2005-03-29,29497354000
2005-03-30,29737382000
2005-03-31,29647100000
2005-04-01,29497315000
2005-04-04,29822710000
2005-04-05,29698750000
2005-04-06,29672925000
2005-04-07,29946670000
2005-04-08,29838205000
2005-04-11,29941505000
2005-04-12,30184260000
2005-04-13,29843370000
2005-04-14,29827875000
2005-04-15,29073785000
2005-04-18,29264890000
2005-04-19,29430170000
2005-04-20,28851690000
2005-04-21,29027300000
2005-04-22,28872350000
2005-04-25,28846525000
2005-04-26,28769050000
2005-04-27,28614100000
2005-04-28,28526295000
2005-04-29,29517975000
2005-05-02,29533470000
2005-05-03,29698750000
2005-05-04,30623285000
2005-05-05,30370200000
2005-05-06,30638780000
2005-05-09,31036485000
2005-05-10,30458005000
2005-05-11,31031320000
2005-05-12,30762740000
2005-05-13,30488995000
2005-05-16,31873215000
2005-05-17,31516830000
2005-05-18,31356715000
2005-05-19,31542655000
2005-05-20,31532325000
2005-05-23,31470345000
2005-05-24,31547820000
2005-05-25,31139785000
2005-05-26,32162455000
2005-05-27,32420705000
2005-05-31,32699615000
2005-06-01,32864895000
2005-06-02,32105640000
2005-06-03,31532325000
2005-06-06,32570490000
2005-06-07,32431035000
2005-06-08,32487850000
2005-06-09,32684120000
2005-06-10,32895885000
2005-06-13,32678955000
2005-06-14,32895885000
2005-06-15,32999185000
2005-06-16,33030175000
2005-06-17,33102485000
2005-06-20,33469200000
2005-06-21,33618985000
2005-06-22,33887565000
2005-06-23,33479529999
2005-06-24,33464035000
2005-06-27,33856575000
2005-06-28,34233620000
2005-06-29,34243950000
2005-06-30,33427506000
2005-07-01,33844968000
2005-07-05,34303157999
2005-07-06,33906059999
2005-07-07,33758421000
2005-07-08,34354068000
2005-07-11,34394796000
2005-07-12,34567890000
2005-07-13,34628982000
2005-07-14,33666782999
2005-07-15,33534417000
2005-07-18,33738056999
2005-07-19,34287884999
2005-07-20,33977333999
2005-07-21,33564963000
2005-07-22,33305322000
2005-07-25,33310413000
2005-07-26,33442779000
2005-07-27,34287884999
2005-07-28,34084245000
2005-07-29,34058790000
2005-08-01,34033334999
2005-08-02,34175882999
2005-08-03,34542435000
2005-08-04,33819513000
2005-08-05,33086408999
2005-08-08,32994771000
2005-08-09,32964225000
2005-08-10,32882769000
2005-08-11,33167865000
2005-08-12,33106773000
2005-08-15,33437688000
2005-08-16,32786040000
2005-08-17,32959133999
2005-08-18,32867496000
2005-08-19,33106773000
2005-08-22,33076227000
2005-08-23,32684220000
2005-08-24,32587491000
2005-08-25,32999861999
2005-08-26,32689310999
2005-08-29,32546763000
2005-08-30,32119119000
2005-08-31,32770767000
2005-09-01,33951879000
2005-09-02,33437688000
2005-09-06,34257339000
2005-09-07,34537344000
2005-09-08,34343885999
2005-09-09,34318431000
2005-09-12,34084245000
2005-09-13,33906059999
2005-09-14,33682056000
2005-09-15,34430433000
2005-09-16,34501707000
2005-09-19,34537344000
2005-09-20,34771530000
2005-09-21,34094427000
2005-09-22,33447870000
2005-09-23,33274776000
2005-09-26,33071135999
2005-09-27,33162774000
2005-09-28,33320595000
2005-09-29,34277703000
2005-09-30,33415176000
2005-10-03,33291526000
2005-10-04,33019496000
2005-10-05,32633708000
2005-10-06,32440814000
2005-10-07,32188568000
2005-10-10,31970944000
2005-10-11,32069864000
2005-10-12,31812671999
2005-10-13,31293342000
2005-10-14,31995674000
2005-10-17,32050080000
2005-10-18,32188568000
2005-10-19,33523988000
2005-10-20,32920576000
2005-10-21,33133253999
2005-10-24,34315347999
2005-10-25,34018588000
2005-10-26,34711028000
2005-10-27,35215520000
2005-10-28,35171006000
2005-10-31,36001934000
2005-11-01,35611200000
2005-11-02,35507334000
2005-11-03,37391760000
2005-11-04,36565778000
2005-11-07,36704266000
2005-11-08,36456966000
2005-11-09,36659752000
2005-11-10,36353100000
2005-11-11,36907052000
2005-11-14,36763618000
2005-11-15,36778456000
2005-11-16,37144460000
2005-11-17,37836900000
2005-11-18,37569816000
2005-11-21,37812170000
2005-11-22,38232580000
2005-11-23,38153444000
2005-11-25,38089146000
2005-11-28,38103984000
2005-11-29,38559016000
2005-11-30,38282040000
2005-12-01,38183120000
2005-12-02,37970442000
2005-12-05,37807224000
2005-12-06,37480788000
2005-12-07,37352192000
2005-12-08,37698412000
2005-12-09,37490680000
2005-12-12,37520356000
2005-12-13,37747872000
2005-12-14,37787440000
2005-12-15,37589600000
2005-12-16,37001026000
2005-12-19,36981242000
2005-12-20,37461004000
2005-12-21,37505518000
2005-12-22,37099946000
2005-12-23,36753726000
2005-12-27,36620184000
2005-12-28,36630076000
2005-12-29,36471804000
2005-12-30,36199774000
2006-01-03,37436274000
2006-01-04,37792386000
2006-01-05,37505518000
2006-01-06,37465950000
2006-01-09,37822062000
2006-01-10,37564870000
2006-01-11,37846792000
2006-01-12,37337354000
2006-01-13,37347246000
2006-01-17,37109838000
2006-01-18,36892214000
2006-01-19,36550940000
2006-01-20,36199774000
2006-01-23,36813078000
2006-01-24,37045540000
2006-01-25,37015864000
2006-01-26,37752818000
2006-01-27,37589600000
2006-01-30,37480788000
2006-01-31,37263164000
2006-02-01,37554978000
2006-02-02,37099946000
2006-02-03,36907052000
2006-02-06,37218650000
2006-02-07,36996080000
2006-02-08,37411544000
2006-02-09,37248326000
2006-02-10,37218650000
2006-02-13,36902106000
2006-02-14,37663790000
2006-02-15,37475842000
2006-02-16,37619276000
2006-02-17,37253272000
2006-02-21,37362084000
2006-02-22,37851738000
2006-02-23,37861630000
2006-02-24,38291932000
2006-02-27,38321608000
2006-02-28,38103984000
2006-03-01,37624222000
2006-03-02,37386814000
2006-03-03,36961458000
2006-03-06,36961458000
2006-03-07,37347246000
2006-03-08,37470896000
2006-03-09,37401652000
2006-03-10,37609384000
2006-03-13,37223596000
2006-03-14,37797332000
2006-03-15,38113876000
2006-03-16,37772602000
2006-03-17,37856684000
2006-03-20,38123768000
2006-03-21,37718196000
2006-03-22,37772602000
2006-03-23,37797332000
2006-03-24,37678628000
2006-03-27,38296878000
2006-03-28,38193012000
2006-03-29,38232580000
2006-03-30,37920982000
2006-03-31,37010442000
2006-04-03,36912802000
2006-04-04,37440058000
2006-04-05,37581636000
2006-04-06,37503524000
2006-04-07,37195958000
2006-04-10,37054380000
2006-04-11,36771224000
2006-04-12,36575944000
2006-04-13,36527124000
2006-04-17,36336726000
2006-04-18,37029970000
2006-04-19,37264306000
2006-04-20,37322890000
2006-04-21,37288716000
2006-04-24,37205722000
2006-04-25,37093436000
2006-04-26,37835500000
2006-04-27,38514098000
2006-04-28,38143066000
2006-05-01,37913612000
2006-05-02,38465278000
2006-05-03,38362756000
2006-05-04,37586518000
2006-05-05,38245588000
2006-05-08,37772034000
2006-05-09,37664630000
2006-05-10,38445750000
2006-05-11,37928258000
2006-05-12,37513288000
2006-05-15,38343228000
2006-05-16,38138184000
2006-05-17,37142256000
2006-05-18,36859100000
2006-05-19,37459586000
2006-05-22,36878628000
2006-05-23,36907920000
2006-05-24,36981150000
2006-05-25,37098318000
2006-05-26,36995796000
2006-05-30,36629646000
2006-05-31,37176430000
2006-06-01,37762270000
