,FMCC
2002-03-26,43939584280
2002-03-27,44057553597
2002-03-28,43974280036
2002-04-01,44234618394
2002-04-02,45005423621
2002-04-03,45227637646
2002-04-04,46178996500
2002-04-05,46456766288
2002-04-08,46880363098
2002-04-09,46734535383
2002-04-10,46984527637
2002-04-11,45901226711
2002-04-12,46442874396
2002-04-15,46137332628
2002-04-16,46741476121
2002-04-17,46060946318
2002-04-18,45845672336
2002-04-19,45380410961
2002-04-22,45727621461
2002-04-23,45672067086
2002-04-24,45852617935
2002-04-25,45540130568
2002-04-26,45276247116
2002-04-29,45123478663
2002-04-30,45380410961
2002-05-01,45449852366
2002-05-02,45658180750
2002-05-03,46574816469
2002-05-06,46595647711
2002-05-07,46949804504
2002-05-08,46178996500
2002-05-09,46005391250
2002-05-10,45373465362
2002-05-13,46401211219
2002-05-14,46908140633
2002-05-15,46651202780
2002-05-16,46838694366
2002-05-17,46838694366
2002-05-20,46123441431
2002-05-21,45123478663
2002-05-22,45776230931
2002-05-23,44755431366
2002-05-24,45060977995
2002-05-28,44776268163
2002-05-29,45137365000
2002-05-30,45241529538
2002-05-31,45519298633
2002-06-03,44824877633
2002-06-04,44304059105
2002-06-05,44790154500
2002-06-06,44324893818
2002-06-07,44359614174
2002-06-10,44977646086
2002-06-11,44061013144
2002-06-12,44533216646
2002-06-13,43324925495
2002-06-14,43526308280
2002-06-17,44915150280
2002-06-18,45810954064
2002-06-19,45283192715
2002-06-20,44040178431
2002-06-21,42998546931
2002-06-24,43109657068
2002-06-25,42637450788
2002-06-26,41956915431
2002-06-27,43401312500
2002-06-28,42498565894
2002-07-01,42181771820
2002-07-02,41751770893
2002-07-03,41127573606
2002-07-05,42237257287
2002-07-08,41682413712
2002-07-09,39858376663
2002-07-10,39428372962
2002-07-11,40364668893
2002-07-12,39809828787
2002-07-15,40815474962
2002-07-16,41023543037
2002-07-17,41058219893
2002-07-18,40101118820
2002-07-19,38922081426
2002-07-22,37916431782
2002-07-23,38429660910
2002-07-24,40635153090
2002-07-25,40010956496
2002-07-26,40891766266
2002-07-29,41807253586
2002-07-30,42556290053
2002-07-31,42965485143
2002-08-01,43069515712
2002-08-02,41959835500
2002-08-05,42313545122
2002-08-06,41404995393
2002-08-07,41363380946
2002-08-08,42445321893
2002-08-09,43076453303
2002-08-12,42653386500
2002-08-13,42424513282
2002-08-14,44304038573
2002-08-15,44186133516
2002-08-16,44456617712
2002-08-19,44976780962
2002-08-20,44304038573
2002-08-21,44491298037
2002-08-22,43839358016
2002-08-23,44623068565
2002-08-26,44491298037
2002-08-27,43832423893
2002-08-28,44283229962
2002-08-29,44428875672
2002-08-30,44456617712
2002-09-03,42909999676
2002-09-04,43832423893
2002-09-05,43693713000
2002-09-06,43922586217
2002-09-09,44872747619
2002-09-10,43568873820
2002-09-11,44200005230
2002-09-12,43090324323
2002-09-13,43367743336
2002-09-16,42500804586
2002-09-17,40225958000
2002-09-18,42174837003
2002-09-19,41509025962
2002-09-20,40607410356
2002-09-23,42029189212
2002-09-24,40260634856
2002-09-25,39684988913
2002-09-26,40503379787
2002-09-27,38707082003
2002-09-30,38769502287
2002-10-01,40752281127
2002-10-02,40648935000
2002-10-03,39202109877
2002-10-04,38237557500
2002-10-07,37307456127
2002-10-08,38554480711
2002-10-09,37190330700
2002-10-10,38912743200
2002-10-11,40159770538
2002-10-14,40648935000
2002-10-15,43060312500
2002-10-16,42791616838
2002-10-17,42026865000
2002-10-18,43687270650
2002-10-21,42522920488
2002-10-22,43204994461
2002-10-23,43749277500
2002-10-24,42212885550
2002-10-25,42405795061
2002-10-28,42323119950
2002-10-29,41723721088
2002-10-30,42715830000
2002-10-31,42426466077
2002-11-01,42729609300
2002-11-04,43384126738
2002-11-05,43680382377
2002-11-06,43404795000
2002-11-07,41406795122
2002-11-08,40380239338
2002-11-11,40304452500
2002-11-12,40201106372
2002-11-13,39925522438
2002-11-14,40683382561
2002-11-15,40090872661
2002-11-18,39064316188
2002-11-19,39395018700
2002-11-20,40083983700
2002-11-21,41124320161
2002-11-22,40979638200
2002-11-25,40145990550
2002-11-26,39271005000
2002-11-27,40304452500
2002-11-29,39711941911
2002-12-02,40180438800
2002-12-03,40890071372
2002-12-04,39925522438
2002-12-05,39959970000
2002-12-06,40228665661
2002-12-09,40063316127
2002-12-10,40593816422
2002-12-11,40717830122
2002-12-12,40476693750
2002-12-13,40972749238
2002-12-16,41592816361
2002-12-17,41854623750
2002-12-18,41510141250
2002-12-19,41165658750
2002-12-20,41234553872
2002-12-23,41234553872
2002-12-24,41358568261
2002-12-26,41234553872
2002-12-27,40524921300
2002-12-30,40655823272
2002-12-31,40683382561
2003-01-02,42015799474
2003-01-03,42242539120
2003-01-06,43080794487
2003-01-07,42531119974
2003-01-08,43218213974
2003-01-09,43355630025
2003-01-10,43424341487
2003-01-13,43644210880
2003-01-14,44475596681
2003-01-15,43925919420
2003-01-16,43850339080
2003-01-17,44468724367
2003-01-21,43905307974
2003-01-22,42366216040
2003-01-23,41830283407
2003-01-24,40614127027
2003-01-27,38889519025
2003-01-28,38944487920
2003-01-29,39487292867
2003-01-30,38319232380
2003-01-31,38463522120
2003-02-03,38614683487
2003-02-04,38511618012
2003-02-05,38442909987
2003-02-06,37549688474
2003-02-07,37584042487
2003-02-10,37886362472
2003-02-11,37426010867
2003-02-12,37377914974
2003-02-13,37103076000
2003-02-14,37913846920
2003-02-18,38078748105
2003-02-19,38099362987
2003-02-20,37700847092
2003-02-21,37542815472
2003-02-24,37034367974
2003-02-25,37329818394
2003-02-26,37302333947
2003-02-27,37515331025
2003-02-28,37549688474
2003-03-03,37810782132
2003-03-04,37240495487
2003-03-05,37137430012
2003-03-06,36931302500
2003-03-07,37103076000
2003-03-10,34904374512
2003-03-11,35227309380
2003-03-12,35818210907
2003-03-13,36690820974
2003-03-14,36333531407
2003-03-17,36635852080
2003-03-18,37556558040
2003-03-19,38078748105
2003-03-20,37116817880
2003-03-21,38209298027
2003-03-24,37343557525
2003-03-25,36677078407
2003-03-26,37082463867
2003-03-27,37480977012
2003-03-28,37529073592
2003-03-31,36484690025
2003-04-01,37652750512
2003-04-02,37639008632
2003-04-03,38271136487
2003-04-04,38065008974
2003-04-07,38023781960
2003-04-08,38216167592
2003-04-09,38023781960
2003-04-10,37858878025
2003-04-11,38099362987
2003-04-14,38655907065
2003-04-15,39439196974
2003-04-16,38855165012
2003-04-17,39473550987
2003-04-21,39047553394
2003-04-22,40126290974
2003-04-23,41019512487
2003-04-24,40641611474
2003-04-25,39920160025
2003-04-28,39975128920
2003-04-29,39679678500
2003-04-30,39782743974
2003-05-01,39487292867
2003-05-02,39892678327
2003-05-05,40311803605
2003-05-06,40538546000
2003-05-07,40511061552
2003-05-08,39775870972
2003-05-09,40469837974
2003-05-12,41156931974
2003-05-13,41363059487
2003-05-14,41088220512
2003-05-15,41211898120
2003-05-16,42132604080
2003-05-19,41816541527
2003-05-20,41713476052
2003-05-21,41259994012
2003-05-22,40779027525
2003-05-23,39782743974
2003-05-27,40057579512
2003-05-28,40696577620
2003-05-29,40566030447
2003-05-30,41095092827
2003-06-02,41328705474
2003-06-03,41809668525
2003-06-04,41727218620
2003-06-05,41466121525
2003-06-06,41136317092
2003-06-09,34533343065
2003-06-10,35385341000
2003-06-11,34560827512
2003-06-12,32533899525
2003-06-13,34677634867
2003-06-16,35728888000
2003-06-17,35570856380
2003-06-18,35728888000
2003-06-19,35282275525
2003-06-20,34643278105
2003-06-23,34203538632
2003-06-24,34375312132
2003-06-25,34924989394
2003-06-26,34588311960
2003-06-27,34354700000
2003-06-30,34883762380
2003-07-01,35722018434
2003-07-02,37103076000
2003-07-03,36759529000
2003-07-07,37446623000
2003-07-08,37831396327
2003-07-09,37494719580
2003-07-10,36883205920
2003-07-11,36793883012
2003-07-14,37103076000
2003-07-15,36814497894
2003-07-16,36622109512
2003-07-17,35845692605
2003-07-18,35687661672
2003-07-21,35350986987
2003-07-22,35103632460
2003-07-23,35515888172
2003-07-24,34581442394
2003-07-25,34870020500
2003-07-28,34773828027
2003-07-29,33928702407
2003-07-30,33770671474
2003-07-31,33564540525
2003-08-01,33049220025
2003-08-04,33186639512
2003-08-05,33495832500
2003-08-06,33969926672
2003-08-07,33942444974
2003-08-08,33908087525
2003-08-11,34237895394
2003-08-12,34650150420
2003-08-13,34492119487
2003-08-14,34870020500
2003-08-15,34815051605
2003-08-18,35041794000
2003-08-19,34842536052
2003-08-20,34629538974
2003-08-21,34883762380
2003-08-22,33990540867
2003-08-25,35495276040
2003-08-26,35296018092
2003-08-27,35639565092
2003-08-28,36058693120
2003-08-29,36519047474
2003-09-02,37020625407
2003-09-03,38278006052
2003-09-04,38016912394
2003-09-05,37542815472
2003-09-08,38257393920
2003-09-09,38092490672
2003-09-10,36690820974
2003-09-11,37185526592
2003-09-12,37267979934
2003-09-15,37309203512
2003-09-16,37845138894
2003-09-17,37460364880
2003-09-18,37996297512
2003-09-19,37762685552
2003-09-22,37034367974
2003-09-23,37480977012
2003-09-24,36608367632
2003-09-25,36567143367
2003-09-26,36306046960
2003-09-29,36175500474
2003-09-30,35969369525
2003-10-01,36903818052
2003-10-02,36759529000
2003-10-03,37206141474
2003-10-06,37061849672
2003-10-07,37961943500
2003-10-08,38855165012
2003-10-09,39164358000
2003-10-10,39157488434
2003-10-13,39933902592
2003-10-14,40538546000
2003-10-15,40586642580
2003-10-16,40098806527
2003-10-17,40249967894
2003-10-20,40284321907
2003-10-21,40215611132
2003-10-22,39184970132
2003-10-23,39507905000
2003-10-24,39528517132
2003-10-27,39301777487
2003-10-28,40256837460
2003-10-29,39370485512
2003-10-30,38649037500
2003-10-31,38566586907
2003-11-03,39349873380
2003-11-04,38649037500
2003-11-05,38477264000
2003-11-06,37858878025
2003-11-07,37666493080
2003-11-10,37996297512
2003-11-11,37755815987
2003-11-12,38044394092
2003-11-13,38037524527
2003-11-14,37584042487
2003-11-17,37377914974
2003-11-18,36608367632
2003-11-19,37597784367
2003-11-20,38229909472
2003-11-21,38250521605
2003-11-24,37556558040
2003-11-25,37412268987
2003-11-26,37343557525
2003-11-28,37391654105
2003-12-01,37556558040
2003-12-02,38003169827
2003-12-03,37982555632
2003-12-04,37961943500
2003-12-05,38030651525
2003-12-08,37893235474
2003-12-09,37103076000
2003-12-10,37274849500
2003-12-11,37645880947
2003-12-12,37955073934
2003-12-15,37831396327
2003-12-16,38367328960
2003-12-17,37968813065
2003-12-18,37838266580
2003-12-19,38161201447
2003-12-22,39157488434
2003-12-23,38985714934
2003-12-24,38738360407
2003-12-26,38862037327
2003-12-29,39741516960
2003-12-30,39899548580
2003-12-31,40071322080
2004-01-02,40309211360
2004-01-05,40853744140
2004-01-06,41129455561
2004-01-07,40922671650
2004-01-08,40991601229
2004-01-09,40653852360
2004-01-12,40584924849
2004-01-13,40584924849
2004-01-14,40991601229
2004-01-15,41687775360
2004-01-16,42108237380
2004-01-20,42211631058
2004-01-21,43569514530
2004-01-22,44224335877
2004-01-23,43976190910
2004-01-26,44803330000
2004-01-27,44513832938
2004-01-28,42873341089
2004-01-29,42611413240
2004-01-30,43024981061
2004-02-02,43424766000
2004-02-03,43190410120
2004-02-04,42852660561
2004-02-05,43286908910
2004-02-06,43479909938
2004-02-09,43459229410
2004-02-10,43142160380
2004-02-11,43817656740
2004-02-12,43914155530
2004-02-13,44369084407
2004-02-17,44596543332
2004-02-18,44327724041
2004-02-19,44231224561
2004-02-20,44182974821
2004-02-23,44065798260
2004-02-24,42818197150
2004-02-25,43211087890
2004-02-26,42969839880
2004-02-27,42680340061
2004-03-01,43080125000
2004-03-02,42528700089
2004-03-03,42473556150
2004-03-04,42549377860
2004-03-05,43796978969
2004-03-08,43824550938
2004-03-09,43266231140
2004-03-10,42735484000
2004-03-11,41770487821
2004-03-12,42025524229
2004-03-15,41549918270
2004-03-16,41632634178
2004-03-17,41667097589
2004-03-18,41253526321
2004-03-19,40777923120
2004-03-22,41343134360
2004-03-23,41543026140
2004-03-24,40805495089
2004-03-25,40371246740
2004-03-26,40129998729
2004-03-29,40784814561
2004-03-30,41101886349
2004-03-31,40708995609
2004-04-01,41246634880
2004-04-02,41294884620
2004-04-05,41467205120
2004-04-06,41287993178
2004-04-07,41019170441
2004-04-08,41012279000
2004-04-12,40798600890
2004-04-13,40378140938
2004-04-14,40708995609
2004-04-15,40460854089
2004-04-16,40826172860
2004-04-19,40646960229
2004-04-20,39840498910
2004-04-21,39661286969
2004-04-22,40453959890
2004-04-23,39943892589
2004-04-26,39599251589
2004-04-27,40350568969
2004-04-28,39819821140
2004-04-29,40391923821
2004-04-30,40254070178
2004-05-03,40826172860
2004-05-04,40729673380
2004-05-05,40598711178
2004-05-06,40233389650
2004-05-07,39254610589
2004-05-10,39240824260
2004-05-11,39819821140
2004-05-12,39902534290
2004-05-13,39943892589
2004-05-14,40267853061
2004-05-17,39385572790
2004-05-18,39936998390
2004-05-19,39468285941
2004-05-20,39509644240
2004-05-21,39564788178
2004-05-24,39344217938
2004-05-25,39957678229
2004-05-26,40171354270
2004-05-27,40529780910
2004-05-28,40247175290
2004-06-01,40019713609
2004-06-02,40288533589
2004-06-03,40295425030
2004-06-04,40674529441
2004-06-07,41784274150
2004-06-08,41584384438
2004-06-09,41405169740
2004-06-10,41832523890
2004-06-14,41377597770
2004-06-15,42004844390
2004-06-16,42335699061
2004-06-17,42583841270
2004-06-18,42818197150
2004-06-21,42383951558
2004-06-22,42383951558
2004-06-23,42397734441
2004-06-24,42666557178
2004-06-25,42742375441
2004-06-28,43252445500
2004-06-29,43555728890
2004-06-30,43631549910
2004-07-01,43149051821
2004-07-02,43817656740
2004-07-06,44114048000
2004-07-07,44548293592
2004-07-08,44631009500
2004-07-09,44155403541
2004-07-12,44086476030
2004-07-13,44961866927
2004-07-14,45354757667
2004-07-15,45430579377
2004-07-16,46347320301
2004-07-19,46457608178
2004-07-20,45954429561
2004-07-21,44899828790
2004-07-22,44555187790
2004-07-23,43721157260
2004-07-26,44065798260
2004-07-27,44238118760
2004-07-28,44513832938
2004-07-29,44052012620
2004-07-30,44327724041
2004-08-02,44954972729
2004-08-03,44293262698
2004-08-04,44541404907
2004-08-05,44410439260
2004-08-06,44830901969
2004-08-09,43989977240
2004-08-10,44651687270
2004-08-11,45444362260
2004-08-12,45299613729
2004-08-13,45596005678
2004-08-16,45623576958
2004-08-17,45878608541
2004-08-18,46561001167
2004-08-19,45926857592
2004-08-20,45926857592
