,OTIS
2022-02-28,33227586000
2022-03-01,32939130000
2022-03-02,33418476000
2022-03-03,33588156000
2022-03-04,33070631999
2022-03-07,31518060000
2022-03-08,31178700000
2022-03-09,31925292000
2022-03-10,31305960000
2022-03-11,30712080000
2022-03-14,30533916000
2022-03-15,31242330000
2022-03-16,32027100000
2022-03-17,32404638000
2022-03-18,33079116000
2022-03-21,32803386000
2022-03-22,32888226000
2022-03-23,32425848000
2022-03-24,32841564000
2022-03-25,32765207999
2022-03-28,33091842000
2022-03-29,33363330000
2022-03-30,32981550000
2022-03-31,32426730000
2022-04-01,32144392000
2022-04-04,32296096000
2022-04-05,31668210000
2022-04-06,32123322000
2022-04-07,32675356000
2022-04-08,32548935999
2022-04-11,32182318000
2022-04-12,31980046000
2022-04-13,31958976000
2022-04-14,31499650000
2022-04-18,31023468000
2022-04-19,31760918000
2022-04-20,31824128000
2022-04-21,31693493999
2022-04-22,30939188000
2022-04-25,31436439999
2022-04-26,30496718000
2022-04-27,31002397999
2022-04-28,32055897999
2022-04-29,30694776000
2022-05-02,30741130000
2022-05-03,30897047999
2022-05-04,32279239999
2022-05-05,31470152000
2022-05-06,31428012000
2022-05-09,30892834000
2022-05-10,30665278000
2022-05-11,30720060000
2022-05-12,30762200000
2022-05-13,31651354000
2022-05-16,31326876000
2022-05-17,31798843999
2022-05-18,30429293999
2022-05-19,30589426000
2022-05-20,30947616000
2022-05-23,31128818000
2022-05-24,31811485999
2022-05-25,30985542000
2022-05-26,31638712000
2022-05-27,32152820000
2022-05-31,31352160000
2022-06-01,31170958000
2022-06-02,31706135999
2022-06-03,31685066000
2022-06-06,31689280000
2022-06-07,32232885999
2022-06-08,32169676000
2022-06-09,32026400000
2022-06-10,30884406000
2022-06-13,29961539999
2022-06-14,29165093999
2022-06-15,29396864000
2022-06-16,28634130000
2022-06-17,28604631999
2022-06-21,29443218000
2022-06-22,28975464000
2022-06-23,28903826000
2022-06-24,29860404000
2022-06-27,29464288000
2022-06-28,29409506000
2022-06-29,29405292000
2022-06-30,29575395000
2022-07-01,30090150000
2022-07-05,29868345000
2022-07-06,29822310000
2022-07-07,29332665000
2022-07-08,29248965000
2022-07-11,28876500000
2022-07-12,28809540000
2022-07-13,28625400000
2022-07-14,28872314999
2022-07-15,29089935000
2022-07-18,28859759999
2022-07-19,30065040000
2022-07-20,30412395000
2022-07-21,30529575000
2022-07-22,30090150000
2022-07-25,30295215000
2022-07-26,30433320000
2022-07-27,31990140000
2022-07-28,32161724999
2022-07-29,32714145000
2022-08-01,32760180000
2022-08-02,32417009999
2022-08-03,33157755000
2022-08-04,33270750000
2022-08-05,33195419999
2022-08-08,33178680000
2022-08-09,33002910000
2022-08-10,33438150000
2022-08-11,33731099999
2022-08-12,34212375000
2022-08-15,34128675000
2022-08-16,34032419999
2022-08-17,33722730000
2022-08-18,33651585000
2022-08-19,33233085000
2022-08-22,32362605000
2022-08-23,32182650000
2022-08-24,32379345000
2022-08-25,32718330000
2022-08-26,31483755000
2022-08-29,30998294999
2022-08-30,30491910000
2022-08-31,30224070000
2022-09-01,30433320000
2022-09-02,30014820000
2022-09-06,30165480000
2022-09-07,30722085000
2022-09-08,30512835000
2022-09-09,30717900000
2022-09-12,30885300000
2022-09-13,29763720000
2022-09-14,29232224999
2022-09-15,28847205000
2022-09-16,28374300000
2022-09-19,28562625000
2022-09-20,28298970000
2022-09-21,28052055000
2022-09-22,27390825000
2022-09-23,27528930000
2022-09-26,27357345000
2022-09-27,27256905000
2022-09-28,27524745000
2022-09-29,26993250000
2022-09-30,26528040000
2022-10-03,27209952000
2022-10-04,27879390000
2022-10-05,28037394000
2022-10-06,27775440000
2022-10-07,27135108000
2022-10-10,27031158000
2022-10-11,26923050000
2022-10-12,26852364000
2022-10-13,27031158000
2022-10-14,26661096000
2022-10-17,27180846000
2022-10-18,27738017999
2022-10-19,27559224000
2022-10-20,26923050000
2022-10-21,27771282000
2022-10-24,27891864000
2022-10-25,28627829999
2022-10-26,28415772000
2022-10-27,29110158000
2022-10-28,29808702000
2022-10-31,29372112000
2022-11-01,29733858000
2022-11-02,29193317999
2022-11-03,29193317999
2022-11-04,30444876000
2022-11-07,30661091999
2022-11-08,30419928000
2022-11-09,30191238000
2022-11-10,31434479999
2022-11-11,32170446000
2022-11-14,32336766000
2022-11-15,32727617999
2022-11-16,32598720000
2022-11-17,32162129999
2022-11-18,32332608000
2022-11-21,32511402000
2022-11-22,32536350000
2022-11-23,32473979999
2022-11-25,32710986000
2022-11-28,31742172000
2022-11-29,31966704000
2022-11-30,32469822000
2022-12-01,32777514000
2022-12-02,33160050000
2022-12-05,32631984000
2022-12-06,32927202000
2022-12-07,32848200000
2022-12-08,33155891999
2022-12-09,32623667999
2022-12-12,33488532000
2022-12-13,33659010000
2022-12-14,33367950000
2022-12-15,32773355999
2022-12-16,32681879999
2022-12-19,32378346000
2022-12-20,32399136000
2022-12-21,32860674000
2022-12-22,32490612000
2022-12-23,32582088000
2022-12-27,32644458000
2022-12-28,32182920000
2022-12-29,32877305999
2022-12-30,32561298000
2023-01-03,32779416000
2023-01-04,33463011000
2023-01-05,33197859000
2023-01-06,33910454999
2023-01-09,33753021000
2023-01-10,33835881000
2023-01-11,33931170000
2023-01-12,34345470000
2023-01-13,34490475000
2023-01-17,34378614000
2023-01-18,33885597000
2023-01-19,32998995000
2023-01-20,33479583000
2023-01-23,33703304999
2023-01-24,34018173000
2023-01-25,33541727999
2023-01-26,33591444000
2023-01-27,33641160000
2023-01-30,33541727999
2023-01-31,34067889000
2023-02-01,35033208000
2023-02-02,34743198000
2023-02-03,35103639000
2023-02-06,34664481000
2023-02-07,34647909000
2023-02-08,34606479000
2023-02-09,34308183000
2023-02-10,34478046000
2023-02-13,34958634000
2023-02-14,34937919000
2023-02-15,35037351000
2023-02-16,34631337000
2023-02-17,35116068000
2023-02-21,34411758000
2023-02-22,34540191000
2023-02-23,34788771000
2023-02-24,34647909000
2023-02-27,34801200000
2023-02-28,35058066000
2023-03-01,35310789000
2023-03-02,35493081000
2023-03-03,36015099000
2023-03-06,35899095000
2023-03-07,35273502000
2023-03-08,35356362000
2023-03-09,34863345000
2023-03-10,34034745000
2023-03-13,33947742000
2023-03-14,34565049000
2023-03-15,33624588000
2023-03-16,33769593000
2023-03-17,33160572000
2023-03-20,33881454000
2023-03-21,34101033000
2023-03-22,33409152000
2023-03-23,33260004000
2023-03-24,33351150000
2023-03-27,33554156999
2023-03-28,33856596000
2023-03-29,34316469000
2023-03-30,34440759000
2023-03-31,34831880000
2023-04-03,34749340000
2023-04-04,33276001000
2023-04-05,32764253000
2023-04-06,32392822999
2023-04-10,32656951000
2023-04-11,32921079000
2023-04-12,33317271000
2023-04-13,33494732000
2023-04-14,33536002000
2023-04-17,33998226000
2023-04-18,33961083000
2023-04-19,34047750000
2023-04-20,34150925000
2023-04-21,34142671000
2023-04-24,34274735000
2023-04-25,34109655000
2023-04-26,33791876000
2023-04-27,35442676000
2023-04-28,35203310000
2023-05-01,35471565000
2023-05-02,35599502000
2023-05-03,35302358000
2023-05-04,35203310000
2023-05-05,35475692000
2023-05-08,35393152000
2023-05-09,35265215000
2023-05-10,35265215000
2023-05-11,34889658000
2023-05-12,34831880000
2023-05-15,34877277000
2023-05-16,34229338000
2023-05-17,34563625000
2023-05-18,34873150000
2023-05-19,34897912000
2023-05-22,34699816000
2023-05-23,33940447999
2023-05-24,33469969999
2023-05-25,33606161000
2023-05-26,33754733000
2023-05-30,33523621000
2023-05-31,32813777000
2023-06-01,33639177000
2023-06-02,35327120000
2023-06-05,34885531000
2023-06-06,35294104000
2023-06-07,35983313000
2023-06-08,35529343000
2023-06-09,35351882000
2023-06-12,35698550000
2023-06-13,35987440000
2023-06-14,36115377000
2023-06-15,36540458000
2023-06-16,36573474000
2023-06-20,35937916000
2023-06-21,35904900000
2023-06-22,35521089000
2023-06-23,35644899000
2023-06-26,35954424000
2023-06-27,36210298000
2023-06-28,36115377000
2023-06-29,36569347000
2023-06-30,36565308000
2023-07-03,36400988000
2023-07-05,35961432000
2023-07-06,35489012000
