,SBNY
2007-11-06,997205310.0
2007-11-07,985091112.0
2007-11-08,1029411348.0
2007-11-09,1068117687.0
2007-11-12,1058958172.0
2007-11-13,1058662703.0
2007-11-14,1070481433.0
2007-11-15,1063390195.0
2007-11-16,1063094727.0
2007-11-19,1044184760.0
2007-11-20,1030888689.0
2007-11-21,1020251832.0
2007-11-23,1031479625.0
2007-11-26,993659691.0
2007-11-27,1010501380.0
2007-11-28,1074322520.0
2007-11-29,1078163607.0
2007-11-30,1094709829.0
2007-12-03,1045366633.0
2007-12-04,1042707418.0
2007-12-05,1053048807.0
2007-12-06,1079936417.0
2007-12-07,1069595028.0
2007-12-10,1067526751.0
2007-12-11,1015228872.0
2007-12-12,1001341865.0
2007-12-13,1019660896.0
2007-12-14,996614373.0
2007-12-17,992182349.0
2007-12-18,1028524943.0
2007-12-19,1030888689.0
2007-12-20,1053344275.0
2007-12-21,1058958172.0
2007-12-24,1063685664.0
2007-12-26,1076981734.0
2007-12-27,1025865729.0
2007-12-28,996909841.0
2007-12-31,997205310.0
2008-01-02,982938450.0
2008-01-03,976700400.0
2008-01-04,960362650.0
2008-01-07,999870299.0
2008-01-08,987394200.0
2008-01-09,996008650.0
2008-01-10,1023634300.0
2008-01-11,1011158200.0
2008-01-14,1012049350.0
2008-01-15,984126650.0
2008-01-16,984126650.0
2008-01-17,940163250.0
2008-01-18,951154100.0
2008-01-22,983235500.0
2008-01-23,1076806250.0
2008-01-24,1085123650.0
2008-01-25,1024822500.0
2008-01-28,1044724850.0
2008-01-29,1045616000.0
2008-01-30,1030169400.0
2008-01-31,995414550.0
2008-02-01,1022446100.0
2008-02-04,979967950.0
2008-02-05,955906900.0
2008-02-06,931251750.0
2008-02-07,959768550.0
2008-02-08,945213100.0
2008-02-11,920855000.0
2008-02-12,928875350.0
2008-02-13,931251750.0
2008-02-14,861445000.0
2008-02-15,838572150.0
2008-02-19,836492800.0
2008-02-20,846592500.0
2008-02-21,832928200.0
2008-02-22,834710500.0
2008-02-25,830551800.0
2008-02-26,835601650.0
2008-02-27,830254750.0
2008-02-28,811243550.0
2008-02-29,787182500.0
2008-03-03,776191650.0
2008-03-04,763418500.0
2008-03-05,744407300.0
2008-03-06,695691100.0
2008-03-07,699849800.0
2008-03-10,690938300.0
2008-03-11,744407300.0
2008-03-12,744110250.0
2008-03-13,772627050.0
2008-03-14,750942400.0
2008-03-17,742327950.0
2008-03-18,775894600.0
2008-03-19,764606700.0
2008-03-20,811540600.0
2008-03-24,812431750.0
2008-03-25,810055350.0
2008-03-26,779459200.0
2008-03-27,764903750.0
2008-03-28,753021750.0
2008-03-31,757477500.0
2008-04-01,804845280.0
2008-04-02,806631840.0
2008-04-03,797996800.0
2008-04-04,789361760.0
2008-04-07,753332800.0
2008-04-08,756608160.0
2008-04-09,739040320.0
2008-04-10,746782080.0
2008-04-11,746484320.0
2008-04-14,730405280.0
2008-04-15,749759680.0
2008-04-16,792637120.0
2008-04-17,789957280.0
2008-04-18,798592320.0
2008-04-21,775664800.0
2008-04-22,745293280.0
2008-04-23,740529120.0
2008-04-24,770602880.0
2008-04-25,783108800.0
2008-04-28,806334080.0
2008-04-29,797103520.0
2008-04-30,785490880.0
2008-05-01,874818880.0
2008-05-02,864099520.0
2008-05-05,870948000.0
2008-05-06,885538240.0
2008-05-07,849509280.0
2008-05-08,850104800.0
2008-05-09,837896640.0
2008-05-12,857548800.0
2008-05-13,848913760.0
2008-05-14,854273440.0
2008-05-15,868268160.0
2008-05-16,855166720.0
2008-05-19,841469760.0
2008-05-20,833430240.0
2008-05-21,817946720.0
2008-05-22,817351200.0
2008-05-23,805143040.0
2008-05-27,840278720.0
2008-05-28,829559360.0
2008-05-29,851593600.0
2008-05-30,849807040.0
2008-06-02,835216800.0
2008-06-03,825688480.0
2008-06-04,814075840.0
2008-06-05,844149600.0
2008-06-06,803952000.0
2008-06-09,788766240.0
