,LNC
2002-09-10,6309465814
2002-09-11,6291282915
2002-09-12,6005811407
2002-09-13,5973082190
2002-09-16,5927624943
2002-09-17,5734886218
2002-09-18,5809436102
2002-09-19,5654881464
2002-09-20,5633061986
2002-09-23,5636698566
2002-09-24,5558512102
2002-09-25,5711248450
2002-09-26,5905805465
2002-09-27,5656699754
2002-09-30,5783115000
2002-10-01,6076530000
2002-10-02,5716860000
2002-10-03,5468877000
2002-10-04,5167890000
2002-10-07,4904763000
2002-10-08,5035380000
2002-10-09,4764681000
2002-10-10,5035380000
2002-10-11,5378013000
2002-10-14,5466984000
2002-10-15,6114389999
2002-10-16,5866407000
2002-10-17,6065172000
2002-10-18,6103032000
2002-10-21,6012168000
2002-10-22,5851263000
2002-10-23,5785008000
2002-10-24,5690358000
2002-10-25,5578671000
2002-10-28,5504844000
2002-10-29,5251182000
2002-10-30,5537025000
2002-10-31,5775543000
2002-11-01,5944020000
2002-11-04,6048135000
2002-11-05,5902374000
2002-11-06,6029205000
2002-11-07,5877765000
2002-11-08,5771757000
2002-11-11,5635461000
2002-11-12,5773650000
2002-11-13,5885337000
2002-11-14,6061386000
2002-11-15,6138999000
2002-11-18,6070851000
2002-11-19,6104925000
2002-11-20,6258258000
2002-11-21,6451344000
2002-11-22,6489204000
2002-11-25,6530850000
2002-11-26,6451344000
2002-11-27,6689862000
2002-11-29,6652002000
2002-12-02,6634964999
2002-12-03,6542208000
2002-12-04,6470274000
2002-12-05,6373731000
2002-12-06,6364265999
2002-12-09,6199575000
2002-12-10,6246900000
2002-12-11,6339657000
2002-12-12,6231756000
2002-12-13,6137106000
2002-12-16,6292332000
2002-12-17,6173073000
2002-12-18,6059493000
2002-12-19,5894802000
2002-12-20,6032991000
2002-12-23,6051921000
2002-12-24,6038670000
2002-12-26,6057600000
2002-12-27,5925090000
2002-12-30,5991345000
2002-12-31,5710350517
2003-01-02,5947226995
2003-01-03,5961692734
2003-01-06,6222076038
2003-01-07,6185911691
2003-01-08,6109966560
2003-01-09,6330569082
2003-01-10,6345034821
2003-01-13,6287171865
2003-01-14,6323336212
2003-01-15,6350459473
2003-01-16,6260048604
2003-01-17,6260048604
2003-01-21,6091884386
2003-01-22,6081035082
2003-01-23,6191336343
2003-01-24,5932761256
2003-01-27,5874898300
2003-01-28,5918295517
2003-01-29,5864048995
2003-01-30,5721199821
2003-01-31,5831501082
2003-02-03,5598241039
2003-02-04,5469857604
2003-02-05,5430076822
2003-02-06,5252871517
2003-02-07,5238405778
2003-02-10,5330624865
2003-02-11,5218515387
2003-02-12,5193200344
2003-02-13,5006953952
2003-02-14,5093748387
2003-02-18,5187775691
2003-02-19,5091940170
2003-02-20,5034077213
