,PKG
2004-03-09,2384687850
2004-03-10,2312713250
2004-03-11,2288368900
2004-03-12,2349759000
2004-03-15,2302128750
2004-03-16,2323297750
2004-03-17,2416441350
2004-03-18,2392097000
2004-03-19,2430201200
2004-03-22,2344466750
2004-03-23,2328590000
2004-03-24,2294719600
2004-03-25,2344466750
2004-03-26,2341291400
2004-03-29,2374103350
2004-03-30,2402681500
2004-03-31,2394901920
2004-04-01,2428872160
2004-04-02,2443734140
2004-04-05,2445857280
2004-04-06,2443734140
2004-04-07,2441611000
2004-04-08,2430995300
2004-04-12,2461780830
2004-04-13,2503182060
2004-04-14,2492566360
2004-04-15,2548829570
2004-04-16,2632693600
2004-04-19,2614646910
2004-04-20,2446918850
2004-04-21,2505305200
2004-04-22,2542460150
2004-04-23,2506366770
2004-04-26,2494689500
2004-04-27,2468150250
2004-04-28,2415071750
2004-04-29,2372608950
2004-04-30,2333330860
2004-05-03,2399148200
2004-05-04,2408702330
2004-05-05,2383224650
2004-05-06,2368362670
2004-05-07,2276006080
2004-05-10,2247343690
2004-05-11,2282375500
2004-05-12,2282375500
2004-05-13,2312099460
2004-05-14,2309976320
2004-05-17,2281313930
2004-05-18,2324838300
2004-05-19,2415071750
2004-05-20,2425687450
2004-05-21,2453288270
2004-05-24,2476642810
2004-05-25,2475581240
2004-05-26,2484073800
2004-05-27,2505305200
2004-05-28,2494689500
2004-06-01,2523351890
2004-06-02,2521228750
2004-06-03,2481950660
2004-06-04,2505305200
2004-06-07,2537152300
2004-06-08,2542460150
2004-06-09,2513797760
2004-06-10,2516982470
2004-06-14,2452226700
2004-06-15,2466027110
2004-06-16,2462842400
2004-06-17,2504243630
2004-06-18,2499997350
2004-06-21,2501058920
2004-06-22,2528659740
2004-06-23,2515920900
2004-06-24,2531844450
2004-06-25,2526536600
2004-06-28,2519105610
2004-06-29,2537152300
2004-06-30,2547787800
2004-07-01,2528599440
2004-07-02,2534995560
2004-07-06,2517939240
2004-07-07,2539259640
2004-07-08,2523269340
2004-07-09,2520071280
2004-07-12,2530731480
2004-07-13,2541391680
2004-07-14,2590428600
2004-07-15,2578702380
2004-07-16,2584032480
2004-07-19,2571240240
2004-07-20,2665050000
2004-07-21,2588296560
2004-07-22,2542457700
2004-07-23,2507279040
2004-07-26,2513675160
2004-07-27,2521137300
2004-07-28,2523269340
2004-07-29,2505147000
2004-07-30,2490222720
2004-08-02,2507279040
2004-08-03,2475298440
2004-08-04,2479562520
2004-08-05,2430525600
2004-08-06,2385752760
2004-08-09,2388950820
2004-08-10,2417733360
2004-08-11,2385752760
2004-08-12,2378290620
2004-08-13,2364432360
2004-08-16,2383620720
2004-08-17,2387884800
2004-08-18,2449713960
2004-08-19,2446515900
2004-08-20,2505147000
2004-08-23,2456110080
2004-08-24,2496618840
2004-08-25,2505147000
2004-08-26,2478496500
2004-08-27,2462506200
2004-08-30,2442251820
2004-08-31,2441185800
2004-09-01,2477430480
2004-09-02,2521137300
2004-09-03,2507279040
2004-09-07,2566976160
2004-09-08,2532863520
2004-09-09,2537127600
2004-09-10,2506213020
2004-09-13,2517939240
2004-09-14,2519005260
2004-09-15,2521137300
2004-09-16,2546721780
2004-09-17,2505147000
2004-09-20,2485958640
