,WHR
2003-06-12,4387182000
2003-06-13,4343214000
2003-06-16,4467561000
2003-06-17,4477866000
2003-06-18,4393365000
2003-06-19,4319856000
2003-06-20,4328787000
2003-06-23,4321230000
2003-06-24,4354893000
2003-06-25,4335657000
2003-06-26,4389243000
2003-06-27,4359015000
2003-06-30,4408040000
2003-07-01,4385204000
2003-07-02,4387280000
2003-07-03,4352680000
2003-07-07,4423264000
2003-07-08,4428800000
2003-07-09,4403888000
2003-07-10,4419112000
2003-07-11,4432952000
2003-07-14,4561664000
2003-07-15,4479316000
2003-07-16,4449560000
2003-07-17,4436412000
2003-07-18,4428800000
2003-07-21,4423956000
2003-07-22,4488312000
2003-07-23,4563740000
2003-07-24,4346452000
2003-07-25,4492464000
2003-07-28,4536752000
2003-07-29,4577580000
2003-07-30,4530524000
2003-07-31,4482776000
2003-08-01,4542288000
2003-08-04,4609412000
2003-08-05,4531908000
2003-08-06,4570660000
2003-08-07,4632248000
2003-08-08,4666848000
2003-08-11,4675152000
2003-08-12,4724976000
2003-08-13,4690376000
2003-08-14,4746428000
2003-08-15,4734664000
2003-08-18,4825316000
2003-08-19,4817704000
2003-08-20,4826008000
2003-08-21,4840540000
2003-08-22,4785872000
2003-08-25,4764420000
2003-08-26,4752656000
2003-08-27,4836388000
2003-08-28,4841924000
2003-08-29,4814936000
2003-09-02,4865452000
2003-09-03,4970636000
2003-09-04,4840540000
2003-09-05,4841232000
2003-09-08,4847460000
2003-09-09,4722900000
2003-09-10,4646088000
2003-09-11,4621176000
2003-09-12,4713904000
2003-09-15,4781720000
2003-09-16,4840540000
2003-09-17,4819088000
2003-09-18,4844000000
2003-09-19,4803172000
2003-09-22,4754732000
2003-09-23,4779644000
2003-09-24,4745736000
2003-09-25,4722900000
2003-09-26,4700064000
2003-09-29,4682764000
2003-09-30,4662576000
2003-10-01,4743760000
2003-10-02,4768528000
2003-10-03,4786416000
2003-10-06,4802240000
2003-10-07,4805680000
2003-10-08,4836640000
2003-10-09,4854528000
2003-10-10,4848336000
2003-10-13,4946720000
2003-10-14,4945344000
2003-10-15,4950160000
2003-10-16,4915760000
2003-10-17,4939840000
2003-10-20,4901312000
2003-10-21,4809120000
2003-10-22,4527728000
2003-10-23,4604096000
2003-10-24,4652256000
2003-10-27,4691472000
2003-10-28,4778848000
2003-10-29,4862784000
2003-10-30,4916448000
2003-10-31,4848336000
2003-11-03,4845584000
2003-11-04,4826320000
2003-11-05,4812560000
2003-11-06,4781600000
2003-11-07,4796736000
2003-11-10,4577264000
2003-11-11,4652256000
2003-11-12,4623360000
2003-11-13,4674960000
2003-11-14,4624736000
2003-11-17,4575200000
2003-11-18,4573136000
2003-11-19,4588960000
2003-11-20,4562816000
2003-11-21,4564880000
2003-11-24,4714176000
2003-11-25,4710736000
2003-11-26,4679776000
2003-11-28,4700416000
2003-12-01,4733440000
2003-12-02,4715552000
2003-12-03,4680464000
2003-12-04,4633680000
2003-12-05,4599280000
2003-12-08,4664640000
2003-12-09,4630928000
2003-12-10,4569008000
2003-12-11,4632992000
2003-12-12,4610288000
2003-12-15,4630928000
2003-12-16,4789856000
2003-12-17,4800176000
2003-12-18,4939152000
2003-12-19,4892368000
2003-12-22,4943280000
2003-12-23,4963232000
2003-12-24,4922640000
2003-12-26,4946032000
2003-12-29,4999696000
2003-12-30,4994880000
2003-12-31,4998320000
2004-01-02,4897184000
2004-01-05,4968736000
2004-01-06,4946720000
2004-01-07,4969424000
2004-01-08,5007264000
2004-01-09,5043728000
2004-01-12,5015520000
2004-01-13,5005888000
2004-01-14,5163440000
2004-01-15,5210224000
2004-01-16,5283840000
2004-01-20,5266640000
2004-01-21,5461344000
2004-01-22,5433136000
2004-01-23,5378096000
2004-01-26,5402176000
2004-01-27,5325120000
2004-01-28,5129040000
2004-01-29,5168944000
2004-01-30,5225360000
2004-02-02,5153120000
2004-02-03,5043728000
2004-02-04,5018960000
2004-02-05,5023776000
2004-02-06,5058176000
2004-02-09,5040288000
2004-02-10,5058176000
2004-02-11,5082256000
2004-02-12,5070560000
2004-02-13,4988000000
2004-02-17,4996944000
2004-02-18,4965296000
2004-02-19,4943280000
2004-02-20,4907504000
2004-02-23,4829760000
2004-02-24,4837328000
2004-02-25,4827008000
2004-02-26,4999008000
2004-02-27,5018272000
2004-03-01,5080880000
2004-03-02,4983184000
2004-03-03,4997632000
2004-03-04,4961856000
2004-03-05,5021024000
2004-03-08,4908880000
2004-03-09,4830448000
2004-03-10,4711424000
2004-03-11,4592400000
2004-03-12,4674960000
2004-03-15,4595152000
2004-03-16,4621296000
2004-03-17,4758896000
2004-03-18,4723120000
2004-03-19,4685968000
2004-03-22,4637808000
2004-03-23,4662576000
2004-03-24,4661888000
2004-03-25,4688720000
2004-03-26,4686656000
2004-03-29,4699040000
2004-03-30,4726560000
2004-03-31,4683160000
2004-04-01,4732120000
2004-04-02,4738920000
2004-04-05,4780400000
2004-04-06,4778360000
2004-04-07,4736880000
2004-04-08,4659360000
2004-04-12,4710360000
2004-04-13,4570280000
2004-04-14,4617200000
2004-04-15,4646440000
2004-04-16,4692000000
2004-04-19,4642360000
2004-04-20,4585920000
2004-04-21,4539000000
2004-04-22,4715120000
2004-04-23,4706280000
2004-04-26,4641000000
2004-04-27,4641680000
2004-04-28,4590000000
2004-04-29,4468280000
2004-04-30,4454680000
2004-05-03,4497520000
2004-05-04,4423400000
2004-05-05,4433600000
2004-05-06,4336360000
2004-05-07,4222120000
2004-05-10,4222800000
2004-05-11,4332960000
2004-05-12,4360160000
2004-05-13,4381920000
2004-05-14,4377840000
2004-05-17,4352000000
2004-05-18,4396200000
2004-05-19,4320040000
2004-05-20,4354040000
2004-05-21,4380560000
2004-05-24,4445160000
2004-05-25,4638280000
2004-05-26,4616520000
2004-05-27,4600200000
2004-05-28,4524040000
2004-06-01,4542400000
2004-06-02,4545120000
2004-06-03,4524040000
2004-06-04,4496840000
2004-06-07,4585920000
2004-06-08,4565520000
2004-06-09,4545800000
2004-06-10,4579800000
2004-06-14,4492760000
2004-06-15,4602240000
2004-06-16,4561440000
2004-06-17,4560080000
2004-06-18,4566200000
2004-06-21,4591360000
2004-06-22,4623320000
2004-06-23,4734160000
2004-06-24,4815080000
2004-06-25,4748440000
2004-06-28,4676360000
2004-06-29,4628760000
2004-06-30,4555040000
2004-07-01,4489304000
2004-07-02,4523168000
2004-07-06,4538440000
2004-07-07,4407632000
2004-07-08,4282135999
2004-07-09,4317992000
2004-07-12,4229680000
2004-07-13,4229680000
2004-07-14,4156640000
2004-07-15,4138048000
2004-07-16,4124104000
2004-07-19,4120120000
2004-07-20,4244952000
2004-07-21,4160624000
2004-07-22,4231672000
2004-07-23,4184528000
2004-07-26,4107504000
2004-07-27,4120120000
2004-07-28,4113480000
2004-07-29,4153320000
2004-07-30,4146016000
2004-08-02,4174568000
2004-08-03,4108832000
2004-08-04,4134064000
2004-08-05,3964744000
2004-08-06,3898344000
2004-08-09,3984000000
2004-08-10,4017200000
2004-08-11,3944824000
2004-08-12,3914280000
2004-08-13,3950136000
2004-08-16,4061688000
2004-08-17,4100200000
2004-08-18,4176560000
2004-08-19,4118128000
2004-08-20,4116800000
