,MLM
2003-03-11,1278499545
2003-03-12,1280944095
2003-03-13,1294633574
2003-03-14,1313212152
2003-03-17,1334724190
2003-03-18,1344502390
2003-03-19,1346946939
2003-03-20,1344013480
2003-03-21,1425172533
2003-03-24,1363080968
2003-03-25,1356236229
2003-03-26,1327879451
2003-03-27,1319567982
2003-03-28,1372859167
2003-03-31,1350283367
2003-04-01,1375714274
2003-04-02,1408481020
2003-04-03,1406035741
2003-04-04,1429021369
2003-04-07,1447116437
2003-04-08,1453474164
2003-04-09,1425597977
2003-04-10,1407502908
2003-04-11,1408970076
2003-04-14,1415327803
2003-04-15,1416305915
2003-04-16,1386962560
2003-04-17,1392831231
2003-04-21,1365933156
2003-04-22,1400167070
2003-04-23,1384028225
2003-04-24,1368378436
2003-04-25,1342947528
2003-04-28,1364955044
2003-04-29,1402612349
2003-04-30,1446138325
2003-05-01,1445160214
2003-05-02,1454941332
2003-05-05,1453963220
2003-05-06,1452496052
2003-05-07,1479883183
2003-05-08,1478905071
2003-05-09,1486729966
2003-05-12,1538569892
2003-05-13,1572314750
2003-05-14,1568402303
2003-05-15,1576227197
2003-05-16,1572803806
2003-05-19,1565467967
2003-05-20,1582095868
2003-05-21,1564978912
2003-05-22,1583073980
2003-05-23,1594811322
2003-05-27,1627578068
2003-05-28,1653498031
2003-05-29,1639804466
2003-05-30,1673060268
2003-06-02,1712184740
2003-06-03,1711695685
2003-06-04,1731257921
2003-06-05,1797280469
2003-06-06,1773805785
2003-06-09,1717075300
2003-06-10,1744462430
2003-06-11,1785054071
2003-06-12,1822711376
2003-06-13,1783097847
2003-06-16,1832492494
2003-06-17,1848631339
2003-06-18,1799725748
2003-06-19,1767937114
2003-06-20,1706805125
2003-06-23,1717564355
2003-06-24,1714140964
2003-06-25,1675994603
2003-06-26,1650563696
2003-06-27,1679907050
2003-06-30,1644297257
2003-07-01,1682457086
2003-07-02,1696155486
2003-07-03,1699580086
2003-07-07,1746056802
2003-07-08,1759265973
2003-07-09,1760244430
2003-07-10,1713767715
2003-07-11,1707407744
2003-07-14,1711810801
2003-07-15,1678054029
2003-07-16,1687838601
2003-07-17,1649189543
2003-07-18,1680989400
2003-07-21,1658484886
2003-07-22,1687838601
2003-07-23,1680500172
2003-07-24,1669737143
2003-07-25,1673650972
2003-07-28,1672672515
2003-07-29,1675118657
2003-07-30,1878637747
2003-07-31,1873745461
2003-08-01,1863471661
2003-08-04,1849284032
2003-08-05,1824822603
2003-08-06,1842434832
2003-08-07,1819930317
2003-08-08,1861514746
2003-08-11,1850262489
2003-08-12,1859068604
2003-08-13,1821887231
2003-08-14,1845859432
2003-08-15,1860536289
2003-08-18,1867385489
2003-08-19,1874723918
2003-08-20,1872767004
2003-08-21,1883040804
2003-08-22,1848305575
2003-08-25,1855644003
2003-08-26,1861514746
2003-08-27,1860536289
2003-08-28,1857111689
2003-08-29,1870320861
2003-09-02,1882551575
2003-09-03,1929028290
2003-09-04,1922668319
2003-09-05,1881083890
2003-09-08,1907991462
2003-09-09,1899185347
2003-09-10,1843413289
2003-09-11,1862493204
2003-09-12,1862982432
2003-09-15,1866407032
2003-09-16,1862982432
2003-09-17,1841945603
2003-09-18,1851730175
2003-09-19,1834607175
2003-09-22,1818951860
2003-09-23,1834607175
2003-09-24,1848794803
2003-09-25,1809167288
2003-09-26,1776388973
2003-09-29,1807210374
2003-09-30,1761729612
2003-10-01,1844861983
2003-10-02,1837128739
2003-10-03,1838095395
2003-10-06,1848728605
2003-10-07,1853561882
2003-10-08,1851628571
2003-10-09,1864195093
2003-10-10,1875311631
2003-10-13,1942494187
2003-10-14,1949260775
2003-10-15,1947327464
2003-10-16,1950227430
2003-10-17,1930410993
2003-10-20,1928477682
2003-10-21,1931377649
2003-10-22,1912044539
2003-10-23,1933310960
2003-10-24,1929444338
2003-10-27,1943944170
2003-10-28,2031426491
2003-10-29,2024659902
2003-10-30,2032393146
2003-10-31,1980193750
2003-11-03,2056076205
2003-11-04,2071059365
2003-11-05,2078309282
2003-11-06,2053176239
2003-11-07,2054142895
2003-11-10,2055592878
2003-11-11,2034809785
2003-11-12,2038676407
2003-11-13,2043993012
2003-11-14,2042059701
2003-11-17,2008710087
2003-11-18,2002910154
2003-11-19,1991310288
2003-11-20,2001460171
2003-11-21,2009193415
2003-11-24,2030943163
2003-11-25,2046892978
2003-11-26,2039159735
2003-11-28,2057526189
2003-12-01,2086042525
2003-12-02,2113108879
2003-12-03,2114075534
2003-12-04,2134858627
2003-12-05,2131475333
2003-12-08,2156125048
2003-12-09,2147425148
2003-12-10,2101992341
2003-12-11,2154675064
2003-12-12,2193341284
2003-12-15,2181258090
2003-12-16,2187058023
2003-12-17,2186574695
2003-12-18,2220890965
2003-12-19,2231524175
2003-12-22,2261007167
2003-12-23,2292906798
2003-12-24,2284690226
2003-12-26,2303056681
2003-12-29,2309339941
2003-12-30,2297256748
2003-12-31,2270190394
2004-01-02,2246024007
2004-01-05,2279856949
2004-01-06,2369272581
2004-01-07,2409872111
2004-01-08,2424855271
2004-01-09,2396338934
2004-01-12,2379905791
2004-01-13,2349939471
2004-01-14,2366372615
2004-01-15,2368305926
2004-01-16,2359606026
2004-01-20,2327706395
2004-01-21,2354289421
2004-01-22,2357189387
2004-01-23,2356222732
2004-01-26,2326256412
2004-01-27,2304506664
2004-01-28,2261973823
2004-01-29,2223307604
2004-01-30,2223307604
2004-02-02,2201074527
2004-02-03,2199141217
2004-02-04,2158541686
2004-02-05,2184641384
2004-02-06,2224757587
2004-02-09,2221374293
2004-02-10,2232974158
2004-02-11,2257623873
2004-02-12,2222824276
2004-02-13,2202041183
2004-02-17,2241190730
2004-02-18,2252307268
2004-02-19,2231040847
2004-02-20,2223790931
2004-02-23,2219924309
2004-02-24,2222340948
2004-02-25,2277923638
2004-02-26,2293390126
2004-02-27,2372655875
2004-03-01,2369272581
2004-03-02,2349456144
2004-03-03,2319006496
2004-03-04,2319973152
2004-03-05,2337856278
2004-03-08,2302573353
