,RAD
2002-08-19,1052910012
2002-08-20,1027840726
2002-08-21,1032854608
2002-08-22,1052910012
2002-08-23,1037868490
2002-08-26,1042882247
2002-08-27,1047896129
2002-08-28,1032854608
2002-08-29,1027840726
2002-08-30,1052910012
2002-09-03,1115771476
2002-09-04,1097097500
2002-09-05,1087760453
2002-09-06,1111102953
2002-09-09,1050412500
2002-09-10,1092428976
2002-09-11,1139113976
2002-09-12,1171793523
2002-09-13,1237152500
2002-09-16,1125108523
2002-09-17,1045743976
2002-09-18,1045743976
2002-09-19,1022401476
2002-09-20,1045743976
2002-09-23,1022401476
2002-09-24,1055081023
2002-09-25,1129777046
2002-09-26,1059749546
2002-09-27,1064417953
2002-09-30,980385000
2002-10-01,980385000
2002-10-02,938368523
2002-10-03,952373976
2002-10-04,943037046
2002-10-07,924362953
2002-10-08,999058976
2002-10-09,938368523
2002-10-10,943037046
2002-10-11,980385000
2002-10-14,985053523
2002-10-15,910357500
2002-10-16,844998523
2002-10-17,891683523
2002-10-18,933700000
2002-10-21,891683523
2002-10-22,891683523
2002-10-23,891683523
2002-10-24,905688976
2002-10-25,943037046
2002-10-28,929031476
2002-10-29,896352046
2002-10-30,887015000
2002-10-31,835661476
2002-11-01,905688976
2002-11-04,915026023
2002-11-05,933700000
2002-11-06,933700000
2002-11-07,947705453
2002-11-08,929031476
2002-11-11,901020453
2002-11-12,933700000
2002-11-13,938368523
2002-11-14,929031476
2002-11-15,910357500
2002-11-18,919694546
2002-11-19,915026023
2002-11-20,910357500
2002-11-21,915026023
2002-11-22,929031476
2002-11-25,938368523
2002-11-26,1017732953
2002-11-27,1069086476
2002-11-29,1092428976
2002-12-02,1175719950
2002-12-03,1136200000
2002-12-04,1165840024
2002-12-05,1116440024
2002-12-06,1106559975
2002-12-09,1067040024
2002-12-10,1081859975
2002-12-11,1037400000
2002-12-12,1017640024
2002-12-13,997880049
2002-12-16,1067040024
2002-12-17,1067040024
2002-12-18,1076919950
2002-12-19,1304159975
2002-12-20,1210300000
2002-12-23,1205359975
2002-12-24,1205359975
2002-12-26,1205359975
2002-12-27,1215240024
2002-12-30,1205359975
2002-12-31,1210300000
2003-01-02,1323919950
2003-01-03,1348619950
2003-01-06,1437540024
2003-01-07,1506700000
2003-01-08,1417780049
2003-01-09,1457300000
2003-01-10,1427659975
2003-01-13,1442480049
2003-01-14,1462240024
2003-01-15,1496819950
2003-01-16,1496819950
2003-01-17,1467180049
2003-01-21,1383200000
2003-01-22,1348619950
2003-01-23,1398019950
2003-01-24,1358500000
2003-01-27,1333800000
2003-01-28,1432600000
2003-01-29,1383200000
2003-01-30,1333800000
2003-01-31,1328859975
2003-02-03,1338740024
2003-02-04,1274519950
2003-02-05,1383200000
2003-02-06,1333800000
2003-02-07,1309100000
2003-02-10,1274519950
2003-02-11,1333800000
2003-02-12,1274519950
2003-02-13,1225119950
2003-02-14,1210300000
2003-02-18,1269580049
2003-02-19,1210300000
2003-02-20,1220180049
2003-02-21,1215240024
2003-02-24,1170780049
2003-02-25,1210300000
2003-02-26,1146080049
2003-02-27,1200419950
2003-02-28,1185600000
2003-03-03,1174365548
2003-03-04,1150101798
2003-03-05,1135543475
2003-03-06,1150101798
2003-03-07,1154954451
2003-03-10,1130690701
2003-03-11,1067605000
2003-03-12,1053046798
2003-03-13,1067605000
2003-03-14,1077310548
2003-03-17,1116132500
2003-03-18,1193776524
2003-03-19,1159807225
2003-03-20,1184070975
2003-03-21,1227745701
2003-03-24,1150101798
2003-03-25,1154954451
2003-03-26,1125838048
2003-03-27,1111279725
2003-03-28,1096721524
2003-03-31,1087015975
2003-04-01,1111279725
2003-04-02,1174365548
2003-04-03,1184070975
2003-04-04,1232598475
2003-04-07,1252009451
2003-04-08,1290831524
2003-04-09,1285978750
2003-04-10,1261715000
2003-04-11,1387886524
2003-04-14,1484941524
2003-04-15,1548027225
2003-04-16,1446119451
2003-04-17,1470383201
2003-04-21,1446119451
2003-04-22,1543174451
2003-04-23,1659640548
2003-04-24,1693609822
2003-04-25,1688756951
2003-04-28,1708168048
2003-04-29,1703315177
2003-04-30,1649935000
2003-05-01,1664493201
2003-05-02,1737284451
2003-05-05,1814928572
2003-05-06,1853750548
2003-05-07,1839192322
2003-05-08,1780959298
2003-05-09,1780959298
2003-05-12,1834339451
2003-05-13,1839192322
2003-05-14,1766401072
2003-05-15,1645082322
2003-05-16,1892572500
2003-05-19,1795517500
2003-05-20,1751842677
2003-05-21,1746990000
2003-05-22,1800370177
2003-05-23,1771253750
2003-05-27,1785811951
2003-05-28,1756695548
2003-05-29,1795517500
2003-05-30,1785811951
2003-06-02,1922449408
2003-06-03,1901833457
2003-06-04,1891525391
2003-06-05,1927603557
2003-06-06,1901833457
2003-06-09,1927603557
2003-06-10,1932757500
2003-06-11,2097686191
2003-06-12,2051299908
2003-06-13,2071916091
2003-06-16,2283230808
2003-06-17,2257460708
2003-06-18,2205920508
2003-06-19,2195612442
2003-06-20,2174996491
2003-06-23,2077070008
2003-06-24,2149226391
2003-06-25,2216228600
2003-06-26,2241998700
2003-06-27,2303846991
2003-06-30,2293538900
2003-07-01,2345079100
2003-07-02,2345079100
2003-07-03,2309000908
2003-07-07,2339925157
2003-07-08,2494545757
2003-07-09,2561547991
2003-07-10,2489391608
2003-07-11,2458467591
2003-07-14,2396619300
2003-07-15,2370849200
2003-07-16,2350233042
2003-07-17,2298692842
2003-07-18,2365695257
2003-07-21,2324462942
2003-07-22,2319309000
2003-07-23,2417235457
2003-07-24,2324462942
2003-07-25,2350233042
2003-07-28,2406927391
2003-07-29,2401773242
2003-07-30,2443005557
2003-07-31,2437851408
2003-08-01,2386311208
2003-08-04,2329617091
2003-08-05,2360541108
2003-08-06,2319309000
2003-08-07,2319309000
2003-08-08,2298692842
2003-08-11,2216228600
2003-08-12,2293538900
2003-08-13,2329617091
2003-08-14,2314155057
2003-08-15,2314155057
2003-08-18,2247152642
2003-08-19,2272922742
2003-08-20,2278076891
2003-08-21,2360541108
2003-08-22,2355387191
2003-08-25,2334771008
2003-08-26,2314155057
2003-08-27,2376003142
2003-08-28,2453313442
2003-08-29,2602780100
2003-09-02,2647696170
2003-09-03,2516572244
2003-09-04,2445966938
2003-09-05,2481269604
2003-09-08,2491356090
2003-09-09,2445966938
2003-09-10,2385448168
2003-09-11,2456053399
2003-09-12,2461096630
2003-09-15,2425794014
2003-09-16,2430837245
2003-09-17,2405621091
2003-09-18,2476226322
2003-09-19,2632566477
2003-09-22,2667869093
2003-09-23,2743517555
2003-09-24,2713258170
2003-09-25,2526658630
2003-09-26,2612393554
2003-09-29,2617436785
2003-09-30,2602307092
2003-10-01,2647696170
2003-10-02,2733431093
2003-10-03,2748560786
2003-10-06,2824209248
2003-10-07,2945246787
2003-10-08,3025938480
2003-10-09,3000722326
2003-10-10,2975506172
2003-10-13,3051154634
2003-10-14,3041068172
2003-10-15,2995679095
2003-10-16,2909944171
2003-10-17,2859511863
2003-10-20,2980549402
2003-10-21,2960376479
2003-10-22,2899857710
2003-10-23,2894814479
2003-10-24,2864555094
2003-10-27,2889771248
2003-10-28,2945246787
2003-10-29,2925073864
2003-10-30,2904900940
2003-10-31,2889771248
2003-11-03,2889771248
2003-11-04,2914987402
2003-11-05,3000722326
2003-11-06,3061241095
2003-11-07,3177235404
2003-11-10,3091500480
2003-11-11,3061241095
2003-11-12,3131846326
2003-11-13,3162105711
2003-11-14,3091500480
2003-11-17,3046111403
2003-11-18,3025938480
2003-11-19,3010808787
2003-11-20,2980549402
2003-11-21,3005765556
2003-11-24,3051154634
2003-11-25,3071327557
2003-11-26,3081414018
2003-11-28,3101586942
2003-12-01,3407439000
2003-12-02,3396673000
2003-12-03,3385907000
2003-12-04,3358992000
2003-12-05,3391290000
2003-12-08,3445120000
2003-12-09,3240566000
2003-12-10,3170587000
2003-12-11,3224417000
2003-12-12,3229800000
2003-12-15,3186736000
2003-12-16,3235183000
2003-12-17,3262098000
2003-12-18,3348226000
2003-12-19,3326694000
2003-12-22,3289013000
2003-12-23,3294396000
2003-12-24,3283630000
2003-12-26,3267481000
2003-12-29,3262098000
2003-12-30,3235183000
2003-12-31,3251332000
2004-01-02,3197502000
2004-01-05,3208268000
2004-01-06,3305162000
2004-01-07,3289013000
2004-01-08,3235183000
2004-01-09,3181353000
2004-01-12,3127523000
2004-01-13,3175970000
2004-01-14,3181353000
2004-01-15,3165204000
2004-01-16,3105991000
2004-01-20,3009097000
2004-01-21,3068310000
2004-01-22,3100608000
2004-01-23,3116757000
2004-01-26,3192119000
2004-01-27,3175970000
2004-01-28,3154438000
2004-01-29,3089842000
2004-01-30,3111374000
2004-02-02,3111374000
2004-02-03,3138289000
2004-02-04,3111374000
2004-02-05,3089842000
2004-02-06,3105991000
2004-02-09,3143672000
2004-02-10,3116757000
2004-02-11,3089842000
2004-02-12,3046778000
2004-02-13,3062927000
2004-02-17,3062927000
2004-02-18,3036012000
2004-02-19,3030629000
2004-02-20,2982182000
2004-02-23,2933735000
2004-02-24,2826075000
2004-02-25,2901437000
2004-02-26,2960650000
2004-02-27,3003714000
2004-03-01,2945970900
2004-03-02,2935634160
2004-03-03,2925297420
2004-03-04,2904623940
2004-03-05,2909792310
2004-03-08,2894287200
2004-03-09,2883950460
2004-03-10,2785751430
2004-03-11,2754741210
2004-03-12,2785751430
2004-03-15,2754741210
2004-03-16,2728899360
2004-03-17,2780583060
2004-03-18,2734067730
2004-03-19,2713394250
2004-03-22,2666878920
2004-03-23,2646205440
2004-03-24,2641037070
2004-03-25,2754741210
2004-03-26,2708225880
2004-03-29,2770246320
2004-03-30,2790919800
2004-03-31,2811593280
2004-04-01,2790919800
2004-04-02,2790919800
2004-04-05,2868445350
2004-04-06,2790919800
2004-04-07,2790919800
2004-04-08,2852940240
2004-04-12,2925297420
2004-04-13,2971812750
2004-04-14,2894287200
2004-04-15,2873613720
2004-04-16,2878782090
2004-04-19,2868445350
2004-04-20,2832266760
2004-04-21,2811593280
2004-04-22,2796088170
2004-04-23,2780583060
2004-04-26,2790919800
2004-04-27,2765077950
2004-04-28,2718562620
2004-04-29,2656542180
2004-04-30,2532501300
2004-05-03,2620363590
2004-05-04,2620363590
2004-05-05,2620363590
2004-05-06,2584185000
2004-05-07,2584185000
2004-05-10,2506659450
2004-05-11,2480817600
2004-05-12,2475649230
2004-05-13,2470480860
2004-05-14,2434302270
2004-05-17,2341271610
2004-05-18,2408460420
2004-05-19,2398123680
2004-05-20,2398123680
2004-05-21,2496322710
2004-05-24,2558343150
2004-05-25,2573848260
2004-05-26,2573848260
2004-05-27,2625531960
2004-05-28,2594521740
2004-06-01,2536186100
2004-06-02,2536186100
2004-06-03,2468899530
2004-06-04,2468899530
2004-06-07,2515482540
2004-06-08,2536186100
2004-06-09,2479251310
2004-06-10,2453371860
2004-06-14,2432668300
