,CHRW
2004-03-25,3472845840
2004-03-26,3444074700
2004-03-29,3462691320
2004-03-30,3506694240
2004-03-31,3514095500
2004-04-01,3605546660
2004-04-02,3668207640
2004-04-05,3690223660
2004-04-06,3713933220
2004-04-07,3656352860
2004-04-08,3566595240
2004-04-12,3593691880
2004-04-13,3544579220
2004-04-14,3539498599
2004-04-15,3553046920
2004-04-16,3525950280
2004-04-19,3563208160
2004-04-20,3556434000
2004-04-21,3519176120
2004-04-22,3554740459
2004-04-23,3547966300
2004-04-26,3517482580
2004-04-27,3534417980
2004-04-28,3507321340
2004-04-29,3492079480
2004-04-30,3475144080
2004-05-03,3517482580
2004-05-04,3463289300
2004-05-05,3502240720
2004-05-06,3507321340
2004-05-07,3490385940
2004-05-10,3459902220
2004-05-11,3409096020
2004-05-12,3427724959
2004-05-13,3414176640
2004-05-14,3402321860
2004-05-17,3356596280
2004-05-18,3348128580
2004-05-19,3299015920
2004-05-20,3307483620
2004-05-21,3363370440
2004-05-24,3387080000
2004-05-25,3524256740
2004-05-26,3495466560
2004-05-27,3483611780
2004-05-28,3520869660
2004-06-01,3547966300
2004-06-02,3561514620
2004-06-03,3514095500
2004-06-04,3529337360
2004-06-07,3583530640
2004-06-08,3644498080
2004-06-09,3598772500
2004-06-10,3622482060
2004-06-14,3588611260
2004-06-15,3652965780
2004-06-16,3651272240
2004-06-17,3641111000
2004-06-18,3641111000
2004-06-21,3607240200
2004-06-22,3663127020
2004-06-23,3741029860
2004-06-24,3700384900
2004-06-25,3803690840
2004-06-28,3864658280
2004-06-29,3829093940
2004-06-30,3878797440
2004-07-01,3851720320
2004-07-02,3853412640
2004-07-06,3846643360
2004-07-07,3885566720
2004-07-08,3784027520
2004-07-09,3822950880
2004-07-12,3819566240
2004-07-13,3843258720
2004-07-14,3834797120
2004-07-15,3892336000
2004-07-16,3836489440
2004-07-19,3877105120
2004-07-20,3946490240
2004-07-21,3767104320
2004-07-22,3755258080
2004-07-23,3716334720
2004-07-26,3690949920
2004-07-27,3660488160
2004-07-28,3660488160
2004-07-29,3723104000
2004-07-30,3701103840
2004-08-02,3743411840
2004-08-03,3726488640
