,GM
2014-07-28,56258800000
2014-07-29,55533400000
2014-07-30,55307720000
2014-07-31,54517840000
2014-08-01,53905280000
2014-08-04,54179320000
2014-08-05,53776320000
2014-08-06,53840800000
2014-08-07,53373320000
2014-08-08,54050360000
2014-08-11,54485599999
2014-08-12,54324400000
2014-08-13,54727400000
2014-08-14,54727400000
2014-08-15,54550080000
2014-08-18,55452800000
2014-08-19,55726840000
2014-08-20,55662360000
2014-08-21,55775200000
2014-08-22,55194880000
2014-08-25,55888040000
2014-08-26,56178200000
2014-08-27,55952520000
2014-08-28,55904160000
2014-08-29,56097599999
2014-09-02,56097599999
2014-09-03,55565640000
2014-09-04,55823560000
2014-09-05,55742960000
2014-09-08,53582880000
2014-09-09,53308840000
2014-09-10,53663480000
2014-09-11,54179320000
2014-09-12,53631240000
2014-09-15,54211560000
2014-09-16,54340520000
2014-09-17,54566200000
2014-09-18,54856360000
2014-09-19,54711280000
2014-09-22,53905280000
2014-09-23,53550640000
2014-09-24,54243800000
2014-09-25,52986439999
2014-09-26,53470040000
2014-09-29,51938640000
2014-09-30,51455340000
2014-10-01,52341390000
2014-10-02,53452980000
2014-10-03,54387360000
2014-10-06,54371250000
2014-10-07,51181470000
2014-10-08,51841980000
2014-10-09,49989330000
2014-10-10,48797190000
2014-10-13,47991690000
2014-10-14,48507210000
2014-10-15,47830590000
2014-10-16,48233340000
2014-10-17,48716640000
2014-10-20,48877740000
2014-10-21,49683240000
2014-10-22,50440410000
2014-10-23,49828230000
2014-10-24,48394440000
2014-10-27,48458880000
2014-10-28,50214870000
2014-10-29,49489920000
2014-10-30,49586580000
2014-10-31,50585400000
2014-11-03,50230980000
2014-11-04,49651020000
2014-11-05,49506030000
2014-11-06,50537070000
2014-11-07,50891490000
2014-11-10,50134320000
2014-11-11,50504850000
2014-11-12,50617620000
2014-11-13,50988150000
2014-11-14,51213690000
2014-11-17,52051410000
2014-11-18,51986970000
2014-11-19,51793650000
2014-11-20,51761430000
2014-11-21,51761430000
2014-11-24,51858090000
2014-11-25,51922529999
2014-11-26,51664770000
2014-11-28,53855730000
2014-12-01,53066340000
2014-12-02,53581860000
2014-12-03,54194040000
2014-12-04,53307990000
2014-12-05,54661230000
2014-12-08,52647480000
2014-12-09,52856910000
2014-12-10,51503670000
2014-12-11,51858090000
2014-12-12,50859270000
2014-12-15,49941000000
2014-12-16,49506030000
2014-12-17,50182650000
2014-12-18,51149250000
2014-12-19,52856910000
2014-12-22,53533529999
2014-12-23,54065160000
2014-12-24,53855730000
2014-12-26,54339029999
2014-12-29,55740600000
2014-12-30,56529990000
2014-12-31,56449469999
2015-01-02,56336280000
2015-01-05,55511610000
2015-01-06,56352450000
2015-01-07,57953280000
2015-01-08,58535400000
2015-01-09,57549030000
2015-01-12,57953280000
2015-01-13,56999250000
2015-01-14,55463099999
2015-01-15,54056310000
2015-01-16,54460560000
2015-01-20,54864810000
2015-01-21,54800130000
2015-01-22,54686940000
