,ADBE
2004-03-10,8363595949
2004-03-11,8206107410
2004-03-12,8521084490
2004-03-15,8361209760
2004-03-16,8435181650
2004-03-17,8652324940
2004-03-18,8654711130
2004-03-19,9508967150
2004-03-22,9372954320
2004-03-23,9213079590
2004-03-24,9265575770
2004-03-25,9556690950
2004-03-26,9423064310
2004-03-29,9523284290
2004-03-30,9444540020
2004-03-31,9377726700
2004-04-01,9611573320
2004-04-02,9759517100
2004-04-05,9866895650
2004-04-06,9893143740
2004-04-07,9988591340
2004-04-08,10019611810
2004-04-12,10146079880
2004-04-13,10093583700
2004-04-14,10160397020
2004-04-15,9847806130
2004-04-16,9948026110
2004-04-19,9995749910
2004-04-20,9831102800
2004-04-21,10017225620
2004-04-22,10265389380
2004-04-23,10425264110
2004-04-26,10215279390
2004-04-27,10215279390
2004-04-28,9931322780
2004-04-29,9938481350
2004-04-30,9902688500
2004-05-03,10499236000
2004-05-04,10952612100
2004-05-05,10723537860
2004-05-06,10475374100
2004-05-07,10370381740
2004-05-10,10384698880
2004-05-11,10554118370
2004-05-12,10458670770
2004-05-13,10468215530
2004-05-14,10205734630
2004-05-17,10084038940
2004-05-18,10263003190
2004-05-19,10391857450
2004-05-20,10606614550
2004-05-21,10599455980
2004-05-24,10391857450
2004-05-25,10661496920
2004-05-26,10558890750
2004-05-27,10592297410
2004-05-28,10649565970
2004-06-01,10718765480
2004-06-02,10814213080
2004-06-03,10713993100
2004-06-04,10831352820
2004-06-07,11293986560
2004-06-08,11236753520
2004-06-09,10957742450
2004-06-10,10933895350
2004-06-14,10797966880
2004-06-15,10895739990
2004-06-16,10650114860
2004-06-17,10638191310
2004-06-18,10189865830
2004-06-21,10375873210
2004-06-22,10492724000
2004-06-23,10590497110
2004-06-24,10437875670
2004-06-25,10633421890
2004-06-28,10693039640
2004-06-29,10850430500
2004-06-30,11088901500
2004-07-01,10945818900
2004-07-02,10766965650
2004-07-06,10561880590
2004-07-07,10807505720
2004-07-08,10349641400
2004-07-09,10566650010
2004-07-12,10478415740
2004-07-13,10414028570
2004-07-14,10337717850
2004-07-15,10356795530
2004-07-16,10304331910
2004-07-19,10061091490
2004-07-20,10108785690
2004-07-21,9748694480
2004-07-22,9732001510
2004-07-23,9622304850
2004-07-26,9467298700
2004-07-27,9603227170
2004-07-28,9641382530
2004-07-29,9884622950
2004-07-30,10058706780
2004-08-02,10008627870
2004-08-03,10299562490
2004-08-04,10368719080
2004-08-05,10337717850
2004-08-06,10084938590
2004-08-09,10113555110
2004-08-10,10347256690
2004-08-11,10380642630
2004-08-12,10228021190
2004-08-13,10366334370
2004-08-16,10700193770
2004-08-17,10676346670
2004-08-18,10855199920
2004-08-19,10809890430
2004-08-20,10991128390
