,MCK
2002-03-01,9641570000
2002-03-04,9209559000
2002-03-05,8814741000
2002-03-06,9175227000
2002-03-07,9418412000
2002-03-08,9561462000
2002-03-11,9710234000
2002-03-12,9879033000
2002-03-13,10116496000
2002-03-14,10376847000
2002-03-15,10648642000
2002-03-18,10903271000
2002-03-19,11149317000
2002-03-20,10660086000
2002-03-21,10851773000
2002-03-22,10983379000
2002-03-25,10897549000
2002-03-26,10734472000
2002-03-27,10823163000
2002-03-28,10708723000
2002-04-01,10901520000
2002-04-02,10763088000
2002-04-03,10613120000
2002-04-04,10267040000
2002-04-05,10145912000
2002-04-08,10261272000
2002-04-09,10243968000
2002-04-10,10587164000
2002-04-11,10451616000
2002-04-12,10561208000
2002-04-15,10448732000
2002-04-16,10676568000
2002-04-17,10627540000
2002-04-18,11083212000
2002-04-19,11172616000
2002-04-22,11400452000
2002-04-23,11143776000
2002-04-24,11140892000
2002-04-25,11657128000
2002-04-26,12058004000
2002-04-29,11752300000
2002-04-30,11648476000
2002-05-01,11997440000
2002-05-02,11968600000
2002-05-03,11882080000
2002-05-06,11504276000
2002-05-07,11241832000
2002-05-08,11247600000
2002-05-09,11129356000
2002-05-10,10907288000
2002-05-13,10555440000
2002-05-14,10676568000
2002-05-15,10988040000
2002-05-16,10786160000
2002-05-17,10783276000
2002-05-20,10670800000
2002-05-21,10535252000
2002-05-22,10367980000
2002-05-23,10581396000
2002-05-24,10466036000
2002-05-28,10526600000
2002-05-29,10598700000
2002-05-30,10529484000
2002-05-31,10815000000
2002-06-03,10670800000
2002-06-04,10633308000
2002-06-05,10670800000
2002-06-06,10466036000
2002-06-07,10546788000
2002-06-10,10685220000
2002-06-11,10466036000
2002-06-12,10189172000
2002-06-13,10163216000
2002-06-14,10238200000
2002-06-17,10480456000
2002-06-18,10399704000
2002-06-19,10373748000
2002-06-20,10454500000
2002-06-21,10310300000
2002-06-24,10050740000
2002-06-25,9759456000
2002-06-26,9603720000
2002-06-27,10122840000
2002-06-28,9430680000
2002-07-01,9254400000
2002-07-02,8892900000
2002-07-03,9098232000
2002-07-05,9413460000
2002-07-08,9190776000
2002-07-09,8566104000
2002-07-10,8661540000
2002-07-11,8545860000
2002-07-12,8696244000
2002-07-15,8632620000
2002-07-16,8783004000
2002-07-17,9011472000
2002-07-18,8678892000
2002-07-19,8314500000
2002-07-22,8198820000
2002-07-23,8146764000
2002-07-24,8615268000
2002-07-25,8759868000
2002-07-26,8829276000
2002-07-29,9540708000
2002-07-30,9720012000
2002-07-31,9520464000
2002-08-01,9225480000
2002-08-02,9109800000
2002-08-05,8800356000
2002-08-06,9005688000
2002-08-07,9297780000
2002-08-08,9731580000
2002-08-09,9774960000
2002-08-12,9798096000
2002-08-13,9601440000
2002-08-14,9879071999
2002-08-15,9957156000
2002-08-16,10058376000
2002-08-19,10116216000
2002-08-20,10064160000
2002-08-21,9864612000
2002-08-22,10122000000
2002-08-23,10038132000
2002-08-26,10072836000
2002-08-27,9818340000
2002-08-28,9650604000
2002-08-29,9688200000
2002-08-30,9699768000
2002-09-03,9370080000
2002-09-04,9737364000
2002-09-05,9558060000
2002-09-06,9199452000
2002-09-09,9265968000
2002-09-10,9164748000
2002-09-11,9109800000
2002-09-12,8921820000
2002-09-13,9063528000
2002-09-16,8973876000
2002-09-17,8537184000
2002-09-18,8661540000
2002-09-19,8499588000
2002-09-20,8514048000
2002-09-23,8383908000
2002-09-24,8193035999
2002-09-25,8464884000
2002-09-26,8629728000
2002-09-27,8372340000
2002-09-30,8207200999
2002-10-01,8079733000
2002-10-02,7853767000
2002-10-03,7937780000
2002-10-04,7474260000
2002-10-07,7314925000
2002-10-08,7688638000
2002-10-09,7566964000
2002-10-10,7839282000
2002-10-11,8401300000
2002-10-14,8450549000
2002-10-15,8647545000
2002-10-16,8482416000
2002-10-17,8415785000
2002-10-18,8259347000
2002-10-21,8470828000
2002-10-22,8986494000
2002-10-23,9113962000
2002-10-24,8989391000
2002-10-25,9197975000
2002-10-28,9018361000
2002-10-29,8847438000
2002-10-30,8934348000
2002-10-31,8635957000
2002-11-01,8876408000
2002-11-04,8908275000
2002-11-05,8682309000
2002-11-06,8835850000
2002-11-07,8693897000
2002-11-08,8395506000
2002-11-11,8268038000
2002-11-12,8256450000
2002-11-13,8068145000
2002-11-14,8082630000
2002-11-15,8114497000
2002-11-18,8189819000
2002-11-19,7784239000
2002-11-20,7879840000
2002-11-21,7894325000
2002-11-22,7937780000
2002-11-25,7804518000
2002-11-26,7520612000
2002-11-27,7572758000
2002-11-29,7509024000
2002-12-02,7642286000
2002-12-03,7622007000
2002-12-04,7859561000
2002-12-05,7619110000
2002-12-06,7804518000
2002-12-09,7636492000
2002-12-10,7691535000
2002-12-11,7778445000
2002-12-12,7824797000
2002-12-13,7787136000
2002-12-16,7836385000
2002-12-17,7769754000
2002-12-18,7677050000
2002-12-19,7555375999
2002-12-20,7517715000
2002-12-23,7668359000
2002-12-24,7723402000
2002-12-26,7703123000
2002-12-27,7648080000
2002-12-30,7723402000
2002-12-31,7833294000
2003-01-02,8108604000
2003-01-03,8134686000
2003-01-06,8218728000
2003-01-07,8152074000
2003-01-08,8070930000
2003-01-09,8215830000
2003-01-10,8166564000
2003-01-13,8134686000
2003-01-14,8198442000
2003-01-15,8076726000
2003-01-16,8172360000
2003-01-17,8259300000
2003-01-21,8331750000
2003-01-22,8436078000
2003-01-23,8241912000
2003-01-24,8070930000
2003-01-27,7975296000
2003-01-28,8195544000
2003-01-29,8288280000
2003-01-30,8097012000
2003-01-31,8239014000
2003-02-03,8068032000
2003-02-04,7876764000
2003-02-05,7815906000
