,GP
2017-03-07,40450274
2017-03-08,40450274
2017-03-09,44495301
2017-03-10,44624007
2017-03-13,44624007
2017-03-14,41158154
2017-03-15,41829261
2017-03-16,42196990
2017-03-17,43162281
2017-03-20,40818004
2017-03-21,44127572
2017-03-22,44127572
2017-03-23,44127572
2017-03-24,44127572
2017-03-27,44127572
2017-03-28,45230761
2017-03-29,40266409
2017-03-30,40266409
2017-03-31,40266409
2017-04-03,40410802
2017-04-04,40779851
2017-04-05,40779851
2017-04-06,40779851
2017-04-07,40410802
2017-04-10,42440569
2017-04-11,43215570
2017-04-12,43215570
2017-04-13,43270928
2017-04-17,43270928
2017-04-18,43270928
2017-04-19,43270928
2017-04-20,43270928
2017-04-21,41517948
2017-04-24,42726581
2017-04-25,42726581
2017-04-26,42726581
2017-04-27,37366153
2017-04-28,40724494
2017-05-01,42339080
2017-05-02,42440569
2017-05-03,42440569
2017-05-04,42440569
2017-05-05,42440569
2017-05-08,42440569
2017-05-09,42440569
2017-05-10,38750084
2017-05-11,33251263
2017-05-12,33251263
2017-05-15,36701866
2017-05-16,36803354
2017-05-17,36997104
2017-05-18,34930433
2017-05-19,34930433
2017-05-22,34930433
2017-05-23,34930433
2017-05-24,40069433
2017-05-25,40069433
2017-05-26,40069433
2017-05-30,39949492
2017-05-31,39672706
2017-06-01,41388781
2017-06-02,40530743
2017-06-05,38750084
2017-06-06,38750084
2017-06-07,41416459
2017-06-08,39672706
2017-06-09,38196512
2017-06-12,38750084
2017-06-13,38750084
2017-06-14,38039666
2017-06-15,38039666
2017-06-16,37873594
2017-06-19,37827463
2017-06-20,38445619
2017-06-21,38445619
2017-06-22,38011988
2017-06-23,38777763
2017-06-26,38750084
2017-06-27,38750084
2017-06-28,38750084
2017-06-29,38750084
2017-06-30,38851573
2017-07-03,37351068
2017-07-05,37351068
2017-07-06,39939820
2017-07-07,39939820
2017-07-10,39609655
2017-07-11,38918890
2017-07-12,41224512
2017-07-13,41224512
2017-07-14,39656689
2017-07-17,38937335
2017-07-18,39094118
2017-07-19,39094118
2017-07-20,39094118
2017-07-21,40302263
2017-07-24,40302263
2017-07-25,39426127
2017-07-26,36567156
2017-07-27,36521044
2017-07-28,35045446
2017-07-31,36889944
2017-08-01,36889944
2017-08-02,36889944
2017-08-03,36889944
2017-08-04,36889944
2017-08-07,37812192
2017-08-08,36650159
2017-08-09,36797719
2017-08-10,34123198
2017-08-11,33200949
2017-08-14,35727910
2017-08-15,31817576
2017-08-16,32370925
2017-08-17,32324813
2017-08-18,32472373
2017-08-21,32278701
2017-08-22,33505291
2017-08-23,31356452
2017-08-24,31356452
2017-08-25,31356452
2017-08-28,33449956
2017-08-29,33449956
2017-08-30,33449956
2017-08-31,30424981
2017-09-01,30424981
2017-09-05,29604180
2017-09-06,29511955
2017-09-07,30996775
2017-09-08,30895328
2017-09-11,28589706
2017-09-12,28589706
2017-09-13,28589706
2017-09-14,28368366
2017-09-15,28589706
2017-09-18,31356452
2017-09-19,32278701
2017-09-20,31623904
2017-09-21,31623904
2017-09-22,30203641
2017-09-25,27667458
2017-09-26,29226058
2017-09-27,29973079
2017-09-28,27667458
2017-09-29,27667458
2017-10-02,27670041
2017-10-03,27576885
2017-10-04,27576885
2017-10-05,28131208
2017-10-06,32281714
2017-10-09,32281714
2017-10-10,33204049
2017-10-11,31082679
2017-10-12,30437045
2017-10-13,30437045
2017-10-16,31451613
2017-10-17,31451613
2017-10-18,31359379
2017-10-19,30344811
2017-10-20,31119572
2017-10-23,31119572
2017-10-24,31267146
2017-10-25,31267146
2017-10-26,31267146
2017-10-27,31267146
2017-10-30,31267146
2017-10-31,31267146
2017-11-01,30437045
2017-11-02,26258868
2017-11-03,26258868
2017-11-06,29247233
2017-11-07,29247233
2017-11-08,28454025
2017-11-09,28684609
2017-11-10,27264213
2017-11-13,27670041
2017-11-14,26775376
2017-11-15,26775376
2017-11-16,29145776
2017-11-17,30437045
2017-11-20,30805978
2017-11-21,30805978
2017-11-22,30805978
2017-11-24,30805978
2017-11-27,30556948
2017-11-28,30556948
2017-11-29,30593841
2017-11-30,30593841
2017-12-01,30593841
2017-12-04,29514710
2017-12-05,27485574
2017-12-06,27485574
2017-12-07,28241888
2017-12-12,26812269
2017-12-13,26203528
2017-12-14,26655472
2017-12-15,23759341
2017-12-18,27245767
2017-12-19,25410320
2017-12-20,23307397
2017-12-21,24930706
2017-12-22,24856920
2017-12-26,24930706
2017-12-27,24626336
2018-01-02,25577167
2018-01-03,25863513
2018-01-04,26694840
2018-01-05,26694840
2018-01-08,24293228
2018-01-09,25678773
2018-01-10,23609692
2018-01-11,24016119
2018-01-12,23508086
2018-01-16,30167940
2018-01-17,29807698
2018-01-18,29087215
2018-01-19,28773158
2018-01-22,29622959
2018-01-23,29715329
2018-01-24,31941438
2018-01-25,29502878
2018-01-26,33197666
2018-01-29,32301680
2018-01-30,30528182
2018-01-31,39820573
2018-02-01,38872860
2018-02-02,36947876
2018-02-05,34176785
2018-02-06,33363932
2018-02-07,35303695
2018-02-08,38795269
2018-02-09,32403287
2018-02-12,35100482
2018-02-13,37206511
2018-02-16,36578397
2018-02-20,37021771
2018-02-21,36024179
2018-02-22,36024179
2018-02-23,35747070
2018-02-26,39626597
2018-02-27,36661529
2018-02-28,36430605
2018-03-01,36486027
2018-03-02,35100482
2018-03-05,35728596
2018-03-06,36005705
2018-03-07,36024179
2018-03-08,35100482
2018-03-09,35174377
2018-03-12,35006265
2018-03-13,35183614
2018-03-14,36486027
2018-03-15,39386435
2018-03-16,40596478
2018-03-19,38702900
2018-03-20,36947876
2018-03-21,35100482
2018-03-22,37326591
2018-03-23,36846269
2018-03-26,36024179
2018-03-27,38314947
2018-03-28,38093260
2018-03-29,36024179
2018-04-02,36355925
2018-04-04,37288129
2018-04-05,37288129
2018-04-06,36309315
2018-04-11,37278807
2018-04-12,39478806
2018-04-13,38639823
2018-04-16,38779654
2018-04-17,40485586
2018-04-18,40084738
2018-04-19,40084738
2018-04-20,40131349
2018-04-23,41016942
2018-04-24,40448298
2018-04-25,40364399
2018-04-26,39618637
2018-04-27,37288129
2018-04-30,37987281
2018-05-01,37381349
2018-05-02,36551688
2018-05-03,36635586
2018-05-04,36076265
2018-05-07,36355925
2018-05-08,35237282
2018-05-09,35423722
2018-05-10,34454231
2018-05-11,33997451
2018-05-14,34864400
2018-05-15,35414400
2018-05-16,35414400
2018-05-17,35414400
2018-05-18,35198315
2018-05-22,35237282
2018-05-23,33233045
2018-05-25,33027960
2018-05-29,33270333
2018-05-30,35208570
2018-05-31,37931349
2018-06-01,39152535
2018-06-04,39264400
2018-06-05,47747449
2018-06-06,54878804
2018-06-07,47365246
2018-06-08,47502839
2018-06-11,50012703
2018-06-12,50786431
2018-06-13,54766939
2018-06-14,53415245
2018-06-15,54067787
2018-06-18,54067787
2018-06-19,51084737
2018-06-20,52911855
2018-06-21,48185584
2018-06-22,48399991
2018-06-25,49966093
2018-06-26,46337212
2018-06-27,48288127
2018-06-28,49388127
2018-07-02,44492842
2018-07-05,46962288
2018-07-06,51046189
2018-07-09,51046189
2018-07-10,48624320
2018-07-11,45287357
2018-07-12,45287357
2018-07-13,45521038
