,INVH
2019-05-22,13352531015
2019-05-23,13405038019
2019-05-24,13531054827
2019-05-28,13342029614
2019-05-29,13268519809
2019-05-30,13347280315
2019-05-31,13457545022
2019-06-03,13546806928
2019-06-04,13699077239
2019-06-05,13819843347
2019-06-06,13961612257
2019-06-07,13993116459
2019-06-10,14066626264
2019-06-11,14145386769
2019-06-12,14161138870
2019-06-13,14224147275
2019-06-14,14339662683
2019-06-17,14428924589
2019-06-18,14444676690
2019-06-19,14570693499
2019-06-20,14533938596
2019-06-21,14255651477
2019-06-24,14166389571
2019-06-25,14213645874
2019-06-26,13882851751
2019-06-27,13930108055
2019-06-28,14035122062
2019-07-01,14428402503
2019-07-02,14654266426
2019-07-03,14783331525
2019-07-05,14734932113
2019-07-08,14847864074
2019-07-09,15030706297
2019-07-10,15068350284
2019-07-11,14966173748
2019-07-12,15014573160
2019-07-15,15057594860
2019-07-16,15036084010
2019-07-17,14966173748
2019-07-18,14896263486
2019-07-19,14535956752
2019-07-22,14605867014
2019-07-23,14729554400
2019-07-24,14616622439
2019-07-25,14681154988
2019-07-26,14718798975
2019-07-29,14826353224
2019-07-30,14928529761
2019-07-31,14772576100
2019-08-01,14761820675
2019-08-02,14880130349
2019-08-05,14584356164
2019-08-06,14724176688
2019-08-07,14837108649
2019-08-08,14976929173
2019-08-09,14976929173
2019-08-12,14912396623
2019-08-13,14987684598
2019-08-14,14847864074
2019-08-15,14976929173
2019-08-16,15229681658
2019-08-19,15369502182
2019-08-20,15294214207
2019-08-21,15358746757
2019-08-22,15611499242
2019-08-23,15374879894
2019-08-26,15606121529
2019-08-27,15627632379
2019-08-28,15460923293
2019-08-29,15557722117
2019-08-30,15466301006
2019-09-03,15665276366
2019-09-04,15616876954
2019-09-05,15385635319
2019-09-06,15477056431
2019-09-09,15251192508
2019-09-10,15041461722
2019-09-11,14939285186
2019-09-12,15025328585
2019-09-13,14976929173
2019-09-16,15159771396
2019-09-17,15321102770
2019-09-18,15326480482
2019-09-19,15579232967
2019-09-20,15729808916
2019-09-23,15509322705
2019-09-24,15633010092
2019-09-25,15810474603
2019-09-26,15977183688
2019-09-27,15923406564
2019-09-30,15995856312
2019-10-01,16012062853
2019-10-02,16093095560
2019-10-03,16152519545
2019-10-04,16255160974
2019-10-07,16168726086
2019-10-08,16044475936
2019-10-09,16309182778
2019-10-10,16395617665
2019-10-11,16341595861
2019-10-14,16336193680
2019-10-15,16433432928
2019-10-16,16465846011
2019-10-17,16428030748
2019-10-18,16681933229
2019-10-21,16795379019
2019-10-22,16606302703
2019-10-23,16660324507
2019-10-24,16687335410
2019-10-25,16687335410
2019-10-28,16627911425
2019-10-29,16638715786
2019-10-30,16455041650
2019-10-31,16633313605
2019-11-01,16660324507
2019-11-04,16422628568
2019-11-05,16006660673
2019-11-06,16206541350
2019-11-07,15947236688
2019-11-08,15941834507
2019-11-11,15914823605
2019-11-12,15817584357
2019-11-13,16114704282
2019-11-14,16206541350
2019-11-15,16201139169
2019-11-18,16201139169
2019-11-19,16168726086
2019-11-20,16238954432
2019-11-21,15839193079
2019-11-22,16012062853
2019-11-25,16276769695
2019-11-26,16471248192
2019-11-27,16395617665
2019-11-29,16492856913
2019-12-02,16298378417
2019-12-03,16249758793
2019-12-04,16276769695
2019-12-05,16109302101
2019-12-06,16222747891
2019-12-09,16282171876
2019-12-10,16136313004
2019-12-11,15914823605
2019-12-12,15558279696
2019-12-13,15682529846
2019-12-16,15763562553
2019-12-17,15498855711
2019-12-18,15585290598
2019-12-19,15790573455
2019-12-20,15920225786
2019-12-23,15763562553
2019-12-24,15774366914
2019-12-26,15898617064
2019-12-27,15941834507
2019-12-30,16076889019
2019-12-31,16260208874
2020-01-02,15988934118
2020-01-03,16319889320
2020-01-06,16379569767
2020-01-07,16026912584
2020-01-08,16189677438
2020-01-09,16184251942
2020-01-10,16309038330
2020-01-13,16379569767
2020-01-14,16205953923
2020-01-15,16325314816
2020-01-16,16564036601
2020-01-17,16542334620
2020-01-21,16770205415
2020-01-22,16900417298
2020-01-23,17014352696
2020-01-24,17003501706
2020-01-27,16927544774
2020-01-28,16976374230
2020-01-29,16992650715
2020-01-30,17095735123
2020-01-31,17074033142
2020-02-03,17041480171
2020-02-04,17215096015
2020-02-05,17041480171
2020-02-06,17122862598
2020-02-07,17095735123
2020-02-10,17318180423
2020-02-11,17133713588
2020-02-12,17263925471
2020-02-13,17551476713
2020-02-14,17659986615
2020-02-18,17692539586
2020-02-19,17236797996
2020-02-20,17112011608
2020-02-21,17030629181
2020-02-24,16954672250
2020-02-25,16520632640
2020-02-26,16064891050
2020-02-27,15701382877
2020-02-28,15565745499
2020-03-02,16195102933
2020-03-03,16167975457
2020-03-04,16672546503
2020-03-05,16384995262
2020-03-06,16026912584
2020-03-09,14892984104
2020-03-10,15440959111
2020-03-11,14632560338
2020-03-12,13932671468
2020-03-13,14675964299
2020-03-16,11219923908
2020-03-17,11990344215
2020-03-18,10471205581
2020-03-19,10037165972
2020-03-20,9326426111
2020-03-23,8751323628
2020-03-24,9841848147
2020-03-25,10243334786
2020-03-26,10813011774
2020-03-27,11290455344
2020-03-30,11496624159
2020-03-31,11728111756
2020-04-01,11129906711
2020-04-02,11223204745
2020-04-03,10630487820
2020-04-06,11772016713
2020-04-07,11854338508
2020-04-08,12650115862
2020-04-09,13341618942
2020-04-13,12984891162
2020-04-14,13281249625
2020-04-15,13067212958
2020-04-16,12529377229
2020-04-17,13072701077
2020-04-20,12205578168
2020-04-21,11612861242
2020-04-22,12117768253
2020-04-23,11848850389
2020-04-24,11953124663
2020-04-27,12392174237
2020-04-28,12512912870
2020-04-29,13116606035
2020-04-30,12979403043
2020-05-01,12551329708
2020-05-04,12507424750
2020-05-05,12902569367
2020-05-06,12650115862
2020-05-07,13506262532
