,HCA
2014-04-14,20921580800
2014-04-15,21025110272
2014-04-16,20951776896
2014-04-17,21141580928
2014-04-21,21335698688
2014-04-22,21318443776
2014-04-23,21741189120
2014-04-24,21797267584
2014-04-25,23052562432
2014-04-28,22694523008
2014-04-29,22172561920
2014-04-30,22431385600
2014-05-01,22603934720
2014-05-02,22379620864
2014-05-05,22582366080
2014-05-06,22414130688
2014-05-07,22232954112
2014-05-08,22077659904
2014-05-09,22220012928
2014-05-12,22560797440
2014-05-13,22586679808
2014-05-14,22724719104
2014-05-15,22474522880
2014-05-16,22107856000
2014-05-19,22220012928
2014-05-20,22310601216
2014-05-21,22547856256
2014-05-22,22573738624
2014-05-23,23052562432
2014-05-27,22914523136
2014-05-28,23022366336
2014-05-29,23030993792
2014-05-30,22858444672
2014-06-02,22858444672
2014-06-03,23509817600
2014-06-04,23626288256
2014-06-05,24269033728
2014-06-06,23980013952
2014-06-09,23889425664
2014-06-10,23837660928
2014-06-11,23729817728
2014-06-12,23518445056
2014-06-13,23716876544
2014-06-16,24152563072
2014-06-17,23967072768
2014-06-18,24074915968
2014-06-19,24368249472
2014-06-20,24851387008
2014-06-23,25023936128
2014-06-24,24389818112
2014-06-25,24523543680
2014-06-26,24053347328
2014-06-27,23910994304
2014-06-30,24433891106
2014-07-01,24308211283
2014-07-02,24819598149
2014-07-03,24750257557
2014-07-07,24043850276
2014-07-08,23627806724
2014-07-09,23814159565
2014-07-10,24139193590
2014-07-11,24243204478
2014-07-14,24173863886
2014-07-15,23926838027
2014-07-16,26431766913
2014-07-17,26267083007
2014-07-18,27060166028
2014-07-21,26674458985
2014-07-22,26769802299
2014-07-23,26891148335
2014-07-24,26652790050
2014-07-25,27259520230
2014-07-28,27584554255
2014-07-29,28199952008
2014-07-30,28715672662
2014-07-31,28303962897
2014-08-01,28381971062
2014-08-04,28529319821
2014-08-05,28949697160
2014-08-06,29049374261
2014-08-07,29131716214
2014-08-08,29092712130
2014-08-11,28572657691
2014-08-12,28347300767
2014-08-13,28772011893
2014-08-14,29123048640
2014-08-15,29357073137
2014-08-18,29846791069
2014-08-19,29768782903
2014-08-20,29699442311
2014-08-21,29664772015
2014-08-22,30015808762
2014-08-25,29803453199
2014-08-26,30020142549
2014-08-27,30011474975
2014-08-28,29894462726
2014-08-29,30258500833
2014-09-02,30401515805
2014-09-03,29968137105
2014-09-04,29504421896
2014-09-05,30007141187
2014-09-08,30436186101
2014-09-09,30639874090
2014-09-10,30696213321
2014-09-11,31354948944
2014-09-12,31012579772
2014-09-15,30917236458
2014-09-16,31073252790
2014-09-17,30977909476
2014-09-18,31359282732
2014-09-19,31844666876
2014-09-22,31476294980
2014-09-23,31237936696
2014-09-24,31688650544
2014-09-25,31003912198
2014-09-26,30856563440
2014-09-29,31103589299
2014-09-30,29652101508
2014-10-01,28781712255
2014-10-02,29168551923
2014-10-03,29959050375
2014-10-06,29816087889
2014-10-07,29849726120
2014-10-08,30312251811
2014-10-09,29214804492
2014-10-10,29038203774
2014-10-13,28193043195
2014-10-14,28163609742
2014-10-15,27263787036
2014-10-16,28689207117
2014-10-17,29197985376
2014-10-20,29626872833
2014-10-21,30110422419
2014-10-22,29534367695
2014-10-23,30005302944
2014-10-24,30303842252
2014-10-27,30022122060
2014-10-28,29971664712
2014-10-29,29399814768
2014-10-30,29181166260
2014-10-31,29454476895
2014-11-03,29530162917
2014-11-04,29155937586
2014-11-05,28529425514
2014-11-06,29000360763
2014-11-07,27646421925
2014-11-10,27646421925
2014-11-11,27755746179
2014-11-12,27263787036
2014-11-13,27234353583
2014-11-14,26464879026
2014-11-17,27638012367
2014-11-18,28268729217
2014-11-19,28188838416
2014-11-20,28537835073
2014-11-21,28790121813
2014-11-24,29193780597
2014-11-25,29265261839
2014-11-26,29214804492
2014-11-28,29303104851
2014-12-01,28882626951
2014-12-02,28991951205
2014-12-03,29685739739
2014-12-04,30497262087
2014-12-05,31115364600
2014-12-08,31262531864
2014-12-09,31064907251
2014-12-10,30526695539
2014-12-11,30930354324
2014-12-12,30669658026
2014-12-15,30900920870
2014-12-16,30467828633
2014-12-17,30518285982
2014-12-18,31207869738
2014-12-19,31312989213
2014-12-22,31519023383
2014-12-23,31535842500
2014-12-24,31489589931
2014-12-26,31460156477
2014-12-29,31359241782
2014-12-30,31228893633
2014-12-31,30834661720
2015-01-02,31078347560
2015-01-05,30170827880
2015-01-06,30120410120
2015-01-07,30666602519
2015-01-08,31481689640
2015-01-09,31364048200
2015-01-12,30334685600
2015-01-13,30309476720
2015-01-14,29603628079
2015-01-15,29439770359
2015-01-16,29343136320
2015-01-20,28511243280
2015-01-21,29103651960
2015-01-22,29578419200
2015-01-23,28838958720
2015-01-26,30670804000
2015-01-27,30427118160
2015-01-28,30040582000
2015-01-29,30330484120
2015-01-30,29746478400
2015-02-02,29485986640
2015-02-03,29364143720
2015-02-04,28973406079
2015-02-05,28927189799
2015-02-06,28561661040
2015-02-09,28259154480
2015-02-10,28994413480
2015-02-11,28977607560
2015-02-12,28998614960
2015-02-13,28796943920
2015-02-17,29124659359
2015-02-18,28990212000
2015-02-19,29242300799
2015-02-20,29322128920
2015-02-23,29771687280
2015-02-24,29582620680
2015-02-25,29822105040
2015-02-26,30364095960
2015-02-27,30057387920
2015-03-02,30246454519
2015-03-03,29742276920
2015-03-04,31481689640
2015-03-05,30632990680
2015-03-06,30595177359
2015-03-09,30120410120
2015-03-10,29511195519
2015-03-11,30149820480
2015-03-12,30427118160
2015-03-13,30166626400
2015-03-16,30729624720
2015-03-17,30738027680
2015-03-18,31523704440
2015-03-19,31687562160
2015-03-20,31943852440
2015-03-23,32620290720
2015-03-24,32141322000
2015-03-25,31784196200
2015-03-26,31973262799
2015-03-27,31960658359
2015-03-30,32002673160
2015-03-31,31326298610
2015-04-01,31168063949
2015-04-02,31251345350
2015-04-06,31626111650
2015-04-07,31530338040
2015-04-08,31963401320
2015-04-09,32417284949
2015-04-10,32579683679
2015-04-13,32234065870
2015-04-14,32204917380
2015-04-15,32996090679
2015-04-16,32400628670
2015-04-17,32496402280
2015-04-20,32712933920
2015-04-21,32346495760
2015-04-22,32284034710
2015-04-23,32246558080
2015-04-24,32371480179
2015-04-27,31805166660
2015-04-28,31626111650
2015-04-29,31671916420
2015-04-30,30818282070
2015-05-01,31022321500
2015-05-04,31413744080
2015-05-05,30651719270
2015-05-06,31022321500
2015-05-07,31892612130
2015-05-08,32021698300
2015-05-11,32325675410
2015-05-12,31859299570
2015-05-13,32367316110
2015-05-14,32925301489
2015-05-15,33245934880
2015-05-18,33728967000
2015-05-19,34361905640
2015-05-20,34203670980
2015-05-21,33974647130
2015-05-22,34199506910
2015-05-26,34224491330
2015-05-27,34124553650
2015-05-28,34062092600
2015-05-29,34074584810
2015-06-01,34307772730
2015-06-02,33957990850
2015-06-03,33766443630
2015-06-04,33512435360
2015-06-05,33845560960
2015-06-08,33416661750
2015-06-09,33862217239
2015-06-10,34599257630
2015-06-11,34819953340
2015-06-12,34336921219
2015-06-15,34907398810
2015-06-16,34570109140
2015-06-17,35028156840
2015-06-18,34811625200
2015-06-19,35144750800
2015-06-22,35190555570
2015-06-23,34961531720
2015-06-24,34715851590
2015-06-25,37776443040
2015-06-26,38242818880
2015-06-29,37730638270
2015-06-30,37434546576
2015-07-01,37496442321
2015-07-02,37343766150
2015-07-06,38003987430
2015-07-07,38148410835
2015-07-08,37566590832
2015-07-09,37814173812
2015-07-10,38362982751
2015-07-13,39122237223
2015-07-14,39085099776
2015-07-15,38837516796
2015-07-16,38680714242
2015-07-17,38474395092
2015-07-20,38445510411
2015-07-21,38078262324
2015-07-22,38486774241
2015-07-23,38507406156
2015-07-24,38305213389
2015-07-27,37975102749
2015-07-28,38082388707
2015-07-29,38606439348
2015-07-30,38358856368
2015-07-31,38379488283
2015-08-03,38325845304
2015-08-04,38804505732
2015-08-05,38070009558
2015-08-06,37706887854
2015-08-07,37739898918
2015-08-10,37727519769
2015-08-11,37327260618
2015-08-12,37500568704
2015-08-13,37488189555
2015-08-14,37715140620
2015-08-17,37682129556
2015-08-18,37335513384
2015-08-19,37063172106
2015-08-20,35920164015
2015-08-21,35590053375
2015-08-24,34789535073
2015-08-25,34294369113
2015-08-26,35878900185
2015-08-27,36658786572
2015-08-28,36650533806
2015-08-31,35742729546
2015-09-01,34793661456
2015-09-02,35268195501
2015-09-03,35651949120
2015-09-04,35243437203
2015-09-08,36072840186
2015-09-09,35474514651
2015-09-10,35189794224
2015-09-11,34946337627
2015-09-14,35066002734
2015-09-15,35420871672
2015-09-16,35156783160
2015-09-17,35495146566
2015-09-18,34034406984
2015-09-21,33935373791
2015-09-22,34125187410
2015-09-23,34727639328
2015-09-24,33795076770
2015-09-25,32784112935
2015-09-28,30547613349
2015-09-29,30568245264
2015-09-30,30846425832
2015-10-01,30738766383
2015-10-02,31057757343
2015-10-05,31440546494
2015-10-06,30782627640
2015-10-07,30922186185
2015-10-08,30567308742
2015-10-09,31065732117
2015-10-12,31017883473
2015-10-13,30248317782
2015-10-14,30312115974
2015-10-15,28792921526
2015-10-16,29087988165
2015-10-19,29311281837
2015-10-20,28876656654
2015-10-21,28390195440
2015-10-22,26348653296
