,FCX
2003-12-17,8887416200
2003-12-18,8614261760
2003-12-19,8170880640
2003-12-22,7830427280
2003-12-23,7850221079
2003-12-24,7957107600
2003-12-26,8246097079
2003-12-29,8333189800
2003-12-30,8349024840
2003-12-31,8341107320
2004-01-02,8297560960
2004-01-05,8701354480
2004-01-06,8523210280
2004-01-07,8531127800
2004-01-08,8661766880
2004-01-09,8800323480
2004-01-12,8491540200
2004-01-13,7929396280
2004-01-14,7660200600
2004-01-15,7098056680
2004-01-16,7133685520
2004-01-20,7620613000
2004-01-21,7664159360
2004-01-22,7719582000
2004-01-23,7513726480
2004-01-26,7529561520
2004-01-27,7672076880
2004-01-28,7359334840
2004-01-29,7105974200
2004-01-30,7295994680
2004-02-02,7197025680
2004-02-03,7224737000
2004-02-04,7109932960
2004-02-05,7343499800
2004-02-06,7814592239
2004-02-09,7858138600
2004-02-10,7838344800
2004-02-11,8261932120
2004-02-12,8261932120
2004-02-13,8155045600
2004-02-17,8451952600
2004-02-18,8166921880
2004-02-19,8376736160
2004-02-20,8103581720
2004-02-23,7972942640
2004-02-24,8127334280
2004-02-25,8060035360
2004-02-26,8242138320
2004-02-27,8440076320
2004-03-01,8768653400
2004-03-02,8396529960
2004-03-03,8352983600
2004-03-04,8451952600
2004-03-05,8574674160
2004-03-08,8412365000
2004-03-09,8368818640
2004-03-10,8060035360
2004-03-11,8178798160
2004-03-12,8301519720
2004-03-15,8020447760
2004-03-16,8032324040
2004-03-17,8190674440
2004-03-18,8305478480
2004-03-19,8305478480
2004-03-22,7945231320
2004-03-23,7711664480
2004-03-24,7521644000
2004-03-25,7588942920
2004-03-26,7636448040
2004-03-29,7711664480
2004-03-30,7775004640
2004-03-31,6850398200
2004-04-01,6906462840
2004-04-02,6955519400
2004-04-05,6773309319
2004-04-06,6867918400
2004-04-07,6766301240
2004-04-08,6703228520
2004-04-12,6629643680
2004-04-13,6247703319
2004-04-14,6160102319
2004-04-15,6181126560
2004-04-16,6289751800
2004-04-19,6202150800
2004-04-20,5886787200
2004-04-21,5662528640
2004-04-22,5970884160
2004-04-23,5711585200
2004-04-26,5743121560
2004-04-27,5571423600
2004-04-28,5168459000
2004-04-29,5224523640
2004-04-30,5343661000
2004-05-03,5343661000
2004-05-04,5424253920
2004-05-05,5343661000
2004-05-06,5192987280
2004-05-07,5014281240
2004-05-10,5122906480
2004-05-11,5147434760
2004-05-12,5105386280
2004-05-13,4975736800
2004-05-14,5052825680
2004-05-17,5010777200
