,FRT
2003-03-17,1314405990
2003-03-18,1319275800
2003-03-19,1336984200
2003-03-20,1359119700
2003-03-21,1377270810
2003-03-24,1348937370
2003-03-25,1344067560
2003-03-26,1349380080
2003-03-27,1348051950
2003-03-28,1347609240
2003-03-31,1432279570
2003-04-01,1459632950
2003-04-02,1464349050
2003-04-03,1457274900
2003-04-04,1453502020
2003-04-07,1461991000
2003-04-08,1458689730
2003-04-09,1458689730
2003-04-10,1457274900
2003-04-11,1454916850
2003-04-14,1459632950
2003-04-15,1461991000
2003-04-16,1467178710
2003-04-17,1472366420
2003-04-21,1476139300
2003-04-22,1494060480
2003-04-23,1497361750
2003-04-24,1483213450
2003-04-25,1471423200
2003-04-28,1468593540
2003-04-29,1464820660
2003-04-30,1453502020
2003-05-01,1451615580
2003-05-02,1463405830
2003-05-05,1472838030
2003-05-06,1485099890
2003-05-07,1476610910
2003-05-08,1484628280
2003-05-09,1483213450
2003-05-12,1501134630
2003-05-13,1492645650
2003-05-14,1507265560
2003-05-15,1509152000
2003-05-16,1509152000
2003-05-19,1495003700
2003-05-20,1507737170
2003-05-21,1512924880
2003-05-22,1528016400
2003-05-23,1546880799
2003-05-27,1577535450
2003-05-28,1575177400
2003-05-29,1535562160
2003-05-30,1556313000
2003-06-02,1555841390
2003-06-03,1558199440
2003-06-04,1566688420
2003-06-05,1556313000
2003-06-06,1564330370
2003-06-09,1560085880
2003-06-10,1594041799
2003-06-11,1596399850
2003-06-12,1567160029
2003-06-13,1529902840
2003-06-16,1544051140
2003-06-17,1524243520
2003-06-18,1518584200
2003-06-19,1516226150
2003-06-20,1530374450
2003-06-23,1486043110
2003-06-24,1484156670
2003-06-25,1500191410
2003-06-26,1519999029
2003-06-27,1528016400
2003-06-30,1565920000
2003-07-01,1606046700
2003-07-02,1650577549
2003-07-03,1651556250
2003-07-07,1683853349
2003-07-08,1678959850
2003-07-09,1655960400
2003-07-10,1611429550
2003-07-11,1634429000
2003-07-14,1652045600
2003-07-15,1653513650
2003-07-16,1654002999
2003-07-17,1632471600
2003-07-18,1643237300
2003-07-21,1624642000
2003-07-22,1643726650
2003-07-23,1638833150
2003-07-24,1654002999
2003-07-25,1667215450
2003-07-28,1666726100
2003-07-29,1673087650
2003-07-30,1703916700
2003-07-31,1706363449
2003-08-01,1700491250
2003-08-04,1676513100
2003-08-05,1697555150
2003-08-06,1696576450
2003-08-07,1700491250
2003-08-08,1706852800
2003-08-11,1707831500
2003-08-12,1703427350
2003-08-13,1702937999
2003-08-14,1707831500
2003-08-15,1700980600
2003-08-18,1710278250
2003-08-19,1707342150
2003-08-20,1706852800
2003-08-21,1703916700
2003-08-22,1701469950
2003-08-25,1683364000
2003-08-26,1687768150
2003-08-27,1695108400
2003-08-28,1704406050
2003-08-29,1711746299
2003-09-02,1733767050
2003-09-03,1751872999
2003-09-04,1757255849
2003-09-05,1757255849
2003-09-08,1777808550
2003-09-09,1768021550
2003-09-10,1759213250
2003-09-11,1769978950
2003-09-12,1784170100
2003-09-15,1789063600
2003-09-16,1791999699
2003-09-17,1791021000
2003-09-18,1788574249
2003-09-19,1802276050
