,HRB
2002-12-20,7402375952
2002-12-23,7441712249
2002-12-24,7355887600
2002-12-26,7305823222
2002-12-27,7144902005
2002-12-30,7159206114
2002-12-31,7187814330
2003-01-02,7377343762
2003-01-03,7363039654
2003-01-06,7699186195
2003-01-07,7452440330
2003-01-08,7420256087
2003-01-09,7295095141
2003-01-10,7287943087
2003-01-13,7330855411
2003-01-14,7327279384
2003-01-15,7363039654
2003-01-16,7405951979
2003-01-17,7352311573
2003-01-21,7087685573
2003-01-22,7009012978
2003-01-23,7094837627
2003-01-24,6937492438
2003-01-27,6833787654
2003-01-28,6844515735
2003-01-29,6869547924
2003-01-30,6658562329
2003-01-31,6779552000
2003-02-03,6790284800
2003-02-04,6750931200
2003-02-05,6700844800
2003-02-06,6629292800
2003-02-07,6403903999
2003-02-10,6346662399
2003-02-11,6389593600
2003-02-12,6428947200
2003-02-13,6443257600
2003-02-14,6586361600
2003-02-18,6704422399
2003-02-19,6733043200
2003-02-20,6700844800
2003-02-21,6729465600
2003-02-24,6654336000
2003-02-25,6886880000
2003-02-26,6915500799
2003-02-27,7162355200
2003-02-28,7258950400
2003-03-03,7237484800
2003-03-04,7051449600
2003-03-05,7115846400
2003-03-06,7097958400
2003-03-07,7112268800
2003-03-10,6886880000
2003-03-11,6754508800
2003-03-12,6754508800
2003-03-13,7001363200
2003-03-14,7112268800
2003-03-17,7527270400
2003-03-18,7423520000
2003-03-19,7491494400
2003-03-20,7641753600
2003-03-21,7770547200
2003-03-24,7591667200
2003-03-25,7638176000
2003-03-26,7641753600
2003-03-27,7634598400
2003-03-28,7648908800
2003-03-31,7638176000
2003-04-01,7666796800
2003-04-02,7935116800
2003-04-03,7162355200
2003-04-04,7080070400
2003-04-07,7291148800
2003-04-08,7276838400
2003-04-09,7155200000
2003-04-10,7334080000
2003-04-11,7334080000
2003-04-14,7305459200
2003-04-15,7444985600
2003-04-16,6793862399
2003-04-17,6886880000
2003-04-21,6750931200
2003-04-22,6894035200
2003-04-23,6954854400
2003-04-24,6886880000
2003-04-25,6815328000
2003-04-28,6901190400
2003-04-29,6929811200
2003-04-30,6811280660
2003-05-01,6649023327
2003-05-02,6878299993
2003-05-05,6694878660
2003-05-06,6723097326
2003-05-07,6687823993
2003-05-08,6525566660
2003-05-09,6532621327
2003-05-12,6804225993
2003-05-13,6793643993
2003-05-14,6814807993
2003-05-15,6835971993
2003-05-16,6790116660
2003-05-19,6525566660
2003-05-20,6585531327
2003-05-21,6719569993
2003-05-22,7015865993
2003-05-23,7305107326
2003-05-27,7414454659
2003-05-28,7329798659
2003-05-29,7167541326
2003-05-30,7220451326
2003-06-02,7552020659
2003-06-03,7601403326
2003-06-04,7827152659
2003-06-05,7760133326
2003-06-06,7897699325
2003-06-09,7619039992
2003-06-10,7608457992
2003-06-11,7756605992
2003-06-12,7428563992
2003-06-13,7393290659
2003-06-16,7520274659
2003-06-17,7506165326
2003-06-18,7604930659
2003-06-19,7481473992
2003-06-20,7481473992
2003-06-23,7301579993
2003-06-24,7530856659
2003-06-25,7382708659
2003-06-26,7477946659
2003-06-27,7460309992
2003-06-30,7629621992
2003-07-01,7679004659
2003-07-02,7728387326
2003-07-03,7693113992
2003-07-07,7809515992
2003-07-08,7971773325
2003-07-09,7848316659
2003-07-10,7827152659
2003-07-11,7940027325
2003-07-14,7947081992
2003-07-15,7760133326
2003-07-16,7731914659
2003-07-17,7710750659
2003-07-18,7827152659
2003-07-21,7904753992
2003-07-22,7936499992
2003-07-23,7922390659
2003-07-24,7848316659
2003-07-25,7848316659
2003-07-28,7834207325
2003-07-29,7724859992
2003-07-30,7559075326
2003-07-31,7332373340
2003-08-01,7197485340
2003-08-04,7287410673
2003-08-05,7121394673
2003-08-06,7221696006
2003-08-07,7349666673
2003-08-08,7342749340
2003-08-11,7335832007
2003-08-12,7394629340
2003-08-13,7311621340
2003-08-14,7277034673
2003-08-15,7287410673
2003-08-18,7221696006
2003-08-19,7259741340
2003-08-20,7232072006
2003-08-21,7263200007
2003-08-22,7190568006
2003-08-25,7135229340
2003-08-26,7218237340
2003-08-27,7460344007
2003-08-28,7571021340
2003-08-29,7626360007
2003-09-02,7557186673
2003-09-03,7546810673
2003-09-04,7581397340
2003-09-05,7221696006
2003-09-08,7297786673
2003-09-09,7225154673
2003-09-10,7114477340
2003-09-11,7107560006
2003-09-12,7111018673
2003-09-15,7090266673
2003-09-16,7297786673
2003-09-17,7394629340
2003-09-18,7422298673
2003-09-19,7308162673
2003-09-22,7297786673
2003-09-23,7315080007
2003-09-24,7225154673
2003-09-25,7190568006
2003-09-26,7138688006
2003-09-29,7273576007
2003-09-30,7460344007
2003-10-01,7449968007
2003-10-02,7526058673
2003-10-03,7439592007
2003-10-06,7470720007
2003-10-07,7633277340
2003-10-08,7581397340
2003-10-09,7609066674
2003-10-10,7664405340
2003-10-13,7761248007
2003-10-14,7743954674
2003-10-15,7920346674
2003-10-16,8127866674
2003-10-17,8134784007
2003-10-20,8127866674
2003-10-21,8283506674
2003-10-22,8131325341
2003-10-23,8152077341
2003-10-24,8169370674
2003-10-27,8207416007
2003-10-28,8290424007
2003-10-29,8345762674
2003-10-30,8231626674
2003-10-31,8377990992
2003-11-03,8442026592
2003-11-04,8477601925
2003-11-05,8612788191
2003-11-06,8555867658
2003-11-07,8651921058
2003-11-10,8651921058
2003-11-11,8595000525
2003-11-12,8751531991
2003-11-13,8751531991
2003-11-14,8609230658
2003-11-17,8495389592
2003-11-18,8548752591
2003-11-19,8541637525
2003-11-20,8523849858
2003-11-21,8673266258
2003-11-24,8740859391
2003-11-25,8787107325
