,DVA
2001-11-15,1769615579
2001-11-16,1759575207
2001-11-19,1838224704
2001-11-20,1832367904
2001-11-21,1840734797
2001-11-23,1857468834
2001-11-26,1856632220
2001-11-27,1840734797
2001-11-28,1832367904
2001-11-29,1856632220
2001-11-30,1895120230
2001-12-03,1932771625
2001-12-04,1945322090
2001-12-05,1953688983
2001-12-06,1935281718
2001-12-07,1895120230
2001-12-10,1853285262
2001-12-11,1890936658
2001-12-12,1863325634
2001-12-13,1860815541
2001-12-14,1920221160
2001-12-17,1924404732
2001-12-18,1987157057
2001-12-19,1983810099
2001-12-20,2003890843
2001-12-21,2008074416
2001-12-24,2012257988
2001-12-26,2008911030
2001-12-27,2012257988
2001-12-28,2024808453
2001-12-31,2045725811
2002-01-02,1987157057
2002-01-03,1903487123
2002-01-04,1850775169
2002-01-07,1858305448
2002-01-08,1836551476
2002-01-09,1890100044
2002-01-10,1919384546
2002-01-11,1935281718
2002-01-14,1916037588
2002-01-15,1953688983
2002-01-16,1987157057
2002-01-17,1973769727
2002-01-18,1967912927
2002-01-22,1986320192
2002-01-23,1970423020
2002-01-24,1999707522
2002-01-25,1989667150
2002-01-28,1967912927
2002-01-29,1975443206
2002-01-30,1978789913
2002-01-31,2041542239
2002-02-01,2016441309
2002-02-04,2008074416
2002-02-05,2008074416
2002-02-06,2000544136
2002-02-07,1967912927
2002-02-08,1945322090
2002-02-11,1957872555
2002-02-12,2024808453
2002-02-13,2024808453
2002-02-14,2041542239
2002-02-15,2018114788
2002-02-19,2008074416
2002-02-20,2003054229
2002-02-21,1952015755
2002-02-22,1942811997
2002-02-25,1944485476
2002-02-26,1967076313
2002-02-27,1920221160
2002-02-28,1870019299
2002-03-01,1930261532
2002-03-04,1890100044
2002-03-05,1798900081
2002-03-06,1878386192
2002-03-07,1849101941
2002-03-08,1835714611
2002-03-11,1839898183
2002-03-12,1843244890
2002-03-13,1874202871
2002-03-14,1917711067
2002-03-15,2131068973
2002-03-18,2175414034
2002-03-19,2123538694
2002-03-20,2166210276
2002-03-21,2110151615
2002-03-22,2116845029
2002-03-25,2095927671
2002-03-26,2102621336
2002-03-27,2112661708
2002-03-28,2116845029
2002-04-01,2125980083
2002-04-02,2084130000
2002-04-03,2098359083
2002-04-04,2119283999
2002-04-05,2110914083
2002-04-08,2117609916
2002-04-09,2116773000
2002-04-10,2117609916
2002-04-11,2110914083
2002-04-12,2110914083
2002-04-15,2106729000
2002-04-16,2102543916
2002-04-17,2090826083
2002-04-18,2105892083
2002-04-19,2173689083
2002-04-22,2166993000
2002-04-23,2166993000
2002-04-24,2159460000
2002-04-25,2168667083
2002-04-26,2156112083
2002-04-29,2158623083
2002-04-30,2169504000
2002-05-01,2187081000
2002-05-02,2169504000
2002-05-03,2146068083
2002-05-06,2149416000
2002-05-07,2151090083
2002-05-08,1929284916
2002-05-09,1870695000
2002-05-10,1707480000
2002-05-13,1767744000
2002-05-14,1810431000
2002-05-15,1874042916
2002-05-16,1838888916
2002-05-17,1846421916
2002-05-20,1823822916
2002-05-21,1815453000
2002-05-22,1829682083
2002-05-23,1830519000
2002-05-24,1863162000
2002-05-28,1895805000
2002-05-29,1885761000
2002-05-30,1950210083
2002-05-31,1958580000
2002-06-03,1937655083
2002-06-04,1897479083
2002-06-05,1935144083
2002-06-06,1965276083
2002-06-07,1997081916
2002-06-10,1977831083
2002-06-11,1992059916
2002-06-12,1987875083
2002-06-13,1975320083
2002-06-14,1975320083
2002-06-17,2000430083
2002-06-18,2017169916
2002-06-19,2091663000
2002-06-20,2047301916
2002-06-21,2017169916
2002-06-24,2012985083
2002-06-25,1943514000
2002-06-26,1979504916
2002-06-27,1982853083
2002-06-28,1992059916
2002-07-01,1531592328
2002-07-02,1507086787
2002-07-03,1480001787
2002-07-05,1499348216
2002-07-08,1483871073
2002-07-09,1450982145
2002-07-10,1400681430
2002-07-11,1380045175
2002-07-12,1357474471
2002-07-15,1334903573
2002-07-16,1332324114
2002-07-17,1341352318
2002-07-18,1327165001
2002-07-19,1305883930
2002-07-22,1254938399
2002-07-23,1283313032
2002-07-24,1354250002
2002-07-25,1358119287
2002-07-26,1385849104
2002-07-29,1439374287
2002-07-30,1416158573
2002-07-31,1521919114
2002-08-01,1480001787
2002-08-02,1457430890
2002-08-05,1414223930
2002-08-06,1433570359
2002-08-07,1354250002
2002-08-08,1431635716
2002-08-09,1429701073
2002-08-12,1434860185
2002-08-13,1438729471
2002-08-14,1460655359
2002-08-15,1474197859
2002-08-16,1461945185
2002-08-19,1487095542
2002-08-20,1481936430
2002-08-21,1474197859
2002-08-22,1470328573
2002-08-23,1462590002
2002-08-26,1461945185
2002-08-27,1415513757
2002-08-28,1420027859
2002-08-29,1434860185
2002-08-30,1427766430
2002-09-03,1399391604
2002-09-04,1430345890
2002-09-05,1429056257
2002-09-06,1443888390
2002-09-09,1463234818
2002-09-10,1465169461
2002-09-11,1476777318
2002-09-12,1454851430
2002-09-13,1468393930
2002-09-16,1475487685
2002-09-17,1467104104
2002-09-18,1473553042
2002-09-19,1481291614
2002-09-20,1506441971
2002-09-23,1499348216
2002-09-24,1487095542
2002-09-25,1508376614
2002-09-26,1541910359
2002-09-27,1535461614
2002-09-30,1415436082
2002-10-01,1424432498
2002-10-02,1421433633
2002-10-03,1406439667
2002-10-04,1415436082
2002-10-07,1404640384
2002-10-08,1377051257
2002-10-09,1375851855
2002-10-10,1367455140
2002-10-11,1384848270
2002-10-14,1382449106
2002-10-15,1399242535
2002-10-16,1389646238
2002-10-17,1406439667
2002-10-18,1459218577
2002-10-21,1459218577
2002-10-22,1476011826
2002-10-23,1476011826
2002-10-24,1481409675
2002-10-25,1492805255
2002-10-28,1449622461
2002-10-29,1461617562
2002-10-30,1451421744
2002-10-31,1437627180
2002-11-01,1475412125
2002-11-04,1465816009
2002-11-05,1476611707
2002-11-06,1519194620
2002-11-07,1517995218
2002-11-08,1448422879
2002-11-11,1475412125
2002-11-12,1478410990
2002-11-13,1492805255
2002-11-14,1498802805
2002-11-15,1551581716
2002-11-18,1550382313
2002-11-19,1544984464
2002-11-20,1551581716
2002-11-21,1532389483
2002-11-22,1531789602
2002-11-25,1493404956
2002-11-26,1475412125
2002-11-27,1498802805
2002-11-29,1538387033
2002-12-02,1511397787
2002-12-03,1502401371
2002-12-04,1505999937
2002-12-05,1544384583
2002-12-06,1534788467
2002-12-09,1500002387
2002-12-10,1523393067
2002-12-11,1504800355
2002-12-12,1493404956
2002-12-13,1495803940
2002-12-16,1490406091
2002-12-17,1470014276
2002-12-18,1474212543
2002-12-19,1464616427
2002-12-20,1465216128
2002-12-23,1459818278
2002-12-24,1464616427
2002-12-26,1453820728
2002-12-27,1445424014
2002-12-30,1455620011
2002-12-31,1502527670
2003-01-02,1528107794
2003-01-03,1545770321
2003-01-06,1550033614
2003-01-07,1537852724
2003-01-08,1530544118
2003-01-09,1546988483
2003-01-10,1558560383
2003-01-13,1557951393
2003-01-14,1552469938
2003-01-15,1516535894
2003-01-16,1520799187
2003-01-17,1531762097
2003-01-21,1522017349
2003-01-22,1532980259
2003-01-23,1537852724
2003-01-24,1511054439
2003-01-27,1485474315
2003-01-28,1473293243
2003-01-29,1463548495
2003-01-30,1450758433
2003-01-31,1467811788
2003-02-03,1452585585
2003-02-04,1423960148
2003-02-05,1431268755
2003-02-06,1425787300
2003-02-07,1425178310
2003-02-10,1455630899
2003-02-11,1418478693
2003-02-12,1346001798
2003-02-13,1376454204
2003-02-14,1243072132
2003-02-18,1257689345
2003-02-19,1280833327
2003-02-20,1249771749
2003-02-21,1266825103
2003-02-24,1236372697
2003-02-25,1243072132
2003-02-26,1236372697
2003-02-27,1249162759
2003-02-28,1263779972
2003-03-03,1273524720
2003-03-04,1268652255
2003-03-05,1266825103
2003-03-06,1243681304
2003-03-07,1252817062
2003-03-10,1240027001
2003-03-11,1217492008
2003-03-12,1204092957
2003-03-13,1199829664
2003-03-14,1198002512
2003-03-17,1190693905
2003-03-18,1217492008
2003-03-19,1215055867
2003-03-20,1210792574
2003-03-21,1212010553
2003-03-24,1209574412
2003-03-25,1225409787
2003-03-26,1245508456
2003-03-27,1243681304
2003-03-28,1259516497
2003-03-31,1270872447
2003-04-01,1280068340
2003-04-02,1281294520
2003-04-03,1277002981
2003-04-04,1262902734
2003-04-07,1270872447
2003-04-08,1258611194
2003-04-09,1241445588
2003-04-10,1237767231
2003-04-11,1250028483
2003-04-14,1254319839
2003-04-15,1231636697
2003-04-16,1196692302
2003-04-17,1214470907
2003-04-21,1221214623
2003-04-22,1226119161
2003-04-23,1254932837
2003-04-24,1256159017
2003-04-25,1245123946
2003-04-28,1262902734
2003-04-29,1252480660
2003-04-30,1264128730
2003-05-01,1288038053
2003-05-02,1284972878
2003-05-05,1422298094
2003-05-06,1465825384
2003-05-07,1469503741
2003-05-08,1468890743
2003-05-09,1482377991
2003-05-12,1477473454
2003-05-13,1470116739
2003-05-14,1471955918
2003-05-15,1474408279
2003-05-16,1484830168
2003-05-19,1466438382
2003-05-20,1460920846
2003-05-21,1463373207
2003-05-22,1471342920
2003-05-23,1471955918
2003-05-27,1483604172
2003-05-28,1479925815
2003-05-29,1468890743
2003-05-30,1486669347
2003-06-02,1526518279
2003-06-03,1519774563
2003-06-04,1540618710
2003-06-05,1544910066
2003-06-06,1569432386
2003-06-09,1565141031
2003-06-10,1575563104
2003-06-11,1609281318
2003-06-12,1595794069
2003-06-13,1620316390
2003-06-16,1651582427
2003-06-17,1639321175
2003-06-18,1619090210
2003-06-19,1623994747
2003-06-20,1633190641
2003-06-23,1630738464
2003-06-24,1630738464
2003-06-25,1619703392
2003-06-26,1622768567
2003-06-27,1620316390
2003-06-30,1743457467
2003-07-01,1770800713
2003-07-02,1795539709
2003-07-03,1781217122
2003-07-07,1792935656
2003-07-08,1783821175
2003-07-09,1781868086
2003-07-10,1747363645
2003-07-11,1746712485
2003-07-14,1756477930
2003-07-15,1778613068
2003-07-16,1845669057
2003-07-17,1809862492
2003-07-18,1840460755
2003-07-21,1844366933
2003-07-22,1835903613
2003-07-23,1856085467
2003-07-24,1846971182
2003-07-25,1849575235
2003-07-28,1872361338
2003-07-29,1877569445
2003-07-30,1846971182
2003-07-31,1822882954
2003-08-01,1757780055
2003-08-04,1790982567
2003-08-05,1792935656
2003-08-06,1790331602
2003-08-07,1815070599
2003-08-08,1878871569
2003-08-11,1894496281
2003-08-12,1886032961
2003-08-13,1886683925
2003-08-14,1887986050
2003-08-15,1910771957
2003-08-18,1933558060
2003-08-19,1962854394
2003-08-20,1953739914
2003-08-21,1951786825
2003-08-22,1953739914
2003-08-25,1935511149
2003-08-26,1940719451
2003-08-27,1944625629
2003-08-28,1938115202
2003-08-29,1979130070
2003-09-02,2014936831
2003-09-03,2007124476
2003-09-04,2018191849
2003-09-05,2012983742
2003-09-08,2016889920
2003-09-09,2021447063
2003-09-10,2011681618
2003-09-11,2026661810
2003-09-12,2035763205
2003-09-15,2021447063
2003-09-16,2039669383
2003-09-17,2062461931
2003-09-18,2083301390
2003-09-19,2080039731
2003-09-22,2063770500
2003-09-23,2106074407
2003-09-24,2078731162
2003-09-25,2115839852
2003-09-26,2070274287
2003-09-29,2076133553
2003-09-30,2045497889
2003-10-01,2117466255
2003-10-02,2124541634
2003-10-03,2165027455
2003-10-06,2168247041
2003-10-07,2165663660
2003-10-08,2154096283
2003-10-09,2174666936
2003-10-10,2181742315
2003-10-13,2209369068
2003-10-14,2192654207
2003-10-15,2215788962
2003-10-16,2245999096
2003-10-17,2184942623
2003-10-20,2199729587
2003-10-21,2249854888
2003-10-22,2210660758
2003-10-23,2231212132
2003-10-24,2210005273
2003-10-27,2270425541
2003-10-28,2258858164
2003-10-29,2271697952
2003-10-30,2244071200
2003-10-31,2255638577
2003-11-03,2467070955
2003-11-04,2472854644
2003-11-05,2474127056
2003-11-06,2490841916
2003-11-07,2490205710
2003-11-10,2447136508
2003-11-11,2429149237
2003-11-12,2461287267
2003-11-13,2519124153
2003-11-14,2507556776
2003-11-17,2486986123
2003-11-18,2467070955
2003-11-19,2450992301
2003-11-20,2413726067
2003-11-21,2352669594
2003-11-24,2392519209
2003-11-25,2465143059
2003-11-26,2440716614
2003-11-28,2453575682
2003-12-01,2524252357
2003-12-02,2528763634
2003-12-03,2570521867
2003-12-04,2570521867
2003-12-05,2503045499
2003-12-08,2485694433
2003-12-09,2474127056
2003-12-10,2440716614
2003-12-11,2442008304
2003-12-12,2442644510
2003-12-15,2424657239
2003-12-16,2395738795
2003-12-17,2409870275
2003-12-18,2454848093
2003-12-19,2417581859
2003-12-22,2394447105
2003-12-23,2424001754
2003-12-24,2468343367
2003-12-26,2465779265
2003-12-29,2463851369
2003-12-30,2520396565
2003-12-31,2550586376
2004-01-02,2583940197
2004-01-05,2612722584
2004-01-06,2580663675
2004-01-07,2570206271
2004-01-08,2552548365
2004-01-09,2546662396
2004-01-12,2523765979
2004-01-13,2491726690
2004-01-14,2487802711
2004-01-15,2485193265
2004-01-16,2526395045
2004-01-20,2547309853
2004-01-21,2596359591
2004-01-22,2555824888
2004-01-23,2566929748
2004-01-26,2561710856
2004-01-27,2623827444
2004-01-28,2560396323
2004-01-29,2612055507
2004-01-30,2623827444
2004-02-02,2687278185
2004-02-03,2711469516
2004-02-04,2685316196
2004-02-05,2628418500
2004-02-06,2655219277
2004-02-09,2660457789
2004-02-10,2638875904
2004-02-11,2786025118
2004-02-12,2886086583
2004-02-13,2935783778
2004-02-17,3033883254
2004-02-18,3018187338
2004-02-19,2986148049
2004-02-20,2939707757
2004-02-23,2907021012
2004-02-24,2935783778
2004-02-25,2942984280
2004-02-26,2942336823
2004-02-27,2976338101
2004-03-01,3031273808
2004-03-02,3029311818
2004-03-03,3007729934
2004-03-04,3021463860
2004-03-05,3024073306
2004-03-08,3006415401
2004-03-09,2965880697
2004-03-10,2932526875
2004-03-11,2851418229
2004-03-12,2897211064
2004-03-15,2920754938
2004-03-16,2926640907
2004-03-17,2931212342
2004-03-18,2937745767
2004-03-19,2942984280
2004-03-22,2885439127
2004-03-23,2939707757
2004-03-24,2949517705
2004-03-25,3049579170
2004-03-26,3099943441
2004-03-29,3125449305
2004-03-30,3125449305
2004-03-31,3173350106
2004-04-01,3150083351
2004-04-02,3189299895
2004-04-05,3206565541
2004-04-06,3187964100
2004-04-07,3220521607
2004-04-08,3201920165
2004-04-12,3225186920
2004-04-13,3160051969
2004-04-14,3160709898
2004-04-15,3146095903
2004-04-16,3229832296
2004-04-19,3239142986
2004-04-20,3226502778
2004-04-21,3250427462
2004-04-22,3300270553
2004-04-23,3319549860
2004-04-26,3324873102
2004-04-27,3363411780
2004-04-28,3399298806
2004-04-29,3405937905
2004-04-30,3395969287
2004-05-03,3308245447
2004-05-04,3297618900
2004-05-05,3318214065
2004-05-06,3302264276
2004-05-07,3293631453
2004-05-10,3143444251
2004-05-11,3209895060
2004-05-12,3181982929
2004-05-13,3158058245
2004-05-14,3128810319
2004-05-17,3063017439
2004-05-18,3073663924
2004-05-19,3033789451
2004-05-20,3019155519
2004-05-21,3043758069
2004-05-24,3056378340
2004-05-25,3081638818
2004-05-26,3068998610
2004-05-27,3040428551
