,CMI
2002-07-03,1190446604
2002-07-05,1255572818
2002-07-08,1234368934
2002-07-09,1202563109
2002-07-10,1161669905
2002-07-11,1154097089
2002-07-12,1134407769
2002-07-15,1128349516
2002-07-16,1082912623
2002-07-17,1111689322
2002-07-18,1082912623
2002-07-19,1096543691
2002-07-22,1093514565
2002-07-23,1058679613
2002-07-24,1135922332
2002-07-25,1132893206
2002-07-26,1141980584
2002-07-29,1241941750
2002-07-30,1240427187
2002-07-31,1222252429
2002-08-01,1185902915
2002-08-02,1128349516
2002-08-05,1081398060
2002-08-06,1145009711
2002-08-07,1164699031
2002-08-08,1190446604
2002-08-09,1194990293
2002-08-12,1175300973
2002-08-13,1151067963
2002-08-14,1172271847
2002-08-15,1176815536
2002-08-16,1155611652
2002-08-19,1187417478
2002-08-20,1154097089
2002-08-21,1173786410
2002-08-22,1196504856
2002-08-23,1166213594
2002-08-26,1191961167
2002-08-27,1188932041
2002-08-28,1148038837
2002-08-29,1126834953
2002-08-30,1128349516
2002-09-03,1066252429
2002-09-04,1085941749
2002-09-05,1066252429
2002-09-06,1084427186
2002-09-09,1105631070
2002-09-10,1111689322
2002-09-11,1101087380
2002-09-12,1084427186
2002-09-13,1058679613
2002-09-16,1048077672
2002-09-17,1013242720
2002-09-18,954174759
2002-09-19,931456312
2002-09-20,932970875
2002-09-23,925398060
2002-09-24,887533982
2002-09-25,919339807
2002-09-26,948116506
2002-09-27,910252429
2002-09-30,919596000
2002-10-01,955384000
2002-10-02,897811999
2002-10-03,908704000
2002-10-04,860468000
2002-10-07,834016000
2002-10-08,818456000
2002-10-09,765552000
2002-10-10,832460000
2002-10-11,904035999
2002-10-14,905592000
2002-10-15,995840000
2002-10-16,855800000
2002-10-17,947604000
2002-10-18,960052000
2002-10-21,1005176000
2002-10-22,972500000
2002-10-23,1008288000
2002-10-24,970944000
2002-10-25,980280000
2002-10-28,952272000
2002-10-29,939824000
2002-10-30,933600000
2002-10-31,932044000
2002-11-01,942935999
2002-11-04,983392000
2002-11-05,992728000
2002-11-06,1020735999
2002-11-07,988060000
2002-11-08,988060000
2002-11-11,953828000
2002-11-12,980280000
2002-11-13,1005176000
2002-11-14,1042520000
2002-11-15,1084532000
2002-11-18,1075196000
2002-11-19,1070528000
2002-11-20,1092312000
2002-11-21,1132768000
2002-11-22,1138992000
2002-11-25,1171668000
2002-11-26,1156108000
2002-11-27,1223016000
2002-11-29,1223016000
2002-12-02,1204344000
2002-12-03,1145216000
2002-12-04,1157664000
2002-12-05,1159220000
2002-12-06,1154552000
2002-12-09,1128100000
2002-12-10,1137436000
2002-12-11,1129656000
2002-12-12,1148328000
2002-12-13,1124988000
2002-12-16,1154552000
2002-12-17,1148328000
2002-12-18,1120320000
2002-12-19,1106316000
2002-12-20,1110984000
2002-12-23,1110984000
2002-12-24,1103204000
2002-12-26,1106316000
2002-12-27,1078308000
2002-12-30,1087644000
2002-12-31,1093868000
2003-01-02,1128100000
2003-01-03,1123432000
2003-01-06,1148328000
2003-01-07,1135880000
2003-01-08,1103204000
2003-01-09,1117208000
2003-01-10,1110984000
2003-01-13,1114096000
2003-01-14,1110984000
2003-01-15,1090756000
2003-01-16,1084532000
2003-01-17,1075196000
2003-01-21,1031628000
2003-01-22,989616000
2003-01-23,1014511999
2003-01-24,986504000
2003-01-27,950716000
2003-01-28,956940000
2003-01-29,989616000
2003-01-30,949160000
2003-01-31,961608000
2003-02-03,983392000
2003-02-04,972500000
2003-02-05,975611999
2003-02-06,975611999
2003-02-07,960052000
2003-02-10,964720000
2003-02-11,953828000
2003-02-12,932044000
2003-02-13,911816000
2003-02-14,932044000
2003-02-18,963164000
2003-02-19,955384000
2003-02-20,950716000
2003-02-21,966276000
2003-02-24,930488000
2003-02-25,932044000
2003-02-26,921152000
2003-02-27,935156000
2003-02-28,932044000
2003-03-03,935156000
2003-03-04,902480000
2003-03-05,902480000
2003-03-06,899368000
2003-03-07,907148000
2003-03-10,882252000
2003-03-11,865135999
2003-03-12,863580000
2003-03-13,900924000
2003-03-14,900924000
2003-03-17,960052000
2003-03-18,975611999
2003-03-19,972500000
2003-03-20,1002064000
2003-03-21,1075196000
2003-03-24,1026960000
2003-03-25,966276000
2003-03-26,964720000
2003-03-27,969388000
2003-03-28,956940000
2003-03-31,1012941174
2003-04-01,1012941174
2003-04-02,1060705880
2003-04-03,1031058821
2003-04-04,1026117644
2003-04-07,1059058821
2003-04-08,1057411762
2003-04-09,1055764703
2003-04-10,1044235291
2003-04-11,1037647056
2003-04-14,1049176468
2003-04-15,1055764703
2003-04-16,1027764703
2003-04-17,1039294115
2003-04-21,1063999997
2003-04-22,1098588232
2003-04-23,1100235291
2003-04-24,1091999997
2003-04-25,1075529409
2003-04-28,1105176468
2003-04-29,1111764703
2003-04-30,1116705879
2003-05-01,1115058821
2003-05-02,1151294115
2003-05-05,1159529409
2003-05-06,1179294115
2003-05-07,1180941173
2003-05-08,1184235291
2003-05-09,1218823526
2003-05-12,1259999997
2003-05-13,1243529409
2003-05-14,1238588232
2003-05-15,1255058820
2003-05-16,1255058820
2003-05-19,1217176467
2003-05-20,1195764703
2003-05-21,1199058820
2003-05-22,1273176467
2003-05-23,1301176467
2003-05-27,1391764702
2003-05-28,1391764702
2003-05-29,1376941173
2003-05-30,1411529408
2003-06-02,1455999996
2003-06-03,1457647055
2003-06-04,1597647055
2003-06-05,1635529408
2003-06-06,1642117643
2003-06-09,1604235290
2003-06-10,1595999996
2003-06-11,1609176467
2003-06-12,1660235290
2003-06-13,1633882349
2003-06-16,1665176467
2003-06-17,1716235290
2003-06-18,1668470584
2003-06-19,1614117643
2003-06-20,1627294114
2003-06-23,1559764702
2003-06-24,1533411761
2003-06-25,1516941173
2003-06-26,1518588232
2003-06-27,1477411761
2003-06-30,1388903228
2003-07-01,1378064519
2003-07-02,1421419357
2003-07-03,1447741938
2003-07-07,1489548390
2003-07-08,1500387099
2003-07-09,1475612906
2003-07-10,1430709680
2003-07-11,1460129035
2003-07-14,1469419357
2003-07-15,1433806454
2003-07-16,1421419357
2003-07-17,1475612906
2003-07-18,1492645164
2003-07-21,1469419357
2003-07-22,1470967745
2003-07-23,1481806454
2003-07-24,1469419357
2003-07-25,1748129035
2003-07-28,1717161293
2003-07-29,1701677422
2003-07-30,1707870971
2003-07-31,1793032261
2003-08-01,1820903229
2003-08-04,1819354842
2003-08-05,1791483874
2003-08-06,1797677423
2003-08-07,1817806455
2003-08-08,1824000003
2003-08-11,1828645165
2003-08-12,1875096778
2003-08-13,1858064520
2003-08-14,1861161294
2003-08-15,1892129036
2003-08-18,1916903229
2003-08-19,1933935487
2003-08-20,1923096778
2003-08-21,1916903229
2003-08-22,1907612907
2003-08-25,1893677423
2003-08-26,1889032262
2003-08-27,1920000004
2003-08-28,1913806455
2003-08-29,1929290326
2003-09-02,1930838713
2003-09-03,1881290326
2003-09-04,1889032262
2003-09-05,1851870971
2003-09-08,1867354842
2003-09-09,1926193552
2003-09-10,1859612907
2003-09-11,1848774197
2003-09-12,1854967745
2003-09-15,1862709681
2003-09-16,1867354842
2003-09-17,1831741939
2003-09-18,1851870971
2003-09-19,1851870971
2003-09-22,1828645165
2003-09-23,1882838713
2003-09-24,1842580649
2003-09-25,1800774197
2003-09-26,1760516132
2003-09-29,2143636000
2003-09-30,2102012000
2003-10-01,2158772000
2003-10-02,2219316000
2003-10-03,2281752000
2003-10-06,2342296000
2003-10-07,2389596000
2003-10-08,2400948000
2003-10-09,2402840000
2003-10-10,2402840000
2003-10-13,2423652000
2003-10-14,2429328000
2003-10-15,2474736000
2003-10-16,2408516000
2003-10-17,2383920000
2003-10-20,2368784000
2003-10-21,2353648000
2003-10-22,2313916000
2003-10-23,2304456000
2003-10-24,2279860000
2003-10-27,2327160000
2003-10-28,2192828000
2003-10-29,2249588000
2003-10-30,2234452000
2003-10-31,2242020000
2003-11-03,2238236000
2003-11-04,2249588000
2003-11-05,2213640000
2003-11-06,2211748000
2003-11-07,2168232000
2003-11-10,2128500000
2003-11-11,2115256000
2003-11-12,2183368000
2003-11-13,2166340000
2003-11-14,2134175999
2003-11-17,2092552000
2003-11-18,2071739999
2003-11-19,2094444000
2003-11-20,2083092000
2003-11-21,2071739999
2003-11-24,2162556000
2003-11-25,2172016000
2003-11-26,2181476000
2003-11-28,2196612000
2003-12-01,2234452000
2003-12-02,2190936000
2003-12-03,2190936000
2003-12-04,2194720000
2003-12-05,2162556000
2003-12-08,2183368000
2003-12-09,2185260000
2003-12-10,2141744000
2003-12-11,2204180000
2003-12-12,2228776000
2003-12-15,2234452000
2003-12-16,2234452000
2003-12-17,2272292000
2003-12-18,2353648000
2003-12-19,2365000000
2003-12-22,2344188000
2003-12-23,2353648000
2003-12-24,2336620000
2003-12-26,2338512000
2003-12-29,2351756000
2003-12-30,2338512000
2003-12-31,1982880000
2004-01-02,1974780000
2004-01-05,2063880000
2004-01-06,2125439999
2004-01-07,2156220000
2004-01-08,2143260000
2004-01-09,2101140000
2004-01-12,2089800000
2004-01-13,2091420000
2004-01-14,2125439999
2004-01-15,2122200000
2004-01-16,2149740000
2004-01-20,2099520000
2004-01-21,2127060000
2004-01-22,2178900000
2004-01-23,2099520000
2004-01-26,2140020000
2004-01-27,2178900000
2004-01-28,2109240000
2004-01-29,2055780000
2004-01-30,2054160000
2004-02-02,2018520000
2004-02-03,2012040000
2004-02-04,1973160000
2004-02-05,2012040000
2004-02-06,2046060000
2004-02-09,2033100000
2004-02-10,2050920000
2004-02-11,2101140000
2004-02-12,2110860000
2004-02-13,2094660000
2004-02-17,2135160000
2004-02-18,2097900000
2004-02-19,2080080000
2004-02-20,2050920000
2004-02-23,2000700000
2004-02-24,1974780000
2004-02-25,1997460000
2004-02-26,2029860000
2004-02-27,2000700000
2004-03-01,2080080000
2004-03-02,2144880000
2004-03-03,2123820000
2004-03-04,2127060000
2004-03-05,2148120000
2004-03-08,2159460000
2004-03-09,2125439999
2004-03-10,2052540000
2004-03-11,2036340000
2004-03-12,2183760000
2004-03-15,2127060000
2004-03-16,2149740000
2004-03-17,2224260000
2004-03-18,2272860000
2004-03-19,2251800000
2004-03-22,2190240000
2004-03-23,2225880000
2004-03-24,2191860000
2004-03-25,2217780000
2004-03-26,2280960000
2004-03-29,2397563452
2004-03-30,2424203046
2004-03-31,2432527919
2004-04-01,2454172589
2004-04-02,2485807107
2004-04-05,2497461930
2004-04-06,2670619290
2004-04-07,2672284265
2004-04-08,2652304569
2004-04-12,2685604062
2004-04-13,2650639595
2004-04-14,2627329950
2004-04-15,2648974620
2004-04-16,2735553300
2004-04-19,2745543148
2004-04-20,2663959392
2004-04-21,2700588833
2004-04-22,2680609138
2004-04-23,2622335026
2004-04-26,2610680204
2004-04-27,2607350254
2004-04-28,2547411168
2004-04-29,2504121828
2004-04-30,2489137056
2004-05-03,2547411168
2004-05-04,2552406092
2004-05-05,2564060914
2004-05-06,2482477158
2004-05-07,2432527919
2004-05-10,2312649747
2004-05-11,2299329950
2004-05-12,2264365483
2004-05-13,2315979696
2004-05-14,2400893402
2004-05-17,2347614214
2004-05-18,2390903554
2004-05-19,2387573605
2004-05-20,2350944163
2004-05-21,2276020305
2004-05-24,2314314721
2004-05-25,2372588833
2004-05-26,2387573605
2004-05-27,2430862945
2004-05-28,2424203046
2004-06-01,2455837564
2004-06-02,2482477158
2004-06-03,2455837564
2004-06-04,2475817259
2004-06-07,2552406092
2004-06-08,2562395940
2004-06-09,2557401016
2004-06-10,2567390864
2004-06-14,2522436549
2004-06-15,2560730965
2004-06-16,2537421320
2004-06-17,2547411168
2004-06-18,2562395940
2004-06-21,2554071067
2004-06-22,2580710661
2004-06-23,2614010153
2004-06-24,2622335026
2004-06-25,2642314721
2004-06-28,2705239849
2004-06-29,2693254609
2004-06-30,2676132838
2004-07-01,2641889296
2004-07-02,2592236159
2004-07-06,2551143908
2004-07-07,2554568263
2004-07-08,2535734314
2004-07-09,2573402211
2004-07-12,2609357930
2004-07-13,2626479702
2004-07-14,2659011067
2004-07-15,2751468631
2004-07-16,2729210329
2004-07-19,2689830255
2004-07-20,2696678964
2004-07-21,2652162358
