,PLD
2004-08-24,3030473349
2004-08-25,3031295284
2004-08-26,3041158501
2004-08-27,3037870762
2004-08-30,3046090109
2004-08-31,3069926216
2004-09-01,3065816542
2004-09-02,3077323629
2004-09-03,3090474584
2004-09-07,3123351974
2004-09-08,3087186845
2004-09-09,3047733978
2004-09-10,3032939153
2004-09-13,3019788198
2004-09-14,2967184375
2004-09-15,2984445004
2004-09-16,3059241065
2004-09-17,3039514631
2004-09-20,3026363675
2004-09-21,3033761088
2004-09-22,2991842417
2004-09-23,2951567615
2004-09-24,2987732743
2004-09-27,2984445004
2004-09-28,3014856589
2004-09-29,3015678524
2004-09-30,3040586834
2004-10-01,3039765498
2004-10-04,3052906878
2004-10-05,3047978860
2004-10-06,3059477568
2004-10-07,2990485322
2004-10-08,3032373471
2004-10-11,3012661401
2004-10-12,3034837480
2004-10-13,2992949331
2004-10-14,3009376056
2004-10-15,3014304074
2004-10-18,3039765498
2004-10-19,3006912047
2004-10-20,2992127995
2004-10-21,3038122825
2004-10-22,3017589419
2004-10-25,3019232091
2004-10-26,3065226922
2004-10-27,3097259036
2004-10-28,3086581665
2004-10-29,3080010975
2004-11-01,3141611194
2004-11-02,3121899124
2004-11-03,3156395247
2004-11-04,3227851501
2004-11-05,3097259036
2004-11-08,3092331018
2004-11-09,3100544381
2004-11-10,3129291150
2004-11-11,3171179299
2004-11-12,3234422191
2004-11-15,3300950428
2004-11-16,3260704952
2004-11-17,3190891370
2004-11-18,3202390077
2004-11-19,3172000636
2004-11-22,3207318095
2004-11-23,3246742235
2004-11-24,3293558402
2004-11-26,3261526288
2004-11-29,3256598270
2004-11-30,3281238358
2004-12-01,3374049356
2004-12-02,3338731896
2004-12-03,3342838578
2004-12-06,3330518534
2004-12-07,3260704952
2004-12-08,3282881031
2004-12-09,3269739651
2004-12-10,3328054525
2004-12-13,3305878446
2004-12-14,3297665083
2004-12-15,3318198490
2004-12-16,3264811633
2004-12-17,3306699782
2004-12-20,3318198490
2004-12-21,3322305171
2004-12-22,3363371984
2004-12-23,3326411853
2004-12-27,3314091809
2004-12-28,3346123923
2004-12-29,3365835993
2004-12-30,3374049356
2004-12-31,3357771354
2005-01-03,3366916065
2005-01-04,3365253390
2005-01-05,3227251398
2005-01-06,3257179541
2005-01-07,3249697505
2005-01-10,3223926049
2005-01-11,3188178545
2005-01-12,3150768367
2005-01-13,3169057787
2005-01-14,3184021859
2005-01-18,3245540819
2005-01-19,3275468962
2005-01-20,3250528843
2005-01-21,3258842216
2005-01-24,3263830239
2005-01-25,3185684533
2005-01-26,3146611680
2005-01-27,3091743418
2005-01-28,3091743418
2005-01-31,3095068767
2005-02-01,3113358188
2005-02-02,3129984934
2005-02-03,3184021859
2005-02-04,3233902097
2005-02-07,3205636628
2005-02-08,3192335232
2005-02-09,3233902097
2005-02-10,3240552795
2005-02-11,3229745410
2005-02-14,3240552795
2005-02-15,3267986926
2005-02-16,3282119660
2005-02-17,3296252394
2005-02-18,3294589719
2005-02-22,3194829243
2005-02-23,3160744414
2005-02-24,3157419065
2005-02-25,3217275351
2005-02-28,3227251398
2005-03-01,3275468962
2005-03-02,3222263374
2005-03-03,3222263374
2005-03-04,3334493910
2005-03-07,3332831235
2005-03-08,3302071755
2005-03-09,3170720462
2005-03-10,3205636628
2005-03-11,3171551799
2005-03-14,3225588724
2005-03-15,3221432037
2005-03-16,3180696509
2005-03-17,3208961978
2005-03-18,3195660581
2005-03-21,3174045811
2005-03-22,3107538827
2005-03-23,3067634637
2005-03-24,3073453998
2005-03-28,3080936033
2005-03-29,3086755394
2005-03-30,3125828248
2005-03-31,3157114136
2005-04-01,3123705521
2005-04-04,3106165998
2005-04-05,3081109536
2005-04-06,3091132121
2005-04-07,3109506859
2005-04-08,3095308198
2005-04-11,3098649059
2005-04-12,3147926767
2005-04-13,3134563321
2005-04-14,3112847721
2005-04-15,3115353367
2005-04-18,3134563321
2005-04-19,3165466290
2005-04-20,3158784567
2005-04-21,3186346674
2005-04-22,3191357966
2005-04-25,3238130028
2005-04-26,3234789166
2005-04-27,3261516058
2005-04-28,3222260936
2005-04-29,3256504766
2005-05-02,3265692135
2005-05-03,3260680843
2005-05-04,3284902089
2005-05-05,3325827643
2005-05-06,3292419027
2005-05-09,3346708027
2005-05-10,3345037596
2005-05-11,3350884104
2005-05-12,3324157212
2005-05-13,3302441612
2005-05-16,3353389750
2005-05-17,3353389750
2005-05-18,3390974442
2005-05-19,3434405642
2005-05-20,3422712627
2005-05-23,3429394350
2005-05-24,3365082766
2005-05-25,3315805058
2005-05-26,3330003720
2005-05-27,3341696735
2005-05-31,3366753196
2005-06-01,3409349181
2005-06-02,3393480088
2005-06-03,3395985735
2005-06-06,3507069380
2005-06-07,3545489288
2005-06-08,3549665365
2005-06-09,3560523164
2005-06-10,3570545749
2005-06-13,3602283933
2005-06-14,3654067287
2005-06-15,3665760302
2005-06-16,3641539056
2005-06-17,3654067287
2005-06-20,3644879918
2005-06-21,3607295226
2005-06-22,3598107857
2005-06-23,3595602210
2005-06-24,3569710534
2005-06-27,3588085272
2005-06-28,3597272641
2005-06-29,3606460010
2005-06-30,3667123578
2005-07-01,3684855467
2005-07-05,3770981786
2005-07-06,3727918627
2005-07-07,3738895511
2005-07-08,3770137411
2005-07-11,3816578073
2005-07-12,3809823068
2005-07-13,3828399333
2005-07-14,3781114295
2005-07-15,3744806140
2005-07-18,3765915532
2005-07-19,3800534935
2005-07-20,3894260636
2005-07-21,3830088084
2005-07-22,3858796857
2005-07-25,3819955576
2005-07-26,3817422449
2005-07-27,3817422449
2005-07-28,3911148149
2005-07-29,3883283752
2005-08-01,3863018736
2005-08-02,3896793763
2005-08-03,3878217498
2005-08-04,3781114295
2005-08-05,3667967953
2005-08-08,3566642872
2005-08-09,3595351645
2005-08-10,3579308507
2005-08-11,3588596640
2005-08-12,3651080440
2005-08-15,3679789213
2005-08-16,3663746075
2005-08-17,3652769191
2005-08-18,3619838540
2005-08-19,3605484153
2005-08-22,3656146694
2005-08-23,3665434826
2005-08-24,3688232970
2005-08-25,3712719864
2005-08-26,3684855467
2005-08-29,3670501080
2005-08-30,3664590451
2005-08-31,3743117389
2005-09-01,3778581168
2005-09-02,3762538030
2005-09-06,3826710581
2005-09-07,3805601189
2005-09-08,3804756814
2005-09-09,3824177454
2005-09-12,3825866206
2005-09-13,3791246803
2005-09-14,3799690560
2005-09-15,3825021830
2005-09-16,3837687465
2005-09-19,3825866206
2005-09-20,3786180549
2005-09-21,3678100462
2005-09-22,3702587356
2005-09-23,3702587356
2005-09-26,3736362384
2005-09-27,3730451754
2005-09-28,3673034208
2005-09-29,3741428638
2005-09-30,3773797181
2005-10-03,3761189841
2005-10-04,3716643905
2005-10-05,3630913992
2005-10-06,3649404757
2005-10-07,3608220779
2005-10-10,3593932460
2005-10-11,3585527567
2005-10-12,3477944930
2005-10-13,3499797653
2005-10-14,3604018332
2005-10-17,3625871055
2005-10-18,3566196312
2005-10-19,3614104205
2005-10-20,3593091971
2005-10-21,3615785183
2005-10-24,3698153140
2005-10-25,3668736012
2005-10-26,3626711545
2005-10-27,3572920226
2005-10-28,3700674608
2005-10-31,3713281948
2005-11-01,3690588735
2005-11-02,3719165373
2005-11-03,3667055034
2005-11-04,3620828119
2005-11-07,3622509098
2005-11-08,3572920226
2005-11-09,3629233013
2005-11-10,3710760480
2005-11-11,3729251245
2005-11-14,3744380054
2005-11-15,3713281948
2005-11-16,3692269714
2005-11-17,3740177607
2005-11-18,3783042564
2005-11-21,3782202075
2005-11-22,3819183606
2005-11-23,3857846116
2005-11-25,3861208073
2005-11-28,3849441222
2005-11-29,3925085264
2005-11-30,3930128200
2005-12-01,3983919519
2005-12-02,4034348880
2005-12-05,4013336646
2005-12-06,4009974688
2005-12-07,4013336646
2005-12-08,4166305707
2005-12-09,4165465218
2005-12-12,4187317941
2005-12-13,4189839409
2005-12-14,4186477452
2005-12-15,4146133963
2005-12-16,4148655431
2005-12-19,4104949985
2005-12-20,4053680135
2005-12-21,4150336410
2005-12-22,4139410048
2005-12-23,4160422282
2005-12-27,4125962219
2005-12-28,4135207602
2005-12-29,4100747538
2005-12-30,4132686133
2006-01-03,4300036526
2006-01-04,4287071592
2006-01-05,4287071592
2006-01-06,4327695052
2006-01-09,4334609684
2006-01-10,4408077645
2006-01-11,4407213316
2006-01-12,4390791066
2006-01-13,4308679815
2006-01-17,4300036526
2006-01-18,4262870381
2006-01-19,4337202671
2006-01-20,4301765184
2006-01-23,4333745355
2006-01-24,4408941973
2006-01-25,4383876434
2006-01-26,4400298684
2006-01-27,4421906908
2006-01-30,4445243789
2006-01-31,4511797119
2006-02-01,4542048632
2006-02-02,4494510540
2006-02-03,4477223961
2006-02-06,4487595908
2006-02-07,4449565434
2006-02-08,4370911500
2006-02-09,4383012105
2006-02-10,4386469421
2006-02-13,4374368815
2006-02-14,4399434355
2006-02-15,4417585263
2006-02-16,4453887079
2006-02-17,4477223961
2006-02-21,4491917553
2006-02-22,4618109579
2006-02-23,4625888540
2006-02-24,4635396158
2006-02-27,4655275724
2006-02-28,4637124816
2006-03-01,4651818408
2006-03-02,4643175119
2006-03-03,4589586724
2006-03-06,4613787935
2006-03-07,4543777290
2006-03-08,4550691921
2006-03-09,4614652264
2006-03-10,4663054685
2006-03-13,4631938843
2006-03-14,4689848882
2006-03-15,4750351909
2006-03-16,4809990606
2006-03-17,4886051554
2006-03-20,4790111040
2006-03-21,4730472343
2006-03-22,4744301606
2006-03-23,4730472343
2006-03-24,4725286369
2006-03-27,4663919014
2006-03-28,4673426632
2006-03-29,4765045501
2006-03-30,4682934251
2006-03-31,4738720399
2006-04-03,4617349082
2006-04-04,4539636513
2006-04-05,4573690335
2006-04-06,4550114612
2006-04-07,4474148392
2006-04-10,4433109170
2006-04-11,4426123770
2006-04-12,4431362820
2006-04-13,4338806276
2006-04-17,4330074527
2006-04-18,4390323598
2006-04-19,4434855520
2006-04-20,4457558068
2006-04-21,4468036167
2006-04-24,4425250595
2006-04-25,4406040747
2006-04-26,4360635650
2006-04-27,4399928522
2006-04-28,4365001525
2006-05-01,4318723253
2006-05-02,4268952281
2006-05-03,4304752454
2006-05-04,4370240574
2006-05-05,4426123770
2006-05-08,4463670293
2006-05-09,4447953144
2006-05-10,4475894742
2006-05-11,4407787097
2006-05-12,4378099149
2006-05-15,4426123770
2006-05-16,4379845499
2006-05-17,4296893879
2006-05-18,4241010683
2006-05-19,4240137508
2006-05-22,4161551764
2006-05-23,4090824593
2006-05-24,4152820014
2006-05-25,4247996083
2006-05-26,4303879279
2006-05-30,4304752454
2006-05-31,4316103728
2006-06-01,4413899321
2006-06-02,4440094569
2006-06-05,4414772496
2006-06-06,4387704073
2006-06-07,4368494224
2006-06-08,4365874700
2006-06-09,4408660272
2006-06-12,4330947702
2006-06-13,4314357378
2006-06-14,4247996083
2006-06-15,4300386579
2006-06-16,4310864678
2006-06-19,4199971461
2006-06-20,4196478761
2006-06-21,4260220532
2006-06-22,4206956860
2006-06-23,4194732411
2006-06-26,4239264333
2006-06-27,4234898459
2006-06-28,4266332756
2006-06-29,4334440402
2006-06-30,4449867618
2006-07-03,4535255780
2006-07-05,4450747908
2006-07-06,4493882134
2006-07-07,4511487941
2006-07-10,4551981296
2006-07-11,4546699554
2006-07-12,4580150586
2006-07-13,4529093747
2006-07-14,4506206199
2006-07-17,4520290844
2006-07-18,4559903909
2006-07-19,4611841038
2006-07-20,4500924457
2006-07-21,4451628198
2006-07-24,4564305361
2006-07-25,4577509716
2006-07-26,4582791457
2006-07-27,4550220715
2006-07-28,4637369458
2006-07-31,4615362200
2006-08-01,4640010329
2006-08-02,4720116749
2006-08-03,4765011556
2006-08-04,4842477105
2006-08-07,4774694749
2006-08-08,4727159072
2006-08-09,4665538749
2006-08-10,4665538749
2006-08-11,4631207426
2006-08-14,4630327135
2006-08-15,4697229200
2006-08-16,4705151813
2006-08-17,4666419039
2006-08-18,4698109491
2006-08-21,4727159072
2006-08-22,4769413007
2006-08-23,4731560523
2006-08-24,4731560523
2006-08-25,4718356168
2006-08-28,4793180846
2006-08-29,4811666943
2006-08-30,4874167557
2006-08-31,4914660912
2006-09-01,4889132492
2006-09-05,4903217138
2006-09-06,4910259460
2006-09-07,4877688718
2006-09-08,4928745557
2006-09-11,4890012783
2006-09-12,4978041816
2006-09-13,5017654881
2006-09-14,5002689945
2006-09-15,5016774590
2006-09-18,4978041816
2006-09-19,5094240139
2006-09-20,5074873752
2006-09-21,4982443267
2006-09-22,4965717751
2006-09-25,4886491621
2006-09-26,4870646395
2006-09-27,4919942654
2006-09-28,4890893073
2006-09-29,4851280008
2006-10-02,4827585864
2006-10-03,4948626353
2006-10-04,4912665048
2006-10-05,4889860319
2006-10-06,4814429290
2006-10-09,4846005069
2006-10-10,4847759279
2006-10-11,4873195324
2006-10-12,4957397403
2006-10-13,5037213957
2006-10-16,5033705537
2006-10-17,5025811592
2006-10-18,5087208942
2006-10-19,5047739217
2006-10-20,5030197117
2006-10-23,5012655017
2006-10-24,4996867128
2006-10-25,5029320012
2006-10-26,5071421052
2006-10-27,5034582642
2006-10-30,5102996831
2006-10-31,5123170246
2006-11-01,5072298157
2006-11-02,5085454732
2006-11-03,5070543947
2006-11-06,5122293141
2006-11-07,5087208942
2006-11-08,5063527107
2006-11-09,5057387372
2006-11-10,5038091062
2006-11-13,5054756057
2006-11-14,5122293141
2006-11-15,5132818401
2006-11-16,5174919441
2006-11-17,5179304965
2006-11-20,5377530693
2006-11-21,5350340439
2006-11-22,5385424638
2006-11-24,5431034098
2006-11-27,5248596260
2006-11-28,5242456525
2006-11-29,5296837034
2006-11-30,5374022273
2006-12-01,5381039113
2006-12-04,5505588022
2006-12-05,5486291712
2006-12-06,5439805147
2006-12-07,5409106473
2006-12-08,5427525678
2006-12-11,5455593037
2006-12-12,5459978562
2006-12-13,5424017258
2006-12-14,5429279888
2006-12-15,5354725963
2006-12-18,5259121520
2006-12-19,5210003640
2006-12-20,5175796545
2006-12-21,5126678666
2006-12-22,5038968167
2006-12-26,5083700522
2006-12-27,5098611306
2006-12-28,5113522091
2006-12-29,5140712346
2007-01-03,5390121416
2007-01-04,5349524815
2007-01-05,5236038863
2007-01-08,5220353813
2007-01-09,5284939314
2007-01-10,5362441916
2007-01-11,5440867167
2007-01-12,5465778718
2007-01-16,5527596269
2007-01-17,5513756519
2007-01-18,5475927868
2007-01-19,5535900120
2007-01-22,5431640667
2007-01-23,5486077018
2007-01-24,5586645871
2007-01-25,5593104421
2007-01-26,5568192870
2007-01-29,5589413821
2007-01-30,5581109970
2007-01-31,5614325371
2007-02-01,5665071122
2007-02-02,5684446773
2007-02-05,5679833523
2007-02-06,5710280973
2007-02-07,5962164429
2007-02-08,5969545629
2007-02-09,5972313579
2007-02-12,5863440877
2007-02-13,5985230679
2007-02-14,5904037477
2007-02-15,5921567828
2007-02-16,5917877228
2007-02-20,5913263978
2007-02-21,5890197727
2007-02-22,5865286177
2007-02-23,5758258774
2007-02-26,5673374972
2007-02-27,5506375319
2007-02-28,5425182117
2007-03-01,5391044066
2007-03-02,5363364566
2007-03-05,5208359362
2007-03-06,5318154715
2007-03-07,5251723913
2007-03-08,5297856414
2007-03-09,5360596616
2007-03-12,5387353466
2007-03-13,5256337163
2007-03-14,5287707264
2007-03-15,5393812016
2007-03-16,5394734666
2007-03-19,5408574417
2007-03-20,5437176567
2007-03-21,5463933418
2007-03-22,5449171018
2007-03-23,5451938968
2007-03-26,5403961167
2007-03-27,5355060716
2007-03-28,5367055166
2007-03-29,5357828666
2007-03-30,5424259467
2007-04-02,5883807594
2007-04-03,5924371931
2007-04-04,5893701334
2007-04-05,5895680083
2007-04-09,5897658831
2007-04-10,5922393183
2007-04-11,5911510068
2007-04-12,5876881975
2007-04-13,5981755627
2007-04-16,6001543108
2007-04-17,6122246745
2007-04-18,6092565523
2007-04-19,6064863049
2007-04-20,6147970470
2007-04-23,6200407296
2007-04-24,6145991722
2007-04-25,6139066104
2007-04-26,6129172363
2007-04-27,6141044852
2007-04-30,6026277460
2007-05-01,5999564360
2007-05-02,6045075567
2007-05-03,6029245582
2007-05-04,5951085031
2007-05-07,5985713123
2007-05-08,5935255045
2007-05-09,6005500604
2007-05-10,5895680083
2007-05-11,5975819382
2007-05-14,5897658831
2007-05-15,5798721424
2007-05-16,5711656506
2007-05-17,5613708473
2007-05-18,5517739188
2007-05-21,5547420410
2007-05-22,5599857236
2007-05-23,5541484166
2007-05-24,5457387370
2007-05-25,5413854911
2007-05-29,5576112258
2007-05-30,5748263346
2007-05-31,5723528994
2007-06-01,5806636416
2007-06-04,5875892601
2007-06-05,5777944568
2007-06-06,5811583287
2007-06-07,5664166550
2007-06-08,5719571498
2007-06-11,5561271647
2007-06-12,5438589262
2007-06-13,5563250395
2007-06-14,5532579799
2007-06-15,5573144136
2007-06-18,5432653018
2007-06-19,5463323614
2007-06-20,5338662481
2007-06-21,5353503092
2007-06-22,5307991885
2007-06-25,5199160737
2007-06-26,5160575149
2007-06-27,5298098144
2007-06-28,5281278785
2007-06-29,5265448800
2007-07-02,5508708859
2007-07-03,5416897045
2007-07-05,5501798293
2007-07-06,5540300021
2007-07-09,5568929512
2007-07-10,5378395316
2007-07-11,5344829707
2007-07-12,5478104921
2007-07-13,5578801750
2007-07-16,5572878407
2007-07-17,5462309340
2007-07-18,5524504440
2007-07-19,5562018945
2007-07-20,5499823845
2007-07-23,5503772740
2007-07-24,5441577640
2007-07-25,5441577640
2007-07-26,5407024807
2007-07-27,5202669478
2007-07-30,5250056221
2007-07-31,5259928459
2007-08-01,5239196759
2007-08-02,5198720583
2007-08-03,5013122507
2007-08-06,5136525483
2007-08-07,5195758912
2007-08-08,5318174664
2007-08-09,5234260640
2007-08-10,5088151516
2007-08-13,4979556897
2007-08-14,4915387349
2007-08-15,4842332788
2007-08-16,4960799645
2007-08-17,5083215397
2007-08-20,5214516164
2007-08-21,5319161888
2007-08-22,5360625288
2007-08-23,5299417412
2007-08-24,5293494069
2007-08-27,5247094550
2007-08-28,5147384945
2007-08-29,5286583502
2007-08-30,5331008574
2007-08-31,5427756507
2007-09-04,5553133931
2007-09-05,5378395316
2007-09-06,5403075912
2007-09-07,5320149112
2007-09-10,5290532397
2007-09-11,5313238545
2007-09-12,5335944693
2007-09-13,5483041040
2007-09-14,5507721635
2007-09-17,5511670531
2007-09-18,5633099059
2007-09-19,5829556598
2007-09-20,5705166397
2007-09-21,5717013083
2007-09-24,5864109431
2007-09-25,5776246512
2007-09-26,5784144302
2007-09-27,5844364955
2007-09-28,5904585607
2007-10-01,5971338117
2007-10-02,6100600481
2007-10-03,6104488071
2007-10-04,6183211767
2007-10-05,6323165004
2007-10-08,6220143872
2007-10-09,6337743467
2007-10-10,6398001110
2007-10-11,6429101830
2007-10-12,6368844186
2007-10-15,6294979977
2007-10-16,6148223458
2007-10-17,6142392073
2007-10-18,6214312487
2007-10-19,6026736273
2007-10-22,6098656687
2007-10-23,6208481102
2007-10-24,6164745715
2007-10-25,6221115769
2007-10-26,6297895670
2007-10-29,6215284384
2007-10-30,6250272693
2007-10-31,6351350031
2007-11-01,6042286633
2007-11-02,5922743243
2007-11-05,5882895446
2007-11-06,5950928270
2007-11-07,5871232676
2007-11-08,5941209295
2007-11-09,5904277191
2007-11-12,5977169502
2007-11-13,6176408485
2007-11-14,6144335868
2007-11-15,6107403764
2007-11-16,6008270221
2007-11-19,5924687038
2007-11-20,5752661184
2007-11-21,5658387128
2007-11-23,5759464466
2007-11-26,5463035735
2007-11-27,5533012353
2007-11-28,5661302821
2007-11-29,5770155338
2007-11-30,5944124987
2007-12-03,5899417703
2007-12-04,5685600258
2007-12-05,5875120266
2007-12-06,6028680068
2007-12-07,6107403764
2007-12-10,6227919051
2007-12-11,5900389601
2007-12-12,5923715140
2007-12-13,5874148369
2007-12-14,5581607227
2007-12-17,5464007632
2007-12-18,5393059116
2007-12-19,5344464242
2007-12-20,5364874089
2007-12-21,5498995941
2007-12-24,5700178720
2007-12-26,5543703225
2007-12-27,5489276967
2007-12-28,5437766400
2007-12-31,5626541804
2008-01-02,5516083287
2008-01-03,5172977628
2008-01-04,4988228427
2008-01-07,5015598679
2008-01-08,4944240522
2008-01-09,4895365072
2008-01-10,5020486224
2008-01-11,5032216332
2008-01-14,5078159255
2008-01-15,4971610774
2008-01-16,5104551998
2008-01-17,4903185144
2008-01-18,4822051897
2008-01-22,4830849478
2008-01-23,5293211235
2008-01-24,5179820191
2008-01-25,5132899759
2008-01-28,5398782207
2008-01-29,5197415353
2008-01-30,4822051897
2008-01-31,4943263013
2008-02-01,5122147160
2008-02-04,5083046800
2008-02-05,4820096879
2008-02-06,4850399658
2008-02-07,4998981026
2008-02-08,4894387563
2008-02-11,4803479226
2008-02-12,4992138463
2008-02-13,4985295900
2008-02-14,4878747419
2008-02-15,4943263013
2008-02-19,4847467131
2008-02-20,4825961933
2008-02-21,4766333884
2008-02-22,4820096879
2008-02-25,4989205936
2008-02-26,5102596980
2008-02-27,5080114273
2008-02-28,5005823589
2008-02-29,4905140162
2008-03-03,4915892761
2008-03-04,4799569190
2008-03-05,4816186843
2008-03-06,4570832084
2008-03-07,4659785403
2008-03-10,4656852876
2008-03-11,4889500018
2008-03-12,4905140162
2008-03-13,4881679946
2008-03-14,4841602077
2008-03-17,4869949838
2008-03-18,5071316692
2008-03-19,5131922250
2008-03-20,5434950040
2008-03-24,5517060796
2008-03-25,5438860076
2008-03-26,5327424050
2008-03-27,5309828888
2008-03-28,5309828888
2008-03-31,5283259254
2008-04-01,5555091777
2008-04-02,5358013198
2008-04-03,5488104477
2008-04-04,5398788076
2008-04-07,5355100707
2008-04-08,5255105171
2008-04-09,5203651158
2008-04-10,5286171745
2008-04-11,5208505310
2008-04-14,5138605518
2008-04-15,5193942854
2008-04-16,5571595895
2008-04-17,5581304199
2008-04-18,5552179286
2008-04-21,5574508386
2008-04-22,5571595895
2008-04-23,5702658004
2008-04-24,5782266100
2008-04-25,5776441118
2008-04-28,5726928765
2008-04-29,5686153887
2008-04-30,5606545791
2008-05-01,5650233160
2008-05-02,5674503921
2008-05-05,5727899596
2008-05-06,5770616135
2008-05-07,5644408178
2008-05-08,5624991569
2008-05-09,5531791847
2008-05-12,5651203991
2008-05-13,5676445582
2008-05-14,5788091083
2008-05-15,5800711879
2008-05-16,5758966170
2008-05-19,5794886896
2008-05-20,5681299734
2008-05-21,5526937694
2008-05-22,5534704338
2008-05-23,5479367003
2008-05-27,5632758212
2008-05-28,5666737278
2008-05-29,5747316204
2008-05-30,5722074613
2008-06-02,5676445582
2008-06-03,5726928765
2008-06-04,5639554025
2008-06-05,5693920530
2008-06-06,5460921225
2008-06-09,5323063302
2008-06-10,5352188215
2008-06-11,5260930154
2008-06-12,5294909219
2008-06-13,5359954859
2008-06-16,5524025203
2008-06-17,5252192680
2008-06-18,5183263719
2008-06-19,5354129876
2008-06-20,5164817940
2008-06-23,5013368392
2008-06-24,5022105866
2008-06-25,5084239014
2008-06-26,4959972717
2008-06-27,4881335452
2008-06-30,4894370600
2008-07-01,4933230231
2008-07-02,4803050465
2008-07-03,4782649159
2008-07-07,4744761018
2008-07-08,5076039377
2008-07-09,4627210632
2008-07-10,4721445239
2008-07-11,4731160147
2008-07-14,4557263295
2008-07-15,4515489191
2008-07-16,4794307048
2008-07-17,4915743397
2008-07-18,4835109661
2008-07-21,4914771906
2008-07-22,4982776261
2008-07-23,5160559076
2008-07-24,4645668957
2008-07-25,4797221521
2008-07-28,4576693111
2008-07-29,4879798238
2008-07-30,4911857434
2008-07-31,4756418907
2008-08-01,4796250030
2008-08-04,4675785172
2008-08-05,4801107484
2008-08-06,4749618472
2008-08-07,4547548387
2008-08-08,4787506613
2008-08-11,4998320114
2008-08-12,4876883765
2008-08-13,4711730331
2008-08-14,4718530767
2008-08-15,4709787349
2008-08-18,4550462860
2008-08-19,4462057198
2008-08-20,4418340112
2008-08-21,4267759040
2008-08-22,4355193211
2008-08-25,4182267850
2008-08-26,4289131837
2008-08-27,4295932273
2008-08-28,4483429995
2008-08-29,4409596695
2008-09-02,4513546210
2008-09-03,4693272006
2008-09-04,4591265473
2008-09-05,4579607584
2008-09-08,4856482459
2008-09-09,4557263295
2008-09-10,4591265473
2008-09-11,4626239141
2008-09-12,4608752307
2008-09-15,4297875254
2008-09-16,4654412374
2008-09-17,4626239141
2008-09-18,4901171035
2008-09-19,4566978203
2008-09-22,4108434550
2008-09-23,4250272206
2008-09-24,3952024533
2008-09-25,4021971870
2008-09-26,4293989291
2008-09-29,4104548587
2008-09-30,4409482792
2008-10-01,4226484389
2008-10-02,3839072877
2008-10-03,3656074474
2008-10-06,3475022863
2008-10-07,3071063622
2008-10-08,3051595707
2008-10-09,2842315619
2008-10-10,3333880478
2008-10-13,3642446933
2008-10-14,3181057343
2008-10-15,2717720961
2008-10-16,2689492484
2008-10-17,2528882184
2008-10-20,2512334456
2008-10-21,2271905703
2008-10-22,1957498873
2008-10-23,1957498873
2008-10-24,1743351806
2008-10-27,1491242304
2008-10-28,1795915177
2008-10-29,1882547399
2008-10-30,2024663180
2008-10-31,2339070011
2008-11-03,2349777364
2008-11-04,2511361060
2008-11-05,2282613057
2008-11-06,2019796202
2008-11-07,2193060647
2008-11-10,1788128011
2008-11-11,1844584965
2008-11-12,1289749382
2008-11-13,1629464502
2008-11-14,1435758746
2008-11-17,1457173452
2008-11-18,1388062353
2008-11-19,1096043625
2008-11-20,988970092
2008-11-21,1093123438
2008-11-24,1363727459
2008-11-25,1502923053
2008-11-26,1731671057
2008-11-28,1676187498
2008-12-01,1280015424
2008-12-02,1531151530
2008-12-03,1803702343
2008-12-04,1681054477
2008-12-05,1857239110
2008-12-08,2185273481
2008-12-09,1875733629
2008-12-10,2074306364
2008-12-11,1580794714
2008-12-12,1804675739
2008-12-15,1750165576
2008-12-16,2188193668
2008-12-17,2196954230
2008-12-18,1958472269
2008-12-19,2160938587
2008-12-22,2138550484
2008-12-23,2155098212
2008-12-24,2134656901
2008-12-26,2193060647
2008-12-29,2048024679
2008-12-30,2180406502
2008-12-31,2316603024
2009-01-02,2281982569
2009-01-05,2252307893
2009-01-06,2560924521
2009-01-07,2406616207
2009-01-08,2342321076
2009-01-09,2256264516
2009-01-12,2034693604
2009-01-13,2073270682
2009-01-14,1846753990
2009-01-15,1830927496
2009-01-16,1936767173
2009-01-20,1564844570
2009-01-21,1812133535
2009-01-22,1775534768
2009-01-23,1879396134
2009-01-26,1785426327
2009-01-27,1821035938
2009-01-28,2068324903
2009-01-29,1727066131
2009-01-30,1594519246
2009-02-02,1559898791
2009-02-03,1541104829
2009-02-04,1519343400
2009-02-05,1540115674
2009-02-06,1728055287
2009-02-09,1761686586
2009-02-10,1574736129
2009-02-11,1565833726
2009-02-12,1576714440
2009-02-13,1445156711
2009-02-17,1295794176
2009-02-18,1350197748
2009-02-19,1264141189
2009-02-20,1336349566
2009-02-23,1218640019
2009-02-24,1335360411
2009-02-25,1287880929
2009-02-26,1231499045
2009-02-27,1178084629
2009-03-02,1050483523
2009-03-03,1028722094
2009-03-04,1076201575
2009-03-05,1023776315
2009-03-06,961459495
2009-03-09,1017841379
2009-03-10,1220618331
2009-03-11,1239412292
2009-03-12,1394709762
2009-03-13,1322501384
2009-03-16,1209737616
2009-03-17,1336349566
2009-03-18,1434275997
2009-03-19,1381850736
2009-03-20,1191932811
2009-03-23,1456037425
2009-03-24,1217650863
2009-03-25,1399655541
2009-03-26,1461972361
2009-03-27,1416471191
2009-03-30,1308653202
2009-03-31,2092584441
2009-04-01,2128914032
2009-04-02,2291670600
2009-04-03,2595385981
2009-04-06,2540165002
2009-04-07,2275685580
2009-04-08,2296030151
2009-04-09,2695655652
