,MCO
2003-07-25,7897284000
2003-07-28,7888320000
2003-07-29,7762824000
2003-07-30,7694100000
2003-07-31,7726968000
2003-08-01,7634340000
2003-08-04,7607448000
2003-08-05,7544700000
2003-08-06,7565616000
2003-08-07,7568603999
2003-08-08,7658244000
2003-08-11,7703064000
2003-08-12,7729956000
2003-08-13,7697088000
2003-08-14,7792703999
2003-08-15,7810632000
2003-08-18,7813620000
2003-08-19,7786728000
2003-08-20,7861428000
2003-08-21,7819596000
2003-08-22,7709040000
2003-08-25,7664220000
2003-08-26,7673184000
2003-08-27,7679160000
2003-08-28,7729956000
2003-08-29,7747884000
2003-09-02,7891308000
2003-09-03,7968996000
2003-09-04,7960032000
2003-09-05,7879356000
2003-09-08,7858440000
2003-09-09,7712028000
2003-09-10,7712028000
2003-09-11,7718003999
2003-09-12,7759836000
2003-09-15,7759836000
2003-09-16,7813620000
2003-09-17,7867403999
2003-09-18,7968996000
2003-09-19,8091503999
2003-09-22,8109432000
2003-09-23,8133336000
2003-09-24,8154252000
2003-09-25,8151264000
2003-09-26,8202060000
2003-09-29,8255844000
2003-09-30,8197518000
2003-10-01,8349600000
2003-10-02,8418186000
2003-10-03,8480808000
2003-10-06,8549394000
2003-10-07,8626926000
2003-10-08,8632890000
2003-10-09,8743224000
2003-10-10,8871450000
2003-10-13,8898288000
2003-10-14,8448005999
2003-10-15,8397312000
2003-10-16,8456952000
2003-10-17,8445024000
2003-10-20,8453970000
2003-10-21,8364510000
2003-10-22,8364510000
2003-10-23,8313816000
2003-10-24,8328726000
2003-10-27,8346618000
2003-10-28,8635872000
2003-10-29,8623944000
2003-10-30,8623944000
2003-10-31,8623944000
2003-11-03,8692530000
2003-11-04,8650782000
2003-11-05,8629908000
2003-11-06,8641836000
2003-11-07,8612016000
2003-11-10,8537466000
2003-11-11,8468880000
2003-11-12,8582196000
2003-11-13,8588160000
2003-11-14,8516592000
2003-11-17,8525538000
2003-11-18,8385384000
2003-11-19,8397312000
2003-11-20,8397312000
2003-11-21,8459934000
2003-11-24,8498700000
2003-11-25,8582196000
2003-11-26,8558340000
2003-11-28,8540448000
2003-12-01,8600088000
2003-12-02,8564304000
2003-12-03,8665692000
2003-12-04,8588160000
2003-12-05,8591142000
2003-12-08,8591142000
2003-12-09,8510628000
2003-12-10,8561322000
2003-12-11,8635872000
2003-12-12,8674638000
2003-12-15,8567286000
2003-12-16,8683584000
2003-12-17,8647800000
2003-12-18,8677620000
2003-12-19,8787954000
2003-12-22,8969856000
2003-12-23,8954946000
2003-12-24,8948982000
2003-12-26,8946000000
2003-12-29,8975820000
