,ALGN
2003-01-14,188723700
2003-01-15,182432910
2003-01-16,188151810
2003-01-17,185864250
2003-01-21,183004800
2003-01-22,184148580
2003-01-23,184720470
2003-01-24,172138890
2003-01-27,167563770
2003-01-28,182432910
2003-01-29,179573460
2003-01-30,179001570
2003-01-31,188723700
2003-02-03,188723700
2003-02-04,183004800
2003-02-05,196158270
2003-02-06,211599300
2003-02-07,208739850
2003-02-10,208739850
2003-02-11,205308510
2003-02-12,203592840
2003-02-13,205880400
2003-02-14,224752770
2003-02-18,228756000
2003-02-19,231615450
2003-02-20,264213180
2003-02-21,251631600
2003-02-24,240193800
2003-02-25,256778610
2003-02-26,265928850
2003-02-27,273363420
2003-02-28,269360190
2003-03-03,272791530
2003-03-04,265928850
2003-03-05,253919160
2003-03-06,257922390
2003-03-07,268216410
2003-03-10,269360190
2003-03-11,274507200
2003-03-12,276794760
2003-03-13,286516890
2003-03-14,297382800
2003-03-17,304245480
2003-03-18,313395720
2003-03-19,304245480
2003-03-20,308248710
2003-03-21,311680050
2003-03-24,301386030
2003-03-25,318542730
2003-03-26,347709120
2003-03-27,348281010
2003-03-28,350568570
2003-03-31,347808450
2003-04-01,344934000
2003-04-02,382876740
2003-04-03,381726960
2003-04-04,376552950
2003-04-07,380577180
2003-04-08,379427400
2003-04-09,392649870
2003-04-10,385751190
2003-04-11,382876740
2003-04-14,388625640
2003-04-15,393799650
2003-04-16,383451630
2003-04-17,393224760
2003-04-21,357006690
2003-04-22,356431800
2003-04-23,353557350
2003-04-24,330561750
2003-04-25,351832680
2003-04-28,371378940
2003-04-29,408171900
2003-04-30,432317280
2003-05-01,453013320
2003-05-02,451288650
2003-05-05,469110240
2003-05-06,469110240
2003-05-07,447839310
2003-05-08,447264420
2003-05-09,460486890
2003-05-12,500154299
2003-05-13,501304080
2003-05-14,497854740
2003-05-15,508202760
2003-05-16,484632270
2003-05-19,458762220
2003-05-20,453588210
2003-05-21,511077210
2003-05-22,522000120
2003-05-23,522000120
2003-05-27,533497919
2003-05-28,554768850
2003-05-29,609958290
2003-05-30,582363570
2003-06-02,588112470
2003-06-03,592136700
2003-06-04,592136700
2003-06-05,587537580
2003-06-06,545570610
2003-06-09,556493520
2003-06-10,579489120
2003-06-11,626055210
2003-06-12,632379000
2003-06-13,621456090
2003-06-16,675495750
2003-06-17,684119100
2003-06-18,678945090
2003-06-19,670321740
2003-06-20,675495750
2003-06-23,661123500
2003-06-24,659973720
2003-06-25,653649930
2003-06-26,674920860
2003-06-27,682394430
2003-06-30,730144800
2003-07-01,755641920
2003-07-02,788092800
2003-07-03,799682400
2003-07-07,817066800
2003-07-08,774764760
2003-07-09,802579800
2003-07-10,782298000
2003-07-11,775344240
2003-07-14,763754640
2003-07-15,780559560
2003-07-16,753324000
2003-07-17,643802280
2003-07-18,657709800
2003-07-21,650176560
2003-07-22,671617320
2003-07-23,712760400
2003-07-24,731883240
2003-07-25,801420840
2003-07-28,828656400
2003-07-29,768390480
2003-07-30,785195400
2003-07-31,753324000
2003-08-01,722032080
2003-08-04,686104320
2003-08-05,692478600
2003-08-06,647279160
2003-08-07,640325400
2003-08-08,644961240
2003-08-11,653073960
2003-08-12,660607200
2003-08-13,686104320
2003-08-14,660027720
2003-08-15,647858640
2003-08-18,669878880
2003-08-19,663504600
2003-08-20,668140440
2003-08-21,654812400
2003-08-22,650756040
2003-08-25,625838400
2003-08-26,605556600
2003-08-27,623520480
2003-08-28,615407760
2003-08-29,641484360
2003-09-02,654812400
2003-09-03,726088440
2003-09-04,776503200
2003-09-05,781718520
2003-09-08,796785000
2003-09-09,773026320
2003-09-10,767811000
2003-09-11,795626040
2003-09-12,793308120
2003-09-15,784615920
2003-09-16,816487320
2003-09-17,808374600
2003-09-18,807737172
2003-09-19,807795120
2003-09-22,800841360
2003-09-23,796785000
2003-09-24,758539320
2003-09-25,750426600
2003-09-26,749267640
2003-09-29,735939600
2003-09-30,739228410
2003-10-01,759319350
2003-10-02,791819400
2003-10-03,805410330
2003-10-06,818410350
2003-10-07,806592150
2003-10-08,797314863
2003-10-09,908819580
2003-10-10,921524145
2003-10-13,914728680
2003-10-14,952487829
2003-10-15,913546860
2003-10-16,931274160
2003-10-17,898774110
2003-10-20,845001300
2003-10-21,868046790
2003-10-22,827274000
2003-10-23,832592190
2003-10-24,863910420
2003-10-27,910001400
2003-10-28,953137830
2003-10-29,924774150
2003-10-30,904092300
2003-10-31,910592310
2003-11-03,1000410630
2003-11-04,1005728820
2003-11-05,1001001540
2003-11-06,1047683430
2003-11-07,1055956170
2003-11-10,1037047050
2003-11-11,1001592450
2003-11-12,1051228890
2003-11-13,996865170
2003-11-14,997456080
2003-11-17,938955990
2003-11-18,925365060
2003-11-19,954910560
2003-11-20,949001459
2003-11-21,953728740
2003-11-24,1019319750
2003-11-25,1018137930
2003-11-26,1023456120
2003-11-28,1060033449
2003-12-01,1099683510
2003-12-02,1096728960
2003-12-03,1040592510
2003-12-04,1018137930
2003-12-05,985637880
2003-12-08,982683330
2003-12-09,969092399
2003-12-10,938365080
2003-12-11,995683350
2003-12-12,996865170
2003-12-15,989183339
2003-12-16,990956070
2003-12-17,965546940
2003-12-18,1015183380
2003-12-19,1009865190
2003-12-22,999228810
2003-12-23,992728800
2003-12-24,981501510
2003-12-26,986819700
2003-12-29,992728800
2003-12-30,1001001540
2003-12-31,975592410
2004-01-02,986228790
2004-01-05,1039174325
2004-01-06,1074274380
2004-01-07,1105001700
2004-01-08,1103819880
2004-01-09,1093183500
