,MRNA
2023-07-27,45152310000
2023-07-28,45209460000
2023-07-31,44828460000
2023-08-01,43411140000
2023-08-02,41993820000
2023-08-03,41890950000
2023-08-04,41220390000
2023-08-07,38557200000
2023-08-08,38000940000
2023-08-09,38793420000
2023-08-10,38206680000
2023-08-11,38667690000
2023-08-14,38100000000
2023-08-15,36732210000
2023-08-16,37688520000
2023-08-17,40477440000
2023-08-18,38717220000
2023-08-21,42321480000
2023-08-22,44287440000
2023-08-23,43990260000
2023-08-24,42919650000
2023-08-25,42645330000
2023-08-28,43369230000
2023-08-29,44192190000
2023-08-30,44432220000
2023-08-31,43079670000
2023-09-01,42885360000
2023-09-05,41666160000
2023-09-06,41239440000
2023-09-07,41281350000
2023-09-08,41010840000
2023-09-11,40309800000
2023-09-12,40096440000
2023-09-13,41372790000
2023-09-14,42980610000
2023-09-15,43658790000
2023-09-18,39677340000
2023-09-19,40667940000
2023-09-20,39444930000
2023-09-21,38187630000
2023-09-22,38096190000
2023-09-25,37402770000
2023-09-26,37383720000
2023-09-27,37886640000
2023-09-28,38202870000
2023-09-29,39353490000
2023-10-02,39361110000
2023-10-03,39273480000
2023-10-04,39723060000
2023-10-05,39231570000
2023-10-06,39578280000
2023-10-09,38801040000
2023-10-10,39787830000
2023-10-11,39151560000
2023-10-12,38397180000
2023-10-13,37452300000
2023-10-16,35029140000
2023-10-17,32891730000
2023-10-18,32769810000
2023-10-19,31382970000
2023-10-20,30632400000
2023-10-23,29961840000
2023-10-24,30388560000
2023-10-25,29245560000
2023-10-26,28948380000
2023-10-27,27397710000
2023-10-30,28220669999
2023-10-31,28940759999
2023-11-01,29032200000
2023-11-02,27138630000
2023-11-03,29538930000
2023-11-06,27458669999
2023-11-07,28064460000
2023-11-08,27180540000
2023-11-09,26483310000
2023-11-10,26689050000
2023-11-13,26750009999
2023-11-14,28232099999
2023-11-15,29089349999
2023-11-16,29165550000
2023-11-17,29123640000
2023-11-20,30083759999
2023-11-21,29390340000
2023-11-22,29782770000
2023-11-24,29916120000
2023-11-27,29611320000
2023-11-28,29786580000
2023-11-29,30102810000
2023-11-30,29603700000
2023-12-01,30415230000
2023-12-04,30430470000
2023-12-05,29824680000
2023-12-06,30708599999
2023-12-07,30460950000
2023-12-08,30601919999
2023-12-11,31242000000
2023-12-12,29733240000
2023-12-13,29946599999
2023-12-14,32716470000
2023-12-15,32769810000
2023-12-18,32545020000
2023-12-19,33943290000
2023-12-20,32838390000
2023-12-21,34731960000
2023-12-22,36153090000
2023-12-26,37082730000
2023-12-27,38378130000
2023-12-28,37638990000
2023-12-29,37890450000
2024-01-02,42975000000
2024-01-03,41477560000
2024-01-04,41508120000
2024-01-05,42447840000
2024-01-08,44098080000
2024-01-09,42088760000
2024-01-10,41813720000
2024-01-11,40797600000
2024-01-12,40472900000
2024-01-16,39025120000
2024-01-17,38333700000
2024-01-18,37844740000
2024-01-19,38085400000
2024-01-22,38085400000
2024-01-23,38933440000
2024-01-24,38624020000
2024-01-25,39273420000
2024-01-26,38891420000
2024-01-29,40048880000
2024-01-30,39143540000
2024-01-31,38601100000
2024-02-01,37825640000
2024-02-02,37245000000
2024-02-05,36477180000
2024-02-06,38211460000
2024-02-07,37932600000
2024-02-08,35778120000
2024-02-09,33390620000
2024-02-12,33998000000
2024-02-13,32611340000
2024-02-14,32832900000
2024-02-15,34815480000
2024-02-16,33757340000
2024-02-20,33230179999
2024-02-21,33459380000
2024-02-22,37986080000
2024-02-23,36847720000
2024-02-26,35915640000
2024-02-27,36748400000
2024-02-28,37237360000
2024-02-29,35235680000
2024-03-01,36312920000
2024-03-04,36672000000
2024-03-05,36503920000
2024-03-06,37474200000
2024-03-07,38001360000
2024-03-08,39357460000
2024-03-11,42776360000
2024-03-12,42184260000
2024-03-13,40686820000
2024-03-14,39521720000
2024-03-15,39670700000
2024-03-18,39827320000
2024-03-19,40152020000
2024-03-20,39376560000
2024-03-21,39762380000
2024-03-22,40274260000
2024-03-25,42165160000
2024-03-26,41030620000
2024-03-27,42245380000
2024-03-28,40705920000
2024-04-01,40339200000
2024-04-02,39579020000
2024-04-03,38662220000
2024-04-04,39067140000
2024-04-05,39300160000
2024-04-08,40144380000
2024-04-09,42631200000
2024-04-10,40927480000
2024-04-11,40877820000
2024-04-12,40163480000
2024-04-15,39674520000
2024-04-16,39647780000
2024-04-17,39514080000
2024-04-18,38964000000
2024-04-19,38738620000
2024-04-22,39903720000
2024-04-23,41213980000
2024-04-24,41580700000
2024-04-25,40560760000
2024-04-26,41244540000
2024-04-29,42638840000
2024-04-30,42138420000
2024-05-01,42577720000
2024-05-02,47975380000
2024-05-03,47750000000
2024-05-06,46653660000
2024-05-07,46248740000
2024-05-08,46561980000
2024-05-09,46867580000
2024-05-10,44812420000
2024-05-13,48005940000
2024-05-14,49018240000
2024-05-15,49300920000
2024-05-16,50683760000
2024-05-17,50767800000
2024-05-20,53865820000
2024-05-21,54889580000
2024-05-22,62392060000
2024-05-23,62651820000
2024-05-24,63645020000
2024-05-28,58522399999
2024-05-29,56505439999
2024-05-30,57869180000
2024-05-31,54454100000
2024-06-03,56467240000
2024-06-04,55519880000
2024-06-05,59148880000
2024-06-06,59091580000
2024-06-07,57685820000
2024-06-10,56761380000
2024-06-11,56684979999
2024-06-12,56429040000
2024-06-13,55477859999
2024-06-14,53491460000
2024-06-17,52677800000
2024-06-18,50909140000
2024-06-20,51340800000
2024-06-21,50958800000
2024-06-24,52334000000
2024-06-25,52563200000
2024-06-26,46775900000
2024-06-27,46290760000
2024-06-28,45362500000
2024-07-01,44292900000
2024-07-02,44720740000
2024-07-03,44292900000
2024-07-05,45198240000
2024-07-08,44483900000
2024-07-09,44338740000
2024-07-10,44862080000
2024-07-11,46917240000
2024-07-12,46397720000
2024-07-15,46405360000
2024-07-16,47803480000
2024-07-17,47390920000
2024-07-18,46344240000
2024-07-19,46275480000
2024-07-22,46795000000
2024-07-23,46317500000
2024-07-24,45148580000
2024-07-25,45992800000
2024-07-26,46646020000
2024-07-29,46913280000
2024-07-30,45634560000
2024-07-31,45780480000
2024-08-01,36161280000
2024-08-02,33246720000
2024-08-05,32160000000
2024-08-06,31603200000
2024-08-07,31315200000
2024-08-08,32378879999
2024-08-09,32613120000
