,KMI
2014-03-24,32268989058
2014-03-25,32495149542
2014-03-26,32731590048
2014-03-27,33204471059
2014-03-28,33039990708
2014-03-31,33399720000
2014-04-01,33800640000
2014-04-02,33728680000
2014-04-03,33882880000
2014-04-04,33944560000
2014-04-07,33142720000
2014-04-08,33975399999
2014-04-09,33841760000
2014-04-10,33595040000
2014-04-11,33194120000
2014-04-14,33348319999
2014-04-15,33821200000
2014-04-16,34242680000
2014-04-17,34715560000
2014-04-21,34335200000
2014-04-22,34386600000
2014-04-23,34551080000
2014-04-24,34623040000
2014-04-25,33924000000
2014-04-28,33286640000
2014-04-29,33944560000
2014-04-30,33574479999
2014-05-01,33512800000
2014-05-02,33636160000
2014-05-05,33656720000
2014-05-06,33461399999
2014-05-07,33697840000
2014-05-08,33430560000
2014-05-09,33050200000
2014-05-12,33286640000
2014-05-13,33348319999
2014-05-14,34098760000
2014-05-15,34386600000
2014-05-16,34386600000
2014-05-19,34252960000
2014-05-20,34181000000
2014-05-21,34376320000
2014-05-22,34715560000
2014-05-23,34623040000
2014-05-27,34540800000
2014-05-28,34530520000
2014-05-29,34540800000
2014-05-30,34324920000
2014-06-02,34664160000
2014-06-03,34766960000
2014-06-04,35003400000
2014-06-05,35589360000
2014-06-06,36062240000
2014-06-09,36041680000
2014-06-10,36051960000
2014-06-11,35877200000
2014-06-12,35887480000
2014-06-13,36175320000
2014-06-16,36370640000
2014-06-17,35949160000
2014-06-18,36051960000
2014-06-19,36391200000
2014-06-20,37038840000
2014-06-23,37018280000
2014-06-24,37121080000
2014-06-25,36977160000
2014-06-26,37008000000
2014-06-27,37049120000
2014-06-30,37275280000
2014-07-01,37059400000
2014-07-02,36751000000
2014-07-03,36648200000
2014-07-07,36607080000
2014-07-08,36524840000
2014-07-09,36792120000
2014-07-10,36679040000
2014-07-11,36627640000
2014-07-14,36977160000
2014-07-15,37182760000
2014-07-16,37943480000
2014-07-17,37840680000
2014-07-18,38601400000
2014-07-21,38663080000
2014-07-22,38704200000
2014-07-23,38755600000
2014-07-24,38940640000
2014-07-25,38961200000
2014-07-28,38848120000
2014-07-29,38210760000
2014-07-30,38344400000
2014-07-31,36987440000
2014-08-01,36483720000
2014-08-04,37265000000
2014-08-05,36535120000
2014-08-06,36555680000
2014-08-07,36360360000
2014-08-08,37131360000
2014-08-11,40472360000
2014-08-12,39814440000
2014-08-13,39855560000
2014-08-14,40996640000
2014-08-15,42590040000
2014-08-18,42291920000
2014-08-19,42579760000
2014-08-20,42764800000
2014-08-21,42405000000
2014-08-22,41952680000
2014-08-25,41664840000
2014-08-26,41181680000
2014-08-27,41048040000
2014-08-28,40883560000
2014-08-29,41387280000
2014-09-02,40976080000
2014-09-03,40677960000
2014-09-04,40143400000
2014-09-05,40410680000
2014-09-08,39742480000
2014-09-09,39372400000
2014-09-10,39464920000
2014-09-11,39423800000
2014-09-12,38817280000
2014-09-15,38765880000
2014-09-16,39321000000
2014-09-17,39197640000
2014-09-18,39064000000
2014-09-19,39033160000
2014-09-22,38550000000
2014-09-23,39279880000
2014-09-24,39557440000
2014-09-25,38776160000
2014-09-26,39464920000
2014-09-29,39608840000
2014-09-30,55861380000
2014-10-01,55657400000
2014-10-02,57391230000
2014-10-03,56619020000
2014-10-06,56415040000
2014-10-07,55730250000
2014-10-08,55744820000
2014-10-09,53471900000
2014-10-10,53136790000
2014-10-13,51723500000
2014-10-14,50266500000
2014-10-15,51417530000
2014-10-16,53646740000
2014-10-17,53632170000
2014-10-20,54739490000
2014-10-21,55817670000
2014-10-22,55249440000
2014-10-23,56356760000
2014-10-24,56866710000
2014-10-27,56721010000
2014-10-28,57070690000
2014-10-29,55846810000
2014-10-30,56152780000
2014-10-31,56385900000
2014-11-03,56094500000
2014-11-04,54579220000
2014-11-05,55511700000
2014-11-06,56138210000
2014-11-07,56458750000
2014-11-10,56094500000
2014-11-11,56152780000
2014-11-12,56138210000
2014-11-13,55919660000
2014-11-14,57362090000
2014-11-17,58644250000
2014-11-18,58877369999
2014-11-19,59649580000
2014-11-20,58163440000
2014-11-21,57915750000
2014-11-24,59431030000
2014-11-25,59372750000
2014-11-26,61660240000
2014-11-28,60246950000
2014-12-01,59649580000
2014-12-02,60640340000
2014-12-03,60946310000
2014-12-04,60407220000
2014-12-05,59911840000
2014-12-08,58046880000
2014-12-09,59227050000
2014-12-10,57464080000
2014-12-11,58105160000
2014-12-12,57070690000
2014-12-15,55773960000
2014-12-16,55467990000
2014-12-17,58119730000
2014-12-18,59095920000
2014-12-19,60654910000
2014-12-22,60538349999
2014-12-23,61062869999
2014-12-24,61208570000
2014-12-26,62213900000
2014-12-29,62665570000
2014-12-30,61922500000
2014-12-31,90585710000
2015-01-02,91656210000
2015-01-05,89172650000
2015-01-06,87417030000
2015-01-07,88573170000
2015-01-08,90649940000
2015-01-09,89515210000
2015-01-12,89087010000
2015-01-13,87545490000
2015-01-14,88252020000
2015-01-15,87288570000
2015-01-16,88915730000
2015-01-20,89536620000
2015-01-21,89922000000
2015-01-22,90093280000
2015-01-23,90500070000
2015-01-26,90500070000
2015-01-27,90842630000
2015-01-28,88551760000
2015-01-29,87160110000
2015-01-30,87888050000
2015-02-02,89108420000
2015-02-03,88808680000
2015-02-04,87352800000
2015-02-05,88830090000
2015-02-06,88658810000
2015-02-09,88209200000
2015-02-10,88958550000
2015-02-11,88230610000
2015-02-12,89408160000
2015-02-13,89857770000
2015-02-17,90136100000
2015-02-18,90307380000
2015-02-19,89943410000
2015-02-20,89643670000
2015-02-23,89986230000
2015-02-24,90285970000
2015-02-25,90157510000
2015-02-26,88252020000
2015-02-27,87802410000
