,CMS
2004-03-22,1323000000
2004-03-23,1320000000
2004-03-24,1320000000
2004-03-25,1332000000
2004-03-26,1314000000
2004-03-29,1335000000
2004-03-30,1348500000
2004-03-31,1432000000
2004-04-01,1468800000
2004-04-02,1467200000
2004-04-05,1483200000
2004-04-06,1489600000
2004-04-07,1491200000
2004-04-08,1472000000
2004-04-12,1470400000
2004-04-13,1428800000
2004-04-14,1408000000
2004-04-15,1403200000
2004-04-16,1412800000
2004-04-19,1422400000
2004-04-20,1364800000
2004-04-21,1400000000
2004-04-22,1424000000
2004-04-23,1416000000
2004-04-26,1406399999
2004-04-27,1385600000
2004-04-28,1376000000
2004-04-29,1337600000
2004-04-30,1329600000
2004-05-03,1379199999
2004-05-04,1366399999
2004-05-05,1366399999
2004-05-06,1369600000
2004-05-07,1272000000
2004-05-10,1264000000
2004-05-11,1292800000
2004-05-12,1302400000
2004-05-13,1284800000
2004-05-14,1281600000
2004-05-17,1265600000
2004-05-18,1284800000
2004-05-19,1280000000
2004-05-20,1286399999
2004-05-21,1281600000
2004-05-24,1286399999
2004-05-25,1328000000
2004-05-26,1344000000
2004-05-27,1376000000
2004-05-28,1379199999
2004-06-01,1360000000
2004-06-02,1387200000
2004-06-03,1345600000
2004-06-04,1340800000
2004-06-07,1369600000
2004-06-08,1366399999
2004-06-09,1332800000
2004-06-10,1372800000
2004-06-14,1336000000
2004-06-15,1358400000
2004-06-16,1368000000
2004-06-17,1403200000
2004-06-18,1408000000
2004-06-21,1403200000
2004-06-22,1416000000
2004-06-23,1457600000
2004-06-24,1460800000
2004-06-25,1468800000
2004-06-28,1448000000
2004-06-29,1449600000
2004-06-30,1460800000
2004-07-01,1422400000
2004-07-02,1435200000
2004-07-06,1435200000
2004-07-07,1420800000
2004-07-08,1408000000
2004-07-09,1419199999
2004-07-12,1430400000
2004-07-13,1416000000
2004-07-14,1424000000
2004-07-15,1430400000
2004-07-16,1414400000
2004-07-19,1446399999
2004-07-20,1462400000
2004-07-21,1414400000
2004-07-22,1425600000
2004-07-23,1412800000
2004-07-26,1374400000
2004-07-27,1406399999
2004-07-28,1416000000
2004-07-29,1432000000
2004-07-30,1444800000
2004-08-02,1456000000
2004-08-03,1448000000
2004-08-04,1448000000
2004-08-05,1412800000
2004-08-06,1400000000
2004-08-09,1385600000
2004-08-10,1435200000
2004-08-11,1424000000
2004-08-12,1404800000
2004-08-13,1409600000
2004-08-16,1441600000
2004-08-17,1459199999
2004-08-18,1488000000
2004-08-19,1480000000
2004-08-20,1480000000
2004-08-23,1475200000
2004-08-24,1472000000
2004-08-25,1488000000
2004-08-26,1492800000
2004-08-27,1510400000
2004-08-30,1515200000
2004-08-31,1536000000
2004-09-01,1550400000
2004-09-02,1556800000
2004-09-03,1536000000
