,CBH
2022-07-18,156770593
2022-07-19,158415040
2022-07-20,158963189
2022-07-21,158963189
2022-07-22,158597757
2022-07-25,158597757
2022-07-26,158049608
2022-07-27,160790352
2022-07-28,164261962
2022-07-29,162800232
2022-08-01,163165664
2022-08-02,164444679
2022-08-03,163165664
2022-08-04,162982948
2022-08-05,162434799
2022-08-08,162982948
2022-08-09,162800232
2022-08-10,164627395
2022-08-11,164810111
2022-08-12,164810111
2022-08-15,164627395
2022-08-16,166089125
2022-08-17,167002707
2022-08-18,166637274
2022-08-19,166454558
2022-08-22,164261962
2022-08-23,164992827
2022-08-24,165358260
2022-08-25,165906409
2022-08-26,164810111
2022-08-29,166271842
2022-08-30,162617515
2022-08-31,163165664
2022-09-01,164627395
2022-09-02,166089125
2022-09-06,164444679
2022-09-07,164992827
2022-09-08,165906409
2022-09-09,167185423
2022-09-12,166454558
2022-09-13,165358260
2022-09-14,163531097
2022-09-15,163896530
2022-09-16,163348381
2022-09-19,161703934
2022-09-20,161155785
2022-09-21,162069366
2022-09-22,160973069
2022-09-23,160790352
2022-09-26,159876771
2022-09-27,156039728
2022-09-28,156405161
2022-09-29,156770593
2022-09-30,154577998
2022-10-03,156222445
2022-10-04,157318742
2022-10-05,156587877
2022-10-06,155674296
2022-10-07,154395281
2022-10-10,154029849
2022-10-11,152933551
2022-10-12,151837253
2022-10-13,152568118
2022-10-14,150740955
2022-10-17,151471820
2022-10-18,152933551
2022-10-19,152019969
2022-10-20,150923672
2022-10-21,150740955
2022-10-24,151471820
2022-10-25,152568118
2022-10-26,152750835
2022-10-27,154577998
2022-10-28,156953310
2022-10-31,156587877
2022-11-01,157501459
2022-11-02,156405161
2022-11-03,156405161
2022-11-04,156405161
2022-11-07,156953310
2022-11-08,158415040
2022-11-09,155674296
2022-11-10,157866891
2022-11-11,157684175
2022-11-14,156405161
2022-11-15,156222445
2022-11-16,154760714
2022-11-17,155491579
2022-11-18,154760714
2022-11-21,160607636
2022-11-22,159876771
2022-11-23,160607636
2022-11-25,160424920
2022-11-28,157866891
2022-11-29,158232324
2022-11-30,160059487
2022-12-01,158780473
2022-12-02,158415040
2022-12-05,156222445
2022-12-06,156770593
2022-12-07,157318742
2022-12-08,157318742
2022-12-09,156039728
2022-12-12,156222445
2022-12-13,157318742
2022-12-14,155674296
2022-12-15,156039728
2022-12-16,155674296
2022-12-19,155674296
2022-12-20,157684175
2022-12-21,158963189
2022-12-22,158597757
2022-12-23,157136026
2022-12-27,156587877
2022-12-28,156953310
2022-12-29,156770593
2022-12-30,157866891
2023-01-03,158232324
2023-01-04,159511338
2023-01-05,159876771
2023-01-06,161521218
2023-01-09,162252083
2023-01-10,163896530
2023-01-11,162800232
2023-01-12,162252083
2023-01-13,164444679
2023-01-17,165358260
2023-01-18,164627395
2023-01-19,163531097
2023-01-20,164810111
2023-01-23,165175544
2023-01-24,163713813
2023-01-25,163896530
2023-01-26,162617515
2023-01-27,164079246
2023-01-30,164079246
2023-01-31,164444679
2023-02-01,165540976
2023-02-02,166454558
2023-02-03,167185423
2023-02-06,165906409
2023-02-07,166089125
2023-02-08,165906409
2023-02-09,166271842
2023-02-10,163531097
2023-02-13,164992827
2023-02-14,164079246
2023-02-15,163531097
2023-02-16,162800232
2023-02-17,163531097
2023-02-21,162434799
2023-02-22,162252083
2023-02-23,161155785
2023-02-24,161886650
2023-02-27,161521218
2023-02-28,161338501
2023-03-01,160424920
2023-03-02,159694054
2023-03-03,160973069
2023-03-06,160973069
2023-03-07,161155785
2023-03-08,160607636
2023-03-09,159328622
2023-03-10,156770593
2023-03-13,155857012
2023-03-14,156953310
2023-03-15,159511338
2023-03-16,160973069
2023-03-17,160059487
2023-03-20,157684175
2023-03-21,158963189
2023-03-22,157684175
2023-03-23,156587877
2023-03-24,156405161
2023-03-27,160242203
2023-03-28,156405161
2023-03-29,156405161
2023-03-30,157501459
2023-03-31,157501459
2023-04-03,157318742
2023-04-04,158415040
2023-04-05,156953310
2023-04-06,159511338
2023-04-10,160607636
2023-04-11,160607636
2023-04-12,157866891
2023-04-13,157136026
2023-04-14,156587877
2023-04-17,156405161
2023-04-18,156039728
2023-04-19,155126147
2023-04-20,155126147
2023-04-21,155857012
2023-04-24,156039728
2023-04-25,154943430
2023-04-26,155491579
2023-04-27,156770593
2023-04-28,157136026
2023-05-01,156405161
2023-05-02,154760714
2023-05-03,154943430
2023-05-04,154760714
2023-05-05,155857012
2023-05-08,156770593
2023-05-09,157866891
2023-05-10,156770593
2023-05-11,156587877
2023-05-12,156770593
2023-05-15,156405161
2023-05-16,156222445
2023-05-17,155308863
2023-05-18,156222445
2023-05-19,155491579
2023-05-22,155126147
2023-05-23,154395281
2023-05-24,153847133
2023-05-25,154029849
2023-05-26,154212565
2023-05-30,154577998
2023-05-31,154760714
2023-06-01,155491579
2023-06-02,155857012
2023-06-05,155674296
2023-06-06,157501459
2023-06-07,157318742
2023-06-08,158780473
2023-06-09,158963189
2023-06-12,158415040
2023-06-13,157136026
2023-06-14,156222445
2023-06-15,158963189
2023-06-16,156587877
2023-06-20,158415040
2023-06-21,158963189
2023-06-22,160424920
2023-06-23,159328622
2023-06-26,157501459
2023-06-27,158049608
2023-06-28,158049608
2023-06-29,158049608
2023-06-30,157501459
2023-07-03,158415040
2023-07-05,158597757
2023-07-06,157318742
2023-07-07,157501459
2023-07-10,156953310
2023-07-11,157501459
2023-07-12,157866891
2023-07-13,158597757
2023-07-14,158049608
2023-07-17,158415040
2023-07-18,159145906
2023-07-19,159694054
2023-07-20,158597757
2023-07-21,160424920
2023-07-24,158963189
2023-07-25,158963189
2023-07-26,160424920
2023-07-27,160242203
2023-07-28,160424920
2023-07-31,162252083
2023-08-01,162434799
2023-08-02,160242203
2023-08-03,160242203
2023-08-04,160059487
2023-08-07,160973069
2023-08-08,160424920
2023-08-09,160424920
2023-08-10,159694054
2023-08-11,159694054
2023-08-14,158780473
2023-08-15,158232324
2023-08-16,157501459
2023-08-17,157136026
2023-08-18,156953310
2023-08-21,156953310
2023-08-22,158232324
2023-08-23,157501459
2023-08-24,157684175
2023-08-25,160059487
2023-08-28,160242203
2023-08-29,160059487
2023-08-30,159328622
2023-08-31,160242203
2023-09-01,160790352
2023-09-05,160607636
2023-09-06,158597757
2023-09-07,158049608
2023-09-08,158415040
2023-09-11,157684175
2023-09-12,157866891
2023-09-13,158232324
2023-09-14,158780473
2023-09-15,158963189
2023-09-18,159511338
2023-09-19,160607636
2023-09-20,158963189
2023-09-21,160242203
2023-09-22,158597757
2023-09-25,158232324
2023-09-26,157866891
2023-09-27,157318742
2023-09-28,159511338
2023-09-29,160424920
2023-10-02,160059487
2023-10-03,158049608
2023-10-04,158415040
2023-10-05,157684175
2023-10-06,157866891
2023-10-09,157684175
2023-10-10,157866891
2023-10-11,157501459
2023-10-12,156587877
2023-10-13,156039728
2023-10-16,155491579
2023-10-17,156770593
2023-10-18,156405161
2023-10-19,154760714
2023-10-20,154760714
2023-10-23,155308863
2023-10-24,157318742
2023-10-25,155491579
2023-10-26,154395281
2023-10-27,154395281
2023-10-30,154395281
2023-10-31,154760714
2023-11-01,156222445
2023-11-02,154577998
2023-11-03,157136026
2023-11-06,155857012
2023-11-07,156587877
2023-11-08,156587877
2023-11-09,156039728
2023-11-10,155674296
2023-11-13,155126147
2023-11-14,157684175
2023-11-15,156770593
2023-11-16,156222445
2023-11-17,156770593
2023-11-20,156405161
2023-11-21,156405161
2023-11-22,156953310
2023-11-24,156587877
2023-11-27,157136026
2023-11-28,156953310
2023-11-29,157866891
2023-11-30,157501459
2023-12-01,158415040
2023-12-04,157866891
2023-12-05,157684175
2023-12-06,157501459
2023-12-07,158963189
2023-12-08,158963189
2023-12-11,158232324
2023-12-12,158963189
2023-12-13,158415040
2023-12-14,159694054
2023-12-15,159328622
2023-12-18,159694054
2023-12-19,162800232
2023-12-20,159876771
2023-12-21,160059487
2023-12-22,159511338
2023-12-26,159876771
2023-12-27,159876771
2023-12-28,159694054
2023-12-29,159328622
2024-01-02,160607636
2024-01-03,160059487
2024-01-04,160607636
2024-01-05,160242203
2024-01-08,160790352
2024-01-09,160973069
2024-01-10,161338501
2024-01-11,160242203
2024-01-12,160973069
2024-01-16,158963189
2024-01-17,158597757
2024-01-18,158963189
2024-01-19,159145906
2024-01-22,160790352
2024-01-23,160242203
2024-01-24,160790352
2024-01-25,159511338
2024-01-26,160424920
2024-01-29,160059487
2024-01-30,160059487
2024-01-31,160607636
2024-02-01,160607636
2024-02-02,159694054
2024-02-05,159694054
2024-02-06,159694054
2024-02-07,160242203
2024-02-08,159876771
2024-02-09,159328622
2024-02-12,159876771
2024-02-13,159145906
2024-02-14,160059487
2024-02-15,160607636
2024-02-16,160059487
2024-02-20,159511338
2024-02-21,160059487
2024-02-22,159876771
2024-02-23,159694054
2024-02-26,160607636
2024-02-27,160790352
2024-02-28,160424920
2024-02-29,160790352
2024-03-01,161155785
2024-03-04,160790352
2024-03-05,161703934
2024-03-06,161338501
2024-03-07,161886650
2024-03-08,160242203
2024-03-11,160790352
2024-03-12,160790352
2024-03-13,160790352
2024-03-14,159328622
2024-03-15,160242203
2024-03-18,160424920
2024-03-19,160607636
2024-03-20,160790352
2024-03-21,160790352
2024-03-22,160607636
2024-03-25,160607636
2024-03-26,160424920
2024-03-27,161521218
2024-03-28,160973069
2024-04-01,160973069
2024-04-02,159876771
2024-04-03,160424920
2024-04-04,160424920
2024-04-05,161338501
2024-04-08,160607636
2024-04-09,160790352
2024-04-10,160242203
2024-04-11,160973069
2024-04-12,161155785
2024-04-15,161155785
2024-04-16,161338501
2024-04-17,160973069
2024-04-18,161338501
2024-04-19,161521218
2024-04-22,162069366
2024-04-23,162617515
2024-04-24,161886650
2024-04-25,162069366
2024-04-26,163165664
2024-04-29,162617515
2024-04-30,162434799
2024-05-01,162617515
2024-05-02,162800232
2024-05-03,162800232
2024-05-06,162728676
2024-05-07,162509335
2024-05-08,162145779
2024-05-09,162509335
2024-05-10,161964001
2024-05-13,162145779
2024-05-14,162327557
2024-05-15,161964001
2024-05-16,162327557
2024-05-17,162145779
2024-05-20,162145779
2024-05-21,162327557
2024-05-22,161418668
2024-05-23,161964001
2024-05-24,161964001
2024-05-28,161964001
2024-05-29,162509335
2024-05-30,162145779
2024-05-31,162509335
2024-06-03,162327557
2024-06-04,162872890
2024-06-05,163418224
2024-06-06,162691113
2024-06-07,162872890
2024-06-10,163236446
2024-06-11,163236446
2024-06-12,163418224
2024-06-13,162509335
2024-06-14,162691113
2024-06-17,162872890
2024-06-18,162691113
2024-06-20,162872890
2024-06-21,163054668
2024-06-24,163236446
2024-06-25,163236446
2024-06-26,163600002
2024-06-27,163781779
2024-06-28,163781779
2024-07-01,163418224
2024-07-02,163781779
2024-07-03,164145335
2024-07-05,164327113
2024-07-08,163963557
2024-07-09,164508890
2024-07-10,164508890
2024-07-11,164145335
2024-07-12,164508890
2024-07-15,164327113
2024-07-16,164690668
2024-07-17,164508890
2024-07-18,164872446
2024-07-19,165054224
2024-07-22,164872446
2024-07-23,164872446
2024-07-24,165054224
2024-07-25,165417779
2024-07-26,165236002
2024-07-29,165599557
2024-07-30,165599557
2024-07-31,165963113
2024-08-01,165781335
2024-08-02,165781335
2024-08-05,165599557
2024-08-06,165599557
2024-08-07,165963113
2024-08-08,165599557
2024-08-09,165781335
