,ZTS
2015-05-28,24563496030
2015-05-29,24893610210
2015-06-01,24898611940
2015-06-02,24798577340
2015-06-03,24783572150
2015-06-04,24458459700
2015-06-05,24513478730
2015-06-08,24408442400
2015-06-09,24628518520
2015-06-10,24853596370
2015-06-11,24943627510
2015-06-12,24548490840
2015-06-15,24643523710
2015-06-16,24863599830
2015-06-17,25093679410
2015-06-18,25258736500
2015-06-19,25128691520
2015-06-22,25118688060
2015-06-23,25243731310
2015-06-24,24863599830
2015-06-25,27699580740
2015-06-26,24318411260
2015-06-29,23499179730
2015-06-30,24073304580
2015-07-01,24178144770
2015-07-02,24118236090
2015-07-06,24163167600
2015-07-07,23903563320
2015-07-08,23204628720
2015-07-09,23249560230
2015-07-10,23444263440
2015-07-13,23484202560
2015-07-14,23693882940
2015-07-15,23519149290
2015-07-16,23963472000
2015-07-17,23863624200
2015-07-20,24452726220
2015-07-21,24522619680
2015-07-22,24971934780
2015-07-23,24887064150
2015-07-24,24707338110
2015-07-27,24702345720
2015-07-28,24387825150
2015-07-29,24163167600
2015-07-30,24238053450
2015-07-31,24452726220
2015-08-03,24203106720
2015-08-04,24387825150
2015-08-05,24268007790
2015-08-06,24103258920
2015-08-07,24118236090
2015-08-10,24158175210
2015-08-11,24068312190
2015-08-12,23893578540
2015-08-13,23793730740
2015-08-14,23698875330
2015-08-17,24307946910
2015-08-18,23828677470
2015-08-19,23918540490
2015-08-20,23154704820
2015-08-21,22475739780
2015-08-24,21731873670
2015-08-25,21247611840
2015-08-26,22091325750
2015-08-27,22895100540
2015-08-28,22855161420
2015-08-31,22400853930
2015-09-01,21956531220
2015-09-02,22525663680
2015-09-03,22231112670
2015-09-04,21971508390
2015-09-08,22410838710
2015-09-09,21941554050
2015-09-10,22136257260
2015-09-11,22465755000
2015-09-14,22201158330
2015-09-15,22495709340
2015-09-16,22221127890
2015-09-17,22969986390
2015-09-18,22525663680
2015-09-21,22216135500
2015-09-22,22081340970
2015-09-23,22126272480
2015-09-24,21761828010
2015-09-25,21222649890
2015-09-28,19910909160
2015-09-29,19756445150
2015-09-30,20518799780
2015-10-01,20573609590
2015-10-02,21435618420
2015-10-05,21350912350
2015-10-06,20623436690
2015-10-07,21261223570
2015-10-08,21535272620
2015-10-09,21325998800
