,SBAC
2004-04-05,219761380
2004-04-06,222608030
2004-04-07,216345400
2004-04-08,223177360
2004-04-12,226593340
2004-04-13,219192050
2004-04-14,224885350
2004-04-15,231147979
2004-04-16,244811900
2004-04-19,251074530
2004-04-20,241965250
2004-04-21,245950560
2004-04-22,261891799
2004-04-23,253351850
2004-04-26,256198500
2004-04-27,244811900
2004-04-28,233425299
2004-04-29,231147979
2004-04-30,226024010
2004-05-03,222038700
2004-05-04,219761380
2004-05-05,215206740
2004-05-06,210652100
2004-05-07,193002870
2004-05-10,183324260
2004-05-11,186740240
2004-05-12,190156220
2004-05-13,193002870
2004-05-14,191294880
2004-05-17,186170910
2004-05-18,191864210
2004-05-19,195280190
2004-05-20,193572200
2004-05-21,196418850
2004-05-24,202681480
2004-05-25,215206740
2004-05-26,220900040
2004-05-27,223177360
2004-05-28,219761380
2004-06-01,223177360
2004-06-02,227732000
2004-06-03,222038700
2004-06-04,222038700
2004-06-07,236271950
2004-06-08,239118600
2004-06-09,234563960
2004-06-10,241395920
2004-06-14,232855970
2004-06-15,236271950
2004-06-16,231717310
2004-06-17,231717310
2004-06-18,235702619
2004-06-21,226024010
2004-06-22,236271950
2004-06-23,244811900
2004-06-24,251074530
2004-06-25,256198500
2004-06-28,243103909
2004-06-29,246519890
2004-06-30,257103200
2004-07-01,255947679
2004-07-02,253636639
2004-07-06,247859040
2004-07-07,251903360
2004-07-08,248436800
2004-07-09,246703519
2004-07-12,252481120
2004-07-13,250747840
2004-07-14,250170080
2004-07-15,251903360
2004-07-16,248436800
2004-07-19,250747840
2004-07-20,256525440
2004-07-21,253058880
2004-07-22,258258720
2004-07-23,258258720
2004-07-26,246125760
2004-07-27,259992000
2004-07-28,258258720
2004-07-29,259414240
2004-07-30,290613280
2004-08-02,298701920
2004-08-03,300435200
2004-08-04,299857440
2004-08-05,293502080
2004-08-06,286568960
2004-08-09,269813920
2004-08-10,287724480
2004-08-11,290035520
2004-08-12,293502080
2004-08-13,304479520
2004-08-16,295813120
2004-08-17,294657600
2004-08-18,302168480
2004-08-19,299857440
2004-08-20,302168480
2004-08-23,296968640
2004-08-24,293502080
2004-08-25,298701920
2004-08-26,291768800
2004-08-27,301590720
2004-08-30,294657600
2004-08-31,300435200
2004-09-01,298701920
2004-09-02,299279680
2004-09-03,297546400
2004-09-07,303901760
2004-09-08,317768000
2004-09-09,318923520
2004-09-10,346656000
2004-09-13,335100800
2004-09-14,351278080
2004-09-15,346078240
2004-09-16,356477920
2004-09-17,369766400
2004-09-20,366299840
2004-09-21,377277280
2004-09-22,363988800
2004-09-23,378432800
2004-09-24,380743840
2004-09-27,365722080
2004-09-28,361677760
2004-09-29,391143520
2004-09-30,445627000
2004-10-01,442443950
2004-10-04,444990390
2004-10-05,441170730
2004-10-06,444990390
2004-10-07,453266320
2004-10-08,469818180
2004-10-11,481913770
2004-10-12,515017490
2004-10-13,476184280
2004-10-14,500375460
2004-10-15,515654100
2004-10-18,534752400
2004-10-19,518837150
2004-10-20,515654100
2004-10-21,522656810
2004-10-22,512471050
2004-10-25,504195120
2004-10-26,517563930
2004-10-27,518200540
2004-10-28,525203250
2004-10-29,532842569
2004-11-01,572949000
2004-11-02,573585610
2004-11-03,572949000
2004-11-04,572949000
2004-11-05,578041880
2004-11-08,579951710
2004-11-09,565946290
2004-11-10,564673070
2004-11-11,566582900
2004-11-12,585681200
2004-11-15,590137470
2004-11-16,568492730
2004-11-17,572949000
2004-11-18,573585610
2004-11-19,566582900
2004-11-22,573585610
2004-11-23,558943580
2004-11-24,568492730
2004-11-26,537935450
2004-11-29,572949000
2004-11-30,611145600
2004-12-01,634700170
2004-12-02,634063560
2004-12-03,676079820
2004-12-06,641066270
2004-12-07,627060850
