,BEAM
2023-07-26,2537481415
2023-07-27,2355724727
2023-07-28,2479793422
2023-07-31,2439490852
2023-08-01,2252992685
2023-08-02,2232446277
2023-08-03,2149470398
2023-08-04,2143148426
2023-08-07,2018289484
2023-08-08,2074396983
2023-08-09,2063333533
2023-08-10,2007226033
2023-08-11,2019079730
2023-08-14,1993001597
2023-08-15,1917928182
2023-08-16,1834162056
2023-08-17,1856288958
2023-08-18,1844435260
2023-08-21,1872884133
2023-08-22,1841274275
2023-08-23,1857079204
2023-08-24,1822308359
2023-08-25,1834162056
2023-08-28,1851547479
2023-08-29,1874464626
2023-08-30,1857869450
2023-08-31,1831791317
2023-09-01,1853918218
2023-09-05,1871303640
2023-09-06,1948747795
2023-09-07,1987469872
2023-09-08,2019079730
2023-09-11,2062543286
2023-09-12,2068865258
2023-09-13,1977986914
2023-09-14,1986679625
2023-09-15,1979567407
2023-09-18,1921089168
2023-09-19,1936103851
2023-09-20,1993791843
2023-09-21,1972455189
2023-09-22,1877625612
2023-09-25,1818357127
2023-09-26,1864981669
2023-09-27,1917137936
2023-09-28,1898172020
2023-09-29,1900542760
2023-10-02,1738458115
2023-10-03,1810422195
2023-10-04,1741692456
2023-10-05,1799910588
2023-10-06,1732798019
2023-10-09,1772418692
2023-10-10,1801527758
2023-10-11,1803953514
2023-10-12,1715009145
2023-10-13,1799910588
2023-10-16,1803953514
2023-10-17,1800719173
2023-10-18,1681857153
2023-10-19,1484562372
2023-10-20,1430387165
2023-10-23,1544397674
2023-10-24,1579166837
2023-10-25,1563803718
2023-10-26,1584018348
2023-10-27,1505585586
2023-10-30,1545206259
2023-10-31,1709349049
2023-11-01,1701263197
2023-11-02,1733606604
2023-11-03,1980225081
2023-11-06,1884003446
2023-11-07,2020654339
2023-11-08,1851660039
2023-11-09,1795867662
2023-11-10,1791824736
2023-11-13,1774035862
2023-11-14,1985076592
2023-11-15,2033591702
2023-11-16,2004482636
2023-11-17,2221183461
2023-11-20,2487207982
2023-11-21,2259995550
2023-11-22,2382900495
2023-11-24,2399072199
2023-11-27,2357834355
2023-11-28,2407158051
2023-11-29,2311745001
2023-11-30,2270507157
