,IQV
2015-09-14,9288537280
2015-09-15,9451925120
2015-09-16,9513349120
2015-09-17,9636197120
2015-09-18,9529319360
2015-09-21,9416299200
2015-09-22,9283623360
2015-09-23,9337676480
2015-09-24,9238169600
2015-09-25,9012129280
2015-09-28,8483882880
2015-09-29,8459313280
2015-09-30,8415604619
2015-10-01,8420443260
2015-10-02,8628504780
2015-10-05,8548667220
2015-10-06,8028513420
2015-10-07,8197865819
2015-10-08,8223268680
2015-10-09,8447055780
2015-10-12,8478506940
2015-10-13,8453104079
2015-10-14,8374476180
2015-10-15,8543828579
2015-10-16,8657536620
2015-10-19,8679310500
2015-10-20,8489393880
2015-10-21,8321251140
2015-10-22,8188188540
2015-10-23,8258348819
2015-10-26,8363589240
2015-10-27,8317622160
2015-10-28,8103512339
2015-10-29,7798678020
2015-10-30,7699485900
2015-11-02,7989804300
2015-11-03,7895450819
2015-11-04,7961982119
2015-11-05,7970449740
2015-11-06,7994642940
2015-11-09,8111979960
2015-11-10,8136173160
2015-11-11,8053916280
2015-11-12,8080528800
2015-11-13,8069641859
2015-11-16,8127705540
2015-11-17,8295848280
2015-11-18,8434959180
2015-11-19,8355121619
2015-11-20,8313993180
2015-11-23,8375685839
2015-11-24,8366008560
2015-11-25,8287380660
2015-11-27,8378105160
2015-11-30,8224478339
2015-12-01,8339396040
2015-12-02,8074480500
2015-12-03,7957143480
2015-12-04,8228107319
2015-12-07,8154318060
2015-12-08,8168833980
2015-12-09,8067222540
2015-12-10,8216010720
2015-12-11,8147060099
2015-12-14,8242623240
2015-12-15,8338186380
2015-12-16,8313993180
2015-12-17,8450684760
2015-12-18,8409556319
2015-12-21,8436168839
2015-12-22,8381734140
2015-12-23,8472458640
2015-12-24,8422862579
2015-12-28,8416814280
2015-12-29,8523264359
2015-12-30,8418023940
2015-12-31,8198004000
2016-01-04,8004576000
2016-01-05,8012934000
2016-01-06,7968755999
2016-01-07,7782492000
2016-01-08,7772939999
2016-01-11,7709657999
2016-01-12,7777716000
2016-01-13,7612944000
2016-01-14,7636824000
2016-01-15,7562796000
2016-01-19,7565184000
2016-01-20,7552050000
2016-01-21,7458918000
2016-01-22,7595034000
2016-01-25,7522200000
2016-01-26,7581900000
2016-01-27,7394442000
2016-01-28,7215342000
2016-01-29,7263102000
2016-02-01,7227282000
2016-02-02,6958632000
2016-02-03,6990870000
2016-02-04,7107882000
2016-02-05,6865500000
2016-02-08,6675654000
2016-02-09,6769980000
2016-02-10,6966990000
2016-02-11,7044600000
2016-02-12,7215342000
2016-02-16,7377726000
2016-02-17,7542498000
2016-02-18,7489962000
2016-02-19,7573542000
2016-02-22,7462500000
2016-02-23,7361010000
2016-02-24,7414740000
2016-02-25,7505484000
2016-02-26,7563990000
2016-02-29,7487574000
2016-03-01,7803984000
2016-03-02,7813536000
2016-03-03,7721598000
2016-03-04,7813536000
2016-03-07,7799207999
2016-03-08,7838610000
