,MIR
2023-05-12,1501824740
2023-05-15,1497841120
2023-05-16,1505808360
2023-05-17,1549628180
2023-05-18,1541660940
2023-05-19,1525726460
2023-05-22,1567554470
2023-05-23,1563570850
2023-05-24,1489873880
2023-05-25,1481906640
2023-05-26,1553611800
2023-05-30,1569546280
2023-05-31,1575521710
2023-06-01,1589464380
2023-06-02,1623325150
2023-06-05,1571538090
2023-06-06,1621333340
2023-06-07,1663161350
2023-06-08,1627308770
2023-06-09,1593448000
2023-06-12,1607390670
2023-06-13,1647226870
2023-06-14,1601415239
2023-06-15,1635276010
2023-06-16,1633284199
2023-06-20,1643243250
2023-06-21,1645235060
2023-06-22,1657185920
2023-06-23,1641251440
2023-06-26,1549628180
2023-06-27,1555603610
2023-06-28,1637267820
2023-06-29,1627308770
2023-06-30,1683434349
2023-07-03,1657535360
2023-07-05,1631636370
2023-07-06,1571869470
2023-07-07,1571869470
2023-07-10,1653550900
2023-07-11,1669488740
2023-07-12,1665504280
2023-07-13,1667496509
2023-07-14,1627651910
2023-07-17,1633628599
2023-07-18,1615698530
2023-07-19,1579838390
2023-07-20,1577846160
2023-07-21,1563900550
2023-07-24,1530032640
2023-07-25,1545970480
2023-07-26,1551947170
2023-07-27,1470265740
2023-07-28,1480226890
2023-07-31,1504133650
2023-08-01,1502141420
2023-08-02,1581830620
2023-08-03,1553939400
2023-08-04,1557923860
2023-08-07,1591791770
2023-08-08,1571869470
2023-08-09,1565892780
2023-08-10,1547962710
2023-08-11,1551947170
2023-08-14,1528040410
2023-08-15,1524055950
2023-08-16,1510110340
2023-08-17,1502141420
2023-08-18,1514094800
2023-08-21,1545970480
2023-08-22,1559916090
2023-08-23,1593784000
2023-08-24,1575853930
2023-08-25,1613706300
2023-08-28,1641597520
2023-08-29,1665504280
2023-08-30,1687418810
2023-08-31,1701364419
2023-09-01,1703356650
2023-09-05,1641597520
2023-09-06,1557923860
2023-09-07,1575853930
2023-09-08,1569877240
2023-09-11,1541986020
2023-09-12,1534017100
2023-09-13,1516087030
2023-09-14,1534017100
2023-09-15,1539993790
2023-09-18,1532024870
2023-09-19,1522063720
2023-09-20,1534017100
2023-09-21,1514094800
2023-09-22,1555931630
2023-09-25,1607729610
2023-09-26,1506125880
2023-09-27,1482219120
2023-09-28,1482219120
