,AMCR
2024-01-26,13728059999
2024-01-29,13785620000
2024-01-30,13756840000
2024-01-31,13569770000
2024-02-01,13612940000
2024-02-02,13512210000
2024-02-05,13267580000
2024-02-06,13210020000
2024-02-07,13497820000
2024-02-08,13181240000
2024-02-09,13094900000
2024-02-12,13210020000
2024-02-13,12778320000
2024-02-14,12879049999
2024-02-15,12936610000
2024-02-16,13008559999
2024-02-20,13123679999
2024-02-21,13253190000
2024-02-22,13325140000
2024-02-23,13339530000
2024-02-26,13152460000
2024-02-27,12879049999
2024-02-28,12763929999
2024-02-29,13037340000
2024-03-01,13080510000
2024-03-04,13195630000
2024-03-05,13195630000
2024-03-06,13238799999
2024-03-07,13555380000
2024-03-08,13469040000
2024-03-11,13627330000
2024-03-12,13656110000
2024-03-13,13699280000
2024-03-14,13569770000
2024-03-15,13641720000
2024-03-18,13555380000
2024-03-19,13497820000
2024-03-20,13166850000
2024-03-21,13353920000
2024-03-22,13281970000
2024-03-25,13368309999
2024-03-26,13224410000
2024-03-27,13641720000
2024-03-28,13684890000
2024-04-01,13598549999
2024-04-02,13397090000
2024-04-03,13210020000
2024-04-04,13195630000
2024-04-05,13253190000
2024-04-08,13166850000
2024-04-09,13497820000
2024-04-10,13109290000
2024-04-11,13051730000
2024-04-12,12821490000
2024-04-15,12864660000
2024-04-16,12706370000
2024-04-17,12706370000
2024-04-18,12807100000
2024-04-19,12907830000
2024-04-22,12994170000
2024-04-23,12922220000
2024-04-24,13037340000
2024-04-25,12879049999
2024-04-26,12907830000
2024-04-29,13022950000
2024-04-30,12864660000
2024-05-01,14102200000
2024-05-02,14202929999
2024-05-03,14404390000
2024-05-06,14519510000
2024-05-07,14562679999
2024-05-08,14706580000
2024-05-09,14850480000
2024-05-10,14908040000
2024-05-13,14922429999
2024-05-14,15008770000
2024-05-15,14879260000
2024-05-16,14908040000
2024-05-17,14778530000
2024-05-20,14490730000
2024-05-21,14490730000
2024-05-22,14490730000
2024-05-23,14217320000
2024-05-24,14303660000
2024-05-28,14145370000
2024-05-29,14001470000
2024-05-30,14217320000
2024-05-31,14634630000
2024-06-03,14692190000
2024-06-04,14649020000
2024-06-05,14692190000
2024-06-06,14620240000
2024-06-07,14404390000
2024-06-10,14260490000
2024-06-11,14361220000
2024-06-12,14461950000
2024-06-13,14447559999
2024-06-14,14332440000
2024-06-17,14332440000
2024-06-18,14346830000
2024-06-20,14217320000
2024-06-21,14318049999
2024-06-24,14404390000
2024-06-25,14217320000
2024-06-26,14159760000
2024-06-27,14116590000
2024-06-28,14073420000
2024-07-01,13814400000
2024-07-02,13785620000
2024-07-03,13843179999
2024-07-05,13670500000
2024-07-08,13857570000
2024-07-09,13756840000
2024-07-10,14030250000
2024-07-11,14116590000
2024-07-12,14260490000
2024-07-15,14159760000
2024-07-16,14490730000
2024-07-17,14864870000
2024-07-18,14850480000
2024-07-19,14548290000
2024-07-22,14605850000
2024-07-23,14490730000
2024-07-24,14505120000
2024-07-25,14605850000
2024-07-26,14936820000
2024-07-29,14994380000
2024-07-30,15080720000
2024-07-31,15152670000
2024-08-01,15109500000
2024-08-02,15138280000
2024-08-05,14807309999
2024-08-06,15095110000
2024-08-07,14951210000
2024-08-08,15267790000
2024-08-09,15195840000
