,CB
2002-03-15,11248491478
2002-03-18,10899400363
2002-03-19,10653743653
2002-03-20,10408086942
2002-03-21,10837339721
2002-03-22,10935602405
2002-03-25,10462390005
2002-03-26,10418430383
2002-03-27,10581339570
2002-03-28,10783036658
2002-04-01,11735083791
2002-04-02,11867064872
2002-04-03,11878297305
2002-04-04,12074864873
2002-04-05,12111370278
2002-04-08,12274240548
2002-04-09,12411837846
2002-04-10,12585940549
2002-04-11,12476424332
2002-04-12,12468000008
2002-04-15,12114178386
2002-04-16,12074864873
2002-04-17,12187189197
2002-04-18,12184381089
2002-04-19,12302321629
2002-04-22,12305129738
2002-04-23,12116986494
2002-04-24,12111370278
2002-04-25,11864256764
2002-04-26,11906378386
2002-04-29,11695770278
2002-04-30,12220886494
2002-05-01,11145381088
2002-05-02,10218705412
2002-05-03,10387191898
2002-05-06,10111997304
2002-05-07,10010905412
2002-05-08,9968783790
2002-05-09,9873308114
2002-05-10,9603729736
2002-05-13,9814337844
2002-05-14,9687972979
2002-05-15,9586881087
2002-05-16,9376272979
2002-05-17,9367848654
2002-05-20,9210594600
2002-05-21,9463324330
2002-05-22,9182513519
2002-05-23,9657083790
2002-05-24,9898581087
2002-05-28,9752559466
2002-05-29,9870500006
2002-05-30,9584072979
2002-05-31,9718862168
2002-06-03,9527910817
2002-06-04,9252716222
2002-06-05,9488597303
2002-06-06,9224635141
2002-06-07,9042108114
2002-06-10,9154432438
2002-06-11,8952248654
2002-06-12,9058956762
2002-06-13,9028067573
2002-06-14,9120735141
2002-06-17,9426818925
2002-06-18,9508254060
2002-06-19,9292029735
2002-06-20,9320110817
2002-06-21,9351000006
2002-06-24,9238675681
2002-06-25,9126351357
2002-06-26,8817459465
2002-06-27,8424324330
2002-06-28,8873621627
2002-07-01,7122614573
2002-07-02,6863610406
2002-07-03,6978984990
2002-07-05,7209734156
2002-07-08,7075522906
2002-07-09,7004885406
2002-07-10,6545741657
2002-07-11,6894219990
2002-07-12,6946020823
2002-07-15,6875383323
2002-07-16,6743526657
2002-07-17,6597542490
2002-07-18,5980641658
2002-07-19,6074824991
2002-07-22,5827593741
2002-07-23,5490888325
2002-07-24,5709864575
2002-07-25,5792274991
2002-07-26,6307928741
2002-07-29,6837709990
2002-07-30,7134387489
2002-07-31,7456965406
2002-08-01,7482865822
2002-08-02,7322754156
2002-08-05,6840064573
2002-08-06,7132032906
2002-08-07,6938957073
2002-08-08,7492284156
2002-08-09,7473447489
2002-08-12,7602949572
2002-08-13,7478156656
2002-08-14,7671232489
2002-08-15,7805443738
2002-08-16,7734806239
2002-08-19,7840762488
2002-08-20,7758352072
2002-08-21,7697132905
2002-08-22,8005583322
2002-08-23,7803089155
2002-08-26,7967909988
2002-08-27,7690069155
2002-08-28,7617077072
2002-08-29,7466383739
2002-08-30,7489929572
2002-09-03,7188542906
2002-09-04,7214443323
2002-09-05,7245052906
2002-09-06,7320399572
2002-09-09,7461674572
2002-09-10,7383973322
2002-09-11,7398100822
2002-09-12,7737160822
2002-09-13,7892563322
2002-09-16,7857244572
2002-09-17,7687714572
2002-09-18,7680650822
2002-09-19,7440483322
2002-09-20,7537021239
2002-09-23,7296853739
2002-09-24,7049622490
2002-09-25,7000176240
2002-09-26,7346299989
2002-09-27,7051977073
2002-09-30,7963931360
2002-10-01,8230202622
2002-10-02,7625040664
2002-10-03,7735314621
2002-10-04,7754141882
2002-10-07,7377596664
2002-10-08,7982758621
2002-10-09,7571248490
2002-10-10,8203306535
2002-10-11,8717021796
2002-10-14,8200616926
2002-10-15,8942948927
2002-10-16,8862260666
2002-10-17,9332942189
2002-10-18,9346390232
2002-10-21,9790175668
2002-10-22,9537352450
2002-10-23,9214599406
2002-10-24,8977913840
2002-10-25,9174255275
2002-10-28,9141979971
2002-10-29,8983293058
2002-10-30,8698194535
2002-10-31,8270546752
2002-11-01,8305511665
2002-11-04,8552955666
2002-11-05,8421164839
2002-11-06,8563714100
2002-11-07,8375441491
2002-11-08,8265167535
2002-11-11,8310890883
2002-11-12,8292063622
2002-11-13,8259788317
2002-11-14,8405027187
2002-11-15,8461508970
2002-11-18,8555645274
2002-11-19,8668608840
2002-11-20,8875708710
2002-11-21,8808468492
2002-11-22,9147359188
2002-11-25,8781572405
2002-11-26,8797710057
2002-11-27,8985982666
2002-11-29,9171565667
2002-12-02,8983293058
2002-12-03,9061291710
2002-12-04,8948328144
2002-12-05,8840743796
2002-12-06,8652471187
2002-12-09,8413096013
2002-12-10,8620195883
2002-12-11,8692815318
2002-12-12,8649781579
2002-12-13,8426544057
2002-12-16,8563714100
2002-12-17,8437302491
2002-12-18,8329718143
2002-12-19,8015033926
2002-12-20,8068826100
2002-12-23,7883243099
2002-12-24,7859036621
2002-12-26,7937035273
2002-12-27,7786417186
2002-12-30,7869795056
2002-12-31,7891311925
2003-01-02,8205996143
2003-01-03,8254409100
2003-01-06,8598679013
2003-01-07,8547576448
2003-01-08,8383510317
2003-01-09,8571782926
2003-01-10,8499163492
2003-01-13,8337786970
2003-01-14,8208685752
2003-01-15,8141445534
2003-01-16,7810623664
2003-01-17,7802554838
2003-01-21,7694970490
2003-01-22,7552421229
2003-01-23,7587386142
2003-01-24,7452905707
2003-01-27,7872484664
2003-01-28,8066136491
2003-01-29,8095722187
2003-01-30,7816002882
2003-01-31,7920897621
2003-02-03,8001585882
2003-02-04,7598144577
2003-02-05,7463664142
2003-02-06,7450216099
2003-02-07,7442147272
2003-02-10,7700349708
2003-02-11,7504008273
2003-02-12,7447526490
2003-02-13,7342631751
2003-02-14,7506697881
2003-02-18,7595454968
2003-02-19,7600834186
2003-02-20,7474422577
2003-02-21,7619661447
2003-02-24,7455595316
2003-02-25,7471732968
2003-02-26,7216220142
2003-02-27,7415251185
2003-02-28,7452905707
2003-03-03,7455595316
2003-03-04,7342631751
2003-03-05,7315735664
2003-03-06,7248495446
2003-03-07,7251185055
2003-03-10,6974155359
2003-03-11,6570714054
2003-03-12,6387820662
2003-03-13,6750917837
2003-03-14,7154359142
2003-03-17,7404492751
2003-03-18,7447526490
2003-03-19,7638488708
2003-03-20,7657315968
2003-03-21,8160272795
2003-03-24,7845588577
2003-03-25,7920897621
2003-03-26,7928966447
2003-03-27,7907449578
2003-03-28,7934345665
2003-03-31,7944480451
2003-04-01,8054248748
2003-04-02,8394530467
2003-04-03,8383553637
2003-04-04,8701881697
2003-04-07,8482345104
