,CHK
2023-08-10,11288509174
2023-08-11,11226397265
2023-08-14,11144462405
2023-08-15,10951519027
2023-08-16,10913194657
2023-08-17,11398196163
2023-08-18,11355907204
2023-08-21,11468237253
2023-08-22,11374408623
2023-08-23,11219789615
2023-08-24,11169571475
2023-08-25,11250184804
2023-08-28,11295116824
2023-08-29,11412732993
2023-08-30,11603033312
2023-08-31,11657216041
2023-09-01,11928129689
2023-09-05,11729900191
2023-09-06,11682325111
2023-09-07,11581888832
2023-09-08,11694218881
2023-09-11,11552815172
2023-09-12,11655894511
2023-09-13,11530349162
2023-09-14,11567352002
2023-09-15,11292473764
2023-09-18,11270007754
2023-09-19,11189394425
2023-09-20,11075742846
2023-09-21,10929053017
2023-09-22,10845796627
2023-09-25,10980592686
2023-09-26,10979271156
2023-09-27,11314939774
2023-09-28,11460308073
2023-09-29,11395553103
2023-10-02,10956756360
2023-10-03,10868987030
2023-10-04,10766807810
2023-10-05,11001296020
2023-10-06,11433592720
2023-10-09,11672010900
2023-10-10,11624851260
2023-10-11,11554111800
2023-10-12,11648431080
2023-10-13,11648431080
2023-10-16,11658911000
2023-10-17,11736200410
2023-10-18,11707380630
2023-10-19,11628781230
2023-10-20,11530531980
2023-10-23,11377263150
2023-10-24,11387743070
2023-10-25,11351063350
2023-10-26,11407392920
2023-10-27,11238404210
2023-10-30,11213514400
2023-10-31,11276393920
2023-11-01,11385123090
2023-11-02,11619611300
2023-11-03,11706070640
2023-11-06,11163734780
2023-11-07,10819207410
2023-11-08,10663318600
2023-11-09,10544109510
2023-11-10,10360710910
2023-11-13,10481229990
2023-11-14,10681658460
2023-11-15,10905666750
2023-11-16,10627948870
2023-11-17,10686898420
2023-11-20,10710478240
2023-11-21,10698688330
2023-11-22,10717028190
2023-11-24,10761567850
2023-11-27,10684278440
2023-11-28,10608299020
2023-11-29,10449790230
2023-11-30,10520529690
2023-12-01,10558519400
2023-12-04,10259841680
2023-12-05,10007013610
2023-12-06,9687376050
2023-12-07,9830164960
2023-12-08,9831474950
2023-12-11,9838024900
2023-12-12,9662486240
2023-12-13,9818375050
2023-12-14,9925794230
2023-12-15,9925794230
2023-12-18,9995223700
2023-12-19,10076443080
2023-12-20,9848504820
2023-12-21,10130152670
2023-12-22,10123602720
2023-12-26,10211372050
2023-12-27,10231021900
2023-12-28,10155042480
2023-12-29,10079063060
2024-01-02,10077452070
2024-01-03,10201800420
2024-01-04,10073525280
2024-01-05,10366725600
2024-01-08,10309132680
2024-01-09,10255466550
2024-01-10,10102321740
2024-01-11,10421700660
2024-01-12,10847102910
2024-01-16,10296043380
2024-01-17,10077452070
2024-01-18,9993680550
2024-01-19,9940014420
2024-01-22,9857551830
2024-01-23,9802576770
2024-01-24,10005460920
2024-01-25,10124573550
2024-01-26,10145516430
2024-01-29,10141589640
2024-01-30,10356254160
2024-01-31,10093159230
2024-02-01,10069598490
2024-02-02,10025094870
2024-02-05,9862787550
2024-02-06,9951794790
2024-02-07,9953103720
2024-02-08,10114102110
2024-02-09,10056509190
2024-02-12,10152061080
2024-02-13,10004151990
2024-02-14,9928234050
2024-02-15,10221434370
2024-02-16,10305205890
2024-02-20,10163841450
2024-02-21,10975378050
2024-02-22,10900769040
2024-02-23,10724063490
2024-02-26,10730608140
2024-02-27,10725372420
2024-02-28,10739770650
2024-02-29,10835322540
2024-03-01,10839249330
2024-03-04,10788201060
2024-03-05,10853647560
2024-03-06,10722754560
2024-03-07,10671706290
2024-03-08,10734534930
2024-03-11,10909931550
2024-03-12,10960979820
2024-03-13,11120669280
2024-03-14,11047369200
2024-03-15,10925638710
2024-03-18,10926947640
2024-03-19,11081401380
2024-03-20,11281667670
2024-03-21,11289521250
2024-03-22,11297374830
2024-03-25,11358894540
2024-03-26,11221456890
2024-03-27,11483242890
2024-03-28,11627225190
2024-04-01,11747646750
2024-04-02,11645550210
2024-04-03,11819637900
2024-04-04,11691362760
2024-04-05,11716232430
2024-04-08,11805239670
2024-04-09,11768589630
2024-04-10,11780370000
2024-04-11,11515966140
2024-04-12,11595810870
2024-04-15,11460991080
2024-04-16,11423032110
2024-04-17,11407324950
2024-04-18,11429576760
2024-04-19,11454446430
2024-04-22,11572250130
2024-04-23,11587957290
2024-04-24,11870686170
2024-04-25,11972782710
2024-04-26,12050009580
2024-04-29,12167813280
2024-04-30,11764662840
2024-05-01,11345805240
2024-05-02,11360203470
2024-05-03,11344496310
2024-05-06,11659948440
2024-05-07,11599737660
2024-05-08,11567014410
2024-05-09,11557851900
2024-05-10,11403398160
2024-05-13,11569632270
2024-05-14,11886393330
2024-05-15,11943986250
2024-05-16,11925661230
2024-05-17,12001579170
2024-05-20,11989798800
2024-05-21,11875921890
2024-05-22,11747646750
2024-05-23,11663875230
2024-05-24,11743719960
2024-05-28,11844507570
2024-05-29,11692671690
2024-05-30,11768589630
2024-05-31,11902100490
2024-06-03,11909954070
2024-06-04,11591884080
2024-06-05,11623298400
2024-06-06,11559160830
2024-06-07,11556542970
2024-06-10,11641623420
2024-06-11,11611518030
2024-06-12,11409942810
2024-06-13,11263342650
2024-06-14,11144230020
2024-06-17,11077474590
2024-06-18,10988467350
2024-06-20,10988467350
2024-06-21,10788201060
2024-06-24,11097108540
2024-06-25,10945272660
2024-06-26,10830086820
2024-06-27,10775111760
2024-06-28,10758095670
2024-07-01,10798672500
2024-07-02,10866736860
2024-07-03,10946581590
2024-07-05,10773802830
2024-07-08,10811761800
2024-07-09,10803908220
2024-07-10,10866736860
2024-07-11,10926947640
2024-07-12,10926947640
2024-07-15,10964906610
2024-07-16,10841867190
2024-07-17,10739770650
