,NTRS
2003-04-11,7093578083
2003-04-14,7254395226
2003-04-15,7459271860
2003-04-16,7384370725
2003-04-17,7428430216
2003-04-21,7474692682
2003-04-22,7741252603
2003-04-23,7763282349
2003-04-24,7661945519
2003-04-25,7560608689
2003-04-28,7732440705
2003-04-29,7723628807
2003-04-30,7736846654
2003-05-01,7672960392
2003-05-02,7899866772
2003-05-05,7871228102
2003-05-06,7961550059
2003-05-07,7924099492
2003-05-08,7752267476
2003-05-09,7822762662
2003-05-12,7941723288
2003-05-13,8049669042
2003-05-14,8051872016
2003-05-15,8137788024
2003-05-16,8124570177
2003-05-19,7844792408
2003-05-20,7855807280
2003-05-21,7906475695
2003-05-22,7851401331
2003-05-23,7899866772
2003-05-27,8067292838
2003-05-28,8168629668
2003-05-29,8184050490
2003-05-30,8406550920
2003-06-02,8631254326
2003-06-03,8648878122
2003-06-04,8814101214
2003-06-05,8869175578
2003-06-06,8820710138
2003-06-09,8371303328
2003-06-10,8505684776
2003-06-11,8677516791
2003-06-12,8708358435
2003-06-13,8580585911
2003-06-16,8906626146
2003-06-17,8950685637
2003-06-18,8959497535
2003-06-19,8620239453
2003-06-20,8686328690
2003-06-23,8521105598
2003-06-24,8818507163
2003-06-25,8961700510
2003-06-26,9098284932
2003-06-27,9098284932
2003-06-30,9162943545
2003-07-01,9074838319
2003-07-02,9070433057
2003-07-03,9107877779
2003-07-07,9354572413
2003-07-08,9504351297
2003-07-09,9444880270
2003-07-10,9323735583
2003-07-11,9332546106
2003-07-14,9616685461
2003-07-15,9627698614
2003-07-16,9572632848
2003-07-17,9365585566
2003-07-18,9497743405
2003-07-21,9451488162
2003-07-22,9638711768
2003-07-23,9559417064
2003-07-24,9526377604
2003-07-25,9673953858
2003-07-28,9625495984
2003-07-29,9557214433
2003-07-30,9566024956
2003-07-31,9640914398
2003-08-01,9414043440
2003-08-04,9400827656
2003-08-05,9184969852
2003-08-06,9281885601
2003-08-07,9403030287
2003-08-08,9378801350
2003-08-11,9385409242
2003-08-12,9526377604
2003-08-13,9451488162
2003-08-14,9585848632
2003-08-15,9482324991
2003-08-18,9563822325
2003-08-19,9607874938
2003-08-20,9605672308
