,CZR
2017-01-26,431154871
2017-01-27,431154871
2017-01-30,417018646
2017-01-31,421730721
2017-02-01,428798834
2017-02-02,433510909
2017-02-03,433510909
2017-02-06,421730721
2017-02-07,414662608
2017-02-08,409950533
2017-02-09,414662608
2017-02-10,407594496
2017-02-13,414662608
2017-02-14,414662608
2017-02-15,433510909
2017-02-16,431154871
2017-02-17,433510909
2017-02-21,428798834
2017-02-22,426442796
2017-02-23,438222984
2017-02-24,431154871
2017-02-27,445291096
2017-02-28,445291096
2017-03-01,457071284
2017-03-02,450003172
2017-03-03,457071284
2017-03-06,457071284
2017-03-07,454715247
2017-03-08,447647134
2017-03-09,440579021
2017-03-10,431154871
2017-03-13,440579021
2017-03-14,445291096
2017-03-15,445291096
2017-03-16,445291096
2017-03-17,445291096
2017-03-20,447647134
2017-03-21,445291096
2017-03-22,440579021
2017-03-23,445291096
2017-03-24,433510909
2017-03-27,435866946
2017-03-28,438222984
2017-03-29,442935059
2017-03-30,447647134
2017-03-31,644177057
2017-04-03,634059093
2017-04-04,634059093
2017-04-05,634059093
2017-04-06,644177057
2017-04-07,650922366
2017-04-10,657667676
2017-04-11,661040331
2017-04-12,644177057
2017-04-13,640804402
2017-04-17,644177057
2017-04-18,650922366
2017-04-19,644177057
2017-04-20,647549712
2017-04-21,654295021
2017-04-24,671158295
2017-04-25,674530950
2017-04-26,708257497
2017-04-27,738611390
2017-04-28,748729354
2017-05-01,755474664
2017-05-02,768965283
2017-05-03,765592628
2017-05-04,752102009
2017-05-05,745356699
2017-05-08,735238735
2017-05-09,731866080
2017-05-10,725120771
2017-05-11,745356699
2017-05-12,755474664
2017-05-15,765592628
2017-05-16,762219973
2017-05-17,741984045
2017-05-18,735238735
2017-05-19,735238735
2017-05-22,745356699
2017-05-23,748729354
2017-05-24,752102009
2017-05-25,755474664
2017-05-26,765592628
2017-05-30,748729354
2017-05-31,738611390
2017-06-01,779083247
2017-06-02,839791032
2017-06-05,844850014
2017-06-06,833045723
2017-06-07,860026961
2017-06-08,863399616
2017-06-09,839791032
2017-06-12,836418378
2017-06-13,860026961
2017-06-14,853281651
2017-06-15,826300413
2017-06-16,829673068
2017-06-19,846536342
2017-06-20,826300413
2017-06-21,833045723
2017-06-22,846536342
2017-06-23,839791032
2017-06-26,846536342
2017-06-27,833045723
2017-06-28,846536342
2017-06-29,826300413
2017-06-30,922824840
2017-07-03,915134633
2017-07-05,926669943
2017-07-06,915134633
2017-07-07,930515047
2017-07-10,942050357
2017-07-11,942050357
2017-07-12,949740564
2017-07-13,961275875
2017-07-14,961275875
2017-07-17,961275875
2017-07-18,1011262220
2017-07-19,988191599
2017-07-20,976656289
2017-07-21,976656289
2017-07-24,992036703
2017-07-25,988191599
2017-07-26,984346496
2017-07-27,980501392
2017-07-28,953585668
2017-07-31,949740564
2017-08-01,938205254
2017-08-02,930515047
2017-08-03,938205254
2017-08-04,942050357
2017-08-07,926669943
2017-08-08,926669943
2017-08-09,920902288
2017-08-10,918979736
2017-08-11,934360150
2017-08-14,922824840
2017-08-15,926669943
2017-08-16,926669943
2017-08-17,895909115
2017-08-18,868993391
2017-08-21,884373805
2017-08-22,884373805
2017-08-23,861303184
2017-08-24,868993391
2017-08-25,868993391
2017-08-28,868993391
2017-08-29,857458080
2017-08-30,861303184
2017-08-31,892064012
2017-09-01,903599322
2017-09-05,895909115
2017-09-06,888218908
2017-09-07,895909115
2017-09-08,884373805
2017-09-11,899754219
2017-09-12,899754219
2017-09-13,899754219
2017-09-14,911289529
2017-09-15,918979736
2017-09-18,942050357
2017-09-19,953585668
2017-09-20,972811185
2017-09-21,980501392
2017-09-22,976656289
2017-09-25,961275875
2017-09-26,953585668
2017-09-27,976656289
2017-09-28,1003572013
2017-09-29,1026642634
2017-10-02,1027429550
2017-10-03,1004341245
2017-10-04,1031277601
2017-10-05,1008189296
2017-10-06,985100992
2017-10-09,973556839
2017-10-10,950468535
2017-10-11,942772433
2017-10-12,946620484
2017-10-13,935076332
2017-10-16,911988027
2017-10-17,915836078
2017-10-18,946620484
2017-10-19,927380230
2017-10-20,938924383
2017-10-23,962012687
2017-10-24,950468535
2017-10-25,946620484
2017-10-26,946620484
2017-10-27,965860738
2017-10-30,969708789
2017-10-31,996645144
2017-11-01,996645144
2017-11-02,996645144
2017-11-03,996645144
2017-11-06,1008189296
2017-11-07,996645144
2017-11-08,1004341245
2017-11-09,977404890
2017-11-10,962012687
2017-11-13,954316586
2017-11-14,954316586
2017-11-15,988949042
2017-11-16,981252941
2017-11-17,948544509
2017-11-20,996645144
2017-11-21,1004341245
2017-11-22,1012037347
2017-11-24,1031277601
2017-11-27,1012037347
2017-11-28,1019733448
2017-11-29,1008189296
2017-11-30,1019733448
2017-12-01,1019733448
2017-12-04,994721118
2017-12-05,973556839
2017-12-06,962012687
2017-12-07,965860738
2017-12-08,969708789
2017-12-11,981252941
2017-12-12,962012687
2017-12-13,969708789
2017-12-14,969708789
2017-12-15,965860738
2017-12-18,969708789
2017-12-19,977404890
2017-12-20,977404890
2017-12-21,981252941
2017-12-22,965860738
2017-12-26,950468535
2017-12-27,962012687
2017-12-28,965860738
2017-12-29,973556839
2018-01-02,963053938
2018-01-03,964987781
2018-01-04,997863117
2018-01-05,993995430
2018-01-08,978524684
2018-01-09,986260057
2018-01-10,1005598490
2018-01-11,1017201549
2018-01-12,1009466176
2018-01-16,1005598490
2018-01-17,1036539982
2018-01-18,1079084533
2018-01-19,1063613787
2018-01-22,1075216847
2018-01-23,1075216847
2018-01-24,1075216847
2018-01-25,1071349160
2018-01-26,1079084533
2018-01-29,1086819906
2018-01-30,1071349160
2018-01-31,1079084533
2018-02-01,1110026025
2018-02-02,1075216847
2018-02-05,1024936922
2018-02-06,1044275355
2018-02-07,1048143041
2018-02-08,990127744
2018-02-09,955318565
2018-02-12,951450879
2018-02-13,947583192
2018-02-14,990127744
2018-02-15,1017201549
2018-02-16,1021069236
2018-02-20,1017201549
2018-02-21,1005598490
2018-02-22,1009466176
2018-02-23,1013333863
2018-02-26,1021069236
2018-02-27,990127744
2018-02-28,982392371
2018-03-01,955318565
2018-03-02,947583192
2018-03-05,947583192
2018-03-06,955318565
2018-03-07,966921625
2018-03-08,974656998
2018-03-09,982392371
2018-03-12,974656998
2018-03-13,963053938
2018-03-14,978524684
2018-03-15,959186252
2018-03-16,986260057
2018-03-19,951450879
2018-03-20,939847819
2018-03-21,943715506
2018-03-22,912774014
2018-03-23,870229462
2018-03-26,864427932
2018-03-27,850891030
2018-03-28,843155657
2018-03-29,870229462
2018-04-02,836552707
2018-04-03,824933919
2018-04-04,855917353
2018-04-05,890773716
2018-04-06,852044424
2018-04-09,828806848
2018-04-10,852044424
2018-04-11,844298565
2018-04-12,875281999
2018-04-13,852044424
2018-04-16,879154928
2018-04-17,894646645
2018-04-18,910138362
2018-04-19,902392503
2018-04-20,890773716
2018-04-23,898519574
2018-04-24,890773716
2018-04-25,890773716
2018-04-26,883027857
2018-04-27,867536140
2018-04-30,879154928
2018-05-01,906265432
2018-05-02,890773716
2018-05-03,906265432
2018-05-04,910138362
2018-05-07,933375937
2018-05-08,914011291
2018-05-09,925630078
2018-05-10,937248866
2018-05-11,921757149
2018-05-14,972105229
2018-05-15,983724016
2018-05-16,1022453308
2018-05-17,1018580379
2018-05-18,995342804
2018-05-21,995342804
2018-05-22,983724016
2018-05-23,964359370
2018-05-24,972105229
2018-05-25,968232300
2018-05-29,952740583
2018-05-30,956613512
2018-05-31,941121795
2018-06-01,929503008
2018-06-04,929503008
2018-06-05,906265432
2018-06-06,941121795
2018-06-07,929503008
2018-06-08,910138362
2018-06-11,925630078
2018-06-12,923693614
2018-06-13,898519574
2018-06-14,898519574
2018-06-15,879154928
2018-06-18,910138362
2018-06-19,883027857
2018-06-20,879154928
2018-06-21,879154928
2018-06-22,875281999
2018-06-25,836552707
2018-06-26,844298565
2018-06-27,824933919
2018-06-28,821060990
2018-06-29,828806848
2018-07-02,810111838
2018-07-03,817864105
2018-07-05,837244771
2018-07-06,874068036
2018-07-09,879882236
2018-07-10,883758369
2018-07-11,864377703
2018-07-12,891510636
2018-07-13,891510636
2018-07-16,903139035
2018-07-17,889572569
2018-07-18,891510636
2018-07-19,895386769
2018-07-20,907015168
2018-07-23,895386769
2018-07-24,907015168
2018-07-25,899262902
2018-07-26,887634502
2018-07-27,872129970
2018-07-30,852749304
2018-07-31,876006103
2018-08-01,746155641
2018-08-02,751969840
2018-08-03,724836908
2018-08-06,759722107
2018-08-07,755845974
2018-08-08,759722107
2018-08-09,767474373
2018-08-10,759722107
2018-08-13,755845974
2018-08-14,744217574
2018-08-15,720960775
2018-08-16,744217574
2018-08-17,775226640
2018-08-20,779102773
2018-08-21,786855039
2018-08-22,802359572
2018-08-23,798483439
2018-08-24,802359572
2018-08-27,804297639
2018-08-28,806235705
2018-08-29,821740238
2018-08-30,798483439
2018-08-31,790731172
2018-09-04,767474373
2018-09-05,779102773
2018-09-06,744217574
2018-09-07,751969840
