,TRGP
2013-08-27,2830048000
2013-08-28,2892864000
2013-08-29,2891200000
2013-08-30,2832544000
2013-09-03,2857504000
2013-09-04,2909920000
2013-09-05,2903680000
2013-09-06,2970240000
2013-09-09,2972735999
2013-09-10,2995616000
2013-09-11,2967328000
2013-09-12,2959840000
2013-09-13,2941120000
2013-09-16,2927392000
2013-09-17,2959008000
2013-09-18,3031392000
2013-09-19,3077152000
2013-09-20,3042624000
2013-09-23,3045120000
2013-09-24,3043040000
2013-09-25,3062176000
2013-09-26,3048864000
2013-09-27,3005184000
2013-09-30,3042431999
2013-10-01,3116241000
2013-10-02,3115406999
2013-10-03,3089553000
2013-10-04,3071622000
2013-10-07,3057443999
2013-10-08,3042015000
2013-10-09,3019914000
2013-10-10,3053691000
2013-10-11,3072456000
2013-10-14,3104148000
2013-10-15,3092472000
2013-10-16,3103314000
2013-10-17,3117075000
2013-10-18,3127500000
2013-10-21,3172536000
2013-10-22,3275952000
2013-10-23,3275118000
2013-10-24,3317652000
2013-10-25,3305559000
2013-10-28,3284292000
2013-10-29,3266361000
2013-10-30,3266778000
2013-10-31,3234252000
2013-11-01,3197556000
2013-11-04,3263442000
2013-11-05,3188381999
2013-11-06,3187131000
2013-11-07,3173370000
2013-11-08,3273867000
2013-11-11,3278871000
2013-11-12,3269697000
2013-11-13,3281373000
2013-11-14,3269280000
2013-11-15,3310146000
2013-11-18,3292215000
2013-11-19,3305559000
2013-11-20,3311397000
2013-11-21,3353931000
2013-11-22,3401052000
2013-11-25,3404388000
2013-11-26,3377283000
2013-11-27,3378534000
2013-11-29,3381453000
2013-12-02,3418566000
2013-12-03,3336417000
2013-12-04,3289713000
2013-12-05,3280122000
2013-12-06,3336417000
2013-12-09,3320988000
2013-12-10,3294717000
2013-12-11,3320154000
2013-12-12,3316401000
2013-12-13,3373947000
2013-12-16,3416898000
2013-12-17,3421485000
2013-12-18,3456930000
2013-12-19,3461517000
2013-12-20,3537828000
2013-12-23,3597459000
2013-12-24,3637908000
2013-12-26,3648750000
2013-12-27,3662093999
2013-12-30,3688781999
2013-12-31,3703140000
2014-01-02,3653160000
2014-01-03,3638460000
2014-01-06,3630480000
2014-01-07,3584280000
2014-01-08,3755640000
2014-01-09,3673740000
2014-01-10,3689280000
2014-01-13,3646020000
2014-01-14,3701460000
2014-01-15,3736740000
2014-01-16,3733800000
2014-01-17,3706500000
2014-01-21,3794699999
2014-01-22,3733800000
2014-01-23,3760680000
2014-01-24,3701460000
2014-01-27,3686760000
2014-01-28,3752699999
2014-01-29,3748500000
2014-01-30,3781260000
2014-01-31,3792180000
2014-02-03,3746400000
2014-02-04,3745980000
2014-02-05,3738840000
2014-02-06,3834180000
2014-02-07,3903480000
2014-02-10,3865260000
2014-02-11,3948000000
2014-02-12,3965640000
2014-02-13,4045020000
2014-02-14,4053840000
2014-02-18,4080720000
2014-02-19,4036620000
2014-02-20,4052160000
2014-02-21,4031580000
2014-02-24,4040819999
2014-02-25,4039140000
2014-02-26,4077780000
2014-02-27,4093319999
2014-02-28,4063920000
2014-03-03,4060980000
2014-03-04,4137000000
2014-03-05,4148340000
2014-03-06,4143720000
2014-03-07,4131540000
2014-03-10,4113480000
2014-03-11,4079040000
2014-03-12,4086600000
2014-03-13,4061400000
2014-03-14,4110540000
2014-03-17,4111380000
2014-03-18,4094580000
2014-03-19,4104660000
2014-03-20,4144980000
2014-03-21,4138680000
2014-03-24,4100040000
2014-03-25,4077360000
2014-03-26,4083660000
2014-03-27,4099199999
2014-03-28,4093319999
2014-03-31,4168920000
2014-04-01,4364220000
2014-04-02,4386480000
2014-04-03,4366320000
2014-04-04,4361280000
2014-04-07,4265520000
2014-04-08,4321380000
2014-04-09,4297020000
2014-04-10,4327260000
2014-04-11,4389420000
2014-04-14,4395720000
2014-04-15,4409160000
2014-04-16,4470060000
2014-04-17,4484340000
2014-04-21,4570440000
2014-04-22,4575480000
2014-04-23,4591860000
2014-04-24,4493580000
2014-04-25,4434360000
2014-04-28,4504920000
2014-04-29,4545660000
2014-04-30,4535580000
2014-05-01,4484340000
2014-05-02,4468800000
2014-05-05,4628820000
2014-05-06,4596900000
2014-05-07,4656960000
2014-05-08,4591440000
2014-05-09,4599840000
2014-05-12,4659900000
2014-05-13,4688460000
2014-05-14,4652340000
2014-05-15,4643520000
2014-05-16,4718700000
2014-05-19,4759020000
2014-05-20,4767000000
2014-05-21,4816980000
2014-05-22,4847640000
2014-05-23,4851420000
2014-05-27,4850160000
2014-05-28,4826220000
2014-05-29,4828740000
2014-05-30,4828320000
2014-06-02,4869060000
2014-06-03,4922820000
2014-06-04,4953900000
2014-06-05,5003460000
2014-06-06,5062260000
2014-06-09,5058900000
2014-06-10,5066040000
2014-06-11,5026560000
2014-06-12,5001360000
2014-06-13,5016060000
2014-06-16,5124000000
2014-06-17,5194560000
2014-06-18,5252100000
2014-06-19,6326040000
2014-06-20,5799780000
2014-06-23,5914860000
2014-06-24,5648580000
2014-06-25,5600280000
2014-06-26,5801460000
2014-06-27,5757360000
2014-06-30,5861940000
2014-07-01,5944260000
2014-07-02,5920320000
2014-07-03,5974500000
2014-07-07,5913180000
2014-07-08,5755260000
2014-07-09,5784240000
2014-07-10,5828340000
2014-07-11,5877480000
2014-07-14,5874540000
2014-07-15,5796000000
2014-07-16,5858160000
2014-07-17,5817000000
2014-07-18,5810700000
2014-07-21,5714940000
2014-07-22,5776260000
2014-07-23,5714100000
2014-07-24,5689740000
2014-07-25,5594399999
2014-07-28,5573820000
2014-07-29,5540220000
2014-07-30,5511240000
2014-07-31,5355000000
2014-08-01,5437320000
2014-08-04,5596080000
2014-08-05,5512080000
2014-08-06,5500740000
2014-08-07,5457480000
2014-08-08,5525940000
2014-08-11,5691420000
2014-08-12,5667060000
2014-08-13,5648580000
2014-08-14,5581800000
2014-08-15,5782980000
2014-08-18,5769120000
2014-08-19,5822040000
2014-08-20,5801460000
2014-08-21,5768700000
2014-08-22,5780879999
2014-08-25,5876639999
2014-08-26,5840520000
2014-08-27,5879580000
2014-08-28,5848500000
2014-08-29,5861100000
2014-09-02,5844300000
2014-09-03,5904360000
2014-09-04,5877480000
2014-09-05,5945940000
2014-09-08,5929980000
2014-09-09,5929560000
2014-09-10,5959800000
2014-09-11,5949720000
2014-09-12,5856899999
2014-09-15,5820780000
2014-09-16,5906040000
2014-09-17,5885879999
2014-09-18,5862360000
2014-09-19,5865300000
2014-09-22,5824980000
2014-09-23,5745180000
2014-09-24,5773740000
2014-09-25,5688060000
2014-09-26,5748540000
2014-09-29,5773740000
2014-09-30,5719139999
2014-10-01,5758200000
2014-10-02,5842200000
2014-10-03,5832120000
2014-10-06,5771639999
2014-10-07,5678820000
2014-10-08,5574660000
2014-10-09,5302080000
2014-10-10,5109300000
2014-10-13,4578420000
2014-10-14,4682160000
2014-10-15,4841340000
2014-10-16,5067720000
2014-10-17,5183220000
2014-10-20,5290740000
2014-10-21,5397000000
2014-10-22,5276040000
2014-10-23,5299980000
2014-10-24,5348280000
2014-10-27,5305020000
2014-10-28,5360880000
2014-10-29,5394480000
2014-10-30,5258820000
2014-10-31,5402460000
2014-11-03,5371380000
2014-11-04,5061420000
2014-11-05,5038740000
2014-11-06,4973640000
2014-11-07,5046720000
2014-11-10,4957680000
2014-11-11,4999260000
2014-11-12,4970280000
2014-11-13,4848480000
