,FE
2003-03-19,9125160300
2003-03-20,9095771700
2003-03-21,9333819360
2003-03-24,9054627660
2003-03-25,9204509520
2003-03-26,9095771700
2003-03-27,9207448380
2003-03-28,9236836980
2003-03-31,9266229000
2003-04-01,9413312000
2003-04-02,9345653820
2003-04-03,9383895400
2003-04-04,9410370340
2003-04-07,9233870740
2003-04-08,9204454140
2003-04-09,9183862520
2003-04-10,9130912640
2003-04-11,9019129560
2003-04-14,9342712160
2003-04-15,9495678480
2003-04-16,9486853500
2003-04-17,9457436900
2003-04-21,9472145200
2003-04-22,9592753260
2003-04-23,9633936500
2003-04-24,9872210960
2003-04-25,9778077840
2003-04-28,9913394200
2003-04-29,9942810800
2003-04-30,9922219180
2003-05-01,9936927480
2003-05-02,9907510880
2003-05-05,9804552780
2003-05-06,9763369540
2003-05-07,9719244640
2003-05-08,9725127960
2003-05-09,9754544559
2003-05-12,9736894600
2003-05-13,9760427880
2003-05-14,9698653020
2003-05-15,9810436100
2003-05-16,10016352300
2003-05-19,9942810800
2003-05-20,10069302180
2003-05-21,10101660440
2003-05-22,10231093480
2003-05-23,10575267700
2003-05-27,10781183900
2003-05-28,10781183900
2003-05-29,10663517500
2003-05-30,10828250460
2003-06-02,10942975200
2003-06-03,10904733620
2003-06-04,10957683500
2003-06-05,10884142000
2003-06-06,10740000660
2003-06-09,10798833860
2003-06-10,10887083660
2003-06-11,11084174880
2003-06-12,11013575040
2003-06-13,10957683500
2003-06-16,11245966180
2003-06-17,11072408240
2003-06-18,11075349900
2003-06-19,11237141200
2003-06-20,11178308000
2003-06-23,11178308000
2003-06-24,11201841280
2003-06-25,11119474800
2003-06-26,11307741040
2003-06-27,11001808400
2003-06-30,11512775900
2003-07-01,11509781680
2003-07-02,11527747000
2003-07-03,11497804800
2003-07-07,11336116920
2003-07-08,11150475280
2003-07-09,10931897220
2003-07-10,10740267140
2003-07-11,10818116860
2003-07-14,10839076400
2003-07-15,10626486780
2003-07-16,10449827800
2003-07-17,10425874040
2003-07-18,10482764220
2003-07-21,10294128360
2003-07-22,10336047440
2003-07-23,10345030100
2003-07-24,10410902940
2003-07-25,10291134140
2003-07-28,10330059000
2003-07-29,10255203500
2003-07-30,10345030100
2003-07-31,10327064780
2003-08-01,10267180380
2003-08-04,10255203500
2003-08-05,9380891260
2003-08-06,9512636940
2003-08-07,9389873920
2003-08-08,9318012640
2003-08-11,9297053100
2003-08-12,9356937500
2003-08-13,9326995300
2003-08-14,9285076220
2003-08-15,9165307420
2003-08-18,8308960500
2003-08-19,8371839120
2003-08-20,8740128180
2003-08-21,8611376720
2003-08-22,8473642600
2003-08-25,8545503880
2003-08-26,8740128180
2003-08-27,8755099280
2003-08-28,8758093500
2003-08-29,8761087720
2003-09-02,9012602200
2003-09-03,9090451920
2003-09-04,9114405680
2003-09-05,9057515500
2003-09-08,9162313200
2003-09-09,9353943280
2003-09-10,9530602260
2003-09-11,9312024200
2003-09-12,9524613820
2003-09-15,9515631160
2003-09-16,9440775660
2003-09-17,9324001080
2003-09-18,9452752540
2003-09-19,9506648500
2003-09-22,9404845020
2003-09-23,9374902820
2003-09-24,9306035760
2003-09-25,9347954840
2003-09-26,9497665840
2003-09-29,9656359500
2003-09-30,10479947500
2003-10-01,10644210000
2003-10-02,10660636250
2003-10-03,10604787000
2003-10-06,10624498500
2003-10-07,10512800000
2003-10-08,10611357500
2003-10-09,10703344500
2003-10-10,10568649250
2003-10-13,10670491999
2003-10-14,10847895500
2003-10-15,10880748000
2003-10-16,10907030000
2003-10-17,10854466000
2003-10-20,10854466000
2003-10-21,10907030000
2003-10-22,10910315250
2003-10-23,11061436750
2003-10-24,11176420500
2003-10-27,11205987750
2003-10-28,11225699250
2003-10-29,11307830500
2003-10-30,11416243750
2003-10-31,11297974750
2003-11-03,11399817500
2003-11-04,11350538750
2003-11-05,11334112500
2003-11-06,11340683000
2003-11-07,11317686250
2003-11-10,11393247000
2003-11-11,11380106000
2003-11-12,11389961750
2003-11-13,11383391250
2003-11-14,11416243750
2003-11-17,11370250250
2003-11-18,11166564750
2003-11-19,10936597250
2003-11-20,11074577750
2003-11-21,11005587500
2003-11-24,11005587500
2003-11-25,11018728500
2003-11-26,11268407500
2003-11-28,11383391250
2003-12-01,11481948750
2003-12-02,11432670000
2003-12-03,11475378250
2003-12-04,11698775250
2003-12-05,11590362000
2003-12-08,11705345750
2003-12-09,11458952000
2003-12-10,11429384750
2003-12-11,11366965000
2003-12-12,11366965000
2003-12-15,11330827250
2003-12-16,11504945500
2003-12-17,11550938999
2003-12-18,11570650500
2003-12-19,11472093000
2003-12-22,11560794750
2003-12-23,11531227500
2003-12-24,11554224250
2003-12-26,11593647250
2003-12-29,11596932500
2003-12-30,11550938999
2003-12-31,11512406400
2004-01-02,11558194380
2004-01-05,11679205470
2004-01-06,11767510859
2004-01-07,11829651690
2004-01-08,12045509310
2004-01-09,11911415940
2004-01-12,11839463400
2004-01-13,11934309930
2004-01-14,12025885890
2004-01-15,11999721330
2004-01-16,12101109000
2004-01-20,12091297290
2004-01-21,12156708690
2004-01-22,12101109000
2004-01-23,12166520400
2004-01-26,12104379570
2004-01-27,12012803609
2004-01-28,12163249830
2004-01-29,12202496670
2004-01-30,12271178640
2004-02-02,12280990350
2004-02-03,12356213460
2004-02-04,12068403300
2004-02-05,11839463400
2004-02-06,11904874800
2004-02-09,11970286200
2004-02-10,12114191280
2004-02-11,12166520400
2004-02-12,12248284650
2004-02-13,12267908070
2004-02-17,12330048900
2004-02-18,12477224550
2004-02-19,12490306830
2004-02-20,12402001440
2004-02-23,12339860609
2004-02-24,12320237190
2004-02-25,12411813150
2004-02-26,12444518850
2004-02-27,12634211910
2004-03-01,12634211910
2004-03-02,12558988800
2004-03-03,12558988800
2004-03-04,12591694500
2004-03-05,12712705590
2004-03-08,12630941340
2004-03-09,12686541030
2004-03-10,12480495119
2004-03-11,12248284650
2004-03-12,12395460300
2004-03-15,12379107450
2004-03-16,12477224550
2004-03-17,12660376470
2004-03-18,12640753050
2004-03-19,12640753050
2004-03-22,12624400200
2004-03-23,12634211910
2004-03-24,12715976160
2004-03-25,12722517300
2004-03-26,12755223000
2004-03-29,12755223000
2004-03-30,12751952430
2004-03-31,12790258720
2004-04-01,12832805640
2004-04-02,12800077240
2004-04-05,12806622920
2004-04-06,12819714280
2004-04-07,12662617960
2004-04-08,12750984640
