,SYY
2003-04-04,17567456627
2003-04-07,17619125617
2003-04-08,17619125617
2003-04-09,17289735805
2003-04-10,17418908280
2003-04-11,17218690944
2003-04-14,17522246260
2003-04-15,17289735805
2003-04-16,17179939201
2003-04-17,17625584241
2003-04-21,17612666993
2003-04-22,17954974052
2003-04-23,17890387815
2003-04-24,17464118647
2003-04-25,17845177448
2003-04-28,18316656983
2003-04-29,18555626062
2003-04-30,18555626062
2003-05-01,18407077716
2003-05-02,18658964042
2003-05-05,18684798537
2003-05-06,18633129547
2003-05-07,18400619092
2003-05-08,18038936161
2003-05-09,18652505418
2003-05-12,18730008904
2003-05-13,18749384775
2003-05-14,18665422666
2003-05-15,19130443577
2003-05-16,19156278072
2003-05-19,19052940092
2003-05-20,19182112567
2003-05-21,19227322933
2003-05-22,19369412656
2003-05-23,19375871280
2003-05-27,19485667883
2003-05-28,19537336874
2003-05-29,19698802468
2003-05-30,19982981913
2003-06-02,20157364754
2003-06-03,19840892190
2003-06-04,20015275032
2003-06-05,20015275032
2003-06-06,20060485398
2003-06-09,19944230170
2003-06-10,19737554210
2003-06-11,19782764576
2003-06-12,19853809438
2003-06-13,19827974943
2003-06-16,20157364754
2003-06-17,19892561180
2003-06-18,19924854299
2003-06-19,19640674854
2003-06-20,19395247151
2003-06-23,19291909171
2003-06-24,19356495408
2003-06-25,19065857339
2003-06-26,19182112567
2003-06-27,19085233210
2003-06-30,19401705775
2003-07-01,19466292012
2003-07-02,19569629992
2003-07-03,19505043755
2003-07-07,19737554210
2003-07-08,19537336874
2003-07-09,19304826418
2003-07-10,19149819448
2003-07-11,19214405686
2003-07-14,19156278072
2003-07-15,19169195319
2003-07-16,19040022844
2003-07-17,18717091656
2003-07-18,18652505418
2003-07-21,18600836428
2003-07-22,18568543310
2003-07-23,19227322933
2003-07-24,19130443577
2003-07-25,19582547240
2003-07-28,19685885220
2003-07-29,19634216230
2003-07-30,19543795497
2003-07-31,19459833388
2003-08-01,19123984953
2003-08-04,19266074676
2003-08-05,18975436606
2003-08-06,18975436606
2003-08-07,19291909171
2003-08-08,19098150458
2003-08-11,19685885220
2003-08-12,19621298982
2003-08-13,19776305953
2003-08-14,20066944022
2003-08-15,20157364754
2003-08-18,20176740626
2003-08-19,20150906131
2003-08-20,20002357784
2003-08-21,19892561180
2003-08-22,19731095586
2003-08-25,19853809438
2003-08-26,19944230170
2003-08-27,19944230170
2003-08-28,20112154388
2003-08-29,20318830348
2003-09-02,20538423556
2003-09-03,20693430527
2003-09-04,20460920071
2003-09-05,20454461447
2003-09-08,20577175299
2003-09-09,20441544200
2003-09-10,20506130438
2003-09-11,20861354744
2003-09-12,21197203180
2003-09-15,21055113457
2003-09-16,21255330794
2003-09-17,21352210150
2003-09-18,21927027665
2003-09-19,21668682714
2003-09-22,21507217120
2003-09-23,21952862160
2003-09-24,21752644823
2003-09-25,21707434457
2003-09-26,21681599962
2003-09-29,21275874378
2003-09-30,21088904572
2003-10-01,21198507562
2003-10-02,21134035215
2003-10-03,21359688428
2003-10-06,21636919518
2003-10-07,21656261222
2003-10-08,21379030132
2003-10-09,21572447172
2003-10-10,21424160775
2003-10-13,21881914436
2003-10-14,21733628038
2003-10-15,21630472284
2003-10-16,21411266305
2003-10-17,21192060327
2003-10-20,21359688428
2003-10-21,21050221164
2003-10-22,20476417280
2003-10-23,20869698594
2003-10-24,20624703677
2003-10-27,21430608009
2003-10-28,21449949713
2003-10-29,21507974825
2003-10-30,21636919518
2003-10-31,21701391865
2003-11-03,21985070190
2003-11-04,21830336558
2003-11-05,21772311446
2003-11-06,21881914436
2003-11-07,21997964659
2003-11-10,21933492313
2003-11-11,22010859129
2003-11-12,22475060024
2003-11-13,22604004717
2003-11-14,22404140443
2003-11-17,22674924299
2003-11-18,22391245974
2003-11-19,22687818768
2003-11-20,22359009800
2003-11-21,22655582595
2003-11-24,23029522205
2003-11-25,23126230725
2003-11-26,23293858826
2003-11-28,23416356285
2003-12-01,23235833714
2003-12-02,23222939245
2003-12-03,23467934162
2003-12-04,23371225642
2003-12-05,23197150306
2003-12-08,23300306061
2003-12-09,23023074970
2003-12-10,22874788573
2003-12-11,23229386479
2003-12-12,23197150306
2003-12-15,23306753295
2003-12-16,23332542234
2003-12-17,23435697989
2003-12-18,23751612487
2003-12-19,23210044776
2003-12-22,23177808602
2003-12-23,23538853743
2003-12-24,23590431620
2003-12-26,23680692906
2003-12-29,23851711848
2003-12-30,23967278689
2003-12-31,23903074888
2004-01-02,23704043107
2004-01-05,23485750186
2004-01-06,23755406148
2004-01-07,23691202347
2004-01-08,23562794746
2004-01-09,23267457264
2004-01-12,23607737407
2004-01-13,23126208904
2004-01-14,23183992324
2004-01-15,22760247241
2004-01-16,23004221683
2004-01-20,23087686623
2004-01-21,23460068666
2004-01-22,22856552942
2004-01-23,23331661065
2004-01-26,24108527050
2004-01-27,24204832750
2004-01-28,24217673510
2004-01-29,24519431372
2004-01-30,24352501491
2004-02-02,24236934651
2004-02-03,24211253130
2004-02-04,24089265910
2004-02-05,24127788190
2004-02-06,24114947430
2004-02-09,24076425150
2004-02-10,24191991990
2004-02-11,24622157453
2004-02-12,24262616171
2004-02-13,24179151230
2004-02-17,24288297691
2004-02-18,24429546052
2004-02-19,24634998213
2004-02-20,24660679733
2004-02-23,24654259353
2004-02-24,24590055553
2004-02-25,24455227572
2004-02-26,24923915315
2004-02-27,25456806858
2004-03-01,26002539162
2004-03-02,25585214459
2004-03-03,25642997879
2004-03-04,25373341918
2004-03-05,25418284578
2004-03-08,25334819637
2004-03-09,25816348140
2004-03-10,26259354363
2004-03-11,25565953319
2004-03-12,25700781300
2004-03-15,25232093557
2004-03-16,25187150896
2004-03-17,25777825860
2004-03-18,25424704958
2004-03-19,25135787856
2004-03-22,24840450374
2004-03-23,24878972655
2004-03-24,24911074555
2004-03-25,25052322916
2004-03-26,24930335695
2004-03-29,25316112579
2004-03-30,25131043947
2004-03-31,24920448606
2004-04-01,24805578421
2004-04-02,24346097678
2004-04-05,24569456373
2004-04-06,24582219726
2004-04-07,24384387740
2004-04-08,24212082462
2004-04-12,24141884015
2004-04-13,24090830599
2004-04-14,24058922214
2004-04-15,24109975630
2004-04-16,24460967864
2004-04-19,24486494572
2004-04-20,24429059479
2004-04-21,24505639603
2004-04-22,24824723452
2004-04-23,25016173761
2004-04-26,24920448606
2004-04-27,25124662270
2004-04-28,24754525005
2004-04-29,24626891465
2004-04-30,24409914448
2004-05-03,24945975314
2004-05-04,24633273142
2004-05-05,24518402957
2004-05-06,24473731218
2004-05-07,24288662585
2004-05-10,24180174077
2004-05-11,24339716001
2004-05-12,24148265692
2004-05-13,24250372524
2004-05-14,24269517554
2004-05-17,24186555754
2004-05-18,24339716001
2004-05-19,24256754200
2004-05-20,24154647369
2004-05-21,23605823149
2004-05-24,23280357623
2004-05-25,23573914764
2004-05-26,23529243025
2004-05-27,23771746750
2004-05-28,23931288675
2004-06-01,23944052028
2004-06-02,23944052028
2004-06-03,23778128427
2004-06-04,23714311657
2004-06-07,23861090228
2004-06-08,24148265692
2004-06-09,24078067245
2004-06-10,24167410723
2004-06-14,24020632152
2004-06-15,24039777183
2004-06-16,24192937431
2004-06-17,24020632152
2004-06-18,24014250475
2004-06-21,23752601719
2004-06-22,23854708551
2004-06-23,23676021595
2004-06-24,23676021595
2004-06-25,23344174392
2004-06-28,23095288990
2004-06-29,22846403588
2004-06-30,22891075327
2004-07-01,22540083093
2004-07-02,22208235890
2004-07-06,22252907629
2004-07-07,22252907629
2004-07-08,22514556385
2004-07-09,22871930296
2004-07-12,22814495203
2004-07-13,22540083093
2004-07-14,22686861663
2004-07-15,22852785265
2004-07-16,22871930296
2004-07-19,22699625017
2004-07-20,22693243340
2004-07-21,22591136509
2004-07-22,22546464770
2004-07-23,22246525952
2004-07-26,22342251106
2004-07-27,22150800797
2004-07-28,22042312288
2004-07-29,21672175024
2004-07-30,21984877196
2004-08-02,22048693965
2004-08-03,21895533718
2004-08-04,21857243656
2004-08-05,21544541484
2004-08-06,21219075958
2004-08-09,21314801113
2004-08-10,21672175024
2004-08-11,21582831546
2004-08-12,21187167573
2004-08-13,21340327821
2004-08-16,19783198638
2004-08-17,20434129689
2004-08-18,20236297703
2004-08-19,20293732796
2004-08-20,20325641181
