,R
2004-08-30,2740283062
2004-08-31,2797758120
2004-09-01,2806698685
2004-09-02,2859703461
2004-09-03,2864173743
2004-09-07,2860342073
2004-09-08,2841822332
2004-09-09,2859064849
2004-09-10,2862257908
2004-09-13,2873114308
2004-09-14,2909515178
2004-09-15,2910153790
2004-09-16,2934421037
2004-09-17,2990618872
2004-09-20,2952940778
2004-09-21,2985509978
2004-09-22,2931866590
2004-09-23,2936336872
2004-09-24,2963797178
2004-09-27,2924841860
2004-09-28,2961881342
2004-09-29,2973376354
2004-09-30,3002527026
2004-10-01,3041462857
2004-10-04,3023590672
2004-10-05,3082951857
2004-10-06,3122525980
2004-10-07,3109121842
2004-10-08,3096994288
2004-10-11,3081675272
2004-10-12,3044654318
2004-10-13,2984654841
2004-10-14,3010824826
2004-10-15,3040824564
2004-10-18,3097632580
2004-10-19,3085505026
2004-10-20,3084228441
2004-10-21,3118057934
2004-10-22,3028697010
2004-10-25,3028697010
2004-10-26,3080398688
2004-10-27,3116781349
2004-10-28,3162100103
2004-10-29,3197844473
2004-11-01,3204227396
2004-11-02,3162738396
2004-11-03,3220184703
2004-11-04,3331247565
2004-11-05,3334439027
2004-11-08,3363800473
2004-11-09,3354226089
2004-11-10,3383587535
2004-11-11,3411672396
2004-11-12,3425714827
2004-11-15,3472310166
2004-11-16,3464650658
2004-11-17,3509969412
2004-11-18,3504224781
2004-11-19,3394438504
2004-11-22,3396991673
2004-11-23,3375289735
2004-11-24,3416778735
2004-11-26,3396991673
2004-11-29,3389970458
2004-11-30,3423799950
2004-12-01,3517628920
2004-12-02,3481884551
2004-12-03,3435289212
2004-12-06,3392523627
2004-12-07,3341460242
2004-12-08,3301886119
2004-12-09,3303800996
2004-12-10,3303162704
2004-12-13,3330609273
2004-12-14,3436565797
2004-12-15,3458267735
2004-12-16,3450608227
2004-12-17,3478693089
2004-12-20,3125717442
2004-12-21,2996782395
2004-12-22,3010186533
2004-12-23,3008909949
2004-12-27,2991037764
2004-12-28,3004441903
2004-12-29,3035718226
2004-12-30,3047845780
2004-12-31,3049122364
2005-01-03,2982101672
2005-01-04,2952101933
2005-01-05,2968059241
2005-01-06,2985931426
2005-01-07,2961038026
2005-01-10,2999973857
2005-01-11,2944442426
2005-01-12,2952740226
2005-01-13,2907421472
2005-01-14,2929761702
2005-01-18,2961676318
2005-01-19,2908698056
2005-01-20,2867847348
2005-01-21,2825720056
2005-01-24,2809124456
2005-01-25,2839762487
2005-01-26,2871038810
2005-01-27,2869123933
2005-01-28,2834017856
2005-01-31,2907421472
2005-02-01,2907421472
2005-02-02,2928485118
2005-02-03,2931676579
2005-02-04,2873591979
2005-02-07,2888910995
2005-02-08,2941250964
2005-02-09,2855081502
2005-02-10,2866570764
2005-02-11,2865294179
2005-02-14,2834017856
2005-02-15,2839762487
2005-02-16,2820613717
2005-02-17,2782954471
2005-02-18,2749124979
2005-02-22,2700614763
2005-02-23,2719125240
2005-02-24,2718486948
2005-02-25,2744656933
2005-02-28,2710189148
2005-03-01,2728699625
2005-03-02,2690402086
2005-03-03,2690402086
2005-03-04,2751678148
2005-03-07,2728699625
2005-03-08,2796358610
2005-03-09,2779124717
2005-03-10,2776571548
2005-03-11,2811677625
2005-03-14,2831464687
2005-03-15,2828273225
2005-03-16,2788060810
2005-03-17,2750401563
2005-03-18,2708912563
2005-03-21,2722316702
2005-03-22,2697423302
2005-03-23,2678912825
2005-03-24,2706359394
2005-03-28,2712104025
2005-03-29,2650189671
2005-03-30,2678912825
2005-03-31,2666188495
2005-04-01,2655319142
2005-04-04,2647007283
2005-04-05,2675779101
2005-04-06,2685369708
2005-04-07,2691124071
2005-04-08,2654040394
2005-04-11,2670664111
2005-04-12,2708387162
2005-04-13,2641252919
2005-04-14,2569643061
2005-04-15,2517853788
2005-04-18,2520411283
2005-04-19,2502508818
2005-04-20,2444965181
2005-04-21,2485885101
2005-04-22,2467982636
2005-04-25,2464146393
2005-04-26,2420668979
2005-04-27,2405324009
2005-04-28,2369519080
2005-04-29,2361207221
2005-05-02,2370797827
2005-05-03,2363125343
2005-05-04,2383585302
2005-05-05,2354813484
2005-05-06,2338829140
2005-05-09,2364404090
2005-05-10,2331796029
2005-05-11,2351616615
2005-05-12,2305581706
2005-05-13,2279367383
2005-05-16,2331796029
2005-05-17,2309417948
2005-05-18,2400848393
2005-05-19,2369519080
2005-05-20,2366961585
2005-05-23,2390618413
2005-05-24,2380388434
2005-05-25,2369519080
2005-05-26,2373994696
2005-05-27,2380388434
2005-05-31,2349059120
2005-06-01,2369519080
2005-06-02,2359928474
2005-06-03,2346501625
2005-06-06,2363764716
2005-06-07,2345222878
2005-06-08,2326041666
2005-06-09,2344583504
2005-06-10,2335632272
2005-06-13,2337550393
2005-06-14,2326681039
2005-06-15,2296630474
2005-06-16,2303663585
2005-06-17,2318369181
2005-06-20,2299827342
2005-06-21,2277449261
2005-06-22,2306860453
2005-06-23,2265301160
2005-06-24,2241004958
2005-06-27,2212233140
2005-06-28,2240365584
2005-06-29,2340107888
2005-06-30,2341697572
2005-07-01,2355773350
2005-07-05,2410796845
2005-07-06,2380086057
2005-07-07,2381365673
2005-07-08,2387763754
2005-07-11,2447905714
2005-07-12,2435749360
2005-07-13,2492052471
2005-07-14,2490133047
2005-07-15,2485014582
2005-07-18,2475417461
2005-07-19,2465180532
2005-07-20,2539398269
2005-07-21,2499090360
2005-07-22,2503569017
2005-07-25,2479896118
2005-07-26,2445346481
2005-07-27,2470938804
2005-07-28,2542597309
2005-07-29,2494611703
2005-08-01,2465820340
2005-08-02,2473498037
2005-08-03,2399280300
2005-08-04,2367929704
2005-08-05,2318024673
2005-08-08,2332100451
2005-08-09,2303309088
2005-08-10,2307147936
2005-08-11,2319304290
2005-08-12,2348095653
2005-08-15,2380725865
2005-08-16,2335939300
2005-08-17,2344896613
2005-08-18,2292432350
2005-08-19,2302669279
2005-08-22,2306508128
2005-08-23,2238688471
2005-08-24,2220134037
2005-08-25,2251484633
2005-08-26,2239968088
2005-08-29,2259802138
2005-08-30,2238688471
2005-08-31,2245086552
2005-09-01,2225892310
2005-09-02,2271318684
2005-09-06,2284114845
2005-09-07,2259162330
2005-09-08,2222693269
2005-09-09,2204778643
2005-09-12,2212456340
2005-09-13,2158072653
2005-09-14,2135039562
2005-09-15,2120323977
2005-09-16,2120963785
2005-09-19,2120963785
2005-09-20,2114565704
2005-09-21,2053144128
2005-09-22,2117124936
2005-09-23,2128001674
2005-09-26,2107527815
2005-09-27,2104968583
2005-09-28,2135679371
2005-09-29,2159992078
2005-09-30,2087507740
2005-10-03,2049076124
2005-10-04,2058226509
2005-10-05,1994783842
2005-10-06,2000884099
2005-10-07,2017964817
2005-10-10,2028335253
2005-10-11,2100318278
2005-10-12,2043585894
2005-10-13,2025285124
2005-10-14,2046025996
2005-10-17,2029555304
2005-10-18,1998443996
2005-10-19,2013694637
2005-10-20,2039925740
2005-10-21,2014304663
2005-10-24,2080187432
2005-10-25,2071037047
2005-10-26,2260755021
2005-10-27,2252824688
2005-10-28,2333958098
2005-10-31,2419971713
2005-11-01,2441322611
2005-11-02,2493784816
2005-11-03,2534656534
2005-11-04,2526726200
2005-11-07,2562717713
2005-11-08,2537706662
2005-11-09,2561497662
2005-11-10,2610299713
2005-11-11,2645071175
2005-11-14,2608469636
2005-11-15,2571258072
2005-11-16,2556007431
2005-11-17,2604809482
2005-11-18,2661541867
2005-11-21,2654831585
2005-11-22,2646901251
2005-11-23,2634090713
2005-11-25,2653611534
2005-11-28,2606029534
2005-11-29,2634700739
2005-11-30,2588338790
2005-12-01,2612129790
2005-12-02,2574918226
2005-12-05,2521235970
2005-12-06,2543196893
2005-12-07,2501715149
2005-12-08,2464503585
2005-12-09,2484634431
2005-12-12,2477314124
2005-12-13,2521235970
2005-12-14,2559057559
2005-12-15,2547467072
2005-12-16,2531606406
2005-12-19,2505375303
2005-12-20,2495004867
2005-12-21,2546247021
2005-12-22,2539536739
2005-12-23,2573698175
2005-12-27,2514525688
2005-12-28,2523066047
2005-12-29,2541976841
2005-12-30,2502325175
2006-01-03,2485244457
2006-01-04,2556007431
2006-01-05,2597489175
2006-01-06,2620670149
2006-01-09,2654221559
2006-01-10,2588338790
2006-01-11,2561497662
2006-01-12,2501105124
2006-01-13,2501105124
2006-01-17,2459623380
2006-01-18,2491344713
2006-01-19,2590778893
2006-01-20,2547467072
2006-01-23,2531606406
2006-01-24,2658491739
2006-01-25,2640800995
2006-01-26,2671302277
2006-01-27,2729864739
2006-01-30,2710343918
2006-01-31,2726814610
2006-02-01,2684722841
2006-02-02,2668862175
2006-02-03,2501105124
2006-02-06,2553567329
2006-02-07,2510255508
2006-02-08,2597489175
2006-02-09,2625550354
2006-02-10,2631650610
2006-02-13,2595659098
2006-02-14,2652391482
2006-02-15,2645071175
2006-02-16,2663981969
2006-02-17,2638970918
2006-02-21,2628600482
2006-02-22,2715834149
2006-02-23,2720714354
2006-02-24,2729864739
2006-02-27,2752435687
2006-02-28,2704853687
2006-03-01,2768906379
2006-03-02,2731694815
2006-03-03,2751825662
2006-03-06,2725594559
2006-03-07,2699363457
2006-03-08,2685942892
2006-03-09,2642021046
2006-03-10,2691433123
2006-03-13,2685332867
2006-03-14,2717664226
2006-03-15,2736575021
2006-03-16,2723154456
2006-03-17,2763416149
2006-03-20,2739015123
2006-03-21,2761586072
2006-03-22,2800627713
2006-03-23,2718274251
2006-03-24,2761586072
2006-03-27,2742675277
2006-03-28,2748775533
2006-03-29,2779276815
2006-03-30,2730474764
2006-03-31,2736603151
2006-04-03,2748825586
2006-04-04,2789159621
2006-04-05,2879605638
2006-04-06,2880827882
2006-04-07,2879605638
2006-04-10,2877772273
2006-04-11,2822160195
2006-04-12,2828882534
2006-04-13,2842938334
2006-04-17,2807493273
2006-04-18,2952329125
2006-04-19,2979218482
2006-04-20,3019552517
2006-04-21,3029330465
2006-04-24,2993274282
2006-04-25,3006107839
2006-04-26,3006107839
2006-04-27,3068442256
2006-04-28,3186999874
2006-05-01,3073331230
2006-05-02,3154610421
2006-05-03,3192499969
2006-05-04,3234667369
2006-05-05,3328780117
2006-05-08,3326335630
2006-05-09,3313502074
2006-05-10,3393559022
2006-05-11,3331835726
2006-05-12,3312279830
2006-05-15,3292112813
2006-05-16,3242611952
2006-05-17,3153388178
2006-05-18,3144832474
2006-05-19,3160110517
2006-05-22,3162555004
2006-05-23,3235278491
2006-05-24,3221222691
2006-05-25,3300668517
2006-05-26,3325724509
2006-05-30,3243834195
2006-05-31,3301890761
2006-06-01,3316557682
2006-06-02,3363002935
2006-06-05,3284779352
2006-06-06,3338558065
2006-06-07,3385614439
2006-06-08,3375225370
2006-06-09,3372169761
2006-06-12,3315335439
2006-06-13,3278057013
2006-06-14,3218167082
2006-06-15,3352613865
2006-06-16,3335502456
2006-06-19,3290890569
2006-06-20,3329391239
2006-06-21,3383169952
2006-06-22,3391114535
2006-06-23,3443671004
2006-06-26,3441837639
2006-06-27,3399670239
2006-06-28,3408225943
2006-06-29,3578728909
2006-06-30,3564612249
2006-07-03,3538379436
2006-07-05,3462731323
2006-07-06,3479203090
2006-07-07,3431007922
2006-07-10,3500555379
2006-07-11,3486523875
2006-07-12,3436498510
2006-07-13,3349259155
2006-07-14,3226025940
2006-07-17,3222975613
2006-07-18,3269950651
2006-07-19,3302284118
2006-07-20,3179050903
2006-07-21,3141836913
2006-07-24,3201013258
2006-07-25,3230906464
2006-07-26,3121094688
2006-07-27,2928314016
2006-07-28,3049106969
2006-07-31,3074729716
2006-08-01,2980779642
2006-08-02,3038735857
2006-08-03,3120484623
2006-08-04,3076559913
2006-08-07,3048496903
2006-08-08,3038125791
2006-08-09,2931974408
2006-08-10,2943565651
2006-08-11,2921603296
2006-08-14,2948446174
2006-08-15,3043006314
2006-08-16,3113163838
2006-08-17,3091811548
2006-08-18,3116824230
2006-08-21,3056427754
2006-08-22,3072289455
2006-08-23,3007012455
2006-08-24,2972848791
2006-08-25,2955766959
2006-08-28,3007622520
2006-08-29,3028364744
2006-08-30,3041176118
2006-08-31,3014943305
2006-09-01,3065578735
2006-09-05,3061308277
2006-09-06,3004572193
2006-09-07,2973458857
2006-09-08,2987490361
2006-09-11,2992370885
2006-09-12,3177220707
2006-09-13,3251038623
2006-09-14,3182711296
2006-09-15,3182711296
2006-09-18,3181491165
2006-09-19,3154038221
2006-09-20,3199183062
2006-09-21,3115604099
2006-09-22,3103402791
2006-09-25,3147327501
2006-09-26,3215044763
2006-09-27,3279101632
2006-09-28,3246768165
2006-09-29,3152818090
2006-10-02,3105692359
2006-10-03,3103280170
2006-10-04,3197958559
2006-10-05,3246805371
2006-10-06,3210019500
2006-10-09,3220874347
2006-10-10,3334850241
2006-10-11,3260675453
2006-10-12,3252835841
2006-10-13,3261278500
2006-10-16,3299873512
2006-10-17,3174439723
2006-10-18,3129814241
2006-10-19,3172630582
2006-10-20,3168409253
2006-10-23,3117753300
2006-10-24,3139462994
2006-10-25,3232332241
2006-10-26,3251629747
2006-10-27,3217256065
2006-10-30,3302888747
2006-10-31,3175042770
2006-11-01,3148508700
2006-11-02,3158760500
2006-11-03,3102677123
2006-11-06,3147905653
2006-11-07,3169012300
2006-11-08,3212431688
2006-11-09,3161775735
2006-11-10,3194943323
2006-11-13,3196752465
2006-11-14,3245599276
2006-11-15,3232935288
2006-11-16,3291430853
2006-11-17,3269118112
2006-11-20,3278163818
2006-11-21,3238965759
2006-11-22,3279972959
2006-11-24,3243790135
2006-11-27,3203385982
2006-11-28,3249820606
2006-11-29,3179867147
2006-11-30,3146096512
2006-12-01,3117753300
2006-12-04,3147905653
2006-12-05,3156951359
2006-12-06,3137653853
2006-12-07,3135844712
2006-12-08,3073127817
2006-12-11,3094234464
2006-12-12,3104486264
2006-12-13,3049005935
2006-12-14,3115944159
2006-12-15,3098455794
2006-12-18,3094837511
2006-12-19,3108104547
2006-12-20,3135241664
2006-12-21,3105692359
2006-12-22,3075540006
2006-12-26,3102074076
2006-12-27,3150920888
2006-12-28,3137653853
2006-12-29,3079158288
2007-01-03,3190118947
2007-01-04,3231729194
2007-01-05,3173233629
2007-01-08,3145493464
2007-01-09,3149111747
2007-01-10,3158157453
2007-01-11,3165394017
2007-01-12,3174439723
2007-01-16,3191928088
2007-01-17,3181676288
2007-01-18,3195546370
2007-01-19,3228110912
2007-01-22,3213034735
2007-01-23,3240774900
2007-01-24,3286003429
2007-01-25,3217859112
2007-01-26,3191325041
2007-01-29,3257660218
2007-01-30,3257057171
2007-01-31,3289018665
2007-02-01,3343292900
2007-02-02,3241980994
2007-02-05,3211225594
2007-02-06,3216653018
2007-02-07,3205798170
2007-02-08,3186500665
2007-02-09,3145493464
2007-02-12,3150920888
2007-02-13,3205195123
2007-02-14,3210019500
2007-02-15,3237759665
2007-02-16,3255248029
2007-02-20,3239568806
2007-02-21,3243790135
2007-02-22,3213034735
2007-02-23,3304697888
2007-02-26,3226904818
2007-02-27,3147905653
2007-02-28,3105089311
2007-03-01,3094837511
2007-03-02,3036944994
2007-03-05,2973625052
2007-03-06,3021868817
2007-03-07,3051418123
2007-03-08,3036944994
2007-03-09,3029708429
2007-03-12,3024281005
2007-03-13,2930205664
2007-03-14,2941060511
2007-03-15,2985082947
2007-03-16,2989907323
2007-03-19,2976037241
2007-03-20,3003174358
2007-03-21,3053227264
2007-03-22,3053830311
2007-03-23,3040563276
2007-03-26,3001365217
2007-03-27,2974228099
2007-03-28,2949503170
2007-03-29,2937442229
2007-03-30,2975434194
2007-04-02,2995998630
2007-04-03,3028675650
2007-04-04,2994183240
2007-04-05,3028070520
2007-04-09,3057116760
2007-04-10,3028675650
2007-04-11,3101291250
2007-04-12,3127916970
2007-04-13,3101896380
2007-04-16,3139414440
2007-04-17,3131547750
2007-04-18,3183588930
2007-04-19,3146676000
2007-04-20,3180563280
2007-04-23,3167855550
2007-04-24,3144255480
2007-04-25,3272543040
2007-04-26,3264071220
2007-04-27,3256809660
2007-04-30,3185404320
2007-05-01,3165435030
2007-05-02,3185404320
2007-05-03,3193271010
2007-05-04,3169065810
2007-05-07,3159988860
2007-05-08,3236840370
2007-05-09,3241076280
2007-05-10,3198717180
2007-05-11,3233814720
2007-05-14,3192060750
2007-05-15,3178747890
2007-05-16,3245312190
2007-05-17,3235630110
2007-05-18,3262860960
2007-05-21,3282830250
2007-05-22,3285855900
2007-05-23,3271332780
2007-05-24,3206583870
2007-05-25,3204768480
2007-05-29,3230183940
2007-05-30,3253784010
2007-05-31,3262860960
2007-06-01,3271937910
2007-06-04,3258625050
2007-06-05,3243496800
2007-06-06,3189035100
2007-06-07,3150911910
2007-06-08,3167855550
2007-06-11,3155752950
2007-06-12,3138204180
2007-06-13,3157568340
2007-06-14,3136993920
2007-06-15,3164829900
2007-06-18,3155752950
2007-06-19,3141229830
2007-06-20,3144860610
2007-06-21,3170881200
2007-06-22,3278594340
2007-06-25,3354840720
2007-06-26,3301589280
2007-06-27,3285250770
2007-06-28,3300984150
2007-06-29,3255599400
2007-07-02,3158298000
2007-07-03,3183447410
2007-07-05,3178768450
2007-07-06,3174089490
2007-07-09,3189296110
2007-07-10,3165316440
2007-07-11,3208596820
2007-07-12,3251292330
2007-07-13,3253046940
2007-07-16,3233746230
2007-07-17,3223803440
2007-07-18,3230237010
2007-07-19,3201578380
2007-07-20,3159467740
2007-07-23,3132563720
2007-07-24,3069397760
2007-07-25,3072322110
2007-07-26,3109168920
2007-07-27,3116187360
2007-07-30,3175259230
2007-07-31,3179938190
2007-08-01,3233746230
2007-08-02,3262404860
2007-08-03,3188711240
2007-08-06,3261819990
2007-08-07,3322646470
2007-08-08,3270593040
2007-08-09,3156543390
2007-08-10,3154203910
2007-08-13,3234331100
2007-08-14,3081095160
2007-08-15,3041324000
2007-08-16,3091037950
2007-08-17,3123790670
2007-08-20,3126715020
2007-08-21,3122620930
2007-08-22,3193390200
2007-08-23,3133733460
2007-08-24,3173504620
2007-08-27,3157128260
2007-08-28,3089868210
2007-08-29,3161807220
2007-08-30,3162392090
2007-08-31,3202163250
2007-09-04,3203332990
2007-09-05,3112093270
2007-09-06,3122036060
2007-09-07,3058285230
2007-09-10,2976988300
2007-09-11,2984591610
2007-09-12,2943650710
2007-09-13,2944235580
2007-09-14,2948329670
2007-09-17,2938971750
2007-09-18,3056530620
2007-09-19,3005646930
2007-09-20,2914992080
2007-09-21,2916161820
2007-09-24,2863523520
2007-09-25,2826676710
2007-09-26,2874051180
2007-09-27,2872881440
2007-09-28,2865863000
2007-10-01,2857536000
2007-10-02,2832712960
2007-10-03,2779603200
2007-10-04,2736884480
2007-10-05,2843104000
2007-10-08,2650869760
2007-10-09,2729957120
2007-10-10,2720720640
2007-10-11,2712638720
2007-10-12,2761707520
2007-10-15,2751316480
2007-10-16,2703402240
2007-10-17,2717834240
2007-10-18,2721297920
2007-10-19,2696474880
2007-10-22,2708020480
2007-10-23,2734575360
2007-10-24,2710906880
2007-10-25,2691856640
2007-10-26,2735729920
2007-10-29,2723029760
2007-10-30,2713793280
2007-10-31,2762284800
2007-11-01,2738039040
2007-11-02,2768634880
2007-11-05,2736884480
2007-11-06,2735152640
2007-11-07,2675692800
2007-11-08,2691856640
2007-11-09,2638746880
2007-11-12,2687238400
2007-11-13,2746120960
2007-11-14,2698206720
2007-11-15,2631819520
2007-11-16,2513477120
2007-11-19,2373775360
2007-11-20,2330479360
2007-11-21,2276215040
2007-11-23,2303347200
2007-11-26,2250814720
2007-11-27,2322974720
2007-11-28,2450553600
2007-11-29,2399752960
2007-11-30,2503086080
2007-12-03,2494426880
2007-12-04,2455749120
2007-12-05,2533104640
2007-12-06,2725916160
2007-12-07,2788262400
2007-12-10,2817126400
2007-12-11,2754780160
2007-12-12,2764016640
2007-12-13,2758821120
2007-12-14,2680888320
2007-12-17,2655488000
2007-12-18,2693011200
2007-12-19,2632974080
2007-12-20,2617387520
2007-12-21,2701093120
2007-12-24,2796344320
2007-12-26,2769789440
2007-12-27,2725916160
2007-12-28,2742657280
2007-12-31,2707540950
2008-01-02,2644186450
2008-01-03,2507110350
2008-01-04,2425325450
2008-01-07,2489831850
2008-01-08,2397103900
2008-01-09,2409198850
2008-01-10,2552034450
2008-01-11,2490407800
2008-01-14,2649370000
2008-01-15,2643610500
2008-01-16,2716756150
2008-01-17,2630939600
2008-01-18,2681047250
2008-01-22,2655129500
2008-01-23,2868806950
2008-01-24,2778382800
2008-01-25,2805452450
2008-01-28,2848648700
2008-01-29,2834249950
2008-01-30,2861319600
2008-01-31,2994940000
2008-02-01,3181547800
2008-02-04,3284066900
2008-02-05,3278307400
2008-02-06,3382554350
2008-02-07,3388313850
2008-02-08,3364123950
2008-02-11,3383706250
2008-02-12,3381978400
2008-02-13,3437269600
2008-02-14,3410199950
2008-02-15,3394649300
2008-02-19,3323807450
2008-02-20,3447060750
2008-02-21,3387737900
2008-02-22,3386010050
2008-02-25,3518478550
2008-02-26,3406744250
2008-02-27,3489681050
2008-02-28,3414231600
2008-02-29,3318047950
2008-03-03,3361244200
2008-03-04,3408472100
2008-03-05,3363548000
2008-03-06,3237990900
2008-03-07,3197098450
2008-03-10,3203433900
2008-03-11,3402712600
2008-03-12,3319199850
2008-03-13,3432662000
2008-03-14,3432086050
2008-03-17,3375067000
2008-03-18,3589896350
2008-03-19,3426326550
2008-03-20,3586440650
2008-03-24,3663042000
2008-03-25,3612934350
2008-03-26,3630212850
2008-03-27,3581257100
2008-03-28,3503503850
2008-03-31,3442145920
2008-04-01,3629765760
2008-04-02,3661412480
2008-04-03,3634851839
2008-04-04,3557995520
2008-04-07,3642198400
2008-04-08,3621854080
2008-04-09,3463620480
2008-04-10,3539911680
2008-04-11,3425192320
2008-04-14,3513916160
2008-04-15,3589077120
2008-04-16,3768220160
2008-04-17,3620723839
2008-04-18,3793085440
2008-04-21,3672149760
2008-04-22,3590772480
2008-04-23,3686277760
2008-04-24,3713968640
2008-04-25,3820776320
2008-04-28,3923628160
2008-04-29,3888025600
2008-04-30,3869376640
2008-05-01,4029870720
2008-05-02,4046259199
2008-05-05,4007265920
2008-05-06,4040042879
2008-05-07,3992572800
2008-05-08,4014047360
2008-05-09,4005570559
2008-05-12,4099945600
2008-05-13,4136113280
2008-05-14,4212404480
2008-05-15,4239530240
2008-05-16,4262700160
2008-05-19,4249137280
2008-05-20,4158152960
2008-05-21,4039477760
2008-05-22,4033826559
2008-05-23,3973358720
2008-05-27,4058126720
2008-05-28,4140069120
2008-05-29,4182453120
2008-05-30,4149676160
2008-06-02,4128201600
2008-06-03,4099945600
2008-06-04,4067733760
2008-06-05,4110117760
2008-06-06,3962621440
2008-06-09,3975619199
2008-06-10,3855813760
2008-06-11,3707187199
2008-06-12,3793650559
2008-06-13,3872767360
2008-06-16,3902153600
2008-06-17,3954709760
2008-06-18,3971098240
2008-06-19,4173976320
2008-06-20,4089773440
2008-06-23,4042303360
2008-06-24,3940016640
2008-06-25,3989747199
2008-06-26,3862595199
2008-06-27,3945667839
2008-06-30,3929879519
2008-07-01,3901923060
2008-07-02,3820906380
2008-07-03,3747306720
2008-07-07,3828893940
2008-07-08,3998344320
2008-07-09,3851715540
2008-07-10,3905346300
2008-07-11,3754723740
2008-07-14,3701663519
2008-07-15,3660584640
2008-07-16,3870543360
2008-07-17,4046840220
2008-07-18,4055968860
2008-07-21,4047410760
2008-07-22,4284184860
2008-07-23,3855709320
2008-07-24,3651456000
2008-07-25,3658302480
2008-07-28,3687970560
2008-07-29,3899640899
2008-07-30,3828893940
2008-07-31,3763281839
2008-08-01,3774122100
2008-08-04,3732472680
2008-08-05,3877960380
2008-08-06,3867690660
2008-08-07,3816342060
2008-08-08,3970387860
2008-08-11,4034288339
2008-08-12,3983510279
2008-08-13,4008614040
2008-08-14,4071943980
2008-08-15,4029724019
2008-08-18,3882524700
2008-08-19,3806072339
2008-08-20,3824329620
2008-08-21,3806072339
2008-08-22,3944143019
2008-08-25,3692534880
2008-08-26,3619505760
2008-08-27,3645750600
2008-08-28,3754153200
2008-08-29,3681124080
2008-09-02,3705657300
2008-09-03,3708510000
2008-09-04,3621787920
2008-09-05,3571580400
2008-09-08,3660584640
2008-09-09,3568727700
2008-09-10,3718209180
2008-09-11,3754723740
2008-09-12,3788956140
2008-09-15,3662866800
2008-09-16,3715927019
2008-09-17,3784391820
2008-09-18,3969246779
2008-09-19,3891082800
2008-09-22,3638904120
2008-09-23,3525937200
2008-09-24,3423240000
2008-09-25,3531072060
2008-09-26,3479152920
2008-09-29,3319401720
2008-09-30,3506224000
2008-10-01,3306595440
2008-10-02,3110360000
2008-10-03,3066249440
2008-10-06,3033449280
2008-10-07,2866055360
2008-10-08,2968414480
2008-10-09,2601392000
2008-10-10,2800455040
2008-10-13,2808937840
2008-10-14,2824772400
2008-10-15,2522784720
2008-10-16,2631364560
2008-10-17,2493377680
2008-10-20,2575943600
2008-10-21,2489984560
2008-10-22,2181210640
2008-10-23,2134838000
2008-10-24,2102037840
2008-10-27,2085072239
2008-10-28,2138231120
2008-10-29,2189127920
2008-10-30,2125789680
2008-10-31,2240590240
2008-11-03,2249638560
2008-11-04,2314107840
2008-11-05,2227583280
2008-11-06,2159155360
2008-11-07,2186300320
2008-11-10,2182341680
2008-11-11,2089030879
2008-11-12,2044354800
2008-11-13,2196479680
2008-11-14,2087334319
2008-11-17,1988933840
2008-11-18,1893360959
2008-11-19,1714091120
2008-11-20,1608904400
2008-11-21,1729925680
2008-11-24,1932947360
2008-11-25,1895623040
2008-11-26,2014947760
2008-11-28,2030782319
2008-12-01,1901843760
2008-12-02,1952175040
2008-12-03,2011554640
2008-12-04,2009858080
2008-12-05,1997416640
2008-12-08,2093555040
2008-12-09,1973664800
2008-12-10,2072630800
2008-12-11,1806836400
2008-12-12,1899016160
2008-12-15,1848684879
2008-12-16,1959526800
2008-12-17,2069803200
2008-12-18,2006464959
2008-12-19,2077720480
2008-12-22,1957264720
2008-12-23,1984975200
2008-12-24,2040961680
2008-12-26,2034740959
2008-12-29,1988368319
2008-12-30,2088465360
2008-12-31,2142129640
2009-01-02,2232719960
2009-01-05,2215043800
2009-01-06,2254262780
2009-01-07,2137158219
2009-01-08,2138262980
2009-01-09,2110091600
2009-01-12,2011215579
2009-01-13,1979177540
2009-01-14,1879749140
2009-01-15,1941615700
2009-01-16,1919520500
2009-01-20,1781425500
2009-01-21,1876434860
2009-01-22,1831139700
2009-01-23,1817882579
2009-01-26,1854339660
2009-01-27,1905711000
2009-01-28,2027786980
2009-01-29,1940510940
2009-01-30,1865939640
2009-02-02,1836111120
2009-02-03,1907368140
2009-02-04,1657140000
2009-02-05,1735025580
2009-02-06,1880301520
2009-02-09,1865939640
2009-02-10,1712378000
2009-02-11,1744968420
2009-02-12,1743863660
2009-02-13,1681444720
2009-02-17,1563787780
2009-02-18,1489216480
2009-02-19,1447235600
2009-02-20,1441711800
2009-02-23,1386473800
2009-02-24,1446683220
2009-02-25,1352778620
2009-02-26,1267159720
2009-02-27,1262740680
2009-03-02,1159998000
2009-03-03,1146188500
2009-03-04,1235121680
2009-03-05,1125198060
2009-03-06,1072169580
2009-03-09,1064436260
2009-03-10,1194797940
2009-03-11,1274893040
2009-03-12,1270474000
2009-03-13,1305826320
2009-03-16,1369902400
2009-03-17,1414645180
2009-03-18,1500816460
2009-03-19,1500264080
2009-03-20,1391997600
2009-03-23,1552187800
2009-03-24,1466568900
2009-03-25,1507997400
2009-03-26,1649406680
2009-03-27,1566549680
2009-03-30,1487559340
2009-03-31,1563787780
2009-04-01,1611844840
2009-04-02,1748835080
2009-04-03,1739444620
2009-04-06,1710168480
2009-04-07,1632835280
2009-04-08,1339521500
2009-04-09,1404702340
2009-04-13,1330683420
2009-04-14,1340626260
2009-04-15,1354435760
2009-04-16,1382607140
