,REGN
2002-12-27,846967397
2002-12-30,816088335
2002-12-31,819611934
2003-01-02,845293994
2003-01-03,821825861
2003-01-06,828025067
2003-01-07,859906200
2003-01-08,838652126
2003-01-09,846179626
2003-01-10,854149921
2003-01-13,881160318
2003-01-14,901086054
2003-01-15,883374333
2003-01-16,929867673
2003-01-17,941823114
2003-01-21,924111393
2003-01-22,935181246
2003-01-23,934738452
2003-01-24,913484245
2003-01-27,891787333
2003-01-28,908170760
2003-01-29,907727966
2003-01-30,845293994
2003-01-31,829353405
2003-02-03,834666935
2003-02-04,834224140
2003-02-05,816512419
2003-02-06,785516786
2003-02-07,792158654
2003-02-10,770461786
2003-02-11,770018947
2003-02-12,752750021
2003-02-13,754521241
2003-02-14,763819874
2003-02-18,777546448
2003-02-19,775775315
2003-02-20,764705462
2003-02-21,774889727
2003-02-24,766476594
2003-02-25,782417227
2003-02-26,803671345
2003-02-27,819169140
2003-02-28,812084434
2003-03-03,785959580
2003-03-04,812970066
2003-03-05,801457375
2003-03-06,766476594
2003-03-07,785959580
2003-03-10,839980420
2003-03-11,810313213
2003-03-12,832895714
2003-03-13,877175127
2003-03-14,878060759
2003-03-17,902414392
2003-03-18,916141099
2003-03-19,914812672
2003-03-20,894444186
2003-03-21,905956745
2003-03-24,854149921
2003-03-25,872747185
2003-03-26,879389186
2003-03-27,856806641
2003-03-28,766476594
2003-03-31,372736320
2003-04-01,341509740
2003-04-02,327135600
2003-04-03,337048800
2003-04-04,332587860
2003-04-07,320196360
2003-04-08,329118240
2003-04-09,320196360
2003-04-10,317222400
2003-04-11,304830900
2003-04-14,315735420
2003-04-15,314248440
2003-04-16,303343920
2003-04-17,299378640
2003-04-21,297891660
2003-04-22,291448080
2003-04-23,308300520
2003-04-24,327631260
2003-04-25,319205040
2003-04-28,313257120
2003-04-29,313752780
2003-04-30,313752780
2003-05-01,313752780
2003-05-02,325152960
2003-05-05,323665980
2003-05-06,337048800
2003-05-07,328126920
2003-05-08,324161640
2003-05-09,325648620
2003-05-12,326144280
2003-05-13,330109560
2003-05-14,355388220
2003-05-15,359353500
2003-05-16,349935960
2003-05-19,495164340
2003-05-20,495164340
2003-05-21,506068860
2003-05-22,520938660
2003-05-23,556130520
2003-05-27,675088920
2003-05-28,663193080
2003-05-29,648323280
2003-05-30,681036840
2003-06-02,738533400
2003-06-03,681532500
2003-06-04,724159260
2003-06-05,769264320
2003-06-06,786116760
2003-06-09,791073360
2003-06-10,842622000
2003-06-11,872361600
2003-06-12,918458029
2003-06-13,881779189
2003-06-16,899127190
2003-06-17,884257440
2003-06-18,841134970
2003-06-19,767281680
2003-06-20,775212240
2003-06-23,753898860
2003-06-24,803464810
2003-06-25,790082040
2003-06-26,778186200
2003-06-27,813873720
2003-06-30,830430789
2003-07-01,824107712
2003-07-02,832011559
2003-07-03,840442328
2003-07-07,861519252
2003-07-08,865207713
2003-07-09,872584584
2003-07-10,856776944
2003-07-11,874692329
2003-07-14,865207713
2003-07-15,856250021
2003-07-16,850980790
2003-07-17,808826943
2003-07-18,795653865
2003-07-21,764038480
2003-07-22,765619249
2003-07-23,791965404
2003-07-24,785642327
2003-07-25,777211557
2003-07-28,795653865
2003-07-29,795126942
2003-07-30,780900019
2003-07-31,811461558
2003-08-01,767200019
2003-08-04,732950018
2003-08-05,688688478
2003-08-06,654965400
2003-08-07,673407709
2003-08-08,659707708
2003-08-11,661815401
2003-08-12,700280786
2003-08-13,690796170
2003-08-14,701861555
2003-08-15,696065401
2003-08-18,743488479
2003-08-19,749811557
2003-08-20,769307711
2003-08-21,783007711
2003-08-22,754026941
2003-08-25,749811557
2003-08-26,755607711
2003-08-27,770888480
2003-08-28,798288481
2003-08-29,801450019
2003-09-02,857830843
2003-09-03,870476944
2003-09-04,906834585
2003-09-05,889446123
2003-09-08,1175565361
2003-09-09,1146057720
2003-09-10,1134465412
2003-09-11,1101269258
2003-09-12,1092311565
2003-09-15,1067546180
2003-09-16,1059115410
2003-09-17,1066492334
2003-09-18,1105484642
2003-09-19,1074396180
2003-09-22,1046469256
2003-09-23,1053319256
2003-09-24,1010111563
2003-09-25,981657716
2003-09-26,928438484
2003-09-29,943192331
2003-09-30,971803969
2003-10-01,967404178
2003-10-02,992702979
2003-10-03,985553318
2003-10-06,1011952067
2003-10-07,802411993
2003-10-08,799112149
2003-10-09,794162383
2003-10-10,772163425
2003-10-13,758964051
2003-10-14,740264936
2003-10-15,728715483
2003-10-16,731465353
2003-10-17,714966135
2003-10-20,712766239
2003-10-21,749064519
2003-10-22,718210981
2003-10-23,709466395
2003-10-24,717166030
2003-10-27,740264936
2003-10-28,740264936
2003-10-29,728715483
2003-10-30,732565301
2003-10-31,761163946
2003-11-03,724755671
2003-11-04,711666291
2003-11-05,714416161
2003-11-06,730915379
2003-11-07,714966135
2003-11-10,699016890
2003-11-11,696267020
2003-11-12,746314650
2003-11-13,739219986
2003-11-14,713866187
2003-11-17,700116838
2003-11-18,681967698
2003-11-19,670968219
2003-11-20,682517671
2003-11-21,672618140
2003-11-24,722665770
2003-11-25,714966135
2003-11-26,714966135
2003-11-28,708366447
2003-12-01,712216265
2003-12-02,725965614
2003-12-03,705616577
2003-12-04,713316213
2003-12-05,713866187
2003-12-08,720465874
2003-12-09,710016369
2003-12-10,691317255
2003-12-11,717716004
2003-12-12,714966135
2003-12-15,704516629
2003-12-16,701821757
2003-12-17,708366447
2003-12-18,710566343
2003-12-19,733115275
2003-12-22,775463269
2003-12-23,816711315
2003-12-24,778763113
2003-12-26,784812826
2003-12-29,819461185
2003-12-30,838160299
2003-12-31,813212944
2004-01-02,832009165
2004-01-05,834220485
2004-01-06,824822374
2004-01-07,856886515
2004-01-08,867390285
2004-01-09,861309155
2004-01-12,847488405
2004-01-13,890056316
2004-01-14,885633676
2004-01-15,908299706
2004-01-16,895584616
2004-01-20,886186506
2004-01-21,898348766
2004-01-22,919909136
2004-01-23,924331776
2004-01-26,912169516
2004-01-27,878446885
2004-01-28,861309155
2004-01-29,823163884
2004-01-30,821505394
2004-02-02,831456335
2004-02-03,807131814
2004-02-04,764563903
2004-02-05,762352583
2004-02-06,815977094
2004-02-09,801603514
2004-02-10,814871434
2004-02-11,812660114
2004-02-12,799945024
2004-02-13,771197863
2004-02-17,796075214
2004-02-18,798839364
2004-02-19,778384654
2004-02-20,785018614
2004-02-23,774514844
2004-02-24,765669563
2004-02-25,790546914
2004-02-26,838090295
2004-02-27,782807294
2004-03-01,820952564
2004-03-02,828139354
2004-03-03,829245015
2004-03-04,836984635
2004-03-05,883367072
2004-03-08,856886515
2004-03-09,824269544
2004-03-10,795522384
2004-03-11,787782764
2004-03-12,793311064
2004-03-15,780595974
2004-03-16,771750693
2004-03-17,787229934
2004-03-18,774514844
2004-03-19,756271453
2004-03-22,748531833
2004-03-23,736369573
2004-03-24,715362032
2004-03-25,740239383
2004-03-26,733605423
2004-03-29,762905413
2004-03-30,769539373
2004-03-31,752101153
2004-04-01,748224343
2004-04-02,770377543
2004-04-05,805268834
2004-04-06,768162223
2004-04-07,761516263
2004-04-08,747670513
2004-04-12,737701573
2004-04-13,697825812
