,EQR
2002-04-23,7713643040
2002-04-24,7697254280
2002-04-25,7702717200
2002-04-26,7710911580
2002-04-29,7675402600
2002-04-30,7702717200
2002-05-01,7866604800
2002-05-02,7981326120
2002-05-03,7951280060
2002-05-06,7858410420
2002-05-07,7811975600
2002-05-08,7784661000
2002-05-09,7694522820
2002-05-10,7699985740
2002-05-13,7730031800
2002-05-14,7850216040
2002-05-15,7937622760
2002-05-16,7937622760
2002-05-17,7973131740
2002-05-20,7907576700
2002-05-21,7847484580
2002-05-22,7866604800
2002-05-23,8055075540
2002-05-24,8025029480
2002-05-28,8057807000
2002-05-29,8153408100
2002-05-30,8052344080
2002-05-31,7904845240
2002-06-03,7847484580
2002-06-04,7869336260
2002-06-05,7861141880
2002-06-06,7850216040
2002-06-07,7817438520
2002-06-10,7921234000
2002-06-11,7926696920
2002-06-12,7964937360
2002-06-13,7975863200
2002-06-14,7907576700
2002-06-17,7967668820
2002-06-18,7697254280
2002-06-19,7716374500
2002-06-20,7757346400
2002-06-21,7754614940
2002-06-24,7716374500
2002-06-25,7784661000
2002-06-26,7730031800
2002-06-27,7781929540
2002-06-28,7852947500
2002-07-01,7765228350
2002-07-02,7664239440
2002-07-03,7598733120
2002-07-05,7669698300
2002-07-08,7533226800
2002-07-09,7448614470
2002-07-10,7301225250
2002-07-11,7232989500
2002-07-12,7192048050
2002-07-15,7129271160
2002-07-16,7205695200
2002-07-17,7000987950
2002-07-18,6837222150
2002-07-19,6624326610
2002-07-22,6455101950
2002-07-23,6288606720
2002-07-24,6400513350
2002-07-25,6553361430
2002-07-26,6880893030
2002-07-29,7219342350
2002-07-30,7331248980
2002-07-31,7301225250
2002-08-01,7110165150
2002-08-02,7031011680
2002-08-05,6796280700
2002-08-06,6728044950
2002-08-07,6823575000
2002-08-08,6932752200
2002-08-09,6842681010
2002-08-12,6905457900
2002-08-13,6826304430
2002-08-14,6957317070
2002-08-15,7039199970
2002-08-16,7216612920
2002-08-19,7219342350
2002-08-20,7243907220
2002-08-21,7350354990
2002-08-22,7364002140
2002-08-23,7394025870
2002-08-26,7544144520
2002-08-27,7574168250
2002-08-28,7639674570
2002-08-29,7590544830
2002-08-30,7620568560
2002-09-03,7429508460
2002-09-04,7432237890
2002-09-05,7451343900
2002-09-06,7437696750
2002-09-09,7437696750
2002-09-10,7432237890
2002-09-11,7391296440
2002-09-12,7295766390
2002-09-13,7306684110
2002-09-16,7232989500
2002-09-17,7200236340
2002-09-18,6902728470
2002-09-19,6722586090
2002-09-20,6839951580
2002-09-23,6752609820
2002-09-24,6684374070
2002-09-25,6586114590
2002-09-26,6637973760
2002-09-27,6550632000
2002-09-30,6456187080
2002-10-01,6472368000
2002-10-02,6283590600
2002-10-03,6310558800
2002-10-04,6245835120
2002-10-07,6129871860
2002-10-08,6065148180
2002-10-09,5908732620
2002-10-10,6175717800
2002-10-11,6399553860
2002-10-14,6297074700
2002-10-15,6510123480
2002-10-16,6399553860
2002-10-17,6423825240
2002-10-18,6410341140
2002-10-21,6442702980
2002-10-22,6310558800
2002-10-23,6245835120
2002-10-24,6334830180
2002-10-25,6480458460
2002-10-28,6386069760
2002-10-29,6369888840
2002-10-30,6418431600
2002-10-31,6396857040
2002-11-01,6431915700
2002-11-04,6596421720
2002-11-05,6504729840
2002-11-06,6569453520
2002-11-07,6545182140
2002-11-08,6518213940
2002-11-11,6510123480
2002-11-12,6671932680
2002-11-13,6642267660
2002-11-14,6868800540
2002-11-15,6814864140
2002-11-18,6787895940
2002-11-19,6750140460
2002-11-20,6742050000
2002-11-21,6893071920
2002-11-22,7073758860
2002-11-25,7036003380
2002-11-26,6960492420
2002-11-27,7049487480
2002-11-29,7044093840
2002-12-02,7200509400
2002-12-03,7062971580
2002-12-04,7006338360
2002-12-05,6920040120
2002-12-06,6863406900
2002-12-09,6871497360
2002-12-10,6755534100
2002-12-11,6742050000
2002-12-12,6739353180
2002-12-13,6690810420
2002-12-16,6777108660
2002-12-17,6674629500
2002-12-18,6512820300
2002-12-19,6437309340
2002-12-20,6480458460
2002-12-23,6564059880
2002-12-24,6580240800
2002-12-26,6607209000
2002-12-27,6580240800
2002-12-30,6647661300
2002-12-31,6653265240
2003-01-02,6783190680
2003-01-03,6894168660
2003-01-06,7013266980
2003-01-07,6902289000
2003-01-08,6877927980
2003-01-09,6940183920
2003-01-10,6913116120
2003-01-13,6829205940
2003-01-14,6794017800
2003-01-15,6739882200
2003-01-16,6642438120
2003-01-17,6517926240
2003-01-21,6493565220
2003-01-22,6482738100
2003-01-23,6563941500
2003-01-24,6425895720
2003-01-27,6431309280
2003-01-28,6404241480
2003-01-29,6501685560
2003-01-30,6463790640
2003-01-31,6615370320
2003-02-03,6474617760
2003-02-04,6463790640
2003-02-05,6469204200
2003-02-06,6428602500
2003-02-07,6374466900
2003-02-10,6442136400
2003-02-11,6350105880
2003-02-12,6290556720
2003-02-13,6396121140
2003-02-14,6366346560
2003-02-18,6374466900
2003-02-19,6442136400
2003-02-20,6450256740
2003-02-21,6569355060
2003-02-24,6517926240
2003-02-25,6618077100
2003-02-26,6572061840
2003-02-27,6599129640
2003-02-28,6572061840
2003-03-03,6661385580
2003-03-04,6542287260
2003-03-05,6591009300
2003-03-06,6544994040
2003-03-07,6558527940
2003-03-10,6474617760
2003-03-11,6474617760
2003-03-12,6463790640
2003-03-13,6558527940
2003-03-14,6509805900
2003-03-17,6710107620
2003-03-18,6618077100
2003-03-19,6739882200
2003-03-20,6807551700
2003-03-21,6834619500
2003-03-24,6561234720
2003-03-25,6683039820
2003-03-26,6720934740
2003-03-27,6653265240
2003-03-28,6585595740
2003-03-31,6532116600
2003-04-01,6689517000
2003-04-02,6789927600
2003-04-03,6822493200
2003-04-04,6792641400
2003-04-07,6920190000
2003-04-08,6890338200
2003-04-09,6884910600
2003-04-10,6787213800
2003-04-11,6751934400
2003-04-14,6838776000
2003-04-15,6890338200
2003-04-16,6971752200
2003-04-17,7110156000
2003-04-21,7178001000
2003-04-22,7232277000
2003-04-23,7256701200
2003-04-24,7194283800
2003-04-25,7153576800
2003-04-28,7150863000
2003-04-29,7148149200
2003-04-30,7031455800
2003-05-01,7110156000
2003-05-02,7202425200
2003-05-05,7264842600
2003-05-06,7392391200
2003-05-07,7302835800
2003-05-08,7324546200
2003-05-09,7462950000
2003-05-12,7462950000
2003-05-13,7490088000
2003-05-14,7416815400
2003-05-15,7468377600
2003-05-16,7400532600
2003-05-19,7348970400
2003-05-20,7424956800
2003-05-21,7414101600
2003-05-22,7462950000
2003-05-23,7481946600
2003-05-27,7468377600
2003-05-28,7272984000
2003-05-29,7042311000
2003-05-30,7186142400
2003-06-02,7210566600
2003-06-03,7243132200
2003-06-04,7332687600
2003-06-05,7395105000
