,FITB
2002-11-01,37661178619
2002-11-04,36529677600
2002-11-05,37017888700
2002-11-06,36414804400
2002-11-07,35472844160
2002-11-08,34806579600
2002-11-11,34496421960
2002-11-12,34927196460
2002-11-13,35093762600
2002-11-14,35915105980
2002-11-15,32980095720
2002-11-18,32578039520
2002-11-19,33008814020
2002-11-20,33112199900
2002-11-21,33405126559
2002-11-22,32813529580
2002-11-25,33158149180
2002-11-26,32336805800
2002-11-27,32618245140
2002-11-29,32164496000
2002-12-02,33192611140
2002-12-03,32451679000
2002-12-04,33255791400
2002-12-05,32934146440
2002-12-06,33479794140
2002-12-09,32853735200
2002-12-10,34289650200
2002-12-11,34720424700
2002-12-12,34289650200
2002-12-13,34237957260
2002-12-16,34381548760
2002-12-17,33996723540
2002-12-18,33542974400
2002-12-19,33410870220
2002-12-20,33502768780
2002-12-23,33881850340
2002-12-24,33847388380
2002-12-26,34123084059
2002-12-27,33560205380
2002-12-30,33749746160
2002-12-31,33629129300
2003-01-02,34720424700
2003-01-03,34565345880
2003-01-06,35444125860
2003-01-07,35053556980
2003-01-08,34967402080
2003-01-09,35490075140
2003-01-10,34938683780
2003-01-13,35088018940
2003-01-14,35501562460
2003-01-15,34128827720
2003-01-16,33232816760
2003-01-17,33405126559
2003-01-21,32796298600
2003-01-22,32445935340
2003-01-23,32520602920
2003-01-24,31888800320
2003-01-27,31314434320
2003-01-28,31750952480
2003-01-29,31481000460
2003-01-30,30929609100
2003-01-31,30642426100
2003-02-03,29987648860
2003-02-04,30114009380
2003-02-05,29912981280
2003-02-06,30303550160
2003-02-07,30211651600
2003-02-10,30406936040
2003-02-11,30154215000
2003-02-12,30039341800
2003-02-13,30200164280
2003-02-14,30694119040
2003-02-18,30854941520
2003-02-19,30763042960
2003-02-20,30671144400
2003-02-21,31320177980
2003-02-24,30826223220
2003-02-25,30745811980
2003-02-26,30177189640
2003-02-27,30665400740
2003-02-28,30504578260
2003-03-03,30395448720
2003-03-04,30383961400
2003-03-05,30171445980
2003-03-06,29263947700
2003-03-07,29849801020
2003-03-10,29120356200
2003-03-11,29126099860
2003-03-12,27931418580
2003-03-13,28603426800
2003-03-14,28821685880
2003-03-17,29637285600
2003-03-18,29809595400
2003-03-19,30665400740
2003-03-20,30470116300
2003-03-21,31205304780
2003-03-24,29832570040
2003-03-25,30205907940
2003-03-26,29752158800
2003-03-27,30481603620
2003-03-28,29556874360
2003-03-31,28826394240
2003-04-01,28648488960
2003-04-02,28889521920
2003-04-03,28149206400
2003-04-04,28487800320
2003-04-07,28350067200
2003-04-08,28126250880
2003-04-09,27426107520
2003-04-10,27896695680
2003-04-11,27931128960
2003-04-14,28659966720
2003-04-15,28688661120
2003-04-16,27977040000
2003-04-17,28373022720
2003-04-21,28246767360
2003-04-22,28263984000
2003-04-23,27988517760
2003-04-24,27391674240
2003-04-25,27931128960
2003-04-28,28550928000
2003-04-29,28453367040
2003-04-30,28246767360
2003-05-01,27971301120
2003-05-02,29004299520
2003-05-05,28711616640
2003-05-06,29658531840
2003-05-07,29302721280
2003-05-08,29096121600
2003-05-09,29199421440
2003-05-12,29411760000
2003-05-13,29555232000
2003-05-14,29618359680
2003-05-15,29727398400
2003-05-16,30111903360
2003-05-19,29842176000
2003-05-20,29893825920
2003-05-21,29974170240
2003-05-22,29515059840
2003-05-23,29899564800
2003-05-27,30857957760
2003-05-28,31724528640
2003-05-29,32068861440
2003-05-30,32941171200
2003-06-02,32946910079
2003-06-03,33187943040
2003-06-04,33836436480
2003-06-05,33951214079
2003-06-06,33319937280
2003-06-09,33388803840
2003-06-10,33503581440
2003-06-11,34146336000
2003-06-12,34014341760
2003-06-13,33601142400
2003-06-16,34427541120
2003-06-17,34536579840
2003-06-18,34519363200
2003-06-19,33899564160
2003-06-20,34186508160
2003-06-23,33853653120
2003-06-24,33733136640
2003-06-25,33354370560
2003-06-26,33503581440
2003-06-27,33285504000
2003-06-30,32734452960
2003-07-01,32962488160
2003-07-02,32905479360
2003-07-03,32819966160
2003-07-07,33469866480
2003-07-08,33110711040
2003-07-09,32506417760
2003-07-10,32375297520
2003-07-11,32244177280
2003-07-14,32859872320
2003-07-15,33087907520
2003-07-16,32061749120
2003-07-17,31503062880
2003-07-18,31856517440
2003-07-21,31161010079
2003-07-22,31691191920
2003-07-23,31839414800
2003-07-24,31349139120
2003-07-25,32209972000
2003-07-28,31810910400
2003-07-29,31485960240
2003-07-30,31491661120
2003-07-31,31360540880
2003-08-01,30898769600
2003-08-04,30761948480
2003-08-05,30083543760
2003-08-06,30254570160
2003-08-07,30710640560
2003-08-08,30847461680
2003-08-11,30237467520
2003-08-12,31007086320
2003-08-13,31354840000
2003-08-14,31890722720
2003-08-15,31913526240
2003-08-18,32016142079
2003-08-19,32198570240
2003-08-20,32255579040
2003-08-21,32819966160
2003-08-22,32517819520
2003-08-25,32916881120
2003-08-26,33350148000
2003-08-27,33139215440
2003-08-28,33270335680
2003-08-29,33407156800
2003-09-02,33766312240
2003-09-03,33538277040
2003-09-04,33481268240
2003-09-05,33367250640
2003-09-08,33361549760
2003-09-09,33538277040
2003-09-10,33201925120
2003-09-11,33469866480
2003-09-12,33561080560
2003-09-15,33207626000
2003-09-16,33207626000
2003-09-17,32797162640
2003-09-18,33133514560
2003-09-19,33264634800
2003-09-22,32945385520
2003-09-23,32911180240
2003-09-24,32249878160
2003-09-25,32301186079
2003-09-26,32232775520
2003-09-29,32284083440
2003-09-30,31433520704
2003-10-01,32525827059
2003-10-02,32474890493
2003-10-03,32984256151
2003-10-06,33188002414
2003-10-07,33454004480
2003-10-08,33125746612
2003-10-09,33470983335
2003-10-10,33504941046
2003-10-13,33957710520
2003-10-14,32972936914
2003-10-15,32276803849
2003-10-16,32180590336
2003-10-17,31722161244
2003-10-20,31756118954
2003-10-21,31744799717
2003-10-22,31620288112
2003-10-23,31914588270
2003-10-24,32101355678
2003-10-27,32446592401
2003-10-28,32633359809
2003-10-29,32361698125
2003-10-30,32786169507
2003-10-31,32922000349
2003-11-03,32972936914
2003-11-04,33233279362
2003-11-05,33063490809
2003-11-06,33323833256
2003-11-07,33199321651
2003-11-10,33182342796
2003-11-11,32814467599
2003-11-12,32859744546
2003-11-13,32871063783
2003-11-14,32859744546
2003-11-17,32854084928
2003-11-18,32389996217
2003-11-19,32525827059
2003-11-20,32497528967
2003-11-21,32559784770
2003-11-24,33063490809
2003-11-25,33182342796
2003-11-26,33386089059
2003-11-28,32899361875
2003-12-01,33114427375
2003-12-02,33103108138
2003-12-03,33114427375
2003-12-04,33148385085
2003-12-05,32661657901
2003-12-08,32944638822
2003-12-09,33165363941
2003-12-10,33091788901
2003-12-11,33221960125
2003-12-12,33335152493
2003-12-15,32571104007
2003-12-16,32435273165
2003-12-17,32356038507
2003-12-18,32746552178
2003-12-19,32825786836
2003-12-22,32950298441
2003-12-23,33023873480
2003-12-24,32825786836
2003-12-26,32933319585
2003-12-29,33188002414
2003-12-30,33295535164
2003-12-31,33448344862
2004-01-02,33097448520
2004-01-05,33793581585
2004-01-06,33901114335
2004-01-07,33867156625
2004-01-08,33669069980
2004-01-09,33601154559
2004-01-12,33765283493
2004-01-13,33612473796
2004-01-14,33040852335
2004-01-15,32803148362
2004-01-16,32231526901
2004-01-20,32135313388
2004-01-21,32293782704
2004-01-22,32537146296
2004-01-23,32599402099
2004-01-26,32967277296
2004-01-27,32893702257
2004-01-28,32435273165
2004-01-29,32882383020
2004-01-30,32678636757
2004-02-02,32910681112
2004-02-03,33006894625
2004-02-04,33103108138
2004-02-05,33097448520
2004-02-06,33148385085
2004-02-09,32627700191
2004-02-10,32820127217
2004-02-11,32825786836
2004-02-12,32723913704
2004-02-13,32701275230
2004-02-17,33057831191
2004-02-18,32820127217
2004-02-19,32684296375
2004-02-20,32435273165
2004-02-23,32412634691
2004-02-24,32276803849
2004-02-25,32084376822
2004-02-26,31925907507
2004-02-27,31705182388
2004-03-01,31648586204
2004-03-02,31608968875
2004-03-03,31948545980
2004-03-04,32078717204
2004-03-05,32157951862
2004-03-08,31603309257
2004-03-09,31580670783
2004-03-10,31167518638
2004-03-11,31009049323
2004-03-12,31292030244
2004-03-15,30709089546
2004-03-16,31354286046
2004-03-17,31914588270
2004-03-18,31976844073
2004-03-19,31552372691
2004-03-22,31654245823
2004-03-23,31608968875
2004-03-24,31608968875
2004-03-25,31778757428
2004-03-26,31461818796
2004-03-29,31354286046
2004-03-30,31246753296
2004-03-31,30974324062
2004-04-01,30862442812
2004-04-02,30487640625
2004-04-05,30280660312
2004-04-06,30532393125
2004-04-07,31041452812
2004-04-08,31500165937
2004-04-12,31835809687
2004-04-13,30778531875
2004-04-14,30409323750
2004-04-15,29911452187
2004-04-16,30593927812
2004-04-19,30431700000
2004-04-20,30386947500
2004-04-21,30610710000
2004-04-22,30851254687
2004-04-23,30862442812
2004-04-26,30767343750
2004-04-27,30733779375
2004-04-28,30314224687
2004-04-29,30185561250
2004-04-30,30051303750
2004-05-03,29928234375
2004-05-04,29928234375
2004-05-05,30079274062
2004-05-06,29682095625
2004-05-07,28831798125
2004-05-10,28809421875
2004-05-11,28943679375
2004-05-12,29514273750
2004-05-13,29872293750
2004-05-14,29710065937
2004-05-17,29553432187
2004-05-18,29581402500
2004-05-19,29586996562
2004-05-20,29435956875
2004-05-21,29872293750
2004-05-24,29995363125
2004-05-25,30291848437
2004-05-26,30554769375
