,TRMB
2003-09-29,781807320
2003-09-30,754640497
2003-10-01,773616022
2003-10-02,776562532
2003-10-03,815420397
2003-10-06,830223122
2003-10-07,846014040
2003-10-08,792228117
2003-10-09,815097722
2003-10-10,816146416
2003-10-13,830223122
2003-10-14,816771600
2003-10-15,762320160
2003-10-16,787529160
2003-10-17,747860277
2003-10-20,770024030
2003-10-21,811386957
2003-10-22,776437200
2003-10-23,779805122
2003-10-24,732734877
2003-10-27,706517517
2003-10-28,718617837
2003-10-29,931059122
2003-10-30,946850040
2003-10-31,927691199
2003-11-03,982485482
2003-11-04,964657677
2003-11-05,960967079
2003-11-06,985833237
2003-11-07,991560722
2003-11-10,952900199
2003-11-11,929042402
2003-11-12,944167802
2003-11-13,958284842
2003-11-14,936100922
2003-11-17,940134362
2003-11-18,949532277
2003-11-19,975084120
2003-11-20,970707837
2003-11-21,972724557
2003-11-24,1025159277
2003-11-25,1017435240
2003-11-26,1012393439
2003-11-28,1019451960
2003-12-01,1045326477
2003-12-02,1058435157
2003-12-03,1028527199
2003-12-04,1019794802
2003-12-05,1013401800
2003-12-08,1021468680
2003-12-09,996925197
2003-12-10,988535642
2003-12-11,1023485400
2003-12-12,1032560640
2003-12-15,1023485400
2003-12-16,1046012162
2003-12-17,1063476957
2003-12-18,1122304680
2003-12-19,1142814722
2003-12-22,1156588920
2003-12-23,1206664077
2003-12-24,1223483522
2003-12-26,1225500242
2003-12-29,1278257637
2003-12-30,1254056997
2003-12-31,1251717602
2004-01-02,1234232640
2004-01-05,1277249277
2004-01-06,1265834642
2004-01-07,1310525157
2004-01-08,1345495082
2004-01-09,1311210842
2004-01-12,1333394762
2004-01-13,1350194040
2004-01-14,1373729162
2004-01-15,1404302637
2004-01-16,1423461477
2004-01-20,1412369517
2004-01-21,1405310997
2004-01-22,1389520080
2004-01-23,1351545242
2004-01-26,1325993400
2004-01-27,1296750960
2004-01-28,1252725962
2004-01-29,1240282800
2004-01-30,1248692522
2004-02-02,1283299437
2004-02-03,1284307797
2004-02-04,1233567122
2004-02-05,1195249442
2004-02-06,1220115600
2004-02-09,1214065440
2004-02-10,1231550402
2004-02-11,1205998560
2004-02-12,1193555397
2004-02-13,1169697600
2004-02-17,1189864800
2004-02-18,1191216002
2004-02-19,1133739482
2004-02-20,1140798002
2004-02-23,1115246160
2004-02-24,1098769557
2004-02-25,1109538842
2004-02-26,1134747842
2004-02-27,1113894957
2004-03-01,1179781200
2004-03-02,1156931762
2004-03-03,1156588920
2004-03-04,1177421637
2004-03-05,1181797920
2004-03-08,1126842300
2004-03-09,1097095680
2004-03-10,1040627520
2004-03-11,1053736199
2004-03-12,1104658380
2004-03-15,1077432660
2004-03-16,1082978640
2004-03-17,1106170920
2004-03-18,1103145840
2004-03-19,1101129120
2004-03-22,1069869960
2004-03-23,1078945200
2004-03-24,1084995360
2004-03-25,1133396640
2004-03-26,1134405000
2004-03-29,1158605640
2004-03-30,1178772840
2004-03-31,1158605640
2004-04-01,1165664160
2004-04-02,1236885780
2004-04-05,1221132510
2004-04-06,1194707670
2004-04-07,1225197870
2004-04-08,1228246890
2004-04-12,1260261600
2004-04-13,1213001790
2004-04-14,1191658650
2004-04-15,1177938060
2004-04-16,1166758320
2004-04-19,1167774660
2004-04-20,1143890670
2004-04-21,1191150480
2004-04-22,1189117800
2004-04-23,1191658650
2004-04-26,1156086750
2004-04-27,1320225660
2004-04-28,1275506700
2004-04-29,1267375980
2004-04-30,1272965850
2004-05-03,1313111280
2004-05-04,1373075340
2004-05-05,1369009980
2004-05-06,1351732200
2004-05-07,1309554090
2004-05-10,1282621080
2004-05-11,1321242000
2004-05-12,1303964220
2004-05-13,1290243630
2004-05-14,1262294280
2004-05-17,1240951140
2004-05-18,1241967480
2004-05-19,1225197870
2004-05-20,1226214210
2004-05-21,1228755060
2004-05-24,1270425000
2004-05-25,1350715860
2004-05-26,1360371090
2004-05-27,1393910310
2004-05-28,1373075340
2004-06-01,1360371090
2004-06-02,1393910310
2004-06-03,1308537750
2004-06-04,1348175010
2004-06-07,1407122730
2004-06-08,1451841690
2004-06-09,1408139070
2004-06-10,1365960960
2004-06-14,1372059000
2004-06-15,1394418480
2004-06-16,1399500180
2004-06-17,1375616190
2004-06-18,1372059000
2004-06-21,1380189720
2004-06-22,1378157040
2004-06-23,1445743650
2004-06-24,1433547570
2004-06-25,1431514890
2004-06-28,1446251820
2004-06-29,1457939730
2004-06-30,1412204430
2004-07-01,1392385800
2004-07-02,1357276800
2004-07-06,1285814120
2004-07-07,1279644680
2004-07-08,1254966920
2004-07-09,1269876400
2004-07-12,1227718560
2004-07-13,1233888000
2004-07-14,1226690320
2004-07-15,1216407920
2004-07-16,1195843120
2004-07-19,1192244280
2004-07-20,1208182000
2004-07-21,1161911200
2004-07-22,1181961880
2004-07-23,1115640400
2004-07-26,1141346400
2004-07-27,1363960360
2004-07-28,1382468680
2004-07-29,1396349920
2004-07-30,1427711240
2004-08-02,1405089960
2004-08-03,1344937920
2004-08-04,1344423800
2004-08-05,1344423800
