,SCI
2002-07-25,737877500
2002-07-26,734925990
2002-07-29,734925990
2002-07-30,678847300
2002-07-31,664089750
2002-08-01,708362400
2002-08-02,779198640
2002-08-05,791004680
2002-08-06,870695450
2002-08-07,914968100
2002-08-08,811665250
2002-08-09,844131860
2002-08-12,861840920
2002-08-13,767392600
2002-08-14,929725650
2002-08-15,994658870
2002-08-16,1027125480
2002-08-19,1092058700
2002-08-20,1080252660
2002-08-21,1124525310
2002-08-22,1077301150
2002-08-23,1065495110
2002-08-26,1092058700
2002-08-27,1059592090
2002-08-28,1077301150
2002-08-29,1130428330
2002-08-30,1097961720
2002-09-03,988755850
2002-09-04,979901320
2002-09-05,929725650
2002-09-06,1033028500
2002-09-09,944483200
2002-09-10,1021222460
2002-09-11,1068446620
2002-09-12,1003513400
2002-09-13,973998300
2002-09-16,944483200
2002-09-17,941531690
2002-09-18,973998300
2002-09-19,965143770
2002-09-20,1006464910
2002-09-23,971046790
2002-09-24,888404509
2002-09-25,959240750
2002-09-26,953337730
2002-09-27,938580180
2002-09-30,1042212500
2002-10-01,976702000
2002-10-02,967768750
2002-10-03,896302749
2002-10-04,949902250
2002-10-07,905236000
2002-10-08,854614250
2002-10-09,720615500
2002-10-10,875458500
2002-10-11,893325000
2002-10-14,866525250
2002-10-15,905236000
2002-10-16,845681000
2002-10-17,860569750
2002-10-18,857592000
2002-10-21,833770000
2002-10-22,830792250
2002-10-23,842703250
2002-10-24,836747750
2002-10-25,878436250
2002-10-28,899280500
2002-10-29,863547500
2002-10-30,893325000
2002-10-31,937991250
2002-11-01,952880000
2002-11-04,967768750
2002-11-05,932035750
2002-11-06,896302749
2002-11-07,860569750
2002-11-08,786126000
2002-11-11,771237250
2002-11-12,863547500
2002-11-13,821858999
2002-11-14,860569750
2002-11-15,848658750
2002-11-18,774215000
2002-11-19,792081500
2002-11-20,890347250
2002-11-21,905236000
2002-11-22,967768750
2002-11-25,991590750
2002-11-26,976702000
2002-11-27,1012435000
2002-11-29,988613000
2002-12-02,1051145750
2002-12-03,1071990000
2002-12-04,1021368250
2002-12-05,1012435000
2002-12-06,1092834250
2002-12-09,994568500
2002-12-10,1048168000
2002-12-11,1042212500
2002-12-12,1036257000
2002-12-13,1036257000
2002-12-16,1027323750
2002-12-17,1006479500
2002-12-18,979679750
2002-12-19,1057101250
2002-12-20,1095812000
2002-12-23,1083901000
2002-12-24,1104745250
2002-12-26,1104745250
2002-12-27,1080923250
2002-12-30,1021368250
2002-12-31,988613000
2003-01-02,1071990000
2003-01-03,1071990000
2003-01-06,1086878750
2003-01-07,1066034500
2003-01-08,1077945500
2003-01-09,1137500500
2003-01-10,1089856500
2003-01-13,1116656250
2003-01-14,1101767500
2003-01-15,1101767500
2003-01-16,1116656250
2003-01-17,1086878750
2003-01-21,1045190249
2003-01-22,976702000
2003-01-23,976702000
2003-01-24,937991250
2003-01-27,932035750
2003-01-28,988613000
2003-01-29,967768750
2003-01-30,952880000
2003-01-31,985635250
2003-02-03,982657500
2003-02-04,976702000
2003-02-05,979679750
2003-02-06,952880000
2003-02-07,908213750
2003-02-10,943946750
2003-02-11,985635250
