,PD
2023-11-28,1991750480
2023-11-29,2027696000
2023-11-30,2009262400
2023-12-01,2002810640
2023-12-04,2046129600
2023-12-05,2001888960
2023-12-06,2021244240
2023-12-07,2018479199
2023-12-08,2034147760
2023-12-11,2062719840
2023-12-12,2006497360
2023-12-13,2069171600
2023-12-14,2146592720
2023-12-15,2150279440
2023-12-18,2188068320
2023-12-19,2233230640
2023-12-20,2167791360
2023-12-21,2200971840
2023-12-22,2205580240
2023-12-26,2204658560
2023-12-27,2173321440
2023-12-28,2177929840
2023-12-29,2133689199
2024-01-02,2020322560
2024-01-03,1953961600
2024-01-04,1981612000
2024-01-05,1965021760
2024-01-08,2130924160
2024-01-09,2090370240
2024-01-10,2442452000
2024-01-11,2362265840
2024-01-12,2417566640
2024-01-16,2405584800
2024-01-17,2387151200
2024-01-18,2400976400
2024-01-19,2383464480
2024-01-22,2388072880
2024-01-23,2361344160
2024-01-24,2236917360
2024-01-25,2205580240
2024-01-26,2192676720
2024-01-29,2272862880
2024-01-30,2212953680
2024-01-31,2182538240
2024-02-01,2225857200
2024-02-02,2190833360
2024-02-05,2164104640
2024-02-06,2199128480
2024-02-07,2194520080
2024-02-08,2231387280
2024-02-09,2318946880
2024-02-12,2293139840
2024-02-13,2194520080
2024-02-14,2261802720
2024-02-15,2257194320
2024-02-16,2199128480
2024-02-20,2182538240
2024-02-21,2075623360
2024-02-22,2133689199
2024-02-23,2143827680
2024-02-26,2186224960
2024-02-27,2207423600
2024-02-28,2182538240
2024-02-29,2226778880
2024-03-01,2271941200
2024-03-04,2268254480
2024-03-05,2118942319
2024-03-06,2159496240
2024-03-07,2243369120
2024-03-08,2272862880
2024-03-11,2198206800
2024-03-12,2163182960
2024-03-13,2155809520
2024-03-14,2113412240
2024-03-15,1958570000
2024-03-18,2042442880
2024-03-19,2040599520
2024-03-20,2071014960
2024-03-21,2094978640
2024-03-22,2062719840
2024-03-25,2055346400
2024-03-26,2032304400
2024-03-27,2025852640
2024-03-28,2090370240
2024-04-01,2071936640
2024-04-02,1992672160
2024-04-03,2063641520
2024-04-04,2036912800
2024-04-05,2071014960
2024-04-08,2078388400
2024-04-09,2135532560
2024-04-10,2058111439
2024-04-11,2103273760
2024-04-12,2038756160
2024-04-15,1931841280
2024-04-16,1909720960
2024-04-17,1955804960
2024-04-18,1919859439
2024-04-19,1899582480
2024-04-22,1873775439
2024-04-23,1940136400
2024-04-24,1913407680
2024-04-25,1861793600
2024-04-26,1919859439
2024-04-29,1907877600
2024-04-30,1839673280
2024-05-01,1860871920
2024-05-02,1883913920
2024-05-03,1879305520
2024-05-06,1914329360
2024-05-07,1854420160
2024-05-08,1800041040
2024-05-09,1822161360
2024-05-10,1835986560
2024-05-13,1910642640
2024-05-14,1906955920
2024-05-15,1962256720
2024-05-16,1932762960
2024-05-17,1997280560
2024-05-20,1927232880
2024-05-21,1864558640
2024-05-22,1837829920
2024-05-23,1805571120
2024-05-24,1822161360
2024-05-28,1828728440
2024-05-29,1804580680
2024-05-30,1667124200
2024-05-31,1761857720
2024-06-03,1754427640
2024-06-04,1797150600
2024-06-05,1803651920
2024-06-06,1838944800
2024-06-07,1830585960
2024-06-10,1864021320
2024-06-11,1881667760
2024-06-12,1933678320
2024-06-13,1948538480
2024-06-14,2004264079
2024-06-17,1986617640
2024-06-18,1959683600
2024-06-20,1942037160
2024-06-21,1987546399
2024-06-24,2011694160
2024-06-25,2033055640
2024-06-26,2081351160
2024-06-27,2113857760
2024-06-28,2129646680
2024-07-01,2113857760
2024-07-02,2056274640
2024-07-03,2049773320
2024-07-05,2023768040
2024-07-08,1994976480
2024-07-09,1948538480
2024-07-10,1904886760
2024-07-11,1949467239
2024-07-12,1982902600
2024-07-15,1915103120
2024-07-16,1928105760
2024-07-17,2021910520
2024-07-18,1879810239
2024-07-19,1878881480
2024-07-22,1936464600
2024-07-23,1935535840
2024-07-24,1879810239
2024-07-25,1946680960
2024-07-26,1955039800
2024-07-29,1994976480
2024-07-30,2031198120
2024-07-31,1943894680
2024-08-01,1858448760
2024-08-02,1806438200
2024-08-05,1737709960
2024-08-06,1708918399
2024-08-07,1742353760
2024-08-08,1721921040
2024-08-09,1708918399
