,NXPI
2014-04-28,13916155020
2014-04-29,14208773240
2014-04-30,14299916620
2014-05-01,14501391460
2014-05-02,14817994780
2014-05-05,14683678220
2014-05-06,14520579540
2014-05-07,14443827220
2014-05-08,14561354210
2014-05-09,14335894270
2014-05-12,15019469620
2014-05-13,14561354210
2014-05-14,14280728540
2014-05-15,14307112150
2014-05-16,14451022750
2014-05-19,14520579540
2014-05-20,14580542290
2014-05-21,14489398910
2014-05-22,14520579540
2014-05-23,14789212660
2014-05-27,14969100910
2014-05-28,14825190310
2014-05-29,14877957530
2014-05-30,14894747100
2014-06-02,14966702400
2014-06-03,15036259190
2014-06-04,14990687500
2014-06-05,15206553400
2014-06-06,15153786180
2014-06-09,15278508700
2014-06-10,15446404400
2014-06-11,15273711680
2014-06-12,14935521770
2014-06-13,14940318790
2014-06-16,14997883030
2014-06-17,15182568300
2014-06-18,15091424920
2014-06-19,15587916489
2014-06-20,15935700440
2014-06-23,15844557060
2014-06-24,15455998440
2014-06-25,15489577580
2014-06-26,15324080390
2014-06-27,15592713510
2014-06-30,15873339180
2014-07-01,15786629250
2014-07-02,15657326999
2014-07-03,15835999200
2014-07-07,15730206450
2014-07-08,15438688650
2014-07-09,15607957050
2014-07-10,15382265850
2014-07-11,15615009900
2014-07-14,15598553249
2014-07-15,15459847200
2014-07-16,15758417850
2014-07-17,15264718350
2014-07-18,15659677950
2014-07-21,15582096600
2014-07-22,15575043750
2014-07-23,15173031300
2014-07-24,15358756350
2014-07-25,14810985000
2014-07-28,14655822300
2014-07-29,14503010550
2014-07-30,14900321100
2014-07-31,14658173250
2014-08-01,14669928000
2014-08-04,14747509350
2014-08-05,14571188100
2014-08-06,14796879300
2014-08-07,14223247500
2014-08-08,14361953550
2014-08-11,14505361500
2014-08-12,14698139400
2014-08-13,14815686900
2014-08-14,14980253400
2014-08-15,15020219550
2014-08-18,14865056850
2014-08-19,14872109700
2014-08-20,15093099000
2014-08-21,15053132850
2014-08-22,15382265850
2014-08-25,15408126300
2014-08-26,15220050299
2014-08-27,15408126300
2014-08-28,15741961199
2014-08-29,16108709400
2014-09-02,16238011649
2014-09-03,16280328750
2014-09-04,16322645850
2014-09-05,16689394049
2014-09-08,16736413050
2014-09-09,16461351900
2014-09-10,16604759849
2014-09-11,16771677300
2014-09-12,16451948100
2014-09-15,16118113200
2014-09-16,16517774700
2014-09-17,16628269350
2014-09-18,17164285950
2014-09-19,16924489049
2014-09-22,16644726000
2014-09-23,16926840000
2014-09-24,16976209949
2014-09-25,16411981950
2014-09-26,16712903550
2014-09-29,16522476600
2014-09-30,16087550850
2014-10-01,15338545670
2014-10-02,15408255770
2014-10-03,15654564790
2014-10-06,15385019069
2014-10-07,15150328400
2014-10-08,15373400720
2014-10-09,14950492780
2014-10-10,13091556780
2014-10-13,12524581300
2014-10-14,13147324860
2014-10-15,13619029870
2014-10-16,14188329020
2014-10-17,14039614140
2014-10-20,14290570500
2014-10-21,15020202880
2014-10-22,14901695709
2014-10-23,14913314060
2014-10-24,15227009510
2014-10-27,15280453920
2014-10-28,15701038189
2014-10-29,15580207350
2014-10-30,15199125470
2014-10-31,15954318220
2014-11-03,16091414750
2014-11-04,16189008890
2014-11-05,17046443120
2014-11-06,17072003490
2014-11-07,17088269180
2014-11-10,17285781130
2014-11-11,17157979280
2014-11-12,17055737800
2014-11-13,16865196860
2014-11-14,17132418910
2014-11-17,17281133790
2014-11-18,17322959850
2014-11-19,16962791000
2014-11-20,17227689380
2014-11-21,17392669950
2014-11-24,17701718060
2014-11-25,17694747050
2014-11-26,18089770950
2014-11-28,18080476270
2014-12-01,17632007960
2014-12-02,17511177120
2014-12-03,17857403950
2014-12-04,17692423380
2014-12-05,17945703410
2014-12-08,17685452370
2014-12-09,17841138260
2014-12-10,17462380050
2014-12-11,17415906650
2014-12-12,17053414130
2014-12-15,16760631709
2014-12-16,16890757230
2014-12-17,17527442810
2014-12-18,18082799940
2014-12-19,17773751830
2014-12-22,17959645430
2014-12-23,17722631090
2014-12-24,17834167250
2014-12-26,17803959540
2014-12-29,17724954760
2014-12-30,17562297860
2014-12-31,17752838800
2015-01-02,17866673862
2015-01-05,17678260820
2015-01-06,16836217344
2015-01-07,17289804299
2015-01-08,18106260818
2015-01-09,18683130382
2015-01-12,18690108643
2015-01-13,18431912991
2015-01-14,18624978208
2015-01-15,17820152123
2015-01-16,18122543427
2015-01-20,18324912992
2015-01-21,18445869513
2015-01-22,18390043426
2015-01-23,18662195599
2015-01-26,18403999948
2015-01-27,18150456470
2015-01-28,18406326035
2015-01-29,18578456469
2015-01-30,18455173861
2015-02-02,18113239079
2015-02-03,18548217339
2015-02-04,18550543426
2015-02-05,18206282557
2015-02-06,19141369511
2015-02-09,18834326034
2015-02-10,19064608642
2015-02-11,19506565162
2015-02-12,19862456466
2015-02-13,19722891249
2015-02-17,19473999945
2015-02-18,19855478205
2015-02-19,19927586900
2015-02-20,19692652118
2015-02-23,19655434727
2015-02-24,19983412987
2015-02-25,19748478205
2015-02-26,19762434727
2015-02-27,19748478205
2015-03-02,23158521674
2015-03-03,22965456457
2015-03-04,23137586891
2015-03-05,22951499935
2015-03-06,22907304283
2015-03-09,22963130370
2015-03-10,22690978197
2015-03-11,22784021675
2015-03-12,22930565153
2015-03-13,24347152105
2015-03-16,24277369497
2015-03-17,24151760801
2015-03-18,24507652105
2015-03-19,24498347757
2015-03-20,25128717320
2015-03-23,24398326018
