,EP
2001-11-02,7048540.8
2001-11-05,7048540.8
2001-11-06,5873784.0
2001-11-07,5873784.0
2001-11-08,5873784.0
2001-11-09,5873784.0
2001-11-12,5873784.0
2001-11-13,6108735.36
2001-11-14,6108735.36
2001-11-15,5873784.0
2001-11-16,5873784.0
2001-11-19,5403881.28
2001-11-20,5403881.28
2001-11-21,5403881.28
2001-11-23,5403881.28
2001-11-26,4699027.2
2001-11-27,4699027.2
2001-11-28,4699027.2
2001-11-29,3054367.68
2001-11-30,3054367.68
2001-12-03,4464075.84
2001-12-04,4464075.84
2001-12-05,4464075.84
2001-12-06,4699027.2
2001-12-07,4699027.2
2001-12-10,4699027.2
2001-12-11,4229124.48
2001-12-12,4699027.2
2001-12-13,3524270.4
2001-12-14,3289319.04
2001-12-17,3289319.04
2001-12-18,3994173.12
2001-12-19,3994173.12
2001-12-20,3994173.12
2001-12-21,3289319.04
2001-12-24,3289319.04
2001-12-26,3054367.68
2001-12-27,2819416.32
2001-12-28,2819416.32
2001-12-31,5873784.0
2002-01-02,5873784.0
2002-01-03,5873784.0
2002-01-04,4229124.48
2002-01-07,4229124.48
2002-01-08,4229124.48
2002-01-09,4229124.48
2002-01-10,4229124.48
2002-01-11,4229124.48
2002-01-14,4229124.48
2002-01-15,4229124.48
2002-01-16,4229124.48
2002-01-17,4229124.48
2002-01-18,4229124.48
2002-01-22,5403881.28
2002-01-23,4464075.84
2002-01-24,4464075.84
2002-01-25,4464075.84
2002-01-28,4464075.84
2002-01-29,4229124.48
2002-01-30,4229124.48
2002-01-31,5168929.92
2002-02-01,5168929.92
2002-02-04,5168929.92
2002-02-05,5168929.92
2002-02-06,5168929.92
2002-02-07,5168929.92
2002-02-08,5168929.92
2002-02-11,5638832.64
2002-02-12,4699027.2
2002-02-13,4699027.2
2002-02-14,4699027.2
2002-02-15,4464075.84
2002-02-19,4699027.2
2002-02-20,5168929.92
2002-02-21,5168929.92
2002-02-22,5168929.92
2002-02-25,4464075.84
2002-02-26,5638832.64
2002-02-27,5638832.64
2002-02-28,5638832.64
2002-03-01,5403881.28
2002-03-04,5403881.28
2002-03-05,5403881.28
2002-03-06,5403881.28
2002-03-07,5403881.28
2002-03-08,5403881.28
2002-03-11,5638832.64
2002-03-12,4933978.56
2002-03-13,4933978.56
2002-03-14,4933978.56
2002-03-15,4933978.56
2002-03-18,4933978.56
2002-03-19,4933978.56
2002-03-20,4933978.56
2002-03-21,4933978.56
2002-03-22,4699027.2
2002-03-25,4699027.2
2002-03-26,4699027.2
2002-03-27,4699027.2
2002-03-28,4699027.2
2002-04-01,4820659.2
2002-04-02,4820659.2
2002-04-03,4820659.2
2002-04-04,4820659.2
2002-04-05,5302725.12
2002-04-08,4579626.24
2002-04-09,4579626.24
2002-04-10,3856527.36
2002-04-11,3856527.36
2002-04-12,4097560.32
2002-04-15,4097560.32
2002-04-16,3856527.36
2002-04-17,4820659.2
2002-04-18,4820659.2
2002-04-19,4338593.28
2002-04-22,4338593.28
2002-04-23,4338593.28
2002-04-24,4338593.28
2002-04-25,4338593.28
2002-04-26,5302725.12
2002-04-29,5302725.12
2002-04-30,5302725.12
2002-05-01,5302725.12
2002-05-02,5302725.12
2002-05-03,5543758.08
2002-05-06,5543758.08
2002-05-07,4820659.2
2002-05-08,5061692.16
2002-05-09,5302725.12
2002-05-10,5302725.12
2002-05-13,5302725.12
2002-05-14,5302725.12
2002-05-15,5302725.12
2002-05-16,4820659.2
2002-05-17,4820659.2
2002-05-20,4820659.2
2002-05-21,4097560.32
2002-05-22,4097560.32
2002-05-23,4097560.32
2002-05-24,4097560.32
2002-05-28,4097560.32
2002-05-29,4097560.32
2002-05-30,4097560.32
2002-05-31,4097560.32
2002-06-03,4097560.32
2002-06-04,4097560.32
2002-06-05,4097560.32
2002-06-06,4097560.32
2002-06-07,4097560.32
2002-06-10,4097560.32
2002-06-11,4097560.32
2002-06-12,4097560.32
2002-06-13,4097560.32
2002-06-14,4097560.32
2002-06-17,4097560.32
2002-06-18,4097560.32
2002-06-19,4097560.32
2002-06-20,4097560.32
2002-06-21,4097560.32
2002-06-24,4097560.32
2002-06-25,4097560.32
2002-06-26,3856527.36
2002-06-27,4338593.28
2002-06-28,4338593.28
2002-07-01,4402762.56
2002-07-02,4402762.56
2002-07-03,3913566.72
2002-07-05,3913566.72
2002-07-08,3913566.72
2002-07-09,3913566.72
2002-07-10,3913566.72
2002-07-11,3913566.72
2002-07-12,3913566.72
2002-07-15,3668968.8
2002-07-16,3668968.8
2002-07-17,3668968.8
2002-07-18,3668968.8
2002-07-19,3668968.8
2002-07-22,3668968.8
2002-07-23,3668968.8
2002-07-24,3668968.8
2002-07-25,2935175.04
2002-07-26,3424370.88
2002-07-29,3424370.88
2002-07-30,3424370.88
2002-07-31,3424370.88
2002-08-01,3424370.88
2002-08-02,2690577.12
2002-08-05,2690577.12
2002-08-06,2445979.2
2002-08-07,2445979.2
2002-08-08,2445979.2
2002-08-09,2445979.2
2002-08-12,2201381.28
2002-08-13,2445979.2
2002-08-14,2445979.2
2002-08-15,1956783.36
2002-08-16,1956783.36
2002-08-19,1956783.36
2002-08-20,1956783.36
2002-08-21,1956783.36
2002-08-22,1712185.44
2002-08-23,1712185.44
2002-08-26,1712185.44
2002-08-27,1712185.44
2002-08-28,1712185.44
2002-08-29,1712185.44
2002-08-30,1712185.44
2002-09-03,1712185.44
2002-09-04,1712185.44
2002-09-05,1712185.44
2002-09-06,1712185.44
2002-09-09,2445979.2
2002-09-10,2445979.2
2002-09-11,2445979.2
2002-09-12,2445979.2
2002-09-13,1712185.44
2002-09-16,1712185.44
2002-09-17,1712185.44
2002-09-18,1712185.44
2002-09-19,1712185.44
2002-09-20,1712185.44
2002-09-23,1712185.44
2002-09-24,1712185.44
2002-09-25,1712185.44
2002-09-26,1712185.44
2002-09-27,1712185.44
2002-09-30,1857068.64
2002-10-01,1857068.64
2002-10-02,1857068.64
2002-10-03,1591773.12
2002-10-04,1591773.12
2002-10-07,1591773.12
2002-10-08,2387659.68
2002-10-09,2387659.68
2002-10-10,2387659.68
2002-10-11,1857068.64
2002-10-14,1857068.64
2002-10-15,1857068.64
2002-10-16,1857068.64
2002-10-17,1857068.64
2002-10-18,1857068.64
2002-10-21,1193829.84
2002-10-22,2122364.16
2002-10-23,2122364.16
2002-10-24,2122364.16
2002-10-25,2122364.16
2002-10-28,2122364.16
2002-10-29,2122364.16
2002-10-30,1326477.6
2002-10-31,1326477.6
2002-11-01,1326477.6
2002-11-04,928534.32
2002-11-05,1061182.08
2002-11-06,1061182.08
2002-11-07,1061182.08
2002-11-08,1061182.08
2002-11-11,1061182.08
2002-11-12,1591773.12
2002-11-13,1061182.08
2002-11-14,1061182.08
2002-11-15,1061182.08
2002-11-18,1061182.08
2002-11-19,1591773.12
2002-11-20,1061182.08
2002-11-21,1061182.08
2002-11-22,928534.32
2002-11-25,928534.32
2002-11-26,928534.32
2002-11-27,928534.32
2002-11-29,1326477.6
2002-12-02,928534.32
2002-12-03,928534.32
2002-12-04,928534.32
2002-12-05,663238.8
2002-12-06,663238.8
2002-12-09,663238.8
2002-12-10,663238.8
2002-12-11,530591.04
2002-12-12,530591.04
2002-12-13,663238.8
2002-12-16,530591.04
2002-12-17,424472.83
2002-12-18,424472.83
2002-12-19,663238.8
2002-12-20,530591.04
2002-12-23,424472.83
2002-12-24,424472.83
2002-12-26,424472.83
2002-12-27,424472.83
2002-12-30,424472.83
2002-12-31,607968.9
2003-01-02,607968.9
2003-01-03,607968.9
2003-01-06,607968.9
2003-01-07,607968.9
2003-01-08,607968.9
2003-01-09,607968.9
2003-01-10,607968.9
2003-01-13,607968.9
2003-01-14,607968.9
2003-01-15,607968.9
2003-01-16,607968.9
2003-01-17,607968.9
2003-01-21,607968.9
2003-01-22,397943.28
2003-01-23,477531.94
2003-01-24,477531.94
2003-01-27,397943.28
2003-01-28,397943.28
2003-01-29,397943.28
2003-01-30,397943.28
2003-01-31,397943.28
2003-02-03,344884.18
2003-02-04,344884.18
2003-02-05,344884.18
2003-02-06,344884.18
2003-02-07,344884.18
2003-02-10,344884.18
2003-02-11,344884.18
2003-02-12,185706.86
2003-02-13,185706.86
2003-02-14,185706.86
2003-02-18,185706.86
2003-02-19,185706.86
2003-02-20,185706.86
2003-02-21,185706.86
2003-02-24,185706.86
2003-02-25,185706.86
2003-02-26,291825.07
2003-02-27,530591.04
2003-02-28,530591.04
2003-03-03,424472.83
