,ATVI
2002-10-22,1329372926
2002-10-23,1358766096
2002-10-24,1314676341
2002-10-25,1275930798
2002-10-28,1217144458
2002-10-29,1216476431
2002-10-30,1357430043
2002-10-31,1369454522
2002-11-01,1409536118
2002-11-04,1454293900
2002-11-05,1440933368
2002-11-06,1513080240
2002-11-07,1444273501
2002-11-08,1379474921
2002-11-11,1304655942
2002-11-12,1334049112
2002-11-13,1338725298
2002-11-14,1349413724
2002-11-15,1295971596
2002-11-18,1281275011
2002-11-19,1253885921
2002-11-20,1268582506
2002-11-21,1339393325
2002-11-22,1396175586
2002-11-25,1414880330
2002-11-26,1362106229
2002-11-27,1422228623
2002-11-29,1442937447
2002-12-02,1428908889
2002-12-03,1396175586
2002-12-04,1358766096
2002-12-05,1329372926
2002-12-06,1290627383
2002-12-09,1210464192
2002-12-10,1136981266
2002-12-11,1086879272
2002-12-12,1123620734
2002-12-13,1032101091
2002-12-16,1045461623
2002-12-17,1050805835
2002-12-18,849061803
2002-12-19,885803266
2002-12-20,899831825
2002-12-23,926552888
2002-12-24,923212756
2002-12-26,919204596
2002-12-27,935905261
2002-12-30,954610006
2002-12-31,856351274
2003-01-02,910937064
2003-01-03,873959593
2003-01-06,869850985
2003-01-07,861046825
2003-01-08,829938794
2003-01-09,856938218
2003-01-10,883937641
2003-01-13,895089577
2003-01-14,892741801
2003-01-15,889807081
2003-01-16,848721002
2003-01-17,827004074
2003-01-21,843438506
2003-01-22,822895466
2003-01-23,809982699
2003-01-24,802939371
2003-01-27,809982699
2003-01-28,823482410
2003-01-29,851068778
2003-01-30,843438506
2003-01-31,854003498
2003-02-03,859872938
2003-02-04,853416554
2003-02-05,839916842
2003-02-06,841090730
2003-02-07,838742954
2003-02-10,839329898
2003-02-11,836982122
2003-02-12,820547691
2003-02-13,815265195
2003-02-14,851655722
2003-02-18,880415977
2003-02-19,880415977
2003-02-20,860459882
2003-02-21,881002921
2003-02-24,854003498
2003-02-25,854003498
2003-02-26,841677674
2003-02-27,855764330
2003-02-28,874546537
2003-03-03,862807657
2003-03-04,858112106
2003-03-05,849894890
2003-03-06,870437929
2003-03-07,878655145
2003-03-10,863981545
2003-03-11,864568489
2003-03-12,867503209
2003-03-13,862807657
2003-03-14,861046825
2003-03-17,896850409
2003-03-18,873959593
2003-03-19,865742377
2003-03-20,878068201
2003-03-21,877481257
2003-03-24,849307946
2003-03-25,862807657
2003-03-26,863394601
2003-03-27,865155433
2003-03-28,865155433
2003-03-31,848134058
2003-04-01,851068778
2003-04-02,856938218
2003-04-03,845199338
2003-04-04,838742954
2003-04-07,835808234
2003-04-08,827591018
2003-04-09,812330475
2003-04-10,809982699
2003-04-11,802352427
2003-04-14,824656298
2003-04-15,818199915
2003-04-16,824656298
2003-04-17,844612394
2003-04-21,842851562
2003-04-22,886285417
2003-04-23,915632616
2003-04-24,913871784
2003-04-25,904480680
2003-04-28,923262888
2003-04-29,897437353
2003-04-30,898024297
2003-05-01,922089000
2003-05-02,944392871
2003-05-05,984305062
2003-05-06,1035956133
2003-05-07,1060607780
2003-05-08,1031260581
2003-05-09,991935334
2003-05-12,991935334
2003-05-13,988413670
2003-05-14,992522278
2003-05-15,989587558
2003-05-16,974327015
2003-05-19,933827880
2003-05-20,925610664
2003-05-21,933240936
2003-05-22,940871207
2003-05-23,947327591
2003-05-27,966696743
2003-05-28,974913959
2003-05-29,970218407
2003-05-30,996630886
2003-06-02,990174502
2003-06-03,1001913382
2003-06-04,1029499749
2003-06-05,1050042789
2003-06-06,1058846948
2003-06-09,1028325861
2003-06-10,1050336261
2003-06-11,1079389988
2003-06-12,1081150820
2003-06-13,1074987908
2003-06-16,1092596228
2003-06-17,1147182018
2003-06-18,1148942850
2003-06-19,1115487043
2003-06-20,1128693283
2003-06-23,1089954980
2003-06-24,1075868324
2003-06-25,1122530371
2003-06-26,1141019106
2003-06-27,1147182018
2003-06-30,1134588206
2003-07-01,1135469782
2003-07-02,1131943478
2003-07-03,1132825054
2003-07-07,1163680211
2003-07-08,1174259122
2003-07-09,1176903850
2003-07-10,1165443363
2003-07-11,1158390756
2003-07-14,1149574997
2003-07-15,1149574997
2003-07-16,1143403965
2003-07-17,1096680442
2003-07-18,1098443593
2003-07-21,995299211
2003-07-22,1043785887
2003-07-23,1002351818
2003-07-24,1029680672
2003-07-25,1028799096
2003-07-28,1044667462
2003-07-29,1045549038
2003-07-30,1027035944
2003-07-31,1037614855
2003-08-01,1030562248
2003-08-04,1025272792
2003-08-05,1006759698
2003-08-06,1006759698
