,SE
2022-06-09,45810840454
2022-06-10,42521914211
2022-06-13,39366774798
2022-06-14,39550731689
2022-06-15,42187447135
2022-06-16,38480437047
2022-06-17,39132647845
2022-06-21,40621026331
2022-06-22,39734688581
2022-06-23,43592208853
2022-06-24,44857609289
2022-06-27,41836256706
2022-06-28,40074730108
2022-06-29,38407969181
2022-06-30,37270781124
2022-07-01,38924882682
2022-07-05,42464533178
2022-07-06,41557075010
2022-07-07,43118353971
2022-07-08,43693265357
2022-07-11,40982163623
2022-07-12,40869435901
2022-07-13,40080341841
2022-07-14,38203425256
2022-07-15,38975610158
2022-07-18,39031974019
2022-07-19,42470169564
2022-07-20,44256903971
2022-07-21,47001824021
2022-07-22,43580537634
2022-07-25,42351805455
2022-07-26,40480525257
2022-07-27,43355082188
2022-07-28,43276172782
2022-07-29,43016899020
2022-08-01,43535446545
2022-08-02,44803633426
2022-08-03,47351279962
2022-08-04,49014013873
2022-08-05,49357833427
2022-08-08,48213647041
2022-08-09,47080733427
2022-08-10,49194378229
2022-08-11,49927108428
2022-08-12,50000381447
2022-08-15,50710566101
2022-08-16,43642537882
2022-08-17,40858163128
2022-08-18,39454702980
2022-08-19,38141425009
2022-08-22,36241962880
2022-08-23,35723415355
2022-08-24,36433600008
2022-08-25,38039970058
2022-08-26,35971416345
2022-08-29,34573592582
2022-08-30,35137231196
2022-08-31,34945594068
2022-09-01,34562319810
2022-09-02,33778862137
2022-09-06,32927767829
2022-09-07,33158859661
2022-09-08,33457588127
2022-09-09,35774142830
2022-09-12,37442513128
2022-09-13,35537414612
2022-09-14,35441596048
2022-09-15,34252318572
2022-09-16,33260314612
2022-09-19,33677407186
2022-09-20,32375401988
2022-09-21,32149946542
2022-09-22,30988850997
2022-09-23,30329393819
2022-09-26,30419575997
2022-09-27,30774668324
2022-09-28,31422852730
2022-09-29,30227938868
2022-09-30,31591944314
2022-10-03,30980441182
2022-10-04,33994996681
2022-10-05,33899741210
2022-10-06,34695404557
2022-10-07,33647594375
2022-10-10,33171317019
2022-10-11,32213159044
2022-10-12,32140316625
2022-10-13,30509767089
2022-10-14,28615864192
2022-10-17,29658071111
2022-10-18,30083919100
2022-10-19,26850836343
2022-10-20,26553863404
2022-10-21,25875868580
2022-10-24,26340939410
2022-10-25,28021918313
2022-10-26,28369320619
2022-10-27,27786581266
2022-10-28,27758564951
2022-10-31,27837010633
2022-11-01,27517624642
2022-11-02,26486624248
2022-11-03,25685357637
2022-11-04,24659960507
2022-11-07,27159015809
2022-11-08,26368955725
2022-11-09,22928552236
2022-11-10,25769406582
2022-11-11,27696929058
2022-11-14,25662944585
2022-11-15,34913931815
2022-11-16,32924773446
2022-11-17,33580355218
2022-11-18,31904979578
2022-11-21,30308049621
2022-11-22,30005473418
2022-11-23,31170952124
2022-11-25,30436924670
2022-11-28,29949440788
2022-11-29,30403305092
2022-11-30,32706246189
2022-12-01,34263953306
2022-12-02,34392828355
2022-12-05,33070458285
2022-12-06,33485099747
2022-12-07,32554958088
2022-12-08,34224730465
2022-12-09,33983790155
2022-12-12,34891518763
2022-12-13,35591926639
2022-12-14,36410003038
2022-12-15,34207920676
2022-12-16,30083919100
2022-12-19,29708500479
2022-12-20,28587847877
2022-12-21,29383511224
2022-12-22,28145190099
2022-12-23,27971488945
2022-12-27,28156396625
2022-12-28,27411162644
2022-12-29,29590831955
2022-12-30,29153777441
2023-01-03,29857336853
2023-01-04,31373309600
2023-01-05,31469114569
2023-01-06,31384580772
2023-01-09,29891150371
2023-01-10,30550513982
2023-01-11,32015766452
2023-01-12,32900553519
2023-01-13,33881145557
2023-01-17,35047711945
2023-01-18,34968813736
2023-01-19,34557415927
2023-01-20,37115972162
2023-01-23,37606268180
2023-01-24,36067753088
2023-01-25,36214278334
2023-01-26,37758429014
2023-01-27,38631944909
2023-01-30,36411523859
2023-01-31,36321354476
2023-02-01,38857368365
2023-02-02,40863637131
2023-02-03,39713977501
2023-02-06,37341395618
2023-02-07,38626309322
2023-02-08,38519233180
2023-02-09,37938767779
2023-02-10,36067753088
2023-02-13,36642582902
2023-02-14,36197371575
2023-02-15,37087794230
2023-02-16,37662624044
2023-02-17,36636947316
2023-02-21,35453474168
2023-02-22,35673262038
2023-02-23,35154788087
2023-02-24,33819154106
2023-02-27,33802247347
2023-02-28,35216779538
2023-03-01,34980084908
2023-03-02,35819787285
2023-03-03,37008896020
2023-03-06,37031438365
2023-03-07,45118504878
2023-03-08,44977615218
2023-03-09,43715243859
2023-03-10,41393382254
2023-03-13,42148550835
2023-03-14,43191134322
2023-03-15,42396516637
2023-03-16,44109734909
2023-03-17,44182997532
2023-03-20,43343295156
2023-03-21,45005793150
2023-03-22,43765964137
2023-03-23,47152951576
2023-03-24,46425960927
2023-03-27,46910621360
2023-03-28,46070918983
2023-03-29,48218077409
2023-03-30,48815449570
2023-03-31,48776000465
2023-04-03,49597121504
2023-04-04,49495464912
2023-04-05,48399832759
2023-04-06,47484923435
2023-04-10,47174306072
2023-04-11,46327167809
2023-04-12,45914893854
2023-04-13,47422799962
2023-04-14,47168658483
2023-04-17,46790270059
2023-04-18,46598252053
2023-04-19,46022198034
2023-04-20,44480406395
2023-04-21,44711957521
2023-04-24,44452168453
2023-04-25,42323027619
2023-04-26,41492832121
2023-04-27,42204428262
2023-04-28,43017680995
2023-05-01,42836958165
2023-05-02,42046295786
2023-05-03,42142304790
2023-05-04,42921671992
2023-05-05,44282740801
2023-05-08,47626113145
2023-05-09,47439742728
2023-05-10,48309471344
2023-05-11,48970239189
2023-05-12,47874607036
2023-05-15,49738311214
2023-05-16,40916778102
2023-05-17,40882892572
2023-05-18,39623480354
2023-05-19,39216853988
2023-05-22,38386658490
2023-05-23,36347879071
2023-05-24,35687111225
2023-05-25,34156614764
2023-05-26,33953301581
2023-05-30,33077925375
2023-05-31,32422805119
2023-06-01,32744717659
2023-06-02,33541027626
2023-06-05,33094868141
2023-06-06,34608421837
2023-06-07,34433346596
2023-06-08,35884776820
2023-06-09,35794415405
2023-06-12,36726267495
2023-06-13,37104655919
2023-06-14,35941252704
2023-06-15,35506388396
2023-06-16,35060228911
2023-06-20,34568888718
2023-06-21,34060605761
2023-06-22,33597503510
2023-06-23,33269943382
2023-06-26,32185606405
2023-06-27,32383272000
2023-06-28,32247729878
2023-06-29,32123482932
2023-06-30,32778603189
2023-07-03,32609175537
2023-07-05,32750365247
2023-07-06,31197278432
2023-07-07,31050441133
2023-07-10,32778603189
2023-07-11,33382895150
2023-07-12,34467232127
2023-07-13,35613692576
2023-07-14,35297427625
2023-07-17,35432969747
2023-07-18,34710078429
2023-07-19,35252246917
2023-07-20,33975891934
2023-07-21,34551945953
2023-07-24,34540650776
2023-07-25,34450289362
2023-07-26,34845620551
2023-07-27,34026720230
2023-07-28,35986433412
2023-07-31,37567758169
2023-08-01,37223255276
2023-08-02,34856915728
2023-08-03,34879506081
2023-08-04,33569265568
2023-08-07,33055335022
2023-08-08,32377624411
2023-08-09,31801570393
2023-08-10,32338091292
2023-08-11,32541404476
2023-08-14,32134778109
2023-08-15,22917913808
2023-08-16,22872733101
2023-08-17,22302326670
2023-08-18,21844872008
2023-08-21,21839224420
2023-08-22,20624992909
2023-08-23,20811363327
2023-08-24,19885158826
2023-08-25,20427327315
2023-08-28,20839601269
2023-08-29,21212342105
2023-08-30,21421302877
2023-08-31,21251875224
2023-09-01,21754510593
2023-09-05,21071152395
2023-09-06,22149841783
2023-09-07,22110308664
2023-09-08,21602025706
2023-09-11,21596378118
2023-09-12,21641558825
2023-09-13,22042537603
2023-09-14,22528230207
2023-09-15,22183727313
2023-09-18,21618968471
2023-09-19,21675444355
2023-09-20,21195399340
2023-09-21,20303080369
2023-09-22,20308727958
2023-09-25,22703305448
2023-09-26,22675067506
2023-09-27,23770699659
2023-09-28,24352401267
2023-09-29,24821151105
2023-10-02,25030740964
2023-10-03,24261878614
2023-10-04,23783475373
2023-10-05,23988505334
2023-10-06,24153668357
2023-10-09,23618312350
2023-10-10,25087693731
2023-10-11,25281333138
2023-10-12,25833774975
2023-10-13,25953375785
2023-10-16,26591246772
2023-10-17,26591246772
2023-10-18,26004633275
2023-10-19,25680002505
2023-10-20,25406629224
2023-10-23,25326895351
2023-10-24,25788212761
2023-10-25,25042131517
2023-10-26,23248119366
2023-10-27,22764020849
2023-10-30,23606921797
2023-10-31,23749303713
2023-11-01,23031698853
2023-11-02,23549969030
2023-11-03,25509144204
2023-11-06,25326895351
2023-11-07,25349676458
2023-11-08,25338285904
2023-11-09,24831406281
2023-11-10,25902118295
2023-11-13,26215358512
2023-11-14,20428957415
2023-11-15,21921119902
2023-11-16,21585098579
2023-11-17,21397154449
2023-11-20,21938205732
2023-11-21,21790128539
2023-11-22,21357287512
2023-11-24,20719416525
2023-11-27,21340201682
2023-11-28,22621638933
2023-11-29,20924446485
2023-11-30,20628292098
2023-12-01,21345896959
2023-12-04,21755956879
2023-12-05,21642051346
2023-12-06,21972377392
2023-12-07,22234360119
2023-12-08,22781106680
2023-12-11,21568012749
2023-12-12,21960986839
2023-12-13,21357287512
2023-12-14,21442716662
2023-12-15,20354918818
2023-12-18,20850407888
2023-12-19,21038352018
2023-12-20,19996116388
2023-12-21,21624965515
2023-12-22,21972377392
2023-12-26,22297008163
2023-12-27,22781106680
2023-12-28,22986136640
2023-12-29,23065870513
2024-01-02,21898338796
2024-01-03,22097673479
2024-01-04,21539536365
2024-01-05,21590793855
2024-01-08,21983767946
2024-01-09,21721785219
2024-01-10,21864167136
2024-01-11,21135171722
2024-01-12,20440347968
2024-01-16,20343528265
2024-01-17,19830953364
2024-01-18,20411871585
2024-01-19,20730807078
2024-01-22,21157952829
2024-01-23,21778737986
2024-01-24,22359656206
2024-01-25,22439390079
2024-01-26,22536209783
2024-01-29,23139909110
2024-01-30,22353960929
2024-01-31,21721785219
2024-02-01,23048784683
2024-02-02,23931552567
2024-02-05,23846123417
2024-02-06,24142277804
2024-02-07,24837101557
2024-02-08,24683329087
2024-02-09,24780148791
2024-02-12,24797234621
2024-02-13,23914466737
2024-02-14,24313136104
2024-02-15,25053522071
2024-02-16,25623049738
2024-02-20,25452191438
2024-02-21,25178818158
2024-02-22,25315504798
2024-02-23,25640135568
2024-02-26,25833774975
2024-02-27,26614027878
2024-02-28,27194946099
2024-02-29,27633482402
2024-03-01,29074387400
2024-03-04,30697541251
2024-03-05,31751167435
2024-03-06,33727428439
2024-03-07,33795771759
2024-03-08,32873136939
2024-03-11,33266111029
2024-03-12,33043995239
2024-03-13,34496290790
2024-03-14,34598805770
2024-03-15,33106643282
2024-03-18,32947175535
2024-03-19,31887854075
2024-03-20,31887854075
2024-03-21,31067734234
2024-03-22,31022172021
2024-03-25,31124687001
2024-03-26,31642957178
2024-03-27,30509597121
2024-03-28,30589330994
2024-04-01,30196356904
2024-04-02,31096210618
2024-04-03,30213442734
2024-04-04,30429863247
2024-04-05,31483489431
2024-04-08,31882158798
2024-04-09,32474467572
2024-04-10,32502943955
2024-04-11,31716995775
2024-04-12,30344434097
2024-04-15,30025498604
2024-04-16,32109969865
2024-04-17,31682824115
2024-04-18,32064407652
2024-04-19,31358193345
2024-04-22,33847029249
2024-04-23,35316410630
2024-04-24,36034015491
2024-04-25,35783423317
2024-04-26,35800509147
2024-04-29,36745925074
2024-04-30,35988453277
2024-05-01,35720775274
2024-05-02,36438380134
2024-05-03,37964714282
2024-05-06,37662864618
2024-05-07,37110422781
2024-05-08,38015971772
2024-05-09,37583130745
2024-05-10,36968040864
2024-05-13,36802648074
2024-05-14,37830336043
2024-05-15,39189167915
2024-05-16,40787793645
2024-05-17,42112369251
2024-05-20,41746969084
2024-05-21,41826900370
2024-05-22,42060984852
2024-05-23,40953365596
2024-05-24,41096100036
2024-05-28,39754396298
2024-05-29,38863733391
2024-05-30,38338470651
2024-05-31,38549717622
2024-06-03,39594533725
2024-06-04,40011318290
2024-06-05,40610802939
2024-06-06,41107518792
2024-06-07,41375859539
2024-06-10,41661328420
2024-06-11,41849737881
2024-06-12,42180881782
2024-06-13,42569119460
2024-06-14,42489188173
2024-06-17,42774657054
2024-06-18,43551132409
2024-06-20,43391269836
2024-06-21,43060125934
2024-06-24,43328466682
2024-06-25,42357872488
2024-06-26,42763238298
2024-06-27,42540572572
2024-06-28,40776374890
2024-07-01,39617371235
2024-07-02,40159762108
2024-07-03,40816340533
2024-07-05,41039006260
2024-07-08,41655619042
2024-07-09,41986762943
2024-07-10,42654760124
2024-07-11,42192300537
2024-07-12,42152334894
2024-07-15,41033296883
2024-07-16,40662187338
2024-07-17,39760105676
2024-07-18,39257680446
2024-07-19,39023595964
2024-07-22,38521170734
2024-07-23,38241411231
2024-07-24,37230851394
2024-07-25,36597110480
2024-07-26,37305073303
2024-07-29,37464935876
2024-07-30,37133791975
2024-07-31,37510610897
2024-08-01,36568563592
2024-08-02,34684468980
2024-08-05,34222009394
2024-08-06,34621665827
2024-08-07,34673050225
2024-08-08,35774960104
2024-08-09,37031023178
