,AM
2019-10-09,3445296270
2019-10-10,3600309600
2019-10-11,3660314760
2019-10-14,3705318630
2019-10-15,3725320350
2019-10-16,3620311320
2019-10-17,3755322930
2019-10-18,3645313470
2019-10-21,3625311750
2019-10-22,3695317770
2019-10-23,3785325510
2019-10-24,3660314760
2019-10-25,3715319490
2019-10-28,3670315620
2019-10-29,3730320780
2019-10-30,3600309600
2019-10-31,3220276920
2019-11-01,3345287670
2019-11-04,3600309600
2019-11-05,3520302720
2019-11-06,3420294120
2019-11-07,3210276060
2019-11-08,3080264880
2019-11-11,2820242520
2019-11-12,2900249400
2019-11-13,2815242090
2019-11-14,2690231340
2019-11-15,2675230050
2019-11-18,2505215430
2019-11-19,2400206400
2019-11-20,2400206400
2019-11-21,2435209410
2019-11-22,2415207690
2019-11-25,2500215000
2019-11-26,2415207690
2019-11-27,2330200380
2019-11-29,2290196940
2019-12-02,2215190490
2019-12-03,2205189630
2019-12-04,2295197370
2019-12-05,2255193930
2019-12-06,2245193070
2019-12-09,2570221020
2019-12-10,2775238650
2019-12-11,2735235210
2019-12-12,2960254560
2019-12-13,2925251550
2019-12-16,2990257140
2019-12-17,3160271760
2019-12-18,3335286810
2019-12-19,3410293260
2019-12-20,3465297990
2019-12-23,3610310460
2019-12-24,3590308740
2019-12-26,3730320780
2019-12-27,3695317770
2019-12-30,3670315620
2019-12-31,3666751770
2020-01-02,3425200270
2020-01-03,3449355420
2020-01-06,3574962200
2020-01-07,3531482930
2020-01-08,3357565850
2020-01-09,3401045120
2020-01-10,3396214090
2020-01-13,3473510570
2020-01-14,3579793230
2020-01-15,3666751770
2020-01-16,3657089710
2020-01-17,3497665720
2020-01-21,3270607310
2020-01-22,3173986710
2020-01-23,3149831560
2020-01-24,2990407570
2020-01-27,2975914480
2020-01-28,2927604180
2020-01-29,2748856070
2020-01-30,2507304570
2020-01-31,2434839120
2020-02-03,2487980450
2020-02-04,2391359850
2020-02-05,2560445900
2020-02-06,2396190880
2020-02-07,2381697790
2020-02-10,2299570280
2020-02-11,2236766890
2020-02-12,2299570280
2020-02-13,2222273800
2020-02-14,2130484230
2020-02-18,2135315260
2020-02-19,2357542640
2020-02-20,2439670150
2020-02-21,2299570280
2020-02-24,2217442770
2020-02-25,2130484230
2020-02-26,2101498049
2020-02-27,1990384360
2020-02-28,2106329080
2020-03-02,2144977320
2020-03-03,2029032600
2020-03-04,2048356720
2020-03-05,2000046419
2020-03-06,2019370539
2020-03-09,1589408870
2020-03-10,1710184620
2020-03-11,1550760630
2020-03-12,1444477970
2020-03-13,1526605480
2020-03-16,1473464150
2020-03-17,1270560890
2020-03-18,956543940
2020-03-19,1009685269
2020-03-20,1111136900
2020-03-23,1164278230
2020-03-24,1188433380
2020-03-25,1086981750
2020-03-26,1111136900
2020-03-27,1072488660
2020-03-30,1053164540
2020-03-31,1001355600
2020-04-01,977513799
2020-04-02,1087186080
2020-04-03,1187321640
2020-04-06,1168248200
2020-04-07,1192090000
2020-04-08,1201626720
2020-04-09,1201626720
2020-04-13,1325604080
2020-04-14,1325604080
2020-04-15,1306530640
2020-04-16,1358982600
2020-04-17,1678462720
2020-04-20,1983637760
2020-04-21,2074236599
2020-04-22,2245897560
2020-04-23,2341264760
2020-04-24,2264971000
2020-04-27,2312654600
2020-04-28,2207750680
2020-04-29,2145762000
2020-04-30,2264971000
2020-05-01,2269739360
2020-05-04,2245897560
2020-05-05,2169603800
2020-05-06,1955027599
2020-05-07,1902575640
2020-05-08,1993174479
2020-05-11,1969332680
2020-05-12,1964564320
2020-05-13,1773829920
2020-05-14,1702304520
2020-05-15,1721377960
2020-05-18,1902575640
2020-05-19,1921649080
2020-05-20,2088541680
2020-05-21,2050394800
2020-05-22,2050394800
2020-05-26,2155298720
2020-05-27,2207750680
2020-05-28,2155298720
2020-05-29,2279276080
2020-06-01,2250665920
2020-06-02,2393716720
2020-06-03,2479547200
2020-06-04,2541535880
2020-06-05,2694123400
2020-06-08,2837174200
2020-06-09,2775185520
2020-06-10,2651208160
2020-06-11,2455705400
2020-06-12,2517694080
2020-06-15,2918236320
2020-06-16,2837174200
2020-06-17,2770417160
2020-06-18,2822869120
2020-06-19,2837174200
2020-06-22,2722733560
2020-06-23,2727501920
2020-06-24,2579682760
2020-06-25,2574914400
2020-06-26,2417558520
2020-06-29,2388948360
2020-06-30,2430547800
2020-07-01,2473439820
2020-07-02,2597350100
2020-07-06,2611647440
2020-07-07,2754620840
2020-07-08,2749855060
2020-07-09,2606881660
2020-07-10,2554458080
2020-07-13,2521097620
2020-07-14,2535394960
2020-07-15,2745089280
2020-07-16,2792747080
2020-07-17,2811810200
2020-07-20,2830873320
2020-07-21,2921423140
2020-07-22,2840404880
2020-07-23,2854702220
2020-07-24,2859468000
2020-07-27,2754620840
2020-07-28,2783215520
2020-07-29,2649773680
2020-07-30,2778449740
2020-07-31,2702197260
2020-08-03,2835639100
2020-08-04,3102522780
2020-08-05,3274090860
2020-08-06,3269325080
2020-08-07,3307451320
2020-08-10,3507614080
2020-08-11,3336046000
2020-08-12,3393235360
2020-08-13,3345577560
2020-08-14,3483785180
2020-08-17,3555271880
2020-08-18,3445658940
2020-08-19,3483785180
2020-08-20,3440893160
2020-08-21,3445658940
2020-08-24,3469487840
2020-08-25,3469487840
2020-08-26,3312217100
2020-08-27,3331280220
2020-08-28,3231198840
2020-08-31,3226433060
2020-09-01,3064396540
2020-09-02,2978612500
2020-09-03,2907125800
2020-09-04,2859468000
2020-09-08,2792747080
2020-09-09,2730791940
2020-09-10,2630710560
2020-09-11,2635476340
2020-09-14,2726026160
2020-09-15,2487737160
2020-09-16,2549692300
2020-09-17,2573521200
2020-09-18,2573521200
2020-09-21,2549692300
2020-09-22,2511566060
2020-09-23,2478205600
2020-09-24,2540160740
2020-09-25,2544926520
2020-09-28,2621179000
2020-09-29,2621179000
2020-09-30,2559519210
2020-10-01,2473725270
2020-10-02,2540453890
2020-10-05,2678677460
2020-10-06,2635780490
2020-10-07,2726340760
2020-10-08,2835966350
2020-10-09,2826433690
2020-10-12,2897928640
2020-10-13,2974189920
2020-10-14,3031385880
2020-10-15,3064750190
2020-10-16,3069516520
2020-10-19,3131478810
2020-10-20,3098114500
2020-10-21,3017086890
2020-10-22,3126712480
2020-10-23,3155310460
2020-10-26,3088581840
2020-10-27,3031385880
2020-10-28,2893162310
2020-10-29,2855031670
2020-10-30,2731107090
2020-11-02,2669144800
2020-11-03,2645313150
2020-11-04,2683443790
2020-11-05,2759705070
2020-11-06,2626247830
2020-11-09,2936059280
2020-11-10,3017086890
2020-11-11,3064750190
2020-11-12,2983722580
2020-11-13,3040918540
2020-11-16,3031385880
2020-11-17,3164843120
2020-11-18,3079049180
2020-11-19,3098114500
2020-11-20,3050451200
2020-11-23,3245870730
2020-11-24,3398393290
2020-11-25,3379327970
2020-11-27,3322132010
2020-11-30,3212506420
2020-12-01,3198207430
2020-12-02,3322132010
2020-12-03,3465121910
2020-12-04,3603345480
